date,open,high,low,close,volume
2024-10-24 16:01:40.324083,165.61,172.12,162.65,166.22,30489210
2024-10-25 16:01:40.324083,167.6,169.15,166.0,166.54,52838127
2024-10-28 16:01:40.324083,170.23,172.41,168.93,170.21,4878893
2024-10-29 16:01:40.324083,169.04,170.94,168.52,169.82,7775921
2024-10-30 16:01:40.324083,170.58,173.6,168.31,171.12,41142538
2024-10-31 16:01:40.324083,171.01,175.11,170.26,172.33,53894260
2024-11-01 16:01:40.324083,173.1,175.63,171.59,172.09,53464555
2024-11-04 16:01:40.324083,172.24,173.11,167.52,170.9,80481838
2024-11-05 16:01:40.324083,169.44,171.9,168.04,170.88,62249257
2024-11-06 16:01:40.324083,177.22,179.36,176.64,177.46,46794099
2024-11-07 16:01:40.324083,178.32,180.77,177.34,178.84,55128789
2024-11-08 16:01:40.324083,186.34,192.1,184.39,187.33,45957630
2024-11-11 16:01:40.324083,190.06,190.59,189.4,189.83,92398238
2024-11-12 16:01:40.324083,185.14,185.7,183.26,183.52,92339597
2024-11-13 16:01:40.324083,184.24,185.99,182.11,183.91,37666313
2024-11-14 16:01:40.324083,184.09,188.98,178.32,180.19,73771043
2024-11-15 16:01:40.324083,186.96,190.15,185.83,186.54,81505586
2024-11-18 16:01:40.324083,182.4,183.55,181.78,182.39,21693920
2024-11-19 16:01:40.324083,181.84,184.6,181.37,182.56,72061416
2024-11-20 16:01:40.324083,177.49,178.77,175.59,176.31,9455105
2024-11-21 16:01:40.324083,177.51,179.23,174.39,177.7,92802638
2024-11-22 16:01:40.324083,179.8,180.46,178.26,179.24,5277579
2024-11-25 16:01:40.324083,184.05,185.89,181.26,184.21,72163688
2024-11-26 16:01:40.324083,187.74,190.79,185.91,187.11,93085093
2024-11-27 16:01:40.324083,182.85,186.04,180.43,184.65,14596753
2024-11-28 16:01:40.324083,195.07,197.54,193.18,193.98,13967180
2024-11-29 16:01:40.324083,193.98,195.57,191.79,193.28,84976026
2024-12-02 16:01:40.324083,181.95,182.85,180.32,182.73,56021467
2024-12-03 16:01:40.324083,181.69,184.55,180.61,181.37,96305858
2024-12-04 16:01:40.324083,182.87,184.74,182.69,183.12,41981675
2024-12-05 16:01:40.324083,182.96,188.64,182.57,184.88,77317533
2024-12-06 16:01:40.324083,188.52,191.47,185.82,189.99,71245848
2024-12-09 16:01:40.324083,185.34,189.43,182.67,185.88,68163546
2024-12-10 16:01:40.324083,188.22,189.22,184.87,189.0,77738062
2024-12-11 16:01:40.324083,188.1,188.51,185.35,187.77,45110204
2024-12-12 16:01:40.324083,179.7,180.45,176.43,178.7,20745905
2024-12-13 16:01:40.324083,180.33,185.06,179.1,180.75,11266570
2024-12-16 16:01:40.324083,176.77,178.31,174.04,177.23,99743519
2024-12-17 16:01:40.324083,175.62,178.18,175.28,176.88,77772486
2024-12-18 16:01:40.324083,177.99,179.63,176.32,177.95,30551184
2024-12-19 16:01:40.324083,169.44,174.95,168.28,168.9,41264904
