date,open,high,low,close,volume
2024-10-24 16:01:40.333546,175.36,177.87,174.35,175.34,43961510
2024-10-25 16:01:40.333546,179.53,180.78,176.62,179.53,93095205
2024-10-28 16:01:40.333546,183.4,186.72,181.28,182.76,69893368
2024-10-29 16:01:40.333546,187.69,189.41,185.66,186.55,37487851
2024-10-30 16:01:40.333546,185.88,188.77,185.86,185.93,37810059
2024-10-31 16:01:40.333546,181.33,183.57,179.71,183.38,93330306
2024-11-01 16:01:40.333546,182.35,183.74,179.12,181.12,38095436
2024-11-04 16:01:40.333546,178.98,179.36,175.73,178.39,15506375
2024-11-05 16:01:40.333546,186.48,189.34,184.18,187.27,64833077
2024-11-06 16:01:40.333546,199.15,200.58,192.07,195.05,19605482
2024-11-07 16:01:40.333546,190.11,191.54,189.28,190.03,44656786
2024-11-08 16:01:40.333546,191.21,193.26,190.88,191.81,74105534
2024-11-11 16:01:40.333546,190.93,193.2,189.74,191.34,35110929
2024-11-12 16:01:40.333546,191.1,195.67,189.05,190.15,77581807
2024-11-13 16:01:40.333546,192.25,194.97,189.27,192.82,53093681
2024-11-14 16:01:40.333546,189.39,190.87,188.42,190.79,17422199
2024-11-15 16:01:40.333546,190.07,191.27,187.47,188.88,49070475
2024-11-18 16:01:40.333546,191.02,193.24,189.87,191.04,64235428
2024-11-19 16:01:40.333546,196.36,197.46,191.46,196.85,49317632
2024-11-20 16:01:40.333546,206.96,207.27,205.55,206.03,89907442
2024-11-21 16:01:40.333546,208.68,210.13,208.09,208.55,8493166
2024-11-22 16:01:40.333546,204.38,209.33,203.46,204.71,34710097
2024-11-25 16:01:40.333546,207.88,209.43,207.7,208.14,17375650
2024-11-26 16:01:40.333546,206.87,209.56,204.29,206.49,60060314
2024-11-27 16:01:40.333546,207.81,208.91,206.01,206.65,32979060
2024-11-28 16:01:40.333546,214.5,215.49,212.13,214.03,79422450
2024-11-29 16:01:40.333546,222.86,227.05,219.35,220.89,36505189
2024-12-02 16:01:40.333546,223.93,229.22,222.28,225.47,49518999
2024-12-03 16:01:40.333546,232.96,238.51,226.97,234.04,73550499
2024-12-04 16:01:40.333546,220.43,225.19,220.38,222.43,74099623
2024-12-05 16:01:40.333546,218.73,220.42,216.02,219.21,94727102
2024-12-06 16:01:40.333546,224.39,227.96,220.0,222.52,54823296
2024-12-09 16:01:40.333546,223.19,226.2,221.8,222.48,73697667
2024-12-10 16:01:40.333546,229.21,229.76,226.98,228.29,11294816
2024-12-11 16:01:40.333546,222.91,223.68,220.98,222.55,5678042
2024-12-12 16:01:40.333546,227.94,228.91,224.89,228.7,12697860
2024-12-13 16:01:40.333546,233.27,236.35,230.63,231.55,98430590
2024-12-16 16:01:40.333546,231.74,234.46,229.44,232.37,98569460
2024-12-17 16:01:40.333546,224.1,226.8,223.92,224.29,36752114
2024-12-18 16:01:40.333546,237.97,239.09,233.18,235.71,1281189
2024-12-19 16:01:40.333546,230.47,233.63,229.69,229.84,71553258
2024-12-20 16:01:40.333546,224.07,224.54,222.33,223.09,75981625
2024-12-23 16:01:40.333546,225.85,228.53,223.58,226.37,72979737
2024-12-24 16:01:40.333546,230.59,232.42,229.62,232.19,98517809
2024-12-25 16:01:40.333546,230.22,234.21,228.29,231.77,18519381
2024-12-26 16:01:40.333546,226.94,228.71,224.76,227.65,21454034
2024-12-27 16:01:40.333546,225.19,230.19,224.92,225.51,84620099
2024-12-30 16:01:40.333546,227.76,231.31,225.9,227.77,32479827
2024-12-31 16:01:40.333546,225.28,227.5,220.16,225.02,73545783
2025-01-01 16:01:40.333546,231.52,231.68,230.74,231.39,1761529
2025-01-02 16:01:40.333546,228.22,230.43,224.0,227.46,38318981
2025-01-03 16:01:40.333546,220.08,222.67,219.44,219.77,75179247
2025-01-06 16:01:40.333546,228.83,230.1,226.26,227.69,93987056
2025-01-07 16:01:40.333546,224.88,225.18,222.94,224.39,96193324
2025-01-08 16:01:40.333546,227.14,227.49,224.43,226.98,20584165
2025-01-09 16:01:40.333546,229.05,233.26,225.71,229.82,3834964
2025-01-10 16:01:40.333546,227.26,230.73,225.82,226.64,18794392
2025-01-13 16:01:40.333546,228.41,231.98,228.31,229.87,80146904
2025-01-14 16:01:40.333546,229.24,230.01,226.22,227.82,29546265
2025-01-15 16:01:40.333546,225.58,231.97,221.54,224.44,15342618
2025-01-16 16:01:40.333546,223.99,226.84,222.92,224.28,61233628
2025-01-17 16:01:40.333546,232.73,234.13,231.0,233.19,35493269
2025-01-20 16:01:40.333546,236.01,236.3,231.03,234.88,66481896
2025-01-21 16:01:40.333546,239.74,241.48,236.73,239.81,72619153
2025-01-22 16:01:40.333546,241.38,243.51,240.28,240.3,4417084
2025-01-23 16:01:40.333546,238.87,243.01,236.71,237.61,27773247
2025-01-24 16:01:40.333546,238.6,239.92,233.32,239.51,53761221
2025-01-27 16:01:40.333546,237.08,239.75,232.9,238.86,55268282
2025-01-28 16:01:40.333546,236.5,239.73,231.39,236.62,44972712
2025-01-29 16:01:40.333546,241.79,246.2,239.58,240.72,48832120
2025-01-30 16:01:40.333546,243.05,244.5,240.81,243.11,70715371
2025-01-31 16:01:40.333546,241.09,242.87,239.32,239.86,86817741
2025-02-03 16:01:40.333546,243.31,246.53,241.88,244.69,47168725
2025-02-04 16:01:40.333546,242.47,248.23,240.56,244.71,51090417
2025-02-05 16:01:40.333546,249.46,252.58,249.07,249.37,31490799
2025-02-06 16:01:40.333546,244.55,248.21,241.19,245.82,77987375
2025-02-07 16:01:40.333546,240.69,241.67,239.53,241.25,28901354
2025-02-10 16:01:40.333546,238.67,245.08,237.56,238.88,43969356
2025-02-11 16:01:40.333546,240.33,241.36,238.43,239.08,40573290
2025-02-12 16:01:40.333546,239.06,239.12,237.85,238.15,63854144
2025-02-13 16:01:40.333546,244.46,246.81,243.33,245.0,15079695
2025-02-14 16:01:40.333546,242.18,242.92,237.81,240.79,68122252
2025-02-17 16:01:40.333546,233.03,236.3,228.08,230.57,51627531
2025-02-18 16:01:40.333546,230.61,232.27,229.13,230.59,93244603
2025-02-19 16:01:40.333546,234.7,238.82,231.65,233.22,41540773
2025-02-20 16:01:40.333546,233.91,234.4,229.3,231.48,85254502
2025-02-21 16:01:40.333546,233.52,234.99,228.67,232.66,74144076
2025-02-24 16:01:40.333546,228.44,232.87,227.52,228.77,35669265
2025-02-25 16:01:40.333546,224.8,228.99,222.95,224.19,27751495
2025-02-26 16:01:40.333546,226.04,228.81,225.77,227.08,67897731
2025-02-27 16:01:40.333546,229.48,230.91,226.94,230.23,39704815
2025-02-28 16:01:40.333546,232.81,237.24,230.58,233.27,10944660
2025-03-03 16:01:40.333546,236.24,240.34,233.93,236.2,6500147
2025-03-04 16:01:40.333546,238.78,244.78,235.73,238.44,99823877
2025-03-05 16:01:40.333546,236.6,238.19,233.32,237.74,31692582
2025-03-06 16:01:40.333546,243.52,247.02,239.85,241.48,88469840
2025-03-07 16:01:40.333546,237.06,238.91,236.29,237.18,21689166
2025-03-10 16:01:40.333546,243.31,247.07,241.43,243.84,32911375
2025-03-11 16:01:40.333546,250.77,253.26,246.15,248.78,35016391
2025-03-12 16:01:40.333546,241.85,242.89,237.25,240.83,64014210
2025-03-13 16:01:40.333546,245.77,251.38,244.49,245.27,75019852
2025-03-14 16:01:40.333546,250.3,254.51,248.97,249.79,74838890
2025-03-17 16:01:40.333546,263.58,268.33,262.26,263.47,80789133
2025-03-18 16:01:40.333546,257.57,260.23,256.09,257.56,93392034
2025-03-19 16:01:40.333546,250.48,251.4,246.95,250.21,67645405
2025-03-20 16:01:40.333546,257.02,259.97,254.5,255.96,16818867
2025-03-21 16:01:40.333546,257.67,259.7,256.71,258.56,24003220
2025-03-24 16:01:40.333546,251.71,251.84,248.51,251.06,2837707
2025-03-25 16:01:40.333546,261.83,263.89,260.47,262.63,16407960
2025-03-26 16:01:40.333546,262.56,264.27,253.56,260.64,27550701
2025-03-27 16:01:40.333546,257.99,260.08,257.88,258.38,77634643
2025-03-28 16:01:40.333546,262.38,267.88,260.78,262.93,63942007
2025-03-31 16:01:40.333546,273.91,277.89,270.97,276.44,9236293
2025-04-01 16:01:40.333546,272.95,278.36,268.85,273.59,37484054
2025-04-02 16:01:40.333546,278.65,279.78,276.4,277.29,24209108
2025-04-03 16:01:40.333546,273.41,275.29,266.86,271.37,20518329
2025-04-04 16:01:40.333546,268.66,274.34,262.54,271.18,27956547
2025-04-07 16:01:40.333546,280.3,282.01,280.29,281.88,85499367
2025-04-08 16:01:40.333546,292.09,293.32,288.57,291.34,44145913
2025-04-09 16:01:40.333546,288.0,290.62,283.65,288.57,11861009
2025-04-10 16:01:40.333546,298.03,299.25,292.52,294.49,8787679
2025-04-11 16:01:40.333546,296.59,297.09,289.85,295.7,62676846
2025-04-14 16:01:40.333546,296.95,299.52,289.87,295.26,81993257
2025-04-15 16:01:40.333546,285.59,287.49,279.27,283.96,56648051
2025-04-16 16:01:40.333546,281.4,285.29,280.04,281.4,39402384
2025-04-17 16:01:40.333546,274.06,276.1,273.25,275.08,68014696
2025-04-18 16:01:40.333546,280.33,280.36,274.44,277.03,36240667
2025-04-21 16:01:40.333546,271.43,273.21,271.35,272.2,34064741
2025-04-22 16:01:40.333546,258.37,262.16,253.19,259.13,53457213
2025-04-23 16:01:40.333546,261.57,264.22,260.68,261.18,83032213
2025-04-24 16:01:40.333546,264.21,265.71,263.68,264.64,46348816
2025-04-25 16:01:40.333546,259.2,266.19,256.41,260.41,98757998
2025-04-28 16:01:40.333546,247.79,249.31,247.23,247.51,59737673
2025-04-29 16:01:40.333546,246.16,247.13,245.85,245.87,10503427
2025-04-30 16:01:40.333546,241.61,244.65,238.83,241.38,76873633
2025-05-01 16:01:40.333546,232.35,235.62,230.49,234.01,74678784
2025-05-02 16:01:40.333546,231.57,235.47,228.58,233.16,68735397
2025-05-05 16:01:40.333546,231.19,231.81,230.03,231.25,50103006
2025-05-06 16:01:40.333546,228.72,232.23,225.3,227.35,9086250
2025-05-07 16:01:40.333546,230.11,233.94,226.43,228.97,96565413
2025-05-08 16:01:40.333546,229.62,232.92,228.78,229.58,23497604
2025-05-09 16:01:40.333546,226.26,227.91,224.07,227.57,12639203
2025-05-12 16:01:40.333546,229.75,229.93,226.04,228.65,67366216
2025-05-13 16:01:40.333546,230.49,231.02,227.45,228.27,73089263
2025-05-14 16:01:40.333546,224.63,225.17,221.68,223.68,34894656
2025-05-15 16:01:40.333546,226.09,227.63,220.98,224.14,46664785
2025-05-16 16:01:40.333546,228.11,229.29,224.59,227.18,49342349
