date,open,high,low,close,volume
2024-10-24 16:01:40.572105,383.04,386.53,379.39,382.07,88141227
2024-10-25 16:01:40.572105,380.15,383.81,378.4,379.46,59498535
2024-10-28 16:01:40.572105,367.04,367.75,365.48,367.46,13821225
2024-10-29 16:01:40.572105,376.33,378.47,373.56,377.81,88037003
2024-10-30 16:01:40.572105,380.86,382.46,379.5,381.08,19054015
2024-10-31 16:01:40.572105,391.89,397.96,387.59,393.21,47700815
2024-11-01 16:01:40.572105,392.87,394.66,391.63,392.89,62130964
2024-11-04 16:01:40.572105,404.89,406.47,402.53,406.35,81291649
2024-11-05 16:01:40.572105,405.64,411.08,402.9,404.91,37658385
2024-11-06 16:01:40.572105,414.57,418.48,405.79,410.79,73041246
2024-11-07 16:01:40.572105,415.91,417.36,411.56,413.56,68629263
2024-11-08 16:01:40.572105,410.53,416.37,407.92,409.26,72966011
2024-11-11 16:01:40.572105,406.52,418.01,403.85,412.56,53911368
2024-11-12 16:01:40.572105,408.47,411.46,405.17,408.67,88431221
2024-11-13 16:01:40.572105,389.57,396.8,385.21,392.75,57882348
2024-11-14 16:01:40.572105,396.2,402.96,393.63,395.37,45794943
2024-11-15 16:01:40.572105,388.75,395.36,387.62,389.41,33035210
2024-11-18 16:01:40.572105,384.42,384.85,376.27,383.99,92786845
2024-11-19 16:01:40.572105,391.09,392.35,387.26,390.88,32713443
2024-11-20 16:01:40.572105,382.54,385.77,377.56,384.12,90843104
2024-11-21 16:01:40.572105,381.01,383.6,377.51,382.02,98312333
2024-11-22 16:01:40.572105,391.44,401.58,389.91,392.4,4580441
2024-11-25 16:01:40.572105,391.19,393.96,390.94,392.49,65868605
2024-11-26 16:01:40.572105,392.66,399.52,387.14,388.62,5513553
2024-11-27 16:01:40.572105,386.37,387.82,384.78,386.93,17983602
2024-11-28 16:01:40.572105,384.48,392.67,379.97,387.78,34660230
2024-11-29 16:01:40.572105,392.39,397.57,389.23,392.68,87809483
2024-12-02 16:01:40.572105,390.45,394.56,388.76,391.01,16002668
2024-12-03 16:01:40.572105,386.65,388.04,383.86,386.35,32052634
2024-12-04 16:01:40.572105,373.22,374.35,370.21,371.95,76957527
2024-12-05 16:01:40.572105,371.16,377.17,367.12,370.32,73335259
2024-12-06 16:01:40.572105,364.8,366.66,359.11,366.01,95673224
2024-12-09 16:01:40.572105,360.72,365.64,360.55,360.97,81536562
2024-12-10 16:01:40.572105,345.23,349.95,344.31,347.21,80019646
2024-12-11 16:01:40.572105,346.92,350.34,344.03,349.55,24253962
2024-12-12 16:01:40.572105,353.36,358.01,344.64,357.1,65725488
2024-12-13 16:01:40.572105,358.81,359.9,354.56,355.6,61306034
2024-12-16 16:01:40.572105,358.79,362.27,358.25,359.16,98291067
2024-12-17 16:01:40.572105,372.34,377.63,367.07,372.08,71419706
