date,open,high,low,close,volume
2024-10-24 16:01:40.214285,13.83,13.99,13.7,13.92,52526053
2024-10-25 16:01:40.214285,14.36,14.39,14.31,14.33,42968476
2024-10-28 16:01:40.214285,14.12,14.32,14.12,14.13,67379883
2024-10-29 16:01:40.214285,13.84,14.17,13.62,13.82,56430985
2024-10-30 16:01:40.214285,13.66,13.98,13.56,13.76,54015519
2024-10-31 16:01:40.214285,13.63,13.71,13.49,13.55,98139992
2024-11-01 16:01:40.214285,13.36,13.36,13.11,13.31,45148699
2024-11-04 16:01:40.214285,13.45,13.65,13.43,13.52,11414108
2024-11-05 16:01:40.214285,13.54,13.62,13.4,13.58,43123810
2024-11-06 16:01:40.214285,14.15,14.3,14.04,14.08,67464558
2024-11-07 16:01:40.214285,13.73,13.78,13.56,13.7,74557944
2024-11-08 16:01:40.214285,13.23,13.33,13.18,13.28,99863742
2024-11-11 16:01:40.214285,13.2,13.26,13.02,13.19,64227974
2024-11-12 16:01:40.214285,13.02,13.08,12.92,13.04,4940745
2024-11-13 16:01:40.214285,13.16,13.25,13.07,13.24,82291053
2024-11-14 16:01:40.214285,13.35,13.39,13.18,13.36,18283681
2024-11-15 16:01:40.214285,13.57,13.77,13.49,13.54,10480800
2024-11-18 16:01:40.214285,13.04,13.12,12.9,13.09,33379417
2024-11-19 16:01:40.214285,13.05,13.23,13.0,13.02,41416431
2024-11-20 16:01:40.214285,12.54,12.7,12.34,12.49,59169356
2024-11-21 16:01:40.214285,12.83,13.1,12.7,12.78,27776221
2024-11-22 16:01:40.214285,12.58,12.73,12.52,12.55,5067551
2024-11-25 16:01:40.214285,12.47,12.71,12.43,12.55,74792736
2024-11-26 16:01:40.214285,12.13,12.34,12.06,12.15,86298629
2024-11-27 16:01:40.214285,11.95,11.95,11.89,11.94,55624739
2024-11-28 16:01:40.214285,11.85,11.91,11.83,11.86,56253185
2024-11-29 16:01:40.214285,11.88,12.03,11.83,11.83,84062908
2024-12-02 16:01:40.214285,11.85,11.98,11.75,11.86,46838854
2024-12-03 16:01:40.214285,12.11,12.15,12.04,12.04,47535965
2024-12-04 16:01:40.214285,12.38,12.64,12.26,12.33,25280813
2024-12-05 16:01:40.214285,12.48,12.72,12.45,12.51,63364214
2024-12-06 16:01:40.214285,12.47,12.55,12.45,12.55,67015961
2024-12-09 16:01:40.214285,12.43,12.58,12.34,12.38,25319192
2024-12-10 16:01:40.214285,12.38,12.38,12.28,12.3,76052448
2024-12-11 16:01:40.214285,12.27,12.36,12.1,12.29,20169797
2024-12-12 16:01:40.214285,12.42,12.42,12.3,12.39,93115784
2024-12-13 16:01:40.214285,12.22,12.27,12.1,12.16,83275967
2024-12-16 16:01:40.214285,12.04,12.22,11.92,12.13,74495114
2024-12-17 16:01:40.214285,12.46,12.69,12.14,12.37,98689815
2024-12-18 16:01:40.214285,12.61,12.92,12.52,12.64,99408773
2024-12-19 16:01:40.214285,12.62,12.63,12.48,12.52,30649591
2024-12-20 16:01:40.214285,12.42,12.47,12.21,12.37,19633295
2024-12-23 16:01:40.214285,12.43,12.45,12.26,12.41,19846039
2024-12-24 16:01:40.214285,12.5,12.62,12.1,12.39,43186630
2024-12-25 16:01:40.214285,11.93,11.99,11.8,11.91,6986087
2024-12-26 16:01:40.214285,12.45,12.46,12.28,12.38,91188283
2024-12-27 16:01:40.214285,12.24,12.28,12.08,12.2,87271933
2024-12-30 16:01:40.214285,12.05,12.09,12.02,12.07,36078490
2024-12-31 16:01:40.214285,11.69,11.83,11.6,11.75,1678857
2025-01-01 16:01:40.214285,12.1,12.26,11.91,12.02,43769205
2025-01-02 16:01:40.214285,11.84,11.95,11.83,11.84,77822536
2025-01-03 16:01:40.214285,11.99,12.11,11.64,11.95,73817458
2025-01-06 16:01:40.214285,12.15,12.19,12.07,12.12,65025136
2025-01-07 16:01:40.214285,11.98,12.12,11.93,11.95,25603293
2025-01-08 16:01:40.214285,11.8,11.88,11.51,11.75,21586760
2025-01-09 16:01:40.214285,11.82,11.83,11.58,11.82,51998445
2025-01-10 16:01:40.214285,11.4,11.52,11.27,11.32,99812281
2025-01-13 16:01:40.214285,11.56,11.66,11.4,11.49,81661373
2025-01-14 16:01:40.214285,11.4,11.46,11.28,11.43,20503897
2025-01-15 16:01:40.214285,11.22,11.29,11.11,11.25,39538978
2025-01-16 16:01:40.214285,11.05,11.17,10.84,11.11,24964799
2025-01-17 16:01:40.214285,11.16,11.32,10.98,11.06,62507610
2025-01-20 16:01:40.214285,10.94,11.3,10.85,10.96,35778195
2025-01-21 16:01:40.214285,11.33,11.42,11.21,11.3,92464919
2025-01-22 16:01:40.214285,11.0,11.1,10.96,11.02,97859304
2025-01-23 16:01:40.214285,10.82,10.92,10.66,10.8,9895505
2025-01-24 16:01:40.214285,10.85,10.91,10.8,10.81,83758961
2025-01-27 16:01:40.214285,11.15,11.23,11.04,11.08,57706858
2025-01-28 16:01:40.214285,11.04,11.15,10.97,10.99,72969832
2025-01-29 16:01:40.214285,10.69,10.82,10.54,10.76,32434699
2025-01-30 16:01:40.214285,10.83,10.89,10.73,10.79,73737639
2025-01-31 16:01:40.214285,11.05,11.17,10.89,10.95,65317457
2025-02-03 16:01:40.214285,11.08,11.34,11.07,11.1,65968903
2025-02-04 16:01:40.214285,10.85,10.91,10.62,10.78,64249460
2025-02-05 16:01:40.214285,10.88,10.94,10.58,10.93,9867919
2025-02-06 16:01:40.214285,10.86,10.96,10.68,10.83,99299188
2025-02-07 16:01:40.214285,10.49,10.57,10.37,10.49,43144537
2025-02-10 16:01:40.214285,10.61,11.02,10.51,10.71,90679471
2025-02-11 16:01:40.214285,10.31,10.38,10.19,10.34,96037017
2025-02-12 16:01:40.214285,10.09,10.29,9.99,10.03,39252790
2025-02-13 16:01:40.214285,10.29,10.33,10.14,10.26,46406263
2025-02-14 16:01:40.214285,9.94,10.02,9.9,9.94,46850099
2025-02-17 16:01:40.214285,9.84,10.02,9.74,9.8,89411569
2025-02-18 16:01:40.214285,9.54,9.84,9.48,9.61,32394964
2025-02-19 16:01:40.214285,9.55,9.68,9.55,9.56,27687751
2025-02-20 16:01:40.214285,9.37,9.44,9.35,9.41,72226080
2025-02-21 16:01:40.214285,9.13,9.21,9.04,9.21,59407877
2025-02-24 16:01:40.214285,9.34,9.42,9.27,9.3,91456767
2025-02-25 16:01:40.214285,9.46,9.47,9.42,9.43,41779185
2025-02-26 16:01:40.214285,9.24,9.33,9.15,9.26,11945351
2025-02-27 16:01:40.214285,9.31,9.39,9.3,9.33,7965765
2025-02-28 16:01:40.214285,9.8,9.95,9.79,9.87,31999061
2025-03-03 16:01:40.214285,9.86,9.88,9.73,9.87,93585645
2025-03-04 16:01:40.214285,9.9,10.02,9.83,9.87,50117884
2025-03-05 16:01:40.214285,9.82,9.94,9.75,9.85,80247266
2025-03-06 16:01:40.214285,9.92,9.93,9.8,9.86,40847229
2025-03-07 16:01:40.214285,9.78,9.92,9.76,9.85,54930564
2025-03-10 16:01:40.214285,9.38,9.5,9.36,9.47,31639701
2025-03-11 16:01:40.214285,9.54,9.71,9.39,9.54,97161391
2025-03-12 16:01:40.214285,9.43,9.52,9.23,9.4,78290136
2025-03-13 16:01:40.214285,9.2,9.27,9.16,9.18,68233944
2025-03-14 16:01:40.214285,8.84,8.94,8.79,8.9,69681308
2025-03-17 16:01:40.214285,8.67,8.74,8.59,8.68,48209333
2025-03-18 16:01:40.214285,9.02,9.04,8.98,9.01,78365920
2025-03-19 16:01:40.214285,8.93,8.96,8.78,8.89,34950727
2025-03-20 16:01:40.214285,8.71,8.86,8.63,8.79,50972583
2025-03-21 16:01:40.214285,8.97,9.06,8.81,8.97,24518839
2025-03-24 16:01:40.214285,9.16,9.22,9.14,9.14,77931212
2025-03-25 16:01:40.214285,8.98,9.13,8.79,9.03,22082617
2025-03-26 16:01:40.214285,8.84,9.01,8.8,8.83,75515060
2025-03-27 16:01:40.214285,9.09,9.21,9.01,9.13,83937457
2025-03-28 16:01:40.214285,9.26,9.41,9.14,9.23,13315496
2025-03-31 16:01:40.214285,9.16,9.2,9.09,9.11,83407450
2025-04-01 16:01:40.214285,9.36,9.57,9.3,9.41,65888117
2025-04-02 16:01:40.214285,9.28,9.4,9.12,9.32,32783712
2025-04-03 16:01:40.214285,9.23,9.26,8.98,9.18,23306971
