date,open,high,low,close,volume
2024-10-24 16:01:40.211916,148.5,150.4,146.24,149.29,86782212
2024-10-25 16:01:40.211916,147.21,148.04,146.33,147.54,25636168
2024-10-28 16:01:40.211916,145.34,147.25,144.57,146.69,1627089
2024-10-29 16:01:40.211916,139.14,141.2,138.99,139.91,91735735
2024-10-30 16:01:40.211916,135.25,135.63,134.14,135.03,5806724
2024-10-31 16:01:40.211916,138.59,138.82,136.57,137.34,6249085
2024-11-01 16:01:40.211916,134.12,135.83,131.55,135.37,37906639
2024-11-04 16:01:40.211916,131.44,131.65,128.31,129.67,31621409
2024-11-05 16:01:40.211916,128.17,128.36,126.51,127.93,91069507
2024-11-06 16:01:40.211916,128.75,129.59,128.08,129.48,65388500
2024-11-07 16:01:40.211916,127.11,128.75,124.93,126.14,76672182
2024-11-08 16:01:40.211916,129.36,129.67,128.16,129.09,82456497
2024-11-11 16:01:40.211916,128.1,128.32,124.7,127.56,69674660
2024-11-12 16:01:40.211916,127.03,128.53,124.42,126.51,58685223
2024-11-13 16:01:40.211916,125.07,125.35,123.98,124.4,92303083
2024-11-14 16:01:40.211916,118.63,119.39,118.15,119.37,5396749
2024-11-15 16:01:40.211916,119.07,120.05,118.27,118.59,55217328
2024-11-18 16:01:40.211916,118.39,119.11,118.13,118.36,61352843
2024-11-19 16:01:40.211916,119.67,121.28,119.28,119.33,72655322
2024-11-20 16:01:40.211916,116.91,117.98,116.79,117.31,18319073
2024-11-21 16:01:40.211916,112.76,113.25,112.73,113.13,28564010
2024-11-22 16:01:40.211916,117.12,118.93,114.34,117.46,99459115
2024-11-25 16:01:40.211916,118.33,120.93,117.54,117.9,62194985
2024-11-26 16:01:40.211916,117.62,119.9,117.25,117.67,77587423
2024-11-27 16:01:40.211916,120.07,120.5,118.79,120.4,56460409
2024-11-28 16:01:40.211916,117.61,118.7,116.7,117.8,69030613
2024-11-29 16:01:40.211916,115.57,117.54,112.93,114.85,65686098
2024-12-02 16:01:40.211916,116.71,118.31,115.98,116.43,88289875
2024-12-03 16:01:40.211916,121.37,122.54,119.69,121.09,11049891
2024-12-04 16:01:40.211916,117.49,118.73,117.19,117.33,77038033
2024-12-05 16:01:40.211916,117.82,120.57,116.62,117.19,10411315
2024-12-06 16:01:40.211916,117.38,119.41,117.16,118.01,25807345
2024-12-09 16:01:40.211916,119.62,120.61,118.01,119.09,12414541
2024-12-10 16:01:40.211916,118.23,119.93,117.32,118.19,53726060
2024-12-11 16:01:40.211916,115.18,117.44,115.06,115.72,34298263
2024-12-12 16:01:40.211916,110.44,111.16,109.74,110.45,81567598
2024-12-13 16:01:40.211916,115.19,116.2,115.02,115.35,24622894
2024-12-16 16:01:40.211916,119.58,120.28,118.43,119.38,1781112
2024-12-17 16:01:40.211916,118.05,118.45,115.7,117.52,34763358
2024-12-18 16:01:40.211916,116.77,119.46,115.8,117.44,59653619
2024-12-19 16:01:40.211916,116.73,117.23,115.53,115.74,49532579
2024-12-20 16:01:40.211916,113.88,115.32,113.82,114.84,61336590
2024-12-23 16:01:40.211916,113.92,115.13,113.19,114.34,35252333
2024-12-24 16:01:40.211916,112.28,113.5,110.82,111.19,53073264
2024-12-25 16:01:40.211916,110.06,111.48,109.2,110.88,69411798
2024-12-26 16:01:40.211916,110.7,112.19,109.05,111.03,5057640
2024-12-27 16:01:40.211916,106.54,107.38,105.25,106.96,50916803
2024-12-30 16:01:40.211916,103.88,107.03,102.79,105.15,42420894
2024-12-31 16:01:40.211916,101.76,104.32,100.43,101.82,96976017
2025-01-01 16:01:40.211916,99.6,100.19,98.2,99.38,86095532
2025-01-02 16:01:40.211916,98.96,99.2,97.59,98.74,62086051
2025-01-03 16:01:40.211916,98.0,98.9,97.3,98.29,67508305
2025-01-06 16:01:40.211916,96.89,99.93,95.89,97.86,12440329
2025-01-07 16:01:40.211916,102.01,103.81,101.52,102.36,3053382
2025-01-08 16:01:40.211916,102.49,104.09,102.23,102.96,34820332
2025-01-09 16:01:40.211916,103.86,104.03,102.09,103.73,1085019
2025-01-10 16:01:40.211916,103.6,104.23,103.46,103.9,91734522
2025-01-13 16:01:40.211916,100.74,101.0,99.84,100.55,6841928
2025-01-14 16:01:40.211916,99.2,102.27,97.98,100.18,12918863
2025-01-15 16:01:40.211916,100.4,100.88,97.75,100.1,44623741
2025-01-16 16:01:40.211916,101.89,104.36,100.69,101.64,58151527
2025-01-17 16:01:40.211916,98.54,99.61,98.47,99.1,27596824
2025-01-20 16:01:40.211916,97.41,98.27,96.36,97.78,19398190
2025-01-21 16:01:40.211916,95.2,95.74,93.79,95.37,66492676
2025-01-22 16:01:40.211916,94.39,96.42,92.7,93.9,86858921
2025-01-23 16:01:40.211916,93.05,94.03,92.45,93.2,45669277
2025-01-24 16:01:40.211916,90.83,92.5,89.26,90.69,35584269
2025-01-27 16:01:40.211916,92.26,93.13,90.29,92.28,40980570
2025-01-28 16:01:40.211916,90.61,91.1,88.46,90.21,82299500
2025-01-29 16:01:40.211916,91.58,91.87,91.12,91.52,23186398
2025-01-30 16:01:40.211916,89.96,90.89,89.22,90.54,85636582
2025-01-31 16:01:40.211916,89.4,89.55,88.18,89.53,11622257
2025-02-03 16:01:40.211916,91.61,93.38,90.97,91.16,72497565
2025-02-04 16:01:40.211916,92.52,92.84,91.71,92.38,95062830
2025-02-05 16:01:40.211916,92.68,93.52,92.12,93.26,58818802
2025-02-06 16:01:40.211916,90.51,91.03,88.6,89.73,49203210
2025-02-07 16:01:40.211916,91.84,92.41,91.66,92.13,33902906
2025-02-10 16:01:40.211916,95.55,96.01,94.89,95.12,81031579
2025-02-11 16:01:40.211916,95.18,95.63,94.18,94.52,72127771
2025-02-12 16:01:40.211916,92.97,95.92,92.15,92.49,69133879
2025-02-13 16:01:40.211916,89.6,91.39,89.25,90.0,8858934
2025-02-14 16:01:40.211916,89.84,90.62,89.26,89.36,82436013
2025-02-17 16:01:40.211916,87.29,87.86,86.6,87.19,62217088
2025-02-18 16:01:40.211916,86.14,86.95,85.79,86.72,20545392
2025-02-19 16:01:40.211916,85.57,86.18,85.26,85.61,26699260
2025-02-20 16:01:40.211916,82.66,84.81,81.44,83.08,93439733
2025-02-21 16:01:40.211916,81.97,82.13,81.24,81.81,3926220
2025-02-24 16:01:40.211916,82.24,83.38,80.81,81.92,15091207
2025-02-25 16:01:40.211916,80.7,81.23,79.52,80.25,46831250
2025-02-26 16:01:40.211916,79.55,80.46,79.15,79.58,86332631
2025-02-27 16:01:40.211916,80.75,82.21,80.61,81.13,95924452
2025-02-28 16:01:40.211916,79.27,80.52,78.64,79.75,55538521
2025-03-03 16:01:40.211916,78.36,78.62,78.01,78.09,19917289
2025-03-04 16:01:40.211916,78.64,78.71,78.18,78.26,90341914
2025-03-05 16:01:40.211916,80.47,81.79,80.1,80.25,39361567
2025-03-06 16:01:40.211916,80.63,82.24,80.26,80.98,77963586
2025-03-07 16:01:40.211916,79.5,80.07,78.84,79.75,33078440
2025-03-10 16:01:40.211916,78.31,78.84,77.59,78.53,87507178
2025-03-11 16:01:40.211916,77.07,77.85,76.5,77.65,69066632
2025-03-12 16:01:40.211916,77.25,78.46,76.01,77.06,62644352
2025-03-13 16:01:40.211916,81.32,82.41,81.08,81.38,70061521
2025-03-14 16:01:40.211916,82.14,82.85,80.35,81.56,93921922
2025-03-17 16:01:40.211916,84.45,84.94,83.27,84.86,62040269
2025-03-18 16:01:40.211916,86.36,87.64,85.64,86.43,12174335
2025-03-19 16:01:40.211916,81.24,82.12,80.07,81.75,45964127
2025-03-20 16:01:40.211916,80.7,81.17,80.21,80.85,61118203
2025-03-21 16:01:40.211916,81.06,81.89,79.01,80.74,28361892
2025-03-24 16:01:40.211916,81.07,81.12,80.17,81.05,78650324
2025-03-25 16:01:40.211916,80.79,81.42,80.25,81.18,33053609
2025-03-26 16:01:40.211916,77.59,80.22,77.44,78.17,77688538
2025-03-27 16:01:40.211916,75.08,75.81,74.41,75.21,77386882
2025-03-28 16:01:40.211916,75.22,75.62,74.51,75.14,99795477
2025-03-31 16:01:40.211916,74.79,75.54,74.44,74.49,97117459
2025-04-01 16:01:40.211916,76.34,76.82,75.31,76.62,74952363
2025-04-02 16:01:40.211916,76.35,77.04,75.77,76.64,79141441
2025-04-03 16:01:40.211916,78.8,79.54,77.9,77.97,87342698
2025-04-04 16:01:40.211916,79.1,79.39,78.48,79.11,34043584
2025-04-07 16:01:40.211916,79.38,80.34,77.63,79.0,14543599
2025-04-08 16:01:40.211916,80.45,81.72,80.32,80.96,31713624
2025-04-09 16:01:40.211916,80.28,80.65,80.07,80.15,70873753
2025-04-10 16:01:40.211916,80.37,80.63,79.31,80.07,21260728
2025-04-11 16:01:40.211916,80.23,81.36,79.99,80.21,10475166
2025-04-14 16:01:40.211916,78.06,79.08,77.85,78.74,17533082
2025-04-15 16:01:40.211916,76.42,77.07,75.26,76.77,31684078
2025-04-16 16:01:40.211916,74.77,75.3,74.31,74.63,83669024
2025-04-17 16:01:40.211916,72.36,73.89,72.0,72.94,30488502
2025-04-18 16:01:40.211916,73.66,73.9,72.61,72.74,20307575
2025-04-21 16:01:40.211916,73.67,73.9,72.86,73.25,33232506
2025-04-22 16:01:40.211916,70.72,71.63,70.14,71.26,17331493
2025-04-23 16:01:40.211916,71.45,71.68,70.8,71.36,71786137
2025-04-24 16:01:40.211916,71.0,71.54,70.62,70.97,78667066
2025-04-25 16:01:40.211916,72.85,73.24,71.9,72.46,63753715
2025-04-28 16:01:40.211916,70.77,71.81,70.65,71.67,11496657
2025-04-29 16:01:40.211916,74.3,75.16,73.46,74.23,55372560
2025-04-30 16:01:40.211916,75.06,76.44,73.48,75.51,17574581
2025-05-01 16:01:40.211916,75.14,75.2,74.43,74.97,69161752
2025-05-02 16:01:40.211916,73.69,74.3,72.04,74.09,21229649
2025-05-05 16:01:40.211916,76.09,76.71,73.01,75.57,83560304
2025-05-06 16:01:40.211916,75.15,75.84,75.0,75.03,95593901
2025-05-07 16:01:40.211916,74.44,75.66,73.45,75.11,50493894
2025-05-08 16:01:40.211916,73.34,74.85,72.78,74.29,95864541
2025-05-09 16:01:40.211916,73.58,74.45,72.52,73.4,73079512
2025-05-12 16:01:40.211916,71.21,71.62,70.8,71.46,10461794
2025-05-13 16:01:40.211916,73.88,74.89,73.46,73.67,55687057
2025-05-14 16:01:40.211916,72.81,73.34,72.13,73.05,28081592
2025-05-15 16:01:40.211916,73.72,73.79,72.91,73.28,24539101
2025-05-16 16:01:40.211916,74.47,75.11,73.97,74.1,74898253
2025-05-19 16:01:40.211916,76.53,76.91,75.96,76.36,60151905
2025-05-20 16:01:40.211916,75.11,75.69,74.08,75.45,70848582
2025-05-21 16:01:40.211916,71.52,71.85,71.36,71.73,30965196
2025-05-22 16:01:40.211916,71.8,72.91,71.76,71.89,16968995
2025-05-23 16:01:40.211916,72.32,73.37,72.3,72.7,30559207
2025-05-26 16:01:40.211916,72.09,72.43,71.67,71.86,57158708
2025-05-27 16:01:40.211916,72.63,73.04,72.29,72.75,30055777
2025-05-28 16:01:40.211916,72.7,73.67,72.02,72.76,86045516
2025-05-29 16:01:40.211916,72.03,72.77,71.75,72.22,6255161
2025-05-30 16:01:40.211916,74.37,74.44,73.75,74.38,59181891
2025-06-02 16:01:40.211916,73.94,74.38,73.75,73.87,34830796
2025-06-03 16:01:40.211916,76.43,77.08,76.4,76.64,85787307
2025-06-04 16:01:40.211916,76.62,77.2,76.13,76.71,12615372
2025-06-05 16:01:40.211916,75.16,77.24,74.98,75.34,20061462
2025-06-06 16:01:40.211916,72.09,72.52,71.53,72.25,2582428
2025-06-09 16:01:40.211916,74.2,74.33,73.37,74.19,18862176
2025-06-10 16:01:40.211916,74.82,76.09,74.04,75.79,96963670
2025-06-11 16:01:40.211916,77.69,78.69,76.82,77.15,44535007
2025-06-12 16:01:40.211916,79.69,80.5,78.27,79.38,32657398
2025-06-13 16:01:40.211916,82.68,82.96,80.44,82.61,17245250
2025-06-16 16:01:40.211916,79.15,80.27,78.68,78.82,49616331
2025-06-17 16:01:40.211916,75.31,76.36,74.66,75.82,35191483
2025-06-18 16:01:40.211916,74.71,75.86,74.65,75.37,91457283
2025-06-19 16:01:40.211916,76.31,77.21,76.14,77.03,53603424
2025-06-20 16:01:40.211916,77.71,78.03,77.1,77.54,36509279
2025-06-23 16:01:40.211916,78.12,78.46,77.42,78.06,64139763
2025-06-24 16:01:40.211916,77.46,78.25,76.85,77.32,54602580
2025-06-25 16:01:40.211916,76.26,77.96,74.97,75.91,11241282
2025-06-26 16:01:40.211916,74.86,76.5,74.51,75.76,54624692
2025-06-27 16:01:40.211916,74.9,76.12,73.65,75.35,2791206
2025-06-30 16:01:40.211916,74.38,76.28,73.62,74.63,68539236
2025-07-01 16:01:40.211916,75.94,76.6,74.96,75.69,99426658
2025-07-02 16:01:40.211916,75.75,76.49,75.39,75.69,83608672
2025-07-03 16:01:40.211916,77.46,78.18,74.74,76.45,8699637
2025-07-04 16:01:40.211916,75.86,76.75,75.64,76.28,30011714
2025-07-07 16:01:40.211916,77.66,78.49,76.93,77.46,59092177
2025-07-08 16:01:40.211916,75.97,76.84,74.36,75.61,87354562
