date,open,high,low,close,volume
2024-10-24 16:01:40.377848,59.13,59.91,58.93,59.2,59538031
2024-10-25 16:01:40.377848,59.68,59.79,59.37,59.58,69063762
2024-10-28 16:01:40.377848,61.17,62.25,58.95,61.42,25229726
2024-10-29 16:01:40.377848,61.71,62.59,61.34,61.82,63329074
2024-10-30 16:01:40.377848,59.99,60.29,59.19,59.82,99668449
2024-10-31 16:01:40.377848,60.27,60.57,59.9,60.53,70442657
2024-11-01 16:01:40.377848,60.57,61.19,59.91,60.73,32257647
2024-11-04 16:01:40.377848,63.73,64.76,63.18,63.34,69185507
2024-11-05 16:01:40.377848,65.94,66.91,65.3,65.46,85835037
2024-11-06 16:01:40.377848,67.01,68.11,65.61,66.73,79823928
2024-11-07 16:01:40.377848,63.44,64.34,63.1,63.41,22808045
2024-11-08 16:01:40.377848,61.86,62.59,61.8,62.23,33009044
2024-11-11 16:01:40.377848,60.51,60.93,59.9,60.9,48433342
2024-11-12 16:01:40.377848,62.41,62.7,61.91,62.59,6292981
2024-11-13 16:01:40.377848,61.58,63.37,61.52,61.91,78224294
2024-11-14 16:01:40.377848,63.97,64.59,62.92,64.26,93445627
2024-11-15 16:01:40.377848,63.09,63.61,62.58,62.89,66012520
2024-11-18 16:01:40.377848,63.45,64.2,62.68,63.83,61714130
2024-11-19 16:01:40.377848,62.18,62.56,61.58,61.94,98103731
2024-11-20 16:01:40.377848,64.54,64.66,64.04,64.64,46955621
2024-11-21 16:01:40.377848,66.26,67.41,65.23,65.84,41291679
2024-11-22 16:01:40.377848,66.32,66.42,64.27,65.4,70592723
2024-11-25 16:01:40.377848,65.71,66.11,65.03,65.68,41537055
2024-11-26 16:01:40.377848,65.34,65.75,65.2,65.46,93924536
2024-11-27 16:01:40.377848,66.36,67.54,65.51,66.13,32735593
2024-11-28 16:01:40.377848,66.2,66.79,65.25,66.14,54726690
2024-11-29 16:01:40.377848,67.39,68.5,66.79,67.54,83626328
2024-12-02 16:01:40.377848,67.32,67.47,66.47,66.73,64915064
2024-12-03 16:01:40.377848,64.52,64.58,64.0,64.41,57301916
2024-12-04 16:01:40.377848,64.57,64.72,63.59,64.57,45863896
2024-12-05 16:01:40.377848,64.84,64.9,64.31,64.84,26605024
2024-12-06 16:01:40.377848,66.56,67.8,65.79,66.48,23237799
2024-12-09 16:01:40.377848,67.15,68.51,66.94,67.23,60975660
2024-12-10 16:01:40.377848,69.17,69.97,68.99,69.06,45013431
2024-12-11 16:01:40.377848,69.0,70.27,68.74,69.34,81873386
2024-12-12 16:01:40.377848,67.79,68.73,67.48,68.31,39025523
2024-12-13 16:01:40.377848,68.03,68.31,67.53,67.72,30402851
2024-12-16 16:01:40.377848,65.34,65.8,64.74,65.16,29934199
2024-12-17 16:01:40.377848,64.17,64.56,64.0,64.41,86980899
2024-12-18 16:01:40.377848,64.03,65.55,63.14,64.78,54194855
2024-12-19 16:01:40.377848,68.1,68.82,67.41,68.17,58599547
2024-12-20 16:01:40.377848,67.8,68.86,67.55,67.93,46933486
2024-12-23 16:01:40.377848,68.33,68.65,67.8,68.32,37977254
2024-12-24 16:01:40.377848,65.17,65.34,63.87,64.64,87091799
2024-12-25 16:01:40.377848,64.89,65.1,63.88,64.97,39606262
2024-12-26 16:01:40.377848,64.95,66.42,63.92,65.52,91531488
2024-12-27 16:01:40.377848,66.52,66.82,66.21,66.38,94807847
2024-12-30 16:01:40.377848,67.01,67.28,66.85,67.02,62280641
2024-12-31 16:01:40.377848,64.95,65.2,64.47,65.19,11150296
2025-01-01 16:01:40.377848,65.01,65.48,63.3,64.47,40354872
2025-01-02 16:01:40.377848,64.93,65.14,64.2,64.7,55513139
2025-01-03 16:01:40.377848,64.36,64.64,64.01,64.35,46165442
2025-01-06 16:01:40.377848,64.3,64.51,63.6,63.83,24937328
2025-01-07 16:01:40.377848,61.77,62.18,61.06,61.55,6983427
2025-01-08 16:01:40.377848,62.95,63.76,62.16,62.25,49848547
2025-01-09 16:01:40.377848,60.11,60.43,58.64,60.29,48728045
2025-01-10 16:01:40.377848,60.76,61.64,60.47,61.09,43836898
2025-01-13 16:01:40.377848,59.41,59.81,59.33,59.51,52576023
2025-01-14 16:01:40.377848,58.47,58.84,57.8,58.82,54159777
2025-01-15 16:01:40.377848,58.75,59.69,58.23,59.23,86483003
2025-01-16 16:01:40.377848,58.05,58.3,57.53,58.2,36817556
2025-01-17 16:01:40.377848,58.33,58.67,57.87,57.93,25222085
2025-01-20 16:01:40.377848,58.54,59.07,57.61,58.08,29719908
2025-01-21 16:01:40.377848,55.05,55.88,54.88,55.1,63645077
2025-01-22 16:01:40.377848,57.33,58.23,56.99,57.93,23251525
2025-01-23 16:01:40.377848,58.21,58.82,57.12,58.07,94131965
