date,open,high,low,close,volume
2024-10-24 16:01:40.254702,413.9,416.97,411.69,412.05,29230260
2024-10-25 16:01:40.254702,406.97,407.83,404.17,404.58,66489482
2024-10-28 16:01:40.254702,408.17,411.75,402.21,409.35,64761934
2024-10-29 16:01:40.254702,422.24,423.18,420.11,420.66,30430648
2024-10-30 16:01:40.254702,423.68,428.63,414.64,419.69,19889095
2024-10-31 16:01:40.254702,419.13,422.77,418.89,420.43,77698524
2024-11-01 16:01:40.254702,422.29,423.14,411.44,421.44,61865018
2024-11-04 16:01:40.254702,417.6,424.51,413.69,416.61,19055453
2024-11-05 16:01:40.254702,418.76,422.42,414.32,419.08,89730456
2024-11-06 16:01:40.254702,414.57,422.06,414.3,416.4,65801602
2024-11-07 16:01:40.254702,420.35,425.65,418.13,422.21,61223473
2024-11-08 16:01:40.254702,421.28,431.77,416.23,421.71,81235482
2024-11-11 16:01:40.254702,406.59,412.1,405.04,408.27,94253271
2024-11-12 16:01:40.254702,409.86,416.75,409.63,412.76,99491159
2024-11-13 16:01:40.254702,411.4,415.34,411.01,413.97,49656487
2024-11-14 16:01:40.254702,408.7,410.85,405.98,409.78,84490946
2024-11-15 16:01:40.254702,409.08,413.78,409.04,409.45,25191544
2024-11-18 16:01:40.254702,399.89,404.05,394.72,401.07,37863765
2024-11-19 16:01:40.254702,390.01,392.64,388.4,391.78,36787382
2024-11-20 16:01:40.254702,390.39,392.7,384.73,388.46,71994186
2024-11-21 16:01:40.254702,388.97,392.51,388.96,391.11,67709585
2024-11-22 16:01:40.254702,394.75,396.53,393.65,394.71,38094794
2024-11-25 16:01:40.254702,387.2,387.98,379.44,384.91,14373546
2024-11-26 16:01:40.254702,385.15,388.07,384.54,384.88,12535976
2024-11-27 16:01:40.254702,379.98,380.31,375.51,375.75,83380213
2024-11-28 16:01:40.254702,377.35,378.94,374.01,376.42,66996791
2024-11-29 16:01:40.254702,374.44,375.67,370.87,374.9,95858966
2024-12-02 16:01:40.254702,375.37,383.26,371.74,376.26,1173576
2024-12-03 16:01:40.254702,371.68,374.89,369.22,370.39,12918867
2024-12-04 16:01:40.254702,382.12,390.99,379.37,380.97,70759597
2024-12-05 16:01:40.254702,398.62,402.56,392.44,397.62,62021934
2024-12-06 16:01:40.254702,394.16,396.16,390.08,395.49,55348552
2024-12-09 16:01:40.254702,388.64,391.8,387.21,389.21,36842748
2024-12-10 16:01:40.254702,377.23,380.12,373.12,379.88,89785806
2024-12-11 16:01:40.254702,369.11,374.3,366.17,369.29,55460988
