date,open,high,low,close,volume
2024-10-24 16:01:40.446784,137.48,138.03,136.6,137.07,35364060
2024-10-25 16:01:40.446784,139.3,139.84,137.62,137.99,90409656
2024-10-28 16:01:40.446784,133.81,136.07,132.82,134.75,77046065
2024-10-29 16:01:40.446784,134.24,135.31,132.19,133.94,73116737
2024-10-30 16:01:40.446784,136.0,137.1,134.7,136.61,81361313
2024-10-31 16:01:40.446784,136.72,138.58,135.74,136.79,7262935
2024-11-01 16:01:40.446784,134.86,136.75,132.01,135.25,29888019
2024-11-04 16:01:40.446784,138.86,141.04,137.61,138.52,16100112
2024-11-05 16:01:40.446784,135.74,136.13,133.58,135.69,37012284
2024-11-06 16:01:40.446784,134.9,135.31,133.15,134.07,40127299
2024-11-07 16:01:40.446784,135.26,137.41,134.15,134.57,57246565
2024-11-08 16:01:40.446784,137.39,138.49,134.78,135.94,85054418
2024-11-11 16:01:40.446784,133.17,134.41,132.05,132.63,47330836
2024-11-12 16:01:40.446784,134.68,138.92,133.8,135.21,52852812
2024-11-13 16:01:40.446784,133.24,133.61,132.08,132.17,24903928
2024-11-14 16:01:40.446784,128.91,131.01,127.73,129.67,93801585
2024-11-15 16:01:40.446784,126.7,128.6,124.2,125.66,96779013
2024-11-18 16:01:40.446784,125.17,125.47,123.38,123.99,10045279
2024-11-19 16:01:40.446784,121.96,123.36,120.7,121.14,62295324
2024-11-20 16:01:40.446784,121.42,122.54,120.79,120.96,93181225
2024-11-21 16:01:40.446784,120.08,121.78,118.26,120.21,93031050
2024-11-22 16:01:40.446784,120.99,121.35,118.12,119.91,1572726
2024-11-25 16:01:40.446784,120.72,121.0,119.45,120.8,62677216
2024-11-26 16:01:40.446784,119.92,123.61,119.75,120.49,31603802
2024-11-27 16:01:40.446784,117.9,118.28,117.04,117.62,62026006
2024-11-28 16:01:40.446784,115.13,116.55,114.36,114.99,16962811
2024-11-29 16:01:40.446784,111.38,112.58,109.98,112.54,31745464
2024-12-02 16:01:40.446784,108.58,109.34,108.32,108.78,3384091
2024-12-03 16:01:40.446784,106.08,106.68,105.07,106.58,80026023
2024-12-04 16:01:40.446784,106.75,107.05,106.25,106.54,32449941
2024-12-05 16:01:40.446784,105.73,108.09,105.46,106.55,85700652
2024-12-06 16:01:40.446784,106.76,107.38,106.33,106.9,82062665
2024-12-09 16:01:40.446784,108.82,110.39,108.03,109.02,85280257
2024-12-10 16:01:40.446784,107.07,109.44,105.49,107.89,97151115
2024-12-11 16:01:40.446784,106.48,107.04,104.55,105.89,5150213
