date,open,high,low,close,volume
2024-10-24 16:01:40.361668,63.73,63.91,62.67,63.42,61169793
2024-10-25 16:01:40.361668,66.89,67.3,66.27,66.42,79565065
2024-10-28 16:01:40.361668,64.77,65.96,63.21,63.97,76017630
2024-10-29 16:01:40.361668,63.2,63.64,62.27,62.95,42532265
2024-10-30 16:01:40.361668,63.79,64.69,63.49,63.88,86342831
2024-10-31 16:01:40.361668,63.78,64.18,63.51,63.55,87048220
2024-11-01 16:01:40.361668,64.1,65.04,63.18,64.62,99192112
2024-11-04 16:01:40.361668,64.12,64.94,63.4,63.94,35043575
2024-11-05 16:01:40.361668,63.92,64.06,63.38,63.87,55043320
2024-11-06 16:01:40.361668,64.06,65.87,63.82,64.57,73404142
2024-11-07 16:01:40.361668,64.66,65.02,64.65,64.82,81611555
2024-11-08 16:01:40.361668,64.11,64.66,63.45,63.66,5377042
2024-11-11 16:01:40.361668,62.37,63.91,61.82,62.67,65689235
2024-11-12 16:01:40.361668,61.84,62.78,61.7,61.85,16119266
2024-11-13 16:01:40.361668,60.09,60.68,59.9,60.57,50786473
2024-11-14 16:01:40.361668,61.53,61.79,61.31,61.49,58569324
2024-11-15 16:01:40.361668,62.01,62.52,61.93,62.16,94895794
2024-11-18 16:01:40.361668,59.96,62.12,59.36,60.95,86450752
2024-11-19 16:01:40.361668,62.36,62.54,61.26,62.46,95972971
2024-11-20 16:01:40.361668,64.26,65.22,63.97,64.03,40321567
2024-11-21 16:01:40.361668,66.09,67.46,65.88,66.42,34713557
2024-11-22 16:01:40.361668,71.07,71.79,70.11,71.18,49987887
2024-11-25 16:01:40.361668,68.82,69.11,67.91,68.61,67840280
2024-11-26 16:01:40.361668,66.31,67.68,66.3,66.64,68368521
2024-11-27 16:01:40.361668,66.48,67.44,66.43,66.81,40713689
2024-11-28 16:01:40.361668,66.94,68.04,65.95,67.14,15185801
2024-11-29 16:01:40.361668,68.04,68.1,67.36,67.95,7968989
2024-12-02 16:01:40.361668,67.74,68.33,66.96,67.5,39593085
2024-12-03 16:01:40.361668,68.52,68.54,68.42,68.47,96315104
2024-12-04 16:01:40.361668,65.71,66.32,65.06,65.88,72635477
2024-12-05 16:01:40.361668,64.72,64.97,64.02,64.48,10006186
2024-12-06 16:01:40.361668,65.03,65.35,64.18,64.9,65333480
2024-12-09 16:01:40.361668,66.46,67.33,65.56,66.52,24194198
2024-12-10 16:01:40.361668,65.96,67.43,64.83,66.6,24714897
2024-12-11 16:01:40.361668,64.59,65.11,64.06,64.34,37642917
2024-12-12 16:01:40.361668,65.99,66.18,65.87,65.98,28007883
2024-12-13 16:01:40.361668,66.23,67.1,65.79,66.25,84322930
2024-12-16 16:01:40.361668,65.37,65.49,64.63,64.96,24689548
2024-12-17 16:01:40.361668,63.72,63.93,63.24,63.66,89439172
2024-12-18 16:01:40.361668,61.95,63.17,61.47,62.67,48833059
2024-12-19 16:01:40.361668,61.77,61.9,60.95,61.54,66063124
2024-12-20 16:01:40.361668,59.75,60.09,59.14,59.41,99336222
2024-12-23 16:01:40.361668,59.9,61.38,59.74,60.05,23457039
2024-12-24 16:01:40.361668,58.72,58.72,58.35,58.45,71436838
2024-12-25 16:01:40.361668,58.78,59.44,57.35,58.1,3091739
2024-12-26 16:01:40.361668,58.26,58.58,56.66,57.96,20084507
2024-12-27 16:01:40.361668,57.05,58.34,55.64,57.36,2543631
2024-12-30 16:01:40.361668,58.29,59.07,57.81,58.21,32262832
2024-12-31 16:01:40.361668,58.85,59.29,57.81,58.59,2980102
2025-01-01 16:01:40.361668,58.46,59.02,58.06,58.13,58142109
2025-01-02 16:01:40.361668,56.77,58.15,55.98,56.83,52198922
2025-01-03 16:01:40.361668,55.44,55.76,54.35,55.21,20980069
2025-01-06 16:01:40.361668,56.38,56.81,55.63,56.31,41773882
2025-01-07 16:01:40.361668,56.7,56.73,55.92,56.43,81177093
2025-01-08 16:01:40.361668,57.43,58.04,56.23,57.54,98860414
2025-01-09 16:01:40.361668,56.3,56.96,55.66,56.12,33673311
2025-01-10 16:01:40.361668,56.89,57.25,56.23,56.69,2572427
2025-01-13 16:01:40.361668,52.56,53.29,52.24,52.9,99572938
2025-01-14 16:01:40.361668,56.22,57.52,55.6,56.27,45183787
2025-01-15 16:01:40.361668,58.06,58.43,57.93,58.1,79307735
2025-01-16 16:01:40.361668,55.88,56.98,54.29,55.99,59122658
2025-01-17 16:01:40.361668,54.77,55.22,54.7,55.12,51416333
2025-01-20 16:01:40.361668,55.01,55.36,54.33,54.57,48546501
2025-01-21 16:01:40.361668,53.93,54.72,53.67,53.73,65045263
2025-01-22 16:01:40.361668,52.93,54.03,52.43,53.16,88852780
2025-01-23 16:01:40.361668,53.33,54.06,52.95,53.48,31121907
2025-01-24 16:01:40.361668,52.88,52.93,52.09,52.37,59728519
2025-01-27 16:01:40.361668,50.52,51.31,50.1,50.74,5774961
2025-01-28 16:01:40.361668,52.69,52.77,52.48,52.62,74872257
2025-01-29 16:01:40.361668,53.84,54.82,52.56,53.79,74247173
2025-01-30 16:01:40.361668,53.75,53.95,53.1,53.44,16796033
2025-01-31 16:01:40.361668,53.18,53.74,52.72,53.05,90720686
2025-02-03 16:01:40.361668,52.32,53.02,52.31,52.58,90784667
2025-02-04 16:01:40.361668,52.48,53.18,52.15,52.39,83297683
2025-02-05 16:01:40.361668,52.1,52.94,51.31,52.06,74710172
2025-02-06 16:01:40.361668,51.03,51.4,50.54,51.16,99290350
2025-02-07 16:01:40.361668,50.02,50.77,49.26,50.2,6962201
2025-02-10 16:01:40.361668,49.49,49.77,49.03,49.44,18618166
2025-02-11 16:01:40.361668,48.58,49.33,47.69,48.68,82182644
2025-02-12 16:01:40.361668,49.36,50.73,49.07,49.32,88549691
2025-02-13 16:01:40.361668,50.27,50.33,49.55,50.21,11251325
2025-02-14 16:01:40.361668,49.14,50.61,48.57,49.03,52466482
2025-02-17 16:01:40.361668,49.65,50.44,49.64,49.88,47292938
2025-02-18 16:01:40.361668,51.46,51.55,51.26,51.53,15633070
2025-02-19 16:01:40.361668,51.97,52.45,50.85,52.21,81615852
2025-02-20 16:01:40.361668,51.54,51.82,51.11,51.78,5692967
2025-02-21 16:01:40.361668,50.44,50.83,49.55,50.25,38284641
2025-02-24 16:01:40.361668,48.66,49.23,48.26,48.57,90792479
2025-02-25 16:01:40.361668,49.41,49.42,48.99,49.07,20376411
2025-02-26 16:01:40.361668,49.33,49.96,48.88,49.69,73706769
2025-02-27 16:01:40.361668,51.4,51.54,51.08,51.49,31244746
2025-02-28 16:01:40.361668,50.27,50.71,50.23,50.38,39311448
2025-03-03 16:01:40.361668,49.25,49.28,48.51,48.86,75342117
2025-03-04 16:01:40.361668,48.16,48.68,47.98,48.34,89052174
2025-03-05 16:01:40.361668,45.94,46.4,45.5,46.04,90743532
2025-03-06 16:01:40.361668,45.01,45.82,44.38,44.73,25637825
2025-03-07 16:01:40.361668,47.92,47.94,47.38,47.53,13881048
2025-03-10 16:01:40.361668,47.49,48.93,47.41,48.0,15979028
2025-03-11 16:01:40.361668,47.13,47.8,46.23,47.05,54797746
2025-03-12 16:01:40.361668,46.14,46.48,45.76,46.36,75258219
2025-03-13 16:01:40.361668,48.75,49.52,48.36,48.47,82234421
2025-03-14 16:01:40.361668,46.93,47.29,46.54,46.74,88682926
2025-03-17 16:01:40.361668,47.14,48.24,46.4,47.29,76919302
2025-03-18 16:01:40.361668,44.32,44.76,44.11,44.48,46752391
2025-03-19 16:01:40.361668,45.73,47.28,45.47,45.84,39302261
2025-03-20 16:01:40.361668,45.74,45.78,45.05,45.69,79072363
2025-03-21 16:01:40.361668,45.03,45.56,44.92,45.33,68736992
2025-03-24 16:01:40.361668,46.01,46.22,45.06,46.15,9553191
2025-03-25 16:01:40.361668,46.61,46.81,45.08,46.45,79106681
2025-03-26 16:01:40.361668,46.63,46.86,45.5,46.72,22336491
2025-03-27 16:01:40.361668,46.8,47.37,45.93,46.78,41955211
2025-03-28 16:01:40.361668,47.18,47.75,46.68,47.43,33238482
2025-03-31 16:01:40.361668,47.39,48.05,46.58,47.43,82066985
2025-04-01 16:01:40.361668,47.85,48.41,47.78,47.86,47607063
2025-04-02 16:01:40.361668,47.71,47.8,47.63,47.63,91950215
2025-04-03 16:01:40.361668,46.13,46.5,45.08,46.01,76638677
2025-04-04 16:01:40.361668,47.21,47.63,47.11,47.38,10680537
2025-04-07 16:01:40.361668,48.37,48.46,47.82,48.02,25057863
2025-04-08 16:01:40.361668,49.3,49.87,49.08,49.67,31254633
2025-04-09 16:01:40.361668,50.26,50.55,50.07,50.42,80920410
2025-04-10 16:01:40.361668,47.58,48.25,47.56,47.99,9888045
2025-04-11 16:01:40.361668,47.68,47.93,47.36,47.53,96837420
2025-04-14 16:01:40.361668,47.78,47.94,47.58,47.86,35370517
2025-04-15 16:01:40.361668,47.0,47.91,46.8,47.12,85313603
2025-04-16 16:01:40.361668,45.59,45.82,45.1,45.67,29611502
2025-04-17 16:01:40.361668,45.82,46.28,45.51,46.16,18284520
2025-04-18 16:01:40.361668,46.2,46.89,46.17,46.45,78266078
2025-04-21 16:01:40.361668,46.64,46.68,45.75,46.28,59452417
2025-04-22 16:01:40.361668,47.08,47.66,46.86,46.94,49040028
2025-04-23 16:01:40.361668,47.98,48.12,47.15,47.88,67739458
2025-04-24 16:01:40.361668,48.03,48.17,47.62,47.79,16163988
2025-04-25 16:01:40.361668,46.53,46.54,46.28,46.53,44401781
2025-04-28 16:01:40.361668,46.93,47.47,46.07,46.92,68649122
2025-04-29 16:01:40.361668,46.76,47.38,46.58,47.08,77709619
