date,open,high,low,close,volume
2024-10-24 16:01:40.298407,28.35,28.53,28.15,28.34,67440853
2024-10-25 16:01:40.298407,28.65,29.24,28.47,28.57,16414688
2024-10-28 16:01:40.298407,29.53,29.88,29.34,29.34,94567071
2024-10-29 16:01:40.298407,28.96,29.2,28.93,29.08,34613563
2024-10-30 16:01:40.298407,28.84,28.91,28.48,28.63,47226570
2024-10-31 16:01:40.298407,29.11,29.13,28.73,28.98,4632698
2024-11-01 16:01:40.298407,27.96,28.79,27.69,28.01,99833187
2024-11-04 16:01:40.298407,29.15,29.2,29.09,29.1,51800209
2024-11-05 16:01:40.298407,28.68,28.74,28.6,28.69,97976969
2024-11-06 16:01:40.298407,28.42,28.8,28.18,28.52,23466529
2024-11-07 16:01:40.298407,27.94,27.95,27.78,27.87,60768737
2024-11-08 16:01:40.298407,28.01,28.38,27.62,28.1,97401973
2024-11-11 16:01:40.298407,29.14,29.23,28.97,29.2,29911253
2024-11-12 16:01:40.298407,29.16,29.33,28.71,29.11,43096150
2024-11-13 16:01:40.298407,29.69,29.76,29.02,29.52,88875185
2024-11-14 16:01:40.298407,29.91,30.41,29.72,30.06,50125855
2024-11-15 16:01:40.298407,31.29,31.84,30.93,31.38,1537986
2024-11-18 16:01:40.298407,31.19,31.63,30.6,31.37,48964840
2024-11-19 16:01:40.298407,31.88,32.29,31.76,31.98,33384662
2024-11-20 16:01:40.298407,31.0,31.19,30.42,31.03,95210136
2024-11-21 16:01:40.298407,29.99,30.1,29.3,30.08,10483313
2024-11-22 16:01:40.298407,30.08,30.33,30.01,30.17,50986807
2024-11-25 16:01:40.298407,30.22,30.73,30.16,30.36,19259058
2024-11-26 16:01:40.298407,31.05,31.12,30.78,30.9,75554833
2024-11-27 16:01:40.298407,31.65,31.65,31.41,31.63,27963549
2024-11-28 16:01:40.298407,30.79,30.94,30.0,30.53,43838010
2024-11-29 16:01:40.298407,30.56,30.88,29.95,30.64,87764767
2024-12-02 16:01:40.298407,31.51,31.92,30.85,31.38,67722187
2024-12-03 16:01:40.298407,32.9,33.03,32.46,32.68,89339425
2024-12-04 16:01:40.298407,31.82,32.34,31.79,31.97,18911827
2024-12-05 16:01:40.298407,32.79,32.95,31.89,32.43,13208231
2024-12-06 16:01:40.298407,30.89,31.52,30.36,31.04,31566432
2024-12-09 16:01:40.298407,30.19,30.61,29.84,30.07,50802139
2024-12-10 16:01:40.298407,29.64,29.94,29.63,29.82,12859403
2024-12-11 16:01:40.298407,29.81,29.95,29.41,29.79,71713742
2024-12-12 16:01:40.298407,29.01,29.3,28.81,28.95,60338733
2024-12-13 16:01:40.298407,29.29,29.37,29.24,29.28,22796017
2024-12-16 16:01:40.298407,28.72,29.09,28.23,28.43,53183446
2024-12-17 16:01:40.298407,28.3,28.4,28.17,28.38,48814783
2024-12-18 16:01:40.298407,28.93,29.26,28.7,28.93,61861600
2024-12-19 16:01:40.298407,29.93,30.0,29.52,29.91,81113773
2024-12-20 16:01:40.298407,30.98,31.29,30.34,31.1,34247264
2024-12-23 16:01:40.298407,30.7,31.02,30.54,30.6,55270520
2024-12-24 16:01:40.298407,31.38,31.43,30.55,30.89,89720423
2024-12-25 16:01:40.298407,31.62,31.84,31.62,31.67,70844116
2024-12-26 16:01:40.298407,33.25,33.71,32.91,33.16,20991105
