date,open,high,low,close,volume
2024-10-24 16:01:40.544529,334.29,335.25,327.57,331.39,87698459
2024-10-25 16:01:40.544529,334.61,338.62,328.55,332.18,51134961
2024-10-28 16:01:40.544529,328.27,331.4,327.12,328.64,79281938
2024-10-29 16:01:40.544529,335.11,341.84,332.52,337.28,10382346
2024-10-30 16:01:40.544529,346.15,348.17,342.25,346.73,61489843
2024-10-31 16:01:40.544529,351.59,355.23,347.34,349.42,31962774
2024-11-01 16:01:40.544529,353.81,354.95,350.67,354.85,88975799
2024-11-04 16:01:40.544529,357.43,359.59,352.93,357.46,59763833
2024-11-05 16:01:40.544529,370.13,375.02,363.73,369.74,32171251
2024-11-06 16:01:40.544529,384.2,386.83,381.57,382.32,45097625
2024-11-07 16:01:40.544529,379.97,384.22,379.39,380.03,79529708
2024-11-08 16:01:40.544529,378.79,379.49,375.43,377.53,93422968
2024-11-11 16:01:40.544529,373.55,374.54,372.8,374.43,44012418
2024-11-12 16:01:40.544529,372.25,374.95,366.82,373.5,80470447
2024-11-13 16:01:40.544529,369.56,375.09,366.21,369.99,83043784
2024-11-14 16:01:40.544529,381.58,383.3,381.55,382.45,54073595
2024-11-15 16:01:40.544529,388.01,388.05,384.05,386.4,58217546
2024-11-18 16:01:40.544529,392.42,395.1,381.39,389.09,75017232
2024-11-19 16:01:40.544529,390.41,392.57,386.51,388.68,25433925
2024-11-20 16:01:40.544529,389.71,389.84,380.89,388.83,44176123
2024-11-21 16:01:40.544529,378.02,383.74,370.5,375.07,18860772
2024-11-22 16:01:40.544529,379.75,382.4,377.19,378.54,37492470
2024-11-25 16:01:40.544529,370.43,374.43,369.05,371.3,38826301
2024-11-26 16:01:40.544529,359.73,365.64,358.09,358.84,86544046
2024-11-27 16:01:40.544529,357.55,362.91,351.89,358.34,70210008
2024-11-28 16:01:40.544529,358.86,359.13,356.39,357.74,29484799
2024-11-29 16:01:40.544529,354.97,359.49,347.86,359.12,97548798
2024-12-02 16:01:40.544529,374.28,377.0,371.32,374.92,57445198
2024-12-03 16:01:40.544529,367.17,369.47,365.49,368.97,57092661
2024-12-04 16:01:40.544529,370.31,376.29,368.88,371.14,52491575
2024-12-05 16:01:40.544529,376.14,377.1,371.04,373.93,8992434
2024-12-06 16:01:40.544529,378.58,379.73,376.23,377.97,83914997
2024-12-09 16:01:40.544529,372.23,380.21,369.56,377.37,56216335
2024-12-10 16:01:40.544529,373.28,375.53,365.13,368.46,98520020
2024-12-11 16:01:40.544529,352.83,357.75,350.03,354.53,6517223
2024-12-12 16:01:40.544529,347.03,357.48,343.09,350.69,32101606
2024-12-13 16:01:40.544529,345.81,350.16,342.72,345.79,71085120
2024-12-16 16:01:40.544529,350.55,355.52,343.3,349.4,89617646
2024-12-17 16:01:40.544529,358.34,360.87,355.24,357.13,14791966
2024-12-18 16:01:40.544529,354.51,361.63,353.68,354.5,23544566
2024-12-19 16:01:40.544529,359.71,362.4,358.71,360.15,54188938
2024-12-20 16:01:40.544529,360.49,362.28,357.97,359.32,49895403
