date,open,high,low,close,volume
2024-10-24 16:01:40.380084,84.49,85.28,83.95,85.05,54509585
2024-10-25 16:01:40.380084,85.78,87.44,85.18,86.28,72525232
2024-10-28 16:01:40.380084,84.17,84.61,83.27,84.44,24821308
2024-10-29 16:01:40.380084,88.92,89.34,88.48,89.0,8529357
2024-10-30 16:01:40.380084,85.57,85.72,85.11,85.3,26094721
2024-10-31 16:01:40.380084,85.55,85.9,84.88,85.54,5965488
2024-11-01 16:01:40.380084,84.33,84.53,83.77,84.07,74537068
2024-11-04 16:01:40.380084,86.55,87.63,84.8,85.98,48632324
2024-11-05 16:01:40.380084,84.4,85.41,84.18,84.62,36657366
2024-11-06 16:01:40.380084,84.6,84.74,83.64,83.98,44163218
2024-11-07 16:01:40.380084,82.64,85.22,82.62,83.8,24343248
2024-11-08 16:01:40.380084,83.63,84.69,82.15,83.49,7586068
2024-11-11 16:01:40.380084,82.97,83.63,82.75,82.78,60428352
2024-11-12 16:01:40.380084,85.27,85.62,84.95,85.02,93581375
2024-11-13 16:01:40.380084,83.44,83.94,82.65,82.94,99134888
2024-11-14 16:01:40.380084,85.15,85.38,84.34,84.79,78656256
2024-11-15 16:01:40.380084,83.76,83.83,83.17,83.4,12146181
2024-11-18 16:01:40.380084,79.27,80.71,78.79,80.11,79200201
2024-11-19 16:01:40.380084,80.76,81.41,80.37,81.03,87877292
2024-11-20 16:01:40.380084,79.46,79.94,79.2,79.57,26268140
2024-11-21 16:01:40.380084,77.88,77.96,76.23,77.59,71419507
2024-11-22 16:01:40.380084,79.34,80.09,78.4,78.99,27160243
2024-11-25 16:01:40.380084,75.8,77.35,75.47,76.13,47683099
2024-11-26 16:01:40.380084,75.19,76.23,74.84,75.03,4794962
2024-11-27 16:01:40.380084,75.81,77.0,75.14,76.19,97183854
2024-11-28 16:01:40.380084,74.63,75.39,74.21,74.39,6581883
2024-11-29 16:01:40.380084,72.61,73.52,71.54,72.28,80829233
2024-12-02 16:01:40.380084,72.82,73.54,72.29,72.38,73793553
2024-12-03 16:01:40.380084,71.02,71.75,70.9,71.46,23717033
2024-12-04 16:01:40.380084,71.43,72.53,71.2,71.72,78135629
2024-12-05 16:01:40.380084,70.06,71.36,69.95,71.02,51808407
2024-12-06 16:01:40.380084,69.7,69.8,69.39,69.41,77024330
2024-12-09 16:01:40.380084,70.67,71.61,69.66,70.2,47876502
2024-12-10 16:01:40.380084,71.2,71.91,70.87,71.56,43410720
2024-12-11 16:01:40.380084,70.19,70.82,69.52,70.48,50986914
