date,open,high,low,close,volume
2024-10-24 16:01:40.537425,30.7,30.97,30.25,30.77,47882814
2024-10-25 16:01:40.537425,30.93,31.28,30.71,31.09,28500969
2024-10-28 16:01:40.537425,32.17,32.63,32.17,32.2,97124644
2024-10-29 16:01:40.537425,32.46,32.75,31.89,32.32,37428473
2024-10-30 16:01:40.537425,32.28,32.44,31.53,32.1,14250156
2024-10-31 16:01:40.537425,31.5,32.14,30.65,31.4,39275248
2024-11-01 16:01:40.537425,30.99,31.63,30.56,30.99,31208917
2024-11-04 16:01:40.537425,31.77,32.04,31.75,31.87,15374227
2024-11-05 16:01:40.537425,31.95,32.23,31.93,31.97,42095356
2024-11-06 16:01:40.537425,31.17,31.6,30.78,31.07,9845986
2024-11-07 16:01:40.537425,32.13,32.84,32.08,32.24,43209416
2024-11-08 16:01:40.537425,32.53,32.54,32.08,32.36,10800656
2024-11-11 16:01:40.537425,32.44,33.37,32.31,32.59,67533223
2024-11-12 16:01:40.537425,33.04,33.49,32.76,32.85,21704769
2024-11-13 16:01:40.537425,32.54,32.62,32.14,32.52,45487186
2024-11-14 16:01:40.537425,33.92,34.09,33.7,33.73,53702484
2024-11-15 16:01:40.537425,33.99,34.42,33.99,34.23,93588064
2024-11-18 16:01:40.537425,35.94,36.15,34.74,35.51,32736757
2024-11-19 16:01:40.537425,34.94,35.22,34.82,34.89,29756781
2024-11-20 16:01:40.537425,37.37,38.2,36.96,37.04,55626636
2024-11-21 16:01:40.537425,35.79,36.18,35.38,36.12,49138158
2024-11-22 16:01:40.537425,35.87,36.42,35.67,35.82,80814108
2024-11-25 16:01:40.537425,36.26,37.27,36.25,36.36,63489831
2024-11-26 16:01:40.537425,36.48,36.52,36.29,36.38,66493452
2024-11-27 16:01:40.537425,36.93,37.38,36.6,36.79,82076199
2024-11-28 16:01:40.537425,36.88,37.27,36.76,36.96,69736193
2024-11-29 16:01:40.537425,36.53,37.08,36.14,36.95,72951818
2024-12-02 16:01:40.537425,37.59,37.67,37.43,37.5,98833559
2024-12-03 16:01:40.537425,38.01,38.46,38.0,38.02,68652489
2024-12-04 16:01:40.537425,38.52,38.58,38.07,38.16,54235943
2024-12-05 16:01:40.537425,38.99,39.56,38.63,38.88,33930667
2024-12-06 16:01:40.537425,39.79,40.67,39.47,40.06,67815314
2024-12-09 16:01:40.537425,41.1,41.23,40.91,41.19,1546498
2024-12-10 16:01:40.537425,40.81,41.36,40.32,41.19,94234977
2024-12-11 16:01:40.537425,41.68,41.71,41.54,41.6,66647232
2024-12-12 16:01:40.537425,40.37,41.34,39.74,40.15,27238220
2024-12-13 16:01:40.537425,40.35,40.39,40.09,40.23,35280473
2024-12-16 16:01:40.537425,39.95,40.25,39.85,40.21,21217568
2024-12-17 16:01:40.537425,38.82,39.75,38.6,38.96,70269023
2024-12-18 16:01:40.537425,39.86,40.51,39.79,40.09,29720348
2024-12-19 16:01:40.537425,39.83,40.21,39.72,40.0,95851712
2024-12-20 16:01:40.537425,40.67,40.93,40.35,40.62,99196630
2024-12-23 16:01:40.537425,40.27,40.58,39.94,40.15,63493334
2024-12-24 16:01:40.537425,41.15,41.2,40.16,40.89,87973266
2024-12-25 16:01:40.537425,41.41,42.24,41.34,41.72,12565601
2024-12-26 16:01:40.537425,43.27,43.4,42.19,42.74,98391518
2024-12-27 16:01:40.537425,43.95,44.32,43.56,43.63,95527122
2024-12-30 16:01:40.537425,44.83,45.84,44.68,44.91,19967423
2024-12-31 16:01:40.537425,44.3,44.87,44.14,44.2,13696829
2025-01-01 16:01:40.537425,44.5,44.85,44.32,44.73,50419948
2025-01-02 16:01:40.537425,42.92,43.42,42.86,43.32,54274729
2025-01-03 16:01:40.537425,42.78,43.09,41.51,43.05,52362630
2025-01-06 16:01:40.537425,43.54,43.84,42.15,43.7,28064263
2025-01-07 16:01:40.537425,43.05,43.25,42.8,42.91,47768160
2025-01-08 16:01:40.537425,42.28,42.97,41.91,42.21,83957691
2025-01-09 16:01:40.537425,42.52,42.84,42.16,42.66,49994878
2025-01-10 16:01:40.537425,40.83,40.86,40.38,40.69,3943227
2025-01-13 16:01:40.537425,40.05,40.33,39.4,39.75,98010190
2025-01-14 16:01:40.537425,39.7,40.39,39.16,39.52,48438112
2025-01-15 16:01:40.537425,40.6,41.09,40.43,40.86,5459538
2025-01-16 16:01:40.537425,40.29,40.83,40.01,40.3,97598157
2025-01-17 16:01:40.537425,40.49,40.94,40.21,40.57,68387838
2025-01-20 16:01:40.537425,39.71,40.17,39.6,40.0,12981606
2025-01-21 16:01:40.537425,40.56,40.94,40.5,40.75,26335257
2025-01-22 16:01:40.537425,41.33,41.74,40.74,41.37,20854151
2025-01-23 16:01:40.537425,40.67,40.84,40.56,40.75,80351917
2025-01-24 16:01:40.537425,41.16,41.37,40.54,41.31,17347958
2025-01-27 16:01:40.537425,41.88,42.07,41.18,41.83,73017473
2025-01-28 16:01:40.537425,39.48,40.4,39.17,39.74,4079451
2025-01-29 16:01:40.537425,39.72,40.28,39.4,39.41,88478897
2025-01-30 16:01:40.537425,39.09,39.15,38.69,38.99,33750281
2025-01-31 16:01:40.537425,40.62,40.78,40.2,40.64,28924540
2025-02-03 16:01:40.537425,40.89,41.16,40.88,41.11,45055466
2025-02-04 16:01:40.537425,41.0,41.65,40.77,41.35,58315418
2025-02-05 16:01:40.537425,42.03,43.05,41.94,42.38,95972690
2025-02-06 16:01:40.537425,43.28,43.97,43.0,43.12,28737926
2025-02-07 16:01:40.537425,43.56,43.92,43.26,43.53,92293553
2025-02-10 16:01:40.537425,42.0,42.63,40.96,41.81,51211390
2025-02-11 16:01:40.537425,39.77,39.88,39.66,39.84,70555245
2025-02-12 16:01:40.537425,38.36,38.55,37.95,38.51,48581132
2025-02-13 16:01:40.537425,40.3,40.77,39.92,40.08,84168944
2025-02-14 16:01:40.537425,40.71,40.98,40.45,40.81,64943915
2025-02-17 16:01:40.537425,41.86,42.5,41.67,42.2,66932129
2025-02-18 16:01:40.537425,43.02,43.13,42.4,42.93,12482804
2025-02-19 16:01:40.537425,42.85,43.33,42.76,42.91,48872841
2025-02-20 16:01:40.537425,42.8,43.02,42.44,42.65,92013241
2025-02-21 16:01:40.537425,43.26,44.08,42.68,43.4,83624493
2025-02-24 16:01:40.537425,43.67,44.32,43.02,43.67,46221242
2025-02-25 16:01:40.537425,45.24,45.97,45.04,45.53,3866801
2025-02-26 16:01:40.537425,46.24,46.37,46.24,46.29,9944334
2025-02-27 16:01:40.537425,45.61,45.74,45.36,45.42,6871499
2025-02-28 16:01:40.537425,46.27,46.57,45.36,46.53,1340871
2025-03-03 16:01:40.537425,48.0,48.68,48.0,48.08,46650747
2025-03-04 16:01:40.537425,48.23,48.78,47.75,48.08,58106309
2025-03-05 16:01:40.537425,47.59,47.98,47.06,47.39,40305829
2025-03-06 16:01:40.537425,46.51,47.24,46.21,46.62,38846700
2025-03-07 16:01:40.537425,47.71,48.16,46.81,47.25,14176991
2025-03-10 16:01:40.537425,47.49,47.62,47.14,47.2,84089900
2025-03-11 16:01:40.537425,46.85,47.43,46.27,47.07,69453576
2025-03-12 16:01:40.537425,48.23,48.83,47.94,48.21,22885814
2025-03-13 16:01:40.537425,47.98,48.35,47.67,48.27,2334830
2025-03-14 16:01:40.537425,48.94,49.65,48.44,48.98,53661307
2025-03-17 16:01:40.537425,48.19,48.97,47.03,48.0,13929067
2025-03-18 16:01:40.537425,48.09,49.27,46.24,47.91,25763102
