date,open,high,low,close,volume
2024-10-24 16:01:40.189394,347.95,349.72,347.35,348.8,8109332
2024-10-25 16:01:40.189394,351.82,356.76,347.07,349.4,67709374
2024-10-28 16:01:40.189394,350.11,353.92,345.04,349.07,41841625
2024-10-29 16:01:40.189394,360.71,363.55,356.14,361.04,90155524
2024-10-30 16:01:40.189394,366.67,369.64,359.62,366.26,96027757
2024-10-31 16:01:40.189394,358.11,363.3,357.49,361.16,21066765
2024-11-01 16:01:40.189394,349.24,351.89,346.7,348.09,39207230
2024-11-04 16:01:40.189394,347.8,351.07,347.06,348.49,34992894
2024-11-05 16:01:40.189394,349.09,352.09,346.89,350.51,49650210
2024-11-06 16:01:40.189394,352.33,357.76,349.65,350.03,26163589
2024-11-07 16:01:40.189394,364.83,366.24,364.21,364.33,91784912
2024-11-08 16:01:40.189394,362.15,366.92,362.1,363.36,46483351
2024-11-11 16:01:40.189394,344.57,347.43,340.22,345.61,31025279
2024-11-12 16:01:40.189394,343.23,347.0,339.54,342.6,65626844
2024-11-13 16:01:40.189394,346.63,348.09,344.22,346.13,5025651
2024-11-14 16:01:40.189394,349.23,350.07,346.88,349.18,21648829
2024-11-15 16:01:40.189394,345.81,349.18,343.38,347.9,28024511
2024-11-18 16:01:40.189394,343.55,348.44,339.93,345.37,26492604
2024-11-19 16:01:40.189394,329.31,333.53,328.43,330.55,41639662
2024-11-20 16:01:40.189394,330.93,336.15,327.97,331.25,14460580
2024-11-21 16:01:40.189394,328.8,333.22,326.42,328.87,26458738
2024-11-22 16:01:40.189394,330.49,338.62,324.4,330.76,66373441
2024-11-25 16:01:40.189394,334.24,335.62,330.81,334.44,33043668
2024-11-26 16:01:40.189394,347.03,347.47,342.25,343.79,38090471
2024-11-27 16:01:40.189394,338.13,342.33,332.56,336.7,97235076
2024-11-28 16:01:40.189394,329.26,329.48,325.35,327.31,76250091
2024-11-29 16:01:40.189394,324.02,324.03,321.49,323.27,94077154
2024-12-02 16:01:40.189394,318.26,324.3,318.09,318.14,52966290
2024-12-03 16:01:40.189394,313.12,317.36,307.93,312.48,81790680
2024-12-04 16:01:40.189394,323.03,325.58,320.8,322.67,42565214
2024-12-05 16:01:40.189394,325.11,326.47,318.42,323.8,1598240
2024-12-06 16:01:40.189394,336.62,343.75,331.81,338.27,34394430
2024-12-09 16:01:40.189394,339.56,340.82,336.35,338.33,33542676
2024-12-10 16:01:40.189394,330.05,331.31,327.57,329.78,62923507
2024-12-11 16:01:40.189394,321.1,327.14,319.33,324.03,50443234
2024-12-12 16:01:40.189394,331.65,333.95,331.36,331.51,9437654
2024-12-13 16:01:40.189394,321.29,328.84,320.72,323.4,53749616
2024-12-16 16:01:40.189394,326.6,329.75,324.37,327.48,49268005
2024-12-17 16:01:40.189394,324.73,327.23,321.86,324.99,16481919
2024-12-18 16:01:40.189394,316.07,319.16,313.5,318.47,27009907
2024-12-19 16:01:40.189394,328.34,332.03,325.89,328.43,78210866
2024-12-20 16:01:40.189394,324.38,325.85,318.87,324.27,82738088
2024-12-23 16:01:40.189394,319.68,321.9,315.67,318.48,93751092
2024-12-24 16:01:40.189394,317.28,319.87,312.41,318.0,55730549
2024-12-25 16:01:40.189394,314.96,314.97,306.41,314.53,54272433
2024-12-26 16:01:40.189394,330.19,333.56,328.23,330.35,31117472
2024-12-27 16:01:40.189394,337.54,342.94,336.64,338.24,28667412
2024-12-30 16:01:40.189394,331.16,338.68,327.75,333.94,91709136
2024-12-31 16:01:40.189394,330.36,331.5,326.64,330.54,5881283
2025-01-01 16:01:40.189394,317.4,318.16,314.62,316.22,79270415
2025-01-02 16:01:40.189394,315.77,320.6,312.93,317.25,61112439
2025-01-03 16:01:40.189394,311.8,315.49,308.5,312.14,3401309
2025-01-06 16:01:40.189394,312.71,315.4,311.95,312.82,4819115
2025-01-07 16:01:40.189394,301.27,303.72,299.57,299.62,98986540
2025-01-08 16:01:40.189394,299.56,301.62,298.93,299.51,7960033
2025-01-09 16:01:40.189394,311.46,312.89,309.23,311.02,45244395
2025-01-10 16:01:40.189394,311.45,315.12,307.97,311.46,67550492
2025-01-13 16:01:40.189394,305.5,308.17,303.12,306.26,31725501
2025-01-14 16:01:40.189394,304.45,309.38,304.03,306.19,62515758
2025-01-15 16:01:40.189394,305.39,308.91,301.72,305.83,18415620
2025-01-16 16:01:40.189394,321.68,323.99,317.09,321.04,74198528
2025-01-17 16:01:40.189394,318.97,321.86,316.23,318.77,30739623
2025-01-20 16:01:40.189394,312.8,318.28,308.06,310.5,60061428
2025-01-21 16:01:40.189394,312.19,313.54,308.0,310.72,48949784
2025-01-22 16:01:40.189394,314.07,314.88,309.93,312.13,63403057
2025-01-23 16:01:40.189394,312.89,319.16,307.85,316.1,84322494
2025-01-24 16:01:40.189394,324.03,324.86,316.96,321.49,46193413
2025-01-27 16:01:40.189394,336.18,337.45,331.92,335.73,56528790
2025-01-28 16:01:40.189394,332.1,334.81,329.59,331.43,6767200
2025-01-29 16:01:40.189394,327.99,331.23,323.83,326.52,92134285
2025-01-30 16:01:40.189394,313.55,315.11,312.08,313.52,44092201
2025-01-31 16:01:40.189394,316.5,319.77,311.67,318.2,48889955
2025-02-03 16:01:40.189394,314.37,317.22,312.0,312.11,70853713
2025-02-04 16:01:40.189394,317.15,319.8,314.59,318.38,27547062
2025-02-05 16:01:40.189394,313.47,315.02,312.67,315.02,64689522
2025-02-06 16:01:40.189394,326.93,329.29,324.83,327.31,1080824
2025-02-07 16:01:40.189394,316.59,318.9,314.06,317.2,14556455
2025-02-10 16:01:40.189394,324.52,327.75,318.98,324.52,55489515
2025-02-11 16:01:40.189394,330.96,332.11,328.38,331.12,77875017
2025-02-12 16:01:40.189394,337.33,339.53,330.11,335.07,41981484
2025-02-13 16:01:40.189394,327.74,328.61,324.13,326.99,70289254
2025-02-14 16:01:40.189394,329.5,332.21,326.68,330.92,87721975
2025-02-17 16:01:40.189394,330.73,335.59,327.53,331.93,98732144
2025-02-18 16:01:40.189394,318.25,320.17,313.85,318.87,47350905
2025-02-19 16:01:40.189394,329.46,334.97,327.16,330.1,89980811
2025-02-20 16:01:40.189394,326.82,334.85,325.96,327.67,79403206
2025-02-21 16:01:40.189394,336.76,340.35,330.22,338.62,66609004
2025-02-24 16:01:40.189394,338.69,342.24,336.83,338.2,42566552
2025-02-25 16:01:40.189394,344.89,346.38,344.42,345.68,67280758
2025-02-26 16:01:40.189394,337.66,340.09,337.49,339.27,71835916
2025-02-27 16:01:40.189394,341.79,345.77,336.46,340.96,72205797
2025-02-28 16:01:40.189394,343.57,346.47,339.51,342.12,71652524
2025-03-03 16:01:40.189394,339.35,339.93,337.24,339.77,1446613
2025-03-04 16:01:40.189394,336.37,337.95,331.61,333.4,2520360
2025-03-05 16:01:40.189394,315.12,315.41,310.05,311.67,73659210
2025-03-06 16:01:40.189394,306.75,307.14,305.58,305.99,64935977
2025-03-07 16:01:40.189394,310.09,313.58,309.13,310.82,87104194
2025-03-10 16:01:40.189394,301.88,302.34,296.13,301.47,67826386
2025-03-11 16:01:40.189394,291.95,294.98,289.41,293.75,4086938
2025-03-12 16:01:40.189394,283.43,286.68,279.69,284.67,67450310
2025-03-13 16:01:40.189394,283.64,286.43,282.28,286.05,25918390
2025-03-14 16:01:40.189394,279.65,281.55,276.85,280.53,8595492
2025-03-17 16:01:40.189394,286.48,288.97,284.18,288.25,99863607
2025-03-18 16:01:40.189394,293.94,294.24,292.98,293.03,78165786
2025-03-19 16:01:40.189394,293.29,295.6,291.15,294.39,45621818
2025-03-20 16:01:40.189394,296.85,297.57,293.82,296.44,56080430
2025-03-21 16:01:40.189394,292.65,292.94,289.67,291.56,61773921
2025-03-24 16:01:40.189394,288.45,288.93,286.27,286.77,89103946
2025-03-25 16:01:40.189394,290.85,294.81,289.51,291.37,98214437
2025-03-26 16:01:40.189394,297.83,301.41,296.27,297.36,16701252
2025-03-27 16:01:40.189394,302.59,303.56,300.59,302.07,54036019
2025-03-28 16:01:40.189394,300.93,301.95,296.71,299.03,39624419
2025-03-31 16:01:40.189394,297.69,302.4,295.44,296.53,77359940
2025-04-01 16:01:40.189394,292.46,296.5,289.56,290.56,54392055
2025-04-02 16:01:40.189394,293.14,296.35,292.14,295.6,97925316
2025-04-03 16:01:40.189394,282.21,285.86,280.13,283.15,6494554
2025-04-04 16:01:40.189394,271.17,274.21,267.12,269.78,38978972
2025-04-07 16:01:40.189394,258.93,260.0,253.5,258.18,35104730
2025-04-08 16:01:40.189394,246.17,251.82,245.02,246.32,93800415
2025-04-09 16:01:40.189394,253.26,254.24,249.56,253.86,34590616
2025-04-10 16:01:40.189394,259.38,259.93,258.06,258.37,81083177
2025-04-11 16:01:40.189394,249.19,254.42,246.47,251.69,83972529
2025-04-14 16:01:40.189394,252.15,256.66,249.52,251.16,40616353
2025-04-15 16:01:40.189394,259.58,260.78,258.26,259.47,5977678
2025-04-16 16:01:40.189394,261.76,265.68,259.87,262.41,79813800
2025-04-17 16:01:40.189394,275.68,281.37,272.2,274.99,81524641
2025-04-18 16:01:40.189394,273.83,275.09,271.74,274.36,36254754
2025-04-21 16:01:40.189394,270.53,274.19,269.05,270.49,3532789
2025-04-22 16:01:40.189394,264.12,264.26,261.84,264.18,20444755
2025-04-23 16:01:40.189394,265.37,267.36,259.41,264.38,17423383
2025-04-24 16:01:40.189394,270.17,270.32,263.97,269.96,27558625
2025-04-25 16:01:40.189394,268.03,273.33,267.01,270.61,17139297
2025-04-28 16:01:40.189394,266.68,274.02,266.0,268.55,75153074
2025-04-29 16:01:40.189394,274.66,278.61,272.86,276.15,31557613
2025-04-30 16:01:40.189394,280.1,281.97,275.65,279.46,71521562
2025-05-01 16:01:40.189394,279.6,280.03,275.07,278.82,67630676
2025-05-02 16:01:40.189394,276.51,277.64,272.77,274.22,84380960
2025-05-05 16:01:40.189394,271.36,273.56,271.35,272.75,25596651
2025-05-06 16:01:40.189394,277.47,278.26,272.89,275.67,71949686
2025-05-07 16:01:40.189394,268.4,274.32,266.48,271.03,29171480
2025-05-08 16:01:40.189394,263.84,265.25,262.85,263.82,20009734
2025-05-09 16:01:40.189394,261.42,265.87,260.16,261.1,63539825
2025-05-12 16:01:40.189394,261.19,267.68,258.68,260.88,65323057
2025-05-13 16:01:40.189394,268.48,270.71,268.28,268.9,29648889
2025-05-14 16:01:40.189394,262.33,263.35,262.01,262.17,73077641
2025-05-15 16:01:40.189394,261.92,266.68,258.24,263.55,18617189
2025-05-16 16:01:40.189394,263.13,265.59,260.71,262.0,96389975
2025-05-19 16:01:40.189394,261.07,262.36,258.74,260.75,48647290
2025-05-20 16:01:40.189394,270.3,271.59,267.76,269.81,49378009
2025-05-21 16:01:40.189394,269.98,272.16,269.08,270.36,55542045
2025-05-22 16:01:40.189394,264.59,267.92,260.46,265.03,8833306
2025-05-23 16:01:40.189394,271.05,275.71,269.71,270.34,1269803
2025-05-26 16:01:40.189394,277.49,278.12,274.91,275.3,88014994
2025-05-27 16:01:40.189394,267.48,270.16,266.23,269.36,23871008
2025-05-28 16:01:40.189394,260.53,263.12,258.94,262.43,69328369
2025-05-29 16:01:40.189394,265.23,265.35,264.61,264.87,62298303
2025-05-30 16:01:40.189394,264.3,267.88,259.99,264.74,8098229
2025-06-02 16:01:40.189394,262.23,262.79,258.87,262.07,59471841
2025-06-03 16:01:40.189394,268.28,268.32,266.65,268.31,2335013
2025-06-04 16:01:40.189394,265.71,266.55,263.16,264.89,84636495
2025-06-05 16:01:40.189394,267.04,267.9,265.39,267.42,48622586
2025-06-06 16:01:40.189394,272.85,278.31,272.17,274.51,83682368
2025-06-09 16:01:40.189394,271.45,273.11,265.04,272.52,55706984
2025-06-10 16:01:40.189394,261.6,262.4,257.52,261.81,26860507
2025-06-11 16:01:40.189394,257.93,260.51,254.73,259.56,81610318
2025-06-12 16:01:40.189394,260.66,261.05,258.83,260.7,89406095
2025-06-13 16:01:40.189394,266.68,275.16,265.37,266.6,79871213
2025-06-16 16:01:40.189394,263.14,266.8,262.12,263.61,85147750
2025-06-17 16:01:40.189394,274.17,276.64,268.94,273.88,18084096
2025-06-18 16:01:40.189394,264.06,269.77,261.29,266.21,72424088
2025-06-19 16:01:40.189394,265.97,269.05,265.38,267.24,19469834
2025-06-20 16:01:40.189394,264.38,269.75,264.04,265.9,45722429
2025-06-23 16:01:40.189394,275.18,278.36,273.64,273.98,33166633
2025-06-24 16:01:40.189394,268.34,269.62,264.56,265.28,89283274
2025-06-25 16:01:40.189394,266.66,269.16,261.05,267.84,78537989
2025-06-26 16:01:40.189394,266.15,267.56,264.81,266.47,21858145
2025-06-27 16:01:40.189394,274.71,275.81,274.54,275.67,52024177
2025-06-30 16:01:40.189394,271.04,271.81,270.23,270.74,59765483
2025-07-01 16:01:40.189394,272.46,274.36,269.94,273.3,59579469
2025-07-02 16:01:40.189394,268.73,270.06,265.55,268.35,14429443
2025-07-03 16:01:40.189394,270.43,275.25,268.89,269.53,27128990
2025-07-04 16:01:40.189394,265.77,269.89,265.02,267.41,33267092
2025-07-07 16:01:40.189394,265.57,268.35,262.95,265.21,89892831
2025-07-08 16:01:40.189394,251.62,257.97,246.58,253.9,15479670
2025-07-09 16:01:40.189394,255.96,257.23,253.01,256.29,69246093
2025-07-10 16:01:40.189394,249.9,250.74,249.74,250.3,58106840
2025-07-11 16:01:40.189394,243.99,245.14,243.39,244.27,50888475
2025-07-14 16:01:40.189394,235.73,237.32,235.68,236.09,75519246
2025-07-15 16:01:40.189394,230.14,232.46,228.63,230.71,91471859
2025-07-16 16:01:40.189394,233.02,234.28,229.96,233.33,53132023
2025-07-17 16:01:40.189394,236.0,238.31,235.39,235.72,67015858
2025-07-18 16:01:40.189394,239.56,240.95,238.85,239.25,33231661
