date,open,high,low,close,volume
2024-10-24 16:01:40.507408,85.7,85.87,84.42,85.36,91883800
2024-10-25 16:01:40.507408,86.04,86.86,84.96,86.26,72055104
2024-10-28 16:01:40.507408,84.25,84.58,82.76,84.08,90939447
2024-10-29 16:01:40.507408,86.86,87.07,86.29,86.51,57770429
2024-10-30 16:01:40.507408,88.89,90.36,87.25,88.43,65931573
2024-10-31 16:01:40.507408,87.78,88.21,86.49,87.46,2092679
2024-11-01 16:01:40.507408,88.54,88.92,87.85,88.12,81963201
2024-11-04 16:01:40.507408,90.3,91.25,89.98,90.07,96243295
2024-11-05 16:01:40.507408,92.97,93.99,91.77,93.3,22210138
2024-11-06 16:01:40.507408,91.46,92.85,90.77,91.33,72854890
2024-11-07 16:01:40.507408,92.1,92.87,91.8,92.3,20158682
2024-11-08 16:01:40.507408,92.61,94.14,91.43,92.58,83928267
2024-11-11 16:01:40.507408,95.52,95.83,93.68,94.58,95177048
2024-11-12 16:01:40.507408,96.7,96.75,94.83,95.81,68651416
2024-11-13 16:01:40.507408,94.9,96.13,94.66,95.52,63807881
2024-11-14 16:01:40.507408,95.62,96.12,93.97,95.81,36940162
2024-11-15 16:01:40.507408,94.28,96.24,93.26,94.26,77730309
2024-11-18 16:01:40.507408,94.26,94.3,92.71,94.17,17969888
2024-11-19 16:01:40.507408,96.22,97.4,95.07,96.26,4808025
2024-11-20 16:01:40.507408,99.18,100.31,98.07,98.46,65265853
2024-11-21 16:01:40.507408,97.89,98.34,97.82,98.32,69347255
2024-11-22 16:01:40.507408,98.59,98.89,98.04,98.43,96546279
2024-11-25 16:01:40.507408,99.79,99.86,99.23,99.61,72784710
2024-11-26 16:01:40.507408,99.32,99.66,97.97,98.75,67145052
2024-11-27 16:01:40.507408,99.31,99.87,97.55,99.0,21284577
2024-11-28 16:01:40.507408,95.51,96.2,94.84,95.34,17484041
2024-11-29 16:01:40.507408,96.71,97.87,95.21,95.95,12199611
2024-12-02 16:01:40.507408,98.58,99.33,97.55,98.11,85530285
2024-12-03 16:01:40.507408,99.62,99.78,97.82,99.16,45181106
2024-12-04 16:01:40.507408,103.5,103.99,102.14,102.52,49332477
2024-12-05 16:01:40.507408,100.42,101.06,99.15,100.75,64024220
2024-12-06 16:01:40.507408,99.23,99.74,98.84,98.86,92586622
2024-12-09 16:01:40.507408,99.81,101.02,98.58,99.34,69988504
2024-12-10 16:01:40.507408,101.37,101.7,101.24,101.58,6175376
2024-12-11 16:01:40.507408,101.55,101.83,101.22,101.31,51014846
2024-12-12 16:01:40.507408,99.23,99.73,98.84,99.31,41347955
2024-12-13 16:01:40.507408,100.38,101.19,99.59,100.93,59697849
2024-12-16 16:01:40.507408,102.2,102.36,101.08,102.08,98486880
2024-12-17 16:01:40.507408,103.85,103.95,103.44,103.76,50395693
2024-12-18 16:01:40.507408,101.94,103.1,101.21,102.21,22421719
2024-12-19 16:01:40.507408,99.24,99.96,98.98,99.88,80242581
2024-12-20 16:01:40.507408,100.03,101.15,99.49,99.73,88258552
2024-12-23 16:01:40.507408,99.59,100.21,99.45,100.19,48943655
2024-12-24 16:01:40.507408,98.81,98.83,98.3,98.62,85356001
2024-12-25 16:01:40.507408,95.74,96.8,93.26,95.77,11462449
2024-12-26 16:01:40.507408,97.79,98.63,95.91,97.87,74906787
2024-12-27 16:01:40.507408,100.76,100.98,99.93,100.51,84730603
2024-12-30 16:01:40.507408,101.7,101.93,100.76,101.29,84227451
2024-12-31 16:01:40.507408,100.28,100.43,99.33,100.13,60425335
2025-01-01 16:01:40.507408,97.75,98.33,97.08,97.66,38306080
