date,open,high,low,close,volume
2024-10-24 16:01:40.249864,78.3,78.66,76.86,78.09,40487532
2024-10-25 16:01:40.249864,78.97,79.37,78.96,79.22,94473357
2024-10-28 16:01:40.249864,81.75,82.0,80.48,81.04,3729510
2024-10-29 16:01:40.249864,82.76,82.82,81.83,82.27,25604116
2024-10-30 16:01:40.249864,82.23,83.03,81.99,82.59,40142026
2024-10-31 16:01:40.249864,83.16,84.07,82.84,83.3,43911435
2024-11-01 16:01:40.249864,81.9,82.71,80.74,81.97,93495729
2024-11-04 16:01:40.249864,81.52,81.89,80.13,81.19,7331899
2024-11-05 16:01:40.249864,80.89,81.22,80.61,81.22,34912993
2024-11-06 16:01:40.249864,80.47,81.1,79.85,80.74,47277410
2024-11-07 16:01:40.249864,81.12,82.09,80.17,80.76,17364147
2024-11-08 16:01:40.249864,78.17,78.29,77.03,77.95,56286004
2024-11-11 16:01:40.249864,78.72,79.72,78.36,79.5,94172502
2024-11-12 16:01:40.249864,77.92,78.3,77.54,77.66,37978816
2024-11-13 16:01:40.249864,73.6,74.7,72.85,74.15,88672723
2024-11-14 16:01:40.249864,72.78,73.08,72.54,73.01,72088799
2024-11-15 16:01:40.249864,72.55,73.01,71.61,72.68,55364853
2024-11-18 16:01:40.249864,75.82,76.64,75.32,76.0,65278419
2024-11-19 16:01:40.249864,74.96,75.21,74.94,75.2,89264013
2024-11-20 16:01:40.249864,75.18,76.74,74.47,75.57,87028996
2024-11-21 16:01:40.249864,76.32,76.78,75.25,76.12,71478039
2024-11-22 16:01:40.249864,73.05,74.12,72.71,73.64,89540542
2024-11-25 16:01:40.249864,73.29,73.86,73.17,73.49,12708556
2024-11-26 16:01:40.249864,73.37,74.28,72.67,73.08,45239582
2024-11-27 16:01:40.249864,73.37,74.57,72.76,73.23,84310125
2024-11-28 16:01:40.249864,73.42,74.67,72.99,73.93,14745047
2024-11-29 16:01:40.249864,74.62,77.26,74.38,75.35,86706103
2024-12-02 16:01:40.249864,73.56,75.0,73.19,73.96,26178009
2024-12-03 16:01:40.249864,73.95,74.81,73.49,74.77,49765984
2024-12-04 16:01:40.249864,73.63,74.16,73.19,73.59,69216360
2024-12-05 16:01:40.249864,71.98,72.24,70.67,72.15,80533783
2024-12-06 16:01:40.249864,74.86,75.26,74.54,75.01,71141440
2024-12-09 16:01:40.249864,72.27,72.72,71.1,72.09,54259528
2024-12-10 16:01:40.249864,71.6,72.26,71.2,71.29,2364958
2024-12-11 16:01:40.249864,71.74,72.39,71.19,71.65,66255610
2024-12-12 16:01:40.249864,70.65,70.94,69.49,70.73,43034296
2024-12-13 16:01:40.249864,70.73,72.88,69.98,70.98,32043671
2024-12-16 16:01:40.249864,68.8,69.98,68.06,68.92,62676458
2024-12-17 16:01:40.249864,66.26,67.45,65.71,66.19,61824102
2024-12-18 16:01:40.249864,65.24,65.35,64.48,64.94,8324469
2024-12-19 16:01:40.249864,64.72,65.31,64.16,65.18,64615125
