date,open,high,low,close,volume
2024-10-24 16:01:40.437632,51.13,51.57,50.27,51.17,50057197
2024-10-25 16:01:40.437632,51.44,51.83,50.5,51.16,73607056
2024-10-28 16:01:40.437632,50.66,51.01,50.43,50.55,46677911
2024-10-29 16:01:40.437632,50.85,51.79,50.69,51.2,60192530
2024-10-30 16:01:40.437632,51.21,51.41,50.54,50.96,5265760
2024-10-31 16:01:40.437632,50.19,50.58,49.99,50.38,31587277
2024-11-01 16:01:40.437632,50.32,50.57,49.71,50.2,23758854
2024-11-04 16:01:40.437632,48.98,50.43,48.46,49.35,78890982
2024-11-05 16:01:40.437632,49.66,49.89,48.9,49.24,89421859
2024-11-06 16:01:40.437632,51.59,52.12,51.2,51.42,74682035
2024-11-07 16:01:40.437632,51.87,52.43,51.12,51.75,32089749
2024-11-08 16:01:40.437632,51.36,51.58,51.07,51.5,66831636
2024-11-11 16:01:40.437632,52.23,52.61,51.43,52.47,57172572
2024-11-12 16:01:40.437632,52.39,53.0,52.07,52.74,68982241
2024-11-13 16:01:40.437632,51.73,52.31,51.54,51.75,46975792
2024-11-14 16:01:40.437632,52.39,52.57,51.83,52.46,77189970
2024-11-15 16:01:40.437632,53.32,53.57,53.08,53.51,73573382
2024-11-18 16:01:40.437632,52.42,52.78,51.8,52.21,34999961
2024-11-19 16:01:40.437632,54.99,54.99,54.23,54.75,99535746
2024-11-20 16:01:40.437632,54.75,55.74,54.53,55.33,8937582
2024-11-21 16:01:40.437632,54.28,55.17,53.65,54.17,4842519
2024-11-22 16:01:40.437632,56.11,56.51,55.02,56.15,39289203
2024-11-25 16:01:40.437632,56.25,57.44,56.06,56.33,64938173
2024-11-26 16:01:40.437632,56.4,56.92,55.62,56.81,52884745
2024-11-27 16:01:40.437632,55.94,56.53,55.6,56.06,50844293
2024-11-28 16:01:40.437632,56.62,56.91,56.04,56.39,29896935
2024-11-29 16:01:40.437632,57.26,57.88,56.57,57.1,62737503
2024-12-02 16:01:40.437632,57.68,58.03,56.51,56.95,24970951
2024-12-03 16:01:40.437632,56.15,56.29,54.51,55.7,29304868
2024-12-04 16:01:40.437632,54.79,54.83,54.66,54.81,51712965
2024-12-05 16:01:40.437632,54.96,55.23,54.45,54.72,1729789
2024-12-06 16:01:40.437632,55.01,55.1,54.49,54.67,54617142
2024-12-09 16:01:40.437632,56.66,56.67,55.85,56.64,86019194
2024-12-10 16:01:40.437632,55.81,56.49,54.96,55.87,64882111
2024-12-11 16:01:40.437632,57.77,58.44,57.54,57.7,23598475
2024-12-12 16:01:40.437632,57.39,57.99,57.29,57.74,63535411
2024-12-13 16:01:40.437632,57.68,58.38,56.94,58.07,76996925
2024-12-16 16:01:40.437632,57.33,57.73,56.77,57.13,1873057
2024-12-17 16:01:40.437632,58.36,59.91,58.02,58.95,90652903
2024-12-18 16:01:40.437632,61.39,61.75,61.28,61.56,25321705
2024-12-19 16:01:40.437632,61.75,62.8,61.73,62.38,18457669
2024-12-20 16:01:40.437632,62.34,62.92,61.12,62.27,40026832
2024-12-23 16:01:40.437632,62.3,62.77,62.01,62.34,76587567
2024-12-24 16:01:40.437632,60.43,60.64,59.89,60.35,47193283
2024-12-25 16:01:40.437632,58.44,59.85,58.35,58.68,84492909
2024-12-26 16:01:40.437632,60.57,61.57,60.15,60.92,67479876
2024-12-27 16:01:40.437632,59.53,59.85,59.17,59.51,31345487
2024-12-30 16:01:40.437632,58.92,59.74,58.55,59.19,11392866
2024-12-31 16:01:40.437632,61.48,61.85,60.8,61.67,83027518
2025-01-01 16:01:40.437632,61.22,62.87,60.84,61.68,62283272
2025-01-02 16:01:40.437632,61.91,61.94,61.3,61.48,85283361
2025-01-03 16:01:40.437632,61.51,62.1,60.67,60.96,10611576
2025-01-06 16:01:40.437632,60.69,61.78,59.86,60.95,35560918
2025-01-07 16:01:40.437632,61.85,63.04,60.72,61.99,88251708
2025-01-08 16:01:40.437632,62.67,62.89,62.43,62.5,11734215
2025-01-09 16:01:40.437632,63.29,64.31,62.35,62.77,97665131
2025-01-10 16:01:40.437632,61.45,62.34,61.42,61.89,71226125
2025-01-13 16:01:40.437632,62.27,63.68,61.68,62.39,3616162
2025-01-14 16:01:40.437632,61.81,62.36,61.18,61.61,8667111
2025-01-15 16:01:40.437632,63.31,64.05,63.02,63.6,54141891
2025-01-16 16:01:40.437632,66.16,66.17,64.96,65.84,44778826
2025-01-17 16:01:40.437632,66.32,67.36,64.67,66.23,40109888
2025-01-20 16:01:40.437632,68.28,68.89,66.93,67.72,85306295
2025-01-21 16:01:40.437632,66.99,67.32,65.13,67.29,82184980
2025-01-22 16:01:40.437632,67.23,67.71,67.06,67.28,75265278
2025-01-23 16:01:40.437632,66.77,66.89,66.48,66.84,99594687
2025-01-24 16:01:40.437632,67.54,68.08,67.17,67.53,14503146
2025-01-27 16:01:40.437632,68.64,69.38,67.75,68.59,65450131
