date,open,high,low,close,volume
2024-10-24 16:01:40.488680,147.0,147.72,144.9,147.58,59896633
2024-10-25 16:01:40.488680,151.27,153.08,148.95,151.44,6901728
2024-10-28 16:01:40.488680,147.67,149.79,147.27,148.08,1833026
2024-10-29 16:01:40.488680,142.42,144.49,141.38,142.7,78424776
2024-10-30 16:01:40.488680,144.09,145.11,143.1,144.69,81500969
2024-10-31 16:01:40.488680,144.66,146.17,140.68,144.15,87142187
2024-11-01 16:01:40.488680,149.49,153.8,148.47,150.46,26318086
2024-11-04 16:01:40.488680,147.04,148.99,144.54,145.78,15571908
2024-11-05 16:01:40.488680,143.31,146.97,141.37,143.86,69157088
2024-11-06 16:01:40.488680,144.06,145.44,143.07,143.68,98174905
2024-11-07 16:01:40.488680,142.52,143.86,140.78,141.91,46838751
2024-11-08 16:01:40.488680,141.67,141.81,141.66,141.66,5388251
2024-11-11 16:01:40.488680,139.48,140.76,139.25,140.12,52202033
2024-11-12 16:01:40.488680,140.93,143.48,138.58,140.76,17095400
2024-11-13 16:01:40.488680,143.34,144.54,142.62,142.93,18923919
2024-11-14 16:01:40.488680,139.18,140.76,137.39,138.64,95998757
2024-11-15 16:01:40.488680,143.62,144.19,142.78,142.92,68340896
2024-11-18 16:01:40.488680,140.85,142.24,139.54,140.27,57961044
2024-11-19 16:01:40.488680,136.26,137.53,135.1,136.68,39910051
2024-11-20 16:01:40.488680,136.32,137.53,135.06,136.32,63993480
2024-11-21 16:01:40.488680,130.55,133.0,128.23,130.83,91607393
2024-11-22 16:01:40.488680,132.59,135.32,132.4,133.37,46344136
2024-11-25 16:01:40.488680,138.57,139.29,138.08,138.69,34801619
2024-11-26 16:01:40.488680,136.87,139.02,135.12,136.4,50028332
2024-11-27 16:01:40.488680,129.36,130.53,128.54,129.06,59732154
2024-11-28 16:01:40.488680,135.92,136.1,134.45,134.92,75173386
2024-11-29 16:01:40.488680,130.89,131.04,129.11,130.99,26251359
2024-12-02 16:01:40.488680,133.83,135.67,133.24,134.68,25690489
2024-12-03 16:01:40.488680,133.46,135.92,132.51,133.07,4749301
2024-12-04 16:01:40.488680,139.7,140.4,139.15,140.14,53360360
2024-12-05 16:01:40.488680,143.11,144.66,142.77,143.55,91619837
2024-12-06 16:01:40.488680,143.72,145.7,141.35,142.94,39894242
2024-12-09 16:01:40.488680,142.42,145.99,139.22,142.54,68276039
2024-12-10 16:01:40.488680,144.3,146.17,142.1,144.48,41865046
2024-12-11 16:01:40.488680,147.72,148.77,144.12,147.85,88442055
2024-12-12 16:01:40.488680,147.4,149.02,146.96,148.01,32925023
2024-12-13 16:01:40.488680,151.16,153.31,150.74,150.79,99390177
2024-12-16 16:01:40.488680,153.96,155.91,153.54,154.08,75265454
2024-12-17 16:01:40.488680,155.25,156.25,153.56,154.48,21124488
2024-12-18 16:01:40.488680,156.49,157.64,155.41,156.41,57078428
2024-12-19 16:01:40.488680,157.7,158.19,155.58,157.66,88449635
2024-12-20 16:01:40.488680,158.9,158.94,158.06,158.76,62946564
2024-12-23 16:01:40.488680,154.52,157.0,152.02,156.21,90489773
2024-12-24 16:01:40.488680,151.52,152.01,150.51,151.87,65097652
2024-12-25 16:01:40.488680,152.9,154.07,151.46,153.4,23562404
2024-12-26 16:01:40.488680,152.53,155.0,149.31,153.46,13020302
2024-12-27 16:01:40.488680,154.44,157.62,154.11,155.35,32727695
2024-12-30 16:01:40.488680,154.57,154.91,152.31,153.94,14351625
2024-12-31 16:01:40.488680,151.29,153.62,150.92,152.4,37465812
2025-01-01 16:01:40.488680,152.57,155.25,152.44,152.93,17621752
2025-01-02 16:01:40.488680,149.96,151.85,148.02,150.92,25472694
2025-01-03 16:01:40.488680,150.08,150.95,149.65,150.35,61445394
2025-01-06 16:01:40.488680,155.5,156.77,155.08,155.22,36937404
2025-01-07 16:01:40.488680,153.28,154.38,151.31,152.83,90962634
2025-01-08 16:01:40.488680,144.26,145.4,142.89,144.09,83272123
2025-01-09 16:01:40.488680,140.48,141.01,138.8,140.5,91289488
2025-01-10 16:01:40.488680,139.51,140.27,137.65,138.66,16053989
2025-01-13 16:01:40.488680,138.45,138.9,135.15,137.58,76016690
2025-01-14 16:01:40.488680,137.17,137.35,136.84,137.03,51634832
2025-01-15 16:01:40.488680,138.9,138.99,136.87,137.25,67664604
2025-01-16 16:01:40.488680,137.9,138.16,137.42,138.11,51967903
2025-01-17 16:01:40.488680,137.53,141.1,136.72,138.52,94902894
2025-01-20 16:01:40.488680,135.86,136.77,133.44,136.26,97072647
2025-01-21 16:01:40.488680,135.23,136.32,133.94,134.74,45829197
2025-01-22 16:01:40.488680,137.66,138.59,135.8,136.61,11340155
2025-01-23 16:01:40.488680,138.11,139.15,136.72,136.94,25147974
2025-01-24 16:01:40.488680,134.42,136.64,132.4,133.95,32323604
2025-01-27 16:01:40.488680,131.31,132.3,130.67,131.14,79597133
2025-01-28 16:01:40.488680,131.23,132.02,129.82,130.56,97897387
2025-01-29 16:01:40.488680,134.33,134.39,133.58,133.68,82859600
2025-01-30 16:01:40.488680,139.39,141.94,138.15,140.56,23967036
2025-01-31 16:01:40.488680,140.23,141.98,139.2,140.27,3185953
2025-02-03 16:01:40.488680,142.11,142.5,140.31,142.17,25268577
2025-02-04 16:01:40.488680,140.11,141.34,138.23,139.81,95752548
2025-02-05 16:01:40.488680,138.65,140.29,137.55,138.29,43179338
2025-02-06 16:01:40.488680,141.01,143.82,140.69,140.74,15946110
2025-02-07 16:01:40.488680,134.06,134.39,132.18,134.2,23835760
2025-02-10 16:01:40.488680,135.55,135.92,134.6,135.46,2788548
2025-02-11 16:01:40.488680,139.0,139.73,136.11,139.35,85819611
2025-02-12 16:01:40.488680,141.96,142.62,141.2,141.7,29670246
2025-02-13 16:01:40.488680,139.8,141.49,139.52,139.99,44352205
2025-02-14 16:01:40.488680,136.08,139.11,135.69,137.66,25810760
2025-02-17 16:01:40.488680,137.94,139.24,135.9,136.46,66685315
2025-02-18 16:01:40.488680,142.53,143.01,139.61,141.76,93115422
2025-02-19 16:01:40.488680,141.14,142.53,140.58,140.61,5000954
2025-02-20 16:01:40.488680,142.45,143.71,142.11,143.2,3084333
2025-02-21 16:01:40.488680,141.95,143.58,141.82,143.35,90315103
2025-02-24 16:01:40.488680,143.88,145.46,142.69,144.43,36144581
2025-02-25 16:01:40.488680,150.53,152.05,147.35,148.49,18827102
2025-02-26 16:01:40.488680,148.67,151.81,147.14,149.21,17400579
2025-02-27 16:01:40.488680,145.44,146.5,143.29,145.26,64918463
2025-02-28 16:01:40.488680,148.07,151.59,145.5,149.14,99867053
2025-03-03 16:01:40.488680,150.98,151.62,149.46,151.37,6557455
2025-03-04 16:01:40.488680,151.48,153.88,150.57,152.3,2163299
2025-03-05 16:01:40.488680,154.92,156.13,152.94,154.35,12925666
2025-03-06 16:01:40.488680,154.45,155.8,151.9,154.66,47399239
2025-03-07 16:01:40.488680,151.14,152.77,150.7,151.01,35744597
2025-03-10 16:01:40.488680,157.29,159.07,155.87,156.33,18919948
2025-03-11 16:01:40.488680,150.71,152.41,149.54,151.41,71147860
2025-03-12 16:01:40.488680,156.27,157.64,152.77,155.38,95729112
2025-03-13 16:01:40.488680,153.19,153.8,151.44,153.55,98281671
2025-03-14 16:01:40.488680,155.91,156.99,154.86,155.26,88365792
2025-03-17 16:01:40.488680,154.34,155.85,150.92,153.99,28995200
2025-03-18 16:01:40.488680,150.04,152.63,149.68,150.12,98167932
2025-03-19 16:01:40.488680,152.29,154.19,152.15,152.8,58521244
2025-03-20 16:01:40.488680,156.99,158.95,156.08,156.66,62257248
2025-03-21 16:01:40.488680,162.64,163.0,156.99,161.97,19676637
2025-03-24 16:01:40.488680,166.45,166.74,163.46,165.04,16166936
2025-03-25 16:01:40.488680,169.53,170.23,168.57,169.9,4867479
2025-03-26 16:01:40.488680,163.7,164.15,159.32,163.18,99980267
2025-03-27 16:01:40.488680,159.13,162.13,155.57,160.18,26067020
2025-03-28 16:01:40.488680,162.24,162.51,161.28,161.71,60935718
2025-03-31 16:01:40.488680,161.14,163.12,160.85,161.04,48734787
2025-04-01 16:01:40.488680,162.87,164.24,160.69,161.87,38136639
2025-04-02 16:01:40.488680,168.44,170.52,165.49,168.27,93949616
2025-04-03 16:01:40.488680,175.15,176.29,170.78,174.16,32733353
2025-04-04 16:01:40.488680,173.31,173.52,172.27,172.91,8553187
2025-04-07 16:01:40.488680,165.58,167.85,164.15,167.74,53801893
2025-04-08 16:01:40.488680,174.13,174.65,173.23,174.13,60068586
2025-04-09 16:01:40.488680,173.46,175.23,172.28,175.18,15903730
2025-04-10 16:01:40.488680,177.26,178.49,175.26,177.93,6026893
2025-04-11 16:01:40.488680,172.53,172.64,171.71,172.13,61591845
2025-04-14 16:01:40.488680,169.46,173.73,168.86,169.09,96533854
2025-04-15 16:01:40.488680,170.55,171.6,168.53,171.46,17141054
2025-04-16 16:01:40.488680,166.97,168.22,165.48,167.22,50199974
2025-04-17 16:01:40.488680,165.75,168.33,164.6,166.37,46871308
2025-04-18 16:01:40.488680,165.54,166.08,163.98,164.62,42622258
2025-04-21 16:01:40.488680,160.73,163.34,159.29,162.97,54876184
2025-04-22 16:01:40.488680,164.16,165.81,163.71,164.32,67706486
2025-04-23 16:01:40.488680,162.44,164.22,162.21,163.26,12218431
2025-04-24 16:01:40.488680,164.34,164.52,163.95,164.34,63202955
2025-04-25 16:01:40.488680,161.31,165.16,161.31,162.23,32284768
2025-04-28 16:01:40.488680,161.48,163.16,158.68,160.51,59946728
2025-04-29 16:01:40.488680,161.23,162.96,158.77,160.76,83557182
2025-04-30 16:01:40.488680,160.3,160.48,159.49,159.71,93195535
2025-05-01 16:01:40.488680,162.55,163.6,162.42,162.64,20979346
2025-05-02 16:01:40.488680,160.8,162.16,160.03,160.14,57794879
2025-05-05 16:01:40.488680,156.54,157.86,155.0,157.01,94282573
2025-05-06 16:01:40.488680,157.53,157.76,156.69,156.89,47145205
2025-05-07 16:01:40.488680,150.22,152.85,147.15,151.5,3795432
2025-05-08 16:01:40.488680,148.18,149.22,146.45,148.5,43006619
2025-05-09 16:01:40.488680,147.45,148.3,146.1,147.51,44656445
2025-05-12 16:01:40.488680,152.44,154.5,152.18,152.75,1203830
2025-05-13 16:01:40.488680,156.82,158.79,154.91,157.97,54241728
2025-05-14 16:01:40.488680,159.82,161.4,157.23,160.6,45119433
2025-05-15 16:01:40.488680,150.88,152.52,150.61,151.89,15106821
2025-05-16 16:01:40.488680,154.54,155.51,153.98,155.02,12121887
2025-05-19 16:01:40.488680,157.44,159.39,156.42,157.56,12866393
2025-05-20 16:01:40.488680,153.22,153.73,152.73,153.37,76529356
2025-05-21 16:01:40.488680,157.12,158.89,154.26,156.38,73186758
2025-05-22 16:01:40.488680,154.43,155.19,153.08,154.97,88051370
2025-05-23 16:01:40.488680,153.51,154.25,153.31,153.85,75940005
2025-05-26 16:01:40.488680,148.47,148.85,147.5,147.91,84267197
2025-05-27 16:01:40.488680,153.52,153.97,151.19,153.23,97240778
2025-05-28 16:01:40.488680,151.92,154.18,150.0,153.06,7407088
2025-05-29 16:01:40.488680,155.04,156.68,155.0,155.09,9779984
2025-05-30 16:01:40.488680,153.8,154.99,152.64,153.34,6342977
2025-06-02 16:01:40.488680,148.62,150.34,146.15,149.6,46073088
2025-06-03 16:01:40.488680,154.72,158.0,153.98,155.9,57687220
2025-06-04 16:01:40.488680,154.24,157.07,154.08,156.14,25584668
2025-06-05 16:01:40.488680,155.36,157.02,154.34,154.4,73689539
2025-06-06 16:01:40.488680,153.63,155.18,152.86,153.08,44452155
2025-06-09 16:01:40.488680,153.02,154.2,151.71,152.68,54676803
2025-06-10 16:01:40.488680,146.73,146.99,145.04,146.56,44670728
