date,open,high,low,close,volume
2024-10-24 16:01:40.129061,277.75,283.34,277.42,277.74,42602333
2024-10-25 16:01:40.129061,274.71,277.09,269.37,273.42,72168875
2024-10-28 16:01:40.129061,274.57,274.65,271.16,274.32,73096072
2024-10-29 16:01:40.129061,278.97,280.82,278.69,279.46,25532844
2024-10-30 16:01:40.129061,287.55,289.75,284.38,284.49,11851056
2024-10-31 16:01:40.129061,275.63,276.16,274.53,275.76,25275600
2024-11-01 16:01:40.129061,289.37,290.33,285.43,287.7,60921763
2024-11-04 16:01:40.129061,283.16,283.97,281.86,283.73,61210450
2024-11-05 16:01:40.129061,283.14,285.08,281.1,282.14,7438082
2024-11-06 16:01:40.129061,277.93,278.8,274.16,276.64,52911520
2024-11-07 16:01:40.129061,293.98,294.17,291.99,293.67,39878111
2024-11-08 16:01:40.129061,291.83,296.1,287.48,295.31,28017070
2024-11-11 16:01:40.129061,289.92,290.15,287.79,289.89,24303690
2024-11-12 16:01:40.129061,297.35,298.79,292.8,295.53,35553961
2024-11-13 16:01:40.129061,301.45,302.26,299.09,300.66,73631041
2024-11-14 16:01:40.129061,300.15,301.3,294.7,299.48,33565209
2024-11-15 16:01:40.129061,302.53,309.26,298.02,305.16,87227139
2024-11-18 16:01:40.129061,298.65,300.52,292.51,299.73,90702352
2024-11-19 16:01:40.129061,297.16,299.09,291.98,296.55,41001243
2024-11-20 16:01:40.129061,284.35,286.86,282.81,283.76,86374301
2024-11-21 16:01:40.129061,277.34,281.13,272.48,275.67,48109805
2024-11-22 16:01:40.129061,286.73,290.04,283.68,286.94,90568348
2024-11-25 16:01:40.129061,298.19,299.19,292.57,297.58,67356133
2024-11-26 16:01:40.129061,298.11,299.65,297.77,298.09,91350142
2024-11-27 16:01:40.129061,307.76,313.14,302.82,309.29,32004434
2024-11-28 16:01:40.129061,304.8,309.45,304.36,308.27,18755994
2024-11-29 16:01:40.129061,307.35,309.22,305.77,306.69,89027420
2024-12-02 16:01:40.129061,307.41,308.91,302.92,307.15,64559586
2024-12-03 16:01:40.129061,305.43,309.27,304.19,306.37,50752435
2024-12-04 16:01:40.129061,302.53,307.15,296.37,305.0,82356054
2024-12-05 16:01:40.129061,313.84,313.9,306.62,312.85,15446310
2024-12-06 16:01:40.129061,313.55,315.68,313.14,313.96,28683117
2024-12-09 16:01:40.129061,319.9,324.22,317.17,319.01,28607294
2024-12-10 16:01:40.129061,329.47,334.15,324.15,326.42,24288751
2024-12-11 16:01:40.129061,325.78,331.26,324.65,329.31,94566215
2024-12-12 16:01:40.129061,321.28,324.69,317.57,322.41,17981686
2024-12-13 16:01:40.129061,312.68,315.26,308.68,313.01,67773825
2024-12-16 16:01:40.129061,316.4,316.62,310.29,314.11,14937356
2024-12-17 16:01:40.129061,310.44,313.9,309.96,313.0,31943655
2024-12-18 16:01:40.129061,316.71,318.09,309.72,313.68,13212436
2024-12-19 16:01:40.129061,313.85,316.18,309.78,313.64,29444659
2024-12-20 16:01:40.129061,331.94,333.24,331.59,332.1,35178991
2024-12-23 16:01:40.129061,322.26,322.97,320.65,322.58,69209775
2024-12-24 16:01:40.129061,308.13,310.35,307.08,308.8,3030245
2024-12-25 16:01:40.129061,312.78,314.87,307.97,311.15,15033007
2024-12-26 16:01:40.129061,307.0,314.42,304.75,308.65,38203030
2024-12-27 16:01:40.129061,311.41,313.76,306.59,310.88,5243638
2024-12-30 16:01:40.129061,314.37,320.22,311.26,314.98,24255636
2024-12-31 16:01:40.129061,322.86,330.59,321.76,324.1,40649444
2025-01-01 16:01:40.129061,317.63,318.11,311.2,313.58,25156974
2025-01-02 16:01:40.129061,310.48,312.53,308.44,309.83,37468710
2025-01-03 16:01:40.129061,313.8,314.45,308.05,312.84,11648085
2025-01-06 16:01:40.129061,320.09,320.51,316.94,318.28,47816934
2025-01-07 16:01:40.129061,331.75,339.48,325.62,334.12,50468118
2025-01-08 16:01:40.129061,344.31,350.56,339.48,341.32,72104569
2025-01-09 16:01:40.129061,336.69,341.98,333.12,340.97,25527389
2025-01-10 16:01:40.129061,333.13,334.87,332.06,334.42,86727121
2025-01-13 16:01:40.129061,329.6,331.77,329.56,330.36,94063785
2025-01-14 16:01:40.129061,327.1,332.52,323.18,326.15,58039853
2025-01-15 16:01:40.129061,331.33,332.9,325.63,330.97,9378022
2025-01-16 16:01:40.129061,332.65,337.17,330.23,332.93,90993053
2025-01-17 16:01:40.129061,323.41,324.33,323.14,323.43,28121305
2025-01-20 16:01:40.129061,318.84,323.13,314.45,320.41,39785220
2025-01-21 16:01:40.129061,324.3,326.89,317.19,326.75,48789452
2025-01-22 16:01:40.129061,330.56,335.08,324.68,329.37,71469272
2025-01-23 16:01:40.129061,334.76,338.3,331.33,333.6,17978919
2025-01-24 16:01:40.129061,339.17,339.45,336.46,336.51,53787975
2025-01-27 16:01:40.129061,347.5,355.04,345.39,348.87,96270985
2025-01-28 16:01:40.129061,351.99,353.05,350.55,350.78,51398821
2025-01-29 16:01:40.129061,347.39,349.5,345.41,347.89,87718798
2025-01-30 16:01:40.129061,343.04,344.18,338.23,341.01,62904718
