date,open,high,low,close,volume
2024-10-24 16:01:40.157272,178.48,179.62,175.45,177.47,91098894
2024-10-25 16:01:40.157272,175.49,176.27,174.92,175.24,23331751
2024-10-28 16:01:40.157272,175.61,177.59,174.98,176.34,71835618
2024-10-29 16:01:40.157272,177.99,180.96,175.55,177.06,49235936
2024-10-30 16:01:40.157272,179.75,183.07,178.99,180.25,12905895
2024-10-31 16:01:40.157272,185.35,186.26,184.29,184.95,25499752
2024-11-01 16:01:40.157272,187.91,190.93,186.78,187.64,89779957
2024-11-04 16:01:40.157272,183.9,187.66,181.13,184.88,65750123
2024-11-05 16:01:40.157272,185.13,185.94,184.47,185.61,97052433
2024-11-06 16:01:40.157272,179.66,180.04,178.33,179.2,80245136
2024-11-07 16:01:40.157272,177.24,178.32,175.94,177.38,79245831
2024-11-08 16:01:40.157272,170.2,170.94,166.79,167.76,25578297
2024-11-11 16:01:40.157272,166.12,168.69,165.53,166.5,13322303
2024-11-12 16:01:40.157272,163.75,165.47,161.72,164.58,15620810
2024-11-13 16:01:40.157272,167.21,167.33,165.58,167.15,54440474
2024-11-14 16:01:40.157272,163.39,165.13,163.15,163.66,31977254
2024-11-15 16:01:40.157272,162.9,165.15,162.4,164.31,21940713
2024-11-18 16:01:40.157272,163.67,165.76,162.76,162.99,83042830
2024-11-19 16:01:40.157272,162.3,162.9,160.38,161.5,27763275
2024-11-20 16:01:40.157272,159.5,163.15,156.25,158.83,25281360
2024-11-21 16:01:40.157272,160.17,160.44,158.64,159.92,43250727
2024-11-22 16:01:40.157272,159.28,160.74,155.44,159.39,59023001
2024-11-25 16:01:40.157272,156.23,156.57,154.42,156.1,94218765
2024-11-26 16:01:40.157272,156.49,156.94,155.13,156.59,76043864
2024-11-27 16:01:40.157272,157.19,159.04,156.78,157.68,94718168
2024-11-28 16:01:40.157272,164.38,166.63,162.87,163.12,43812987
2024-11-29 16:01:40.157272,162.1,162.12,160.93,161.09,89722602
2024-12-02 16:01:40.157272,160.28,161.51,159.58,159.75,60478603
2024-12-03 16:01:40.157272,154.97,158.01,153.97,155.3,14318931
2024-12-04 16:01:40.157272,154.26,154.64,151.27,153.81,42121361
2024-12-05 16:01:40.157272,150.12,151.4,149.82,150.3,47756082
2024-12-06 16:01:40.157272,153.82,154.77,153.39,154.03,21866225
2024-12-09 16:01:40.157272,155.81,156.06,154.04,155.83,49832768
2024-12-10 16:01:40.157272,152.54,152.69,151.08,152.21,42605114
