date,open,high,low,close,volume
2024-10-24 16:01:40.266289,220.76,221.5,218.94,220.46,18619830
2024-10-25 16:01:40.266289,220.11,221.84,218.97,219.89,10388341
2024-10-28 16:01:40.266289,218.02,219.56,213.34,218.92,41669516
2024-10-29 16:01:40.266289,222.82,226.62,222.59,224.0,19128882
2024-10-30 16:01:40.266289,224.25,224.27,218.9,223.67,48704898
2024-10-31 16:01:40.266289,230.22,231.41,228.69,231.28,57509111
2024-11-01 16:01:40.266289,224.91,226.53,223.58,223.89,74523321
2024-11-04 16:01:40.266289,218.05,222.29,215.54,218.88,56894989
2024-11-05 16:01:40.266289,214.96,216.81,213.54,215.36,10753222
2024-11-06 16:01:40.266289,223.0,224.92,220.86,223.7,29315540
2024-11-07 16:01:40.266289,220.3,221.34,215.43,218.81,16759916
2024-11-08 16:01:40.266289,229.85,232.28,225.98,227.72,73096395
2024-11-11 16:01:40.266289,220.52,220.97,220.37,220.49,99271966
2024-11-12 16:01:40.266289,214.47,216.49,213.5,215.14,41367048
2024-11-13 16:01:40.266289,215.06,219.45,212.6,215.62,51761094
2024-11-14 16:01:40.266289,217.27,219.27,215.69,216.35,63625196
2024-11-15 16:01:40.266289,222.41,223.84,221.95,222.67,72731106
2024-11-18 16:01:40.266289,230.27,231.38,228.49,228.78,42363367
2024-11-19 16:01:40.266289,227.59,228.09,225.9,227.71,45678026
2024-11-20 16:01:40.266289,227.55,227.97,223.36,226.16,5749028
2024-11-21 16:01:40.266289,225.74,228.15,223.33,225.91,49011817
2024-11-22 16:01:40.266289,223.85,225.4,221.28,224.87,90223169
2024-11-25 16:01:40.266289,227.47,229.67,226.22,229.22,40294753
2024-11-26 16:01:40.266289,227.44,229.57,224.13,226.84,7195125
2024-11-27 16:01:40.266289,230.81,234.09,229.26,232.42,90434466
2024-11-28 16:01:40.266289,236.99,241.82,233.06,235.68,25305637
2024-11-29 16:01:40.266289,235.72,237.35,233.09,236.93,4306739
2024-12-02 16:01:40.266289,231.69,233.54,228.87,231.14,34630921
2024-12-03 16:01:40.266289,219.42,221.31,217.55,217.66,85951051
2024-12-04 16:01:40.266289,216.83,219.29,212.06,215.9,40265292
2024-12-05 16:01:40.266289,215.42,217.59,213.09,215.86,37573550
2024-12-06 16:01:40.266289,219.4,221.55,216.45,216.74,51017493
2024-12-09 16:01:40.266289,219.51,223.83,210.68,217.92,50738694
2024-12-10 16:01:40.266289,220.51,222.14,214.64,219.44,54189071
2024-12-11 16:01:40.266289,222.02,223.07,218.99,222.04,75207532
2024-12-12 16:01:40.266289,219.31,225.76,216.22,219.9,46656544
2024-12-13 16:01:40.266289,217.47,220.99,213.92,214.91,50225336
2024-12-16 16:01:40.266289,211.87,212.47,209.44,211.93,93773846
2024-12-17 16:01:40.266289,213.19,214.95,210.86,213.82,83727016
2024-12-18 16:01:40.266289,212.26,214.65,211.51,212.46,20423200
2024-12-19 16:01:40.266289,209.0,211.29,208.16,210.14,24891525
2024-12-20 16:01:40.266289,215.04,218.67,212.42,215.77,83929951
2024-12-23 16:01:40.266289,218.85,221.08,215.98,218.46,37695378
2024-12-24 16:01:40.266289,220.16,221.05,219.65,219.87,52975810
2024-12-25 16:01:40.266289,230.57,232.83,228.18,230.13,41430628
2024-12-26 16:01:40.266289,231.81,238.57,229.28,233.16,89361581
2024-12-27 16:01:40.266289,241.71,244.0,237.94,241.11,5157009
2024-12-30 16:01:40.266289,230.03,235.23,227.07,230.55,96145313
2024-12-31 16:01:40.266289,221.37,226.07,219.77,220.89,69368630
2025-01-01 16:01:40.266289,220.83,223.43,218.04,219.25,45594511
2025-01-02 16:01:40.266289,220.65,220.83,218.0,219.23,42792771
2025-01-03 16:01:40.266289,223.54,223.77,222.14,222.66,44237955
2025-01-06 16:01:40.266289,221.78,222.67,221.71,221.74,65328700
2025-01-07 16:01:40.266289,222.88,223.9,221.32,222.83,6373687
2025-01-08 16:01:40.266289,222.5,224.74,222.39,223.12,24410602
2025-01-09 16:01:40.266289,221.3,222.3,219.18,220.49,94266182
2025-01-10 16:01:40.266289,230.94,234.6,227.05,232.02,88461969
2025-01-13 16:01:40.266289,234.52,237.65,233.07,236.4,96210282
2025-01-14 16:01:40.266289,235.38,238.89,234.4,235.84,51018468
2025-01-15 16:01:40.266289,232.68,235.62,232.05,234.59,57842820
2025-01-16 16:01:40.266289,253.49,254.98,252.51,254.5,60166338
2025-01-17 16:01:40.266289,251.07,253.97,248.83,250.44,4802018
2025-01-20 16:01:40.266289,246.22,251.13,246.02,248.84,25524279
2025-01-21 16:01:40.266289,251.6,252.74,251.3,251.48,82361294
2025-01-22 16:01:40.266289,244.84,248.57,243.04,244.18,56924082
2025-01-23 16:01:40.266289,249.98,251.45,248.54,248.81,53274934
2025-01-24 16:01:40.266289,247.96,249.63,247.13,248.91,11944759
2025-01-27 16:01:40.266289,250.63,256.42,248.93,252.53,34338191
2025-01-28 16:01:40.266289,248.09,251.98,246.09,250.5,79883994
2025-01-29 16:01:40.266289,257.7,260.52,252.93,257.03,8497035
2025-01-30 16:01:40.266289,254.25,255.01,253.51,254.95,77425156
2025-01-31 16:01:40.266289,253.71,259.35,249.5,254.46,25037066
2025-02-03 16:01:40.266289,266.61,270.02,265.86,266.68,10646374
2025-02-04 16:01:40.266289,264.82,267.57,257.85,263.25,95283397
2025-02-05 16:01:40.266289,258.99,264.15,256.39,262.06,80989901
2025-02-06 16:01:40.266289,259.87,262.25,257.61,260.65,28428335
2025-02-07 16:01:40.266289,261.44,261.48,260.06,260.41,66853187
2025-02-10 16:01:40.266289,266.36,266.7,260.27,265.65,87335858
2025-02-11 16:01:40.266289,263.21,264.08,262.75,263.38,51699654
2025-02-12 16:01:40.266289,263.56,266.84,260.68,261.21,16668762
2025-02-13 16:01:40.266289,272.01,274.48,268.99,271.74,43911426
2025-02-14 16:01:40.266289,271.95,275.38,266.52,273.88,59466946
2025-02-17 16:01:40.266289,272.06,274.11,266.93,272.89,32997983
2025-02-18 16:01:40.266289,279.9,284.69,277.38,277.69,67293167
2025-02-19 16:01:40.266289,280.87,282.17,279.71,280.66,2926634
2025-02-20 16:01:40.266289,280.51,285.66,279.5,279.56,71142345
2025-02-21 16:01:40.266289,289.5,293.43,284.13,287.27,83901393
2025-02-24 16:01:40.266289,273.61,274.81,269.49,270.33,41727005
2025-02-25 16:01:40.266289,277.93,282.52,276.38,279.66,72068146
2025-02-26 16:01:40.266289,277.79,280.36,277.73,277.95,97935293
2025-02-27 16:01:40.266289,280.76,281.77,279.6,280.54,91190506
2025-02-28 16:01:40.266289,280.27,281.16,278.96,280.02,89915407
2025-03-03 16:01:40.266289,279.55,279.76,275.26,278.35,74867797
2025-03-04 16:01:40.266289,268.55,269.55,267.04,267.09,27795379
2025-03-05 16:01:40.266289,275.34,277.34,274.02,275.12,40000511
2025-03-06 16:01:40.266289,273.09,275.18,271.6,273.11,82106845
2025-03-07 16:01:40.266289,277.95,282.8,277.12,280.25,34617278
2025-03-10 16:01:40.266289,288.22,290.33,285.06,288.81,40454120
2025-03-11 16:01:40.266289,304.78,305.72,298.81,302.91,80023526
2025-03-12 16:01:40.266289,299.47,304.26,296.02,300.9,74264612
2025-03-13 16:01:40.266289,308.14,313.86,303.73,306.55,48000458
2025-03-14 16:01:40.266289,307.62,310.63,305.57,309.53,1418518
2025-03-17 16:01:40.266289,316.6,321.41,309.69,315.76,49853397
2025-03-18 16:01:40.266289,311.99,312.0,308.03,311.56,36419283
2025-03-19 16:01:40.266289,307.94,316.16,307.23,309.15,35261508
2025-03-20 16:01:40.266289,304.5,310.45,303.57,309.22,21589566
2025-03-21 16:01:40.266289,311.11,311.42,307.52,310.94,38491664
2025-03-24 16:01:40.266289,309.23,310.82,304.97,309.33,50740689
2025-03-25 16:01:40.266289,304.35,306.67,300.65,303.21,74724238
2025-03-26 16:01:40.266289,296.75,299.34,296.15,296.36,57127179
2025-03-27 16:01:40.266289,300.61,305.72,294.42,302.28,80547777
2025-03-28 16:01:40.266289,308.03,313.12,305.55,309.92,7979814
2025-03-31 16:01:40.266289,325.25,328.39,321.72,321.82,28540779
2025-04-01 16:01:40.266289,319.27,319.99,311.68,319.3,99596173
2025-04-02 16:01:40.266289,310.67,313.2,306.04,311.09,79756260
2025-04-03 16:01:40.266289,313.57,318.24,313.12,314.02,73658930
2025-04-04 16:01:40.266289,312.89,315.8,309.62,312.32,37521396
2025-04-07 16:01:40.266289,311.96,314.3,309.44,311.48,12398222
2025-04-08 16:01:40.266289,306.4,313.65,304.68,308.53,30713853
2025-04-09 16:01:40.266289,307.77,311.84,306.55,309.7,29027206
2025-04-10 16:01:40.266289,313.77,314.27,308.46,311.32,13476152
2025-04-11 16:01:40.266289,323.67,328.59,319.58,323.1,61790261
2025-04-14 16:01:40.266289,336.94,338.31,328.92,338.13,81771640
2025-04-15 16:01:40.266289,326.27,332.05,324.51,328.67,47543024
2025-04-16 16:01:40.266289,336.87,345.69,336.03,338.15,21635826
2025-04-17 16:01:40.266289,349.52,353.83,344.18,352.0,79323769
2025-04-18 16:01:40.266289,357.67,362.41,353.01,359.05,75874007
2025-04-21 16:01:40.266289,371.15,371.37,366.14,370.32,60489869
2025-04-22 16:01:40.266289,383.11,388.49,377.29,381.07,96890217
2025-04-23 16:01:40.266289,380.19,385.81,375.5,380.61,21109126
2025-04-24 16:01:40.266289,379.85,385.12,378.99,381.33,69788115
2025-04-25 16:01:40.266289,383.05,392.01,381.56,384.1,80073500
2025-04-28 16:01:40.266289,383.22,385.78,380.04,384.81,42616503
2025-04-29 16:01:40.266289,396.08,403.96,386.52,400.92,87914357
2025-04-30 16:01:40.266289,409.13,415.6,406.34,410.3,91548486
2025-05-01 16:01:40.266289,408.15,413.51,403.79,407.83,56610083
2025-05-02 16:01:40.266289,414.35,414.46,413.08,413.42,4800755
2025-05-05 16:01:40.266289,408.64,416.48,403.16,404.73,70339468
2025-05-06 16:01:40.266289,408.41,411.3,406.59,408.26,25672927
2025-05-07 16:01:40.266289,405.13,407.43,400.74,403.69,88780452
2025-05-08 16:01:40.266289,407.9,411.46,406.53,408.79,62181722
2025-05-09 16:01:40.266289,396.4,402.07,392.1,396.58,22448302
2025-05-12 16:01:40.266289,402.45,404.51,396.36,401.67,19601164
2025-05-13 16:01:40.266289,405.69,412.56,398.64,405.01,47074789
2025-05-14 16:01:40.266289,405.28,406.63,398.25,401.91,29264119
2025-05-15 16:01:40.266289,405.38,405.5,397.63,404.61,45468670
2025-05-16 16:01:40.266289,415.18,425.43,407.61,410.55,67075805
2025-05-19 16:01:40.266289,405.06,409.2,401.51,405.85,51690605
2025-05-20 16:01:40.266289,400.06,407.01,395.21,406.14,50938885
2025-05-21 16:01:40.266289,406.66,408.26,396.03,403.02,80140162
2025-05-22 16:01:40.266289,398.51,403.29,394.95,399.4,86855794
2025-05-23 16:01:40.266289,404.49,407.43,398.07,403.59,90598685
2025-05-26 16:01:40.266289,404.77,405.38,397.0,401.14,29015348
