date,open,high,low,close,volume
2024-10-24 16:01:40.421415,316.59,319.21,315.29,319.18,62509608
2024-10-25 16:01:40.421415,332.54,334.78,331.81,332.85,58540499
2024-10-28 16:01:40.421415,320.32,324.76,316.72,319.23,1230618
2024-10-29 16:01:40.421415,318.96,323.75,316.55,318.08,75691098
2024-10-30 16:01:40.421415,329.87,332.53,329.77,330.01,4187669
2024-10-31 16:01:40.421415,328.43,331.69,323.07,328.81,79908623
2024-11-01 16:01:40.421415,325.06,326.88,324.13,326.35,71243204
2024-11-04 16:01:40.421415,326.21,330.42,322.63,323.02,43289293
2024-11-05 16:01:40.421415,320.59,327.31,318.72,321.45,73552536
2024-11-06 16:01:40.421415,318.08,319.04,312.0,317.92,3795891
2024-11-07 16:01:40.421415,318.68,321.7,317.01,318.73,86961493
2024-11-08 16:01:40.421415,307.6,308.93,306.79,308.87,86505372
2024-11-11 16:01:40.421415,305.73,307.53,304.9,307.15,74791336
2024-11-12 16:01:40.421415,308.42,308.91,302.54,306.27,23578401
2024-11-13 16:01:40.421415,296.53,301.16,290.95,294.52,85901900
2024-11-14 16:01:40.421415,293.68,297.38,292.47,293.31,82720163
2024-11-15 16:01:40.421415,297.38,299.09,293.46,298.35,90046783
2024-11-18 16:01:40.421415,296.7,297.37,294.69,295.86,40323315
2024-11-19 16:01:40.421415,291.24,294.42,286.54,291.28,36486732
2024-11-20 16:01:40.421415,289.75,294.78,284.68,291.16,82973087
2024-11-21 16:01:40.421415,298.29,304.67,296.79,297.64,33248011
2024-11-22 16:01:40.421415,303.19,309.7,299.55,299.95,89325734
2024-11-25 16:01:40.421415,304.75,306.81,303.08,306.1,84799549
2024-11-26 16:01:40.421415,304.9,308.12,302.67,303.89,31763662
2024-11-27 16:01:40.421415,305.03,306.61,303.53,304.11,88474172
2024-11-28 16:01:40.421415,310.74,313.36,305.19,308.15,73440351
2024-11-29 16:01:40.421415,306.75,311.26,304.45,309.21,69566554
2024-12-02 16:01:40.421415,299.65,304.48,294.05,300.9,4203269
2024-12-03 16:01:40.421415,297.28,302.8,296.0,297.52,60970932
2024-12-04 16:01:40.421415,288.82,291.59,285.17,286.99,51455756
2024-12-05 16:01:40.421415,287.75,291.62,287.24,289.06,73191476
2024-12-06 16:01:40.421415,293.1,295.99,290.13,294.14,88553150
2024-12-09 16:01:40.421415,298.76,303.19,296.63,298.99,7432020
2024-12-10 16:01:40.421415,293.89,296.35,288.52,295.46,25948683
2024-12-11 16:01:40.421415,289.71,290.15,289.36,290.03,57990025
2024-12-12 16:01:40.421415,290.73,293.62,288.26,291.42,84537271
2024-12-13 16:01:40.421415,288.74,291.86,285.62,290.43,60431474
2024-12-16 16:01:40.421415,301.33,303.97,300.44,300.54,84796275
2024-12-17 16:01:40.421415,295.18,300.91,293.28,293.45,72263859
2024-12-18 16:01:40.421415,292.65,294.57,289.38,292.63,99446712
2024-12-19 16:01:40.421415,283.32,287.57,280.62,286.48,40936460
2024-12-20 16:01:40.421415,282.76,287.06,277.19,282.23,8133259
2024-12-23 16:01:40.421415,285.01,287.72,280.43,286.63,37194617
2024-12-24 16:01:40.421415,286.77,287.8,284.03,287.76,60643285
2024-12-25 16:01:40.421415,285.18,288.68,283.01,284.81,7085283
2024-12-26 16:01:40.421415,297.61,298.92,295.97,297.31,71918277
2024-12-27 16:01:40.421415,295.68,296.91,294.29,296.18,68086166
2024-12-30 16:01:40.421415,297.27,302.75,290.3,299.24,41887554
2024-12-31 16:01:40.421415,286.4,291.13,285.15,289.16,56498606
2025-01-01 16:01:40.421415,285.15,286.73,284.17,284.47,72103806
2025-01-02 16:01:40.421415,280.21,285.31,276.83,279.88,44891949
2025-01-03 16:01:40.421415,294.55,294.63,289.17,292.63,1645688
2025-01-06 16:01:40.421415,285.27,286.46,283.93,286.11,92728104
2025-01-07 16:01:40.421415,289.23,293.03,287.07,289.91,45179118
2025-01-08 16:01:40.421415,291.39,294.0,289.44,293.51,71292431
2025-01-09 16:01:40.421415,301.32,301.78,301.13,301.59,89275070
2025-01-10 16:01:40.421415,299.45,300.36,297.66,298.64,30005113
2025-01-13 16:01:40.421415,304.62,307.79,300.1,305.0,46241980
2025-01-14 16:01:40.421415,297.45,298.59,297.23,297.28,36617618
2025-01-15 16:01:40.421415,300.48,302.21,297.4,298.42,21221674
2025-01-16 16:01:40.421415,307.11,309.68,305.0,307.23,93100727
2025-01-17 16:01:40.421415,301.91,302.43,298.89,300.86,26383161
2025-01-20 16:01:40.421415,299.95,301.18,299.9,300.51,22809792
2025-01-21 16:01:40.421415,308.04,311.54,302.54,308.19,62716628
2025-01-22 16:01:40.421415,303.64,309.73,301.23,304.36,45089018
2025-01-23 16:01:40.421415,313.28,316.07,309.79,310.75,95805782
2025-01-24 16:01:40.421415,315.83,316.58,310.7,313.88,1801557
2025-01-27 16:01:40.421415,309.18,310.08,304.97,309.03,63706794
2025-01-28 16:01:40.421415,305.69,306.75,300.96,304.92,56563473
2025-01-29 16:01:40.421415,292.51,293.1,286.85,291.02,42708368
2025-01-30 16:01:40.421415,294.06,294.36,290.75,291.59,95048429
2025-01-31 16:01:40.421415,289.49,291.16,288.66,290.76,80697612
2025-02-03 16:01:40.421415,298.83,303.75,297.66,299.4,92519861
2025-02-04 16:01:40.421415,300.5,303.6,294.58,298.12,39851308
2025-02-05 16:01:40.421415,295.44,296.61,294.65,295.33,93950472
2025-02-06 16:01:40.421415,292.81,294.5,290.34,292.63,52601240
2025-02-07 16:01:40.421415,286.77,288.57,284.11,286.87,8928959
2025-02-10 16:01:40.421415,296.45,297.27,293.31,295.67,20384087
2025-02-11 16:01:40.421415,307.16,308.93,304.13,306.88,90752530
2025-02-12 16:01:40.421415,300.79,309.81,299.2,301.86,96248492
2025-02-13 16:01:40.421415,296.99,299.13,290.8,297.9,97482764
2025-02-14 16:01:40.421415,295.67,299.97,289.92,294.91,94169467
2025-02-17 16:01:40.421415,290.71,294.11,287.99,290.9,16918912
2025-02-18 16:01:40.421415,294.46,299.92,292.76,293.46,49614432
2025-02-19 16:01:40.421415,298.86,303.11,296.93,298.01,76146829
2025-02-20 16:01:40.421415,287.39,287.8,285.03,287.24,88275731
2025-02-21 16:01:40.421415,300.46,304.87,297.25,299.46,7594364
2025-02-24 16:01:40.421415,302.24,304.67,297.62,301.8,30437091
2025-02-25 16:01:40.421415,295.82,302.46,292.66,295.5,97021954
2025-02-26 16:01:40.421415,287.38,291.86,285.83,289.37,29952419
2025-02-27 16:01:40.421415,284.63,285.53,281.69,285.11,21066054
2025-02-28 16:01:40.421415,285.35,288.12,283.52,286.24,5699879
2025-03-03 16:01:40.421415,302.75,306.22,301.1,302.49,84595028
2025-03-04 16:01:40.421415,315.14,318.3,312.9,313.39,22724731
2025-03-05 16:01:40.421415,315.39,318.03,313.49,314.38,29097537
2025-03-06 16:01:40.421415,314.55,316.38,314.39,314.99,86304348
2025-03-07 16:01:40.421415,309.64,313.97,302.41,307.77,61906015
2025-03-10 16:01:40.421415,307.24,311.14,306.14,307.54,40234243
2025-03-11 16:01:40.421415,309.97,310.68,306.89,310.26,90136395
2025-03-12 16:01:40.421415,306.98,307.34,305.14,305.75,15166095
2025-03-13 16:01:40.421415,296.92,298.99,292.65,297.52,86490846
2025-03-14 16:01:40.421415,299.76,303.22,298.71,300.14,78886765
2025-03-17 16:01:40.421415,298.99,301.14,297.22,298.15,41147593
2025-03-18 16:01:40.421415,298.64,302.17,296.69,299.2,33149832
