date,open,high,low,close,volume
2024-10-24 16:01:40.338434,98.81,100.85,97.32,99.29,93784911
2024-10-25 16:01:40.338434,98.8,98.81,96.81,98.05,44370923
2024-10-28 16:01:40.338434,95.47,97.9,94.41,95.83,58605806
2024-10-29 16:01:40.338434,93.09,93.3,92.7,92.98,83331374
2024-10-30 16:01:40.338434,92.21,92.65,90.02,91.67,79950679
2024-10-31 16:01:40.338434,91.98,92.39,90.41,91.59,55311502
2024-11-01 16:01:40.338434,92.89,93.98,92.43,93.49,66819371
2024-11-04 16:01:40.338434,93.63,94.21,92.69,93.53,45680090
2024-11-05 16:01:40.338434,95.73,96.08,95.55,95.63,47568557
2024-11-06 16:01:40.338434,91.31,92.89,90.04,91.38,44738225
2024-11-07 16:01:40.338434,90.97,91.01,89.41,90.76,93740413
2024-11-08 16:01:40.338434,87.8,89.5,87.18,87.23,59982150
2024-11-11 16:01:40.338434,87.2,87.88,86.87,87.04,7316261
2024-11-12 16:01:40.338434,84.75,85.53,83.85,84.82,51944868
2024-11-13 16:01:40.338434,85.01,85.52,83.16,85.29,84555929
2024-11-14 16:01:40.338434,84.2,86.32,83.37,84.43,13975622
2024-11-15 16:01:40.338434,85.13,85.9,84.9,85.31,53824692
2024-11-18 16:01:40.338434,81.84,82.55,80.46,82.32,50612202
2024-11-19 16:01:40.338434,81.62,82.37,81.11,82.28,44138103
2024-11-20 16:01:40.338434,81.85,82.24,81.05,81.66,91901724
2024-11-21 16:01:40.338434,83.01,84.78,82.02,82.66,6650430
2024-11-22 16:01:40.338434,83.2,83.31,82.55,82.89,92156143
2024-11-25 16:01:40.338434,81.23,81.69,80.48,80.72,35297897
2024-11-26 16:01:40.338434,78.57,79.56,77.8,79.02,36301312
2024-11-27 16:01:40.338434,79.75,80.9,78.97,79.44,79484241
2024-11-28 16:01:40.338434,80.47,82.56,79.22,80.23,72399698
2024-11-29 16:01:40.338434,78.78,80.03,78.02,78.17,32808111
2024-12-02 16:01:40.338434,78.99,79.58,78.23,79.22,60660563
2024-12-03 16:01:40.338434,78.52,78.72,77.21,78.01,63832029
2024-12-04 16:01:40.338434,77.77,78.21,77.2,78.13,2749085
2024-12-05 16:01:40.338434,79.44,79.71,77.65,79.62,98445382
2024-12-06 16:01:40.338434,79.68,80.56,78.67,80.43,28922389
2024-12-09 16:01:40.338434,79.86,80.25,79.03,79.58,73981270
2024-12-10 16:01:40.338434,76.0,76.3,74.47,75.69,44836898
2024-12-11 16:01:40.338434,74.73,74.85,73.71,74.52,31886414
2024-12-12 16:01:40.338434,73.73,74.94,73.46,73.54,10824162
2024-12-13 16:01:40.338434,75.42,75.61,74.48,74.94,10380095
2024-12-16 16:01:40.338434,74.56,74.75,74.36,74.62,60486409
2024-12-17 16:01:40.338434,73.52,74.28,73.13,73.93,97433431
2024-12-18 16:01:40.338434,74.38,75.32,74.09,74.22,75471212
2024-12-19 16:01:40.338434,74.92,75.32,74.26,74.53,23975609
2024-12-20 16:01:40.338434,74.87,75.18,73.97,74.37,8902735
2024-12-23 16:01:40.338434,76.87,78.13,75.91,76.59,17336565
2024-12-24 16:01:40.338434,75.5,76.15,75.11,75.36,30931675
2024-12-25 16:01:40.338434,74.3,76.03,73.33,74.6,11139865
2024-12-26 16:01:40.338434,74.51,74.63,73.45,74.28,85300597
2024-12-27 16:01:40.338434,72.28,73.34,72.24,72.85,14349209
2024-12-30 16:01:40.338434,73.3,74.74,72.42,73.75,35079739
2024-12-31 16:01:40.338434,74.3,75.21,72.84,74.16,70891014
2025-01-01 16:01:40.338434,76.18,76.75,75.29,75.72,94077155
2025-01-02 16:01:40.338434,75.56,75.83,74.39,75.18,44243704
2025-01-03 16:01:40.338434,76.63,77.57,75.97,76.0,17019891
2025-01-06 16:01:40.338434,76.55,77.42,75.84,77.24,85638493
2025-01-07 16:01:40.338434,76.7,76.95,75.97,76.32,30846182
2025-01-08 16:01:40.338434,76.42,77.64,76.23,76.56,79833534
2025-01-09 16:01:40.338434,79.17,79.25,78.6,78.92,35221548
2025-01-10 16:01:40.338434,79.63,80.61,78.42,78.81,72439894
2025-01-13 16:01:40.338434,78.21,79.43,76.94,78.53,82727866
2025-01-14 16:01:40.338434,80.09,80.57,79.92,80.28,75930815
2025-01-15 16:01:40.338434,82.23,82.74,82.19,82.2,76461337
2025-01-16 16:01:40.338434,82.4,83.11,81.54,82.6,82511692
2025-01-17 16:01:40.338434,87.3,89.51,86.46,87.06,20502425
2025-01-20 16:01:40.338434,85.5,85.79,83.69,85.68,55520904
2025-01-21 16:01:40.338434,87.08,87.48,85.16,86.45,43357269
2025-01-22 16:01:40.338434,86.94,88.01,86.93,87.38,39094355
2025-01-23 16:01:40.338434,88.67,90.69,88.12,89.56,91086871
2025-01-24 16:01:40.338434,89.3,90.43,88.84,89.06,60818811
2025-01-27 16:01:40.338434,88.74,90.01,87.84,89.08,56399634
2025-01-28 16:01:40.338434,89.37,90.72,88.51,89.7,62940390
2025-01-29 16:01:40.338434,89.9,92.09,89.56,90.14,44640583
2025-01-30 16:01:40.338434,91.36,91.79,89.74,90.95,35961084
2025-01-31 16:01:40.338434,92.71,93.29,92.09,92.5,59025243
2025-02-03 16:01:40.338434,92.37,92.8,91.82,92.32,31556074
2025-02-04 16:01:40.338434,89.17,89.87,89.07,89.1,26948559
2025-02-05 16:01:40.338434,87.64,88.03,86.99,87.7,4577060
2025-02-06 16:01:40.338434,85.8,86.53,83.87,86.28,13680989
2025-02-07 16:01:40.338434,87.28,87.87,86.44,87.01,88228078
2025-02-10 16:01:40.338434,85.14,86.4,84.75,85.36,46274874
2025-02-11 16:01:40.338434,86.22,86.86,84.55,85.64,98915701
2025-02-12 16:01:40.338434,86.08,86.28,84.73,85.71,9273017
2025-02-13 16:01:40.338434,82.78,84.44,82.75,82.77,41052920
2025-02-14 16:01:40.338434,77.03,77.47,75.73,76.81,17249880
2025-02-17 16:01:40.338434,76.1,77.53,74.87,76.95,32352658
2025-02-18 16:01:40.338434,78.97,79.79,77.78,79.11,19133033
2025-02-19 16:01:40.338434,76.76,78.13,76.66,77.45,59440868
2025-02-20 16:01:40.338434,77.86,78.39,76.8,77.59,39083419
2025-02-21 16:01:40.338434,78.34,79.56,77.65,78.8,73127513
2025-02-24 16:01:40.338434,80.17,80.69,78.55,79.53,92355393
2025-02-25 16:01:40.338434,81.47,81.72,80.02,81.56,28496515
2025-02-26 16:01:40.338434,81.59,82.24,81.33,81.46,90286611
2025-02-27 16:01:40.338434,83.79,85.22,82.28,83.38,5348135
2025-02-28 16:01:40.338434,84.36,84.95,83.7,84.48,12390057
2025-03-03 16:01:40.338434,84.95,85.49,84.38,85.4,27415526
2025-03-04 16:01:40.338434,85.46,86.11,84.6,85.36,52171623
2025-03-05 16:01:40.338434,85.31,86.18,84.32,85.38,77645606
2025-03-06 16:01:40.338434,86.82,88.08,85.9,87.78,88596451
2025-03-07 16:01:40.338434,87.91,88.77,87.9,88.06,2611590
2025-03-10 16:01:40.338434,86.41,87.36,85.61,86.45,80243543
2025-03-11 16:01:40.338434,86.18,86.63,84.79,85.73,69284560
2025-03-12 16:01:40.338434,84.63,85.42,84.31,84.85,65941567
2025-03-13 16:01:40.338434,81.18,81.82,80.01,81.76,33021534
2025-03-14 16:01:40.338434,82.14,82.67,80.9,82.56,79112600
2025-03-17 16:01:40.338434,85.17,85.49,84.45,84.65,42478819
2025-03-18 16:01:40.338434,83.38,84.09,82.35,83.55,35659076
2025-03-19 16:01:40.338434,82.25,83.87,81.93,82.25,65694185
2025-03-20 16:01:40.338434,83.69,83.73,83.32,83.44,42971792
2025-03-21 16:01:40.338434,85.32,86.67,84.37,85.54,86643092
2025-03-24 16:01:40.338434,86.51,86.92,86.18,86.44,65717269
2025-03-25 16:01:40.338434,83.9,84.71,81.65,84.28,8101214
2025-03-26 16:01:40.338434,84.39,85.12,83.11,84.53,64392929
2025-03-27 16:01:40.338434,85.42,86.2,85.05,86.03,88804699
2025-03-28 16:01:40.338434,86.3,87.28,85.87,86.47,77766404
2025-03-31 16:01:40.338434,86.48,86.63,85.54,85.75,62860207
2025-04-01 16:01:40.338434,86.15,86.48,84.55,85.95,54898904
2025-04-02 16:01:40.338434,87.33,88.53,85.91,87.34,79318317
2025-04-03 16:01:40.338434,89.23,90.05,88.5,89.03,52226148
2025-04-04 16:01:40.338434,88.81,89.47,88.28,89.32,71095127
2025-04-07 16:01:40.338434,87.76,87.99,87.07,87.56,34040135
2025-04-08 16:01:40.338434,84.96,87.47,84.3,85.12,38351290
2025-04-09 16:01:40.338434,83.1,84.36,80.66,82.69,94383264
2025-04-10 16:01:40.338434,81.18,81.44,80.34,80.9,56336750
2025-04-11 16:01:40.338434,81.14,81.66,80.77,81.49,14955194
2025-04-14 16:01:40.338434,80.12,81.42,79.44,79.75,6638519
2025-04-15 16:01:40.338434,76.0,77.45,75.41,76.13,97200812
2025-04-16 16:01:40.338434,75.96,76.03,74.99,75.3,14478789
2025-04-17 16:01:40.338434,75.1,76.4,74.55,75.7,98457915
2025-04-18 16:01:40.338434,75.51,76.2,75.31,76.0,78139853
2025-04-21 16:01:40.338434,74.63,75.22,73.95,74.42,89099742
