date,open,high,low,close,volume
2024-10-24 16:01:40.219234,109.14,110.16,107.19,108.86,35870419
2024-10-25 16:01:40.219234,107.94,108.42,107.21,107.33,28878149
2024-10-28 16:01:40.219234,107.34,108.5,106.57,106.82,74365164
2024-10-29 16:01:40.219234,107.42,109.28,106.87,108.18,57408345
2024-10-30 16:01:40.219234,109.39,110.13,109.03,109.33,22651606
2024-10-31 16:01:40.219234,109.65,111.31,109.44,109.46,83769284
2024-11-01 16:01:40.219234,112.91,113.04,112.89,112.95,2209240
2024-11-04 16:01:40.219234,111.61,113.27,109.69,111.53,6891548
2024-11-05 16:01:40.219234,112.14,112.62,111.72,111.87,41946849
2024-11-06 16:01:40.219234,110.11,111.6,108.45,109.69,40085497
2024-11-07 16:01:40.219234,110.89,110.96,110.02,110.57,60484935
2024-11-08 16:01:40.219234,112.08,113.21,111.18,111.59,1102323
2024-11-11 16:01:40.219234,112.93,113.31,110.7,111.83,32527027
2024-11-12 16:01:40.219234,111.91,112.07,111.11,112.03,81353122
2024-11-13 16:01:40.219234,111.55,111.93,110.33,111.62,60214363
2024-11-14 16:01:40.219234,112.97,113.69,111.42,112.58,37424840
2024-11-15 16:01:40.219234,114.15,114.64,113.03,114.15,76262963
2024-11-18 16:01:40.219234,110.98,112.49,110.91,111.17,15662305
2024-11-19 16:01:40.219234,110.26,112.3,109.9,110.51,28699386
2024-11-20 16:01:40.219234,110.01,110.46,108.59,109.66,65069085
2024-11-21 16:01:40.219234,111.55,112.97,110.27,111.3,67555280
2024-11-22 16:01:40.219234,115.4,116.56,113.85,114.33,3183200
2024-11-25 16:01:40.219234,114.85,115.83,113.36,115.44,43579767
2024-11-26 16:01:40.219234,115.25,116.94,114.91,115.83,35233148
2024-11-27 16:01:40.219234,113.95,114.51,112.98,113.91,68774320
2024-11-28 16:01:40.219234,118.25,119.93,117.69,118.71,34348388
2024-11-29 16:01:40.219234,115.31,118.25,114.56,116.35,56117836
2024-12-02 16:01:40.219234,112.96,113.62,112.24,113.2,36134759
2024-12-03 16:01:40.219234,116.28,116.45,114.73,115.04,8442790
2024-12-04 16:01:40.219234,115.19,116.97,113.25,113.77,57722230
2024-12-05 16:01:40.219234,116.05,118.38,114.96,115.74,35359309
2024-12-06 16:01:40.219234,118.81,121.51,118.8,119.48,18788167
2024-12-09 16:01:40.219234,118.34,119.09,116.4,118.8,61711071
2024-12-10 16:01:40.219234,120.09,122.84,118.64,120.03,6522314
2024-12-11 16:01:40.219234,118.58,119.06,117.01,118.88,89374596
2024-12-12 16:01:40.219234,119.2,120.68,118.04,119.1,79296753
2024-12-13 16:01:40.219234,118.82,118.85,118.61,118.8,35137764
2024-12-16 16:01:40.219234,120.62,121.46,118.78,121.37,84065900
2024-12-17 16:01:40.219234,119.91,120.12,119.46,119.94,62946308
2024-12-18 16:01:40.219234,118.48,118.56,118.17,118.2,37731713
2024-12-19 16:01:40.219234,117.5,119.5,115.91,117.72,66772317
2024-12-20 16:01:40.219234,120.04,121.89,119.15,119.48,15946636
2024-12-23 16:01:40.219234,117.45,118.82,116.27,117.42,72859067
2024-12-24 16:01:40.219234,114.35,116.67,113.71,114.42,6703205
2024-12-25 16:01:40.219234,117.49,117.83,115.15,117.45,64646704
2024-12-26 16:01:40.219234,111.56,113.91,111.53,111.86,12741287
2024-12-27 16:01:40.219234,108.94,110.25,105.94,108.72,97448666
2024-12-30 16:01:40.219234,113.58,115.03,113.14,114.07,99168912
2024-12-31 16:01:40.219234,111.08,111.47,107.08,109.77,65319886
2025-01-01 16:01:40.219234,109.84,110.42,108.22,108.74,56936317
2025-01-02 16:01:40.219234,107.18,107.75,106.22,107.22,58561696
2025-01-03 16:01:40.219234,102.25,103.13,100.24,101.96,3492445
2025-01-06 16:01:40.219234,100.05,101.45,98.72,99.75,42333919
2025-01-07 16:01:40.219234,100.66,101.11,99.96,100.36,41702385
2025-01-08 16:01:40.219234,102.42,102.75,100.46,102.07,40928838
2025-01-09 16:01:40.219234,105.0,105.04,104.5,104.6,68966396
2025-01-10 16:01:40.219234,104.13,104.53,103.13,103.77,94676234
2025-01-13 16:01:40.219234,99.26,100.83,97.42,99.65,63722980
