date,open,high,low,close,volume
2024-10-24 16:01:40.247547,123.64,124.99,121.24,123.25,3122551
2024-10-25 16:01:40.247547,128.62,128.75,127.23,127.74,7150398
2024-10-28 16:01:40.247547,127.16,127.48,125.48,127.13,40624000
2024-10-29 16:01:40.247547,129.02,130.51,127.76,128.32,78149569
2024-10-30 16:01:40.247547,121.29,125.97,120.3,122.96,64552038
2024-10-31 16:01:40.247547,123.25,125.9,123.25,123.55,75733451
2024-11-01 16:01:40.247547,125.28,126.24,125.07,125.86,84293095
2024-11-04 16:01:40.247547,120.67,122.0,118.01,120.25,15265304
2024-11-05 16:01:40.247547,121.71,123.7,121.31,122.16,55971736
2024-11-06 16:01:40.247547,128.03,128.39,126.83,127.41,23257503
2024-11-07 16:01:40.247547,127.23,128.25,125.93,126.73,46309195
2024-11-08 16:01:40.247547,128.45,129.66,127.4,128.84,73988597
2024-11-11 16:01:40.247547,126.2,127.06,124.53,126.05,2726162
2024-11-12 16:01:40.247547,128.52,129.8,127.34,128.66,63440916
2024-11-13 16:01:40.247547,130.22,130.46,128.47,130.15,25151339
2024-11-14 16:01:40.247547,131.3,131.46,127.81,130.8,82392436
2024-11-15 16:01:40.247547,131.09,131.37,129.42,131.3,88915502
2024-11-18 16:01:40.247547,131.38,133.2,129.48,132.48,68647423
2024-11-19 16:01:40.247547,132.72,134.8,131.75,132.32,85079163
2024-11-20 16:01:40.247547,130.24,130.51,127.36,129.54,7340810
2024-11-21 16:01:40.247547,128.05,129.91,127.45,129.15,66964632
2024-11-22 16:01:40.247547,129.02,130.92,128.97,129.05,37822656
2024-11-25 16:01:40.247547,125.19,126.0,124.61,125.78,34384928
2024-11-26 16:01:40.247547,126.21,127.04,124.77,125.5,59837096
2024-11-27 16:01:40.247547,126.1,126.64,125.35,125.36,73093274
2024-11-28 16:01:40.247547,123.46,124.41,122.03,123.96,71006420
2024-11-29 16:01:40.247547,124.13,126.91,123.28,124.95,52700429
2024-12-02 16:01:40.247547,126.77,127.04,125.39,126.62,22270326
2024-12-03 16:01:40.247547,124.12,125.38,122.21,124.81,99341871
2024-12-04 16:01:40.247547,125.79,126.61,123.22,125.25,27746754
2024-12-05 16:01:40.247547,127.73,129.65,124.48,127.81,48796328
2024-12-06 16:01:40.247547,126.03,127.39,124.94,125.03,45937790
2024-12-09 16:01:40.247547,121.55,123.02,120.52,120.55,97517817
2024-12-10 16:01:40.247547,119.02,119.42,117.2,118.11,36316848
2024-12-11 16:01:40.247547,119.75,122.07,117.99,119.51,85137347
2024-12-12 16:01:40.247547,117.78,119.95,116.63,118.34,73428779
2024-12-13 16:01:40.247547,114.33,116.55,112.5,115.18,32939133
2024-12-16 16:01:40.247547,118.83,118.97,117.49,118.48,26278421
2024-12-17 16:01:40.247547,115.85,117.09,114.47,115.46,2610189
2024-12-18 16:01:40.247547,115.21,115.25,113.9,115.06,20837295
2024-12-19 16:01:40.247547,116.19,117.22,115.65,116.97,96716936
2024-12-20 16:01:40.247547,118.26,120.67,118.26,118.74,83236225
2024-12-23 16:01:40.247547,119.91,121.38,119.66,119.86,99692836
2024-12-24 16:01:40.247547,117.78,120.21,117.55,118.14,56495940
2024-12-25 16:01:40.247547,119.16,121.69,118.58,119.63,80591825
2024-12-26 16:01:40.247547,119.12,121.88,117.88,119.69,82542058
2024-12-27 16:01:40.247547,120.72,123.89,120.52,120.8,62850335
2024-12-30 16:01:40.247547,124.41,126.47,123.95,124.54,45211624
2024-12-31 16:01:40.247547,120.83,121.62,120.69,121.33,93546155
2025-01-01 16:01:40.247547,122.4,122.92,121.15,122.39,12787284
2025-01-02 16:01:40.247547,122.96,124.69,121.15,122.8,93579447
2025-01-03 16:01:40.247547,125.64,126.04,124.6,125.42,66140653
2025-01-06 16:01:40.247547,129.84,132.0,128.79,130.46,34713380
2025-01-07 16:01:40.247547,135.41,136.69,134.42,135.62,18754455
2025-01-08 16:01:40.247547,138.18,139.87,136.1,138.17,54462208
2025-01-09 16:01:40.247547,136.48,137.84,136.15,136.39,79346395
2025-01-10 16:01:40.247547,134.26,136.27,133.48,135.16,3758641
2025-01-13 16:01:40.247547,137.12,138.1,136.73,137.36,44257444
2025-01-14 16:01:40.247547,133.94,134.87,133.38,133.55,44195798
2025-01-15 16:01:40.247547,132.5,135.08,132.21,132.89,68842344
2025-01-16 16:01:40.247547,131.01,131.9,130.29,130.78,18678170
2025-01-17 16:01:40.247547,127.47,129.94,127.0,127.46,34932482
2025-01-20 16:01:40.247547,127.89,130.05,127.84,128.19,32451795
2025-01-21 16:01:40.247547,131.29,131.33,130.21,130.47,15743415
2025-01-22 16:01:40.247547,132.04,132.89,130.75,132.24,49836684
2025-01-23 16:01:40.247547,132.47,132.94,131.94,132.61,55614149
2025-01-24 16:01:40.247547,131.3,132.81,128.13,131.62,20392343
2025-01-27 16:01:40.247547,131.1,133.38,129.79,130.13,19032474
2025-01-28 16:01:40.247547,133.61,134.37,132.67,132.69,63918193
2025-01-29 16:01:40.247547,131.98,132.69,130.16,131.23,60881314
2025-01-30 16:01:40.247547,130.27,130.65,127.91,129.71,87138431
2025-01-31 16:01:40.247547,130.34,130.96,129.8,130.92,33150450
2025-02-03 16:01:40.247547,127.86,129.08,127.54,128.15,22975588
2025-02-04 16:01:40.247547,127.92,128.51,127.75,128.42,65295885
2025-02-05 16:01:40.247547,127.61,128.7,124.63,126.96,72509593
2025-02-06 16:01:40.247547,126.58,127.65,124.53,125.12,79713799
2025-02-07 16:01:40.247547,124.89,126.35,123.29,124.46,21490484
2025-02-10 16:01:40.247547,127.64,127.78,126.39,126.58,39660780
2025-02-11 16:01:40.247547,127.4,128.71,125.96,127.1,89109054
2025-02-12 16:01:40.247547,128.16,128.7,127.4,127.96,70579038
2025-02-13 16:01:40.247547,129.77,130.88,129.4,130.15,3533447
2025-02-14 16:01:40.247547,132.39,133.82,130.84,131.98,44598557
2025-02-17 16:01:40.247547,132.09,133.64,131.47,131.49,92437754
2025-02-18 16:01:40.247547,133.85,134.09,130.3,133.15,82261942
2025-02-19 16:01:40.247547,132.75,134.41,129.57,132.69,40061684
2025-02-20 16:01:40.247547,134.14,135.27,133.05,134.0,62103481
2025-02-21 16:01:40.247547,137.11,138.07,136.49,137.15,87859230
2025-02-24 16:01:40.247547,138.37,141.94,137.69,138.77,21398238
2025-02-25 16:01:40.247547,135.63,138.38,134.37,135.04,36310242
2025-02-26 16:01:40.247547,132.33,133.63,131.45,133.6,50930660
2025-02-27 16:01:40.247547,134.41,135.69,131.64,135.55,97755661
2025-02-28 16:01:40.247547,128.93,129.56,128.69,129.29,76078904
2025-03-03 16:01:40.247547,129.42,130.93,129.07,130.24,18501934
2025-03-04 16:01:40.247547,131.76,132.02,129.79,131.04,38798973
2025-03-05 16:01:40.247547,138.89,141.28,138.31,139.2,84228157
2025-03-06 16:01:40.247547,141.18,141.31,139.87,140.57,77395447
2025-03-07 16:01:40.247547,141.18,141.41,140.2,140.26,18340632
2025-03-10 16:01:40.247547,143.98,145.3,139.94,143.94,29622272
2025-03-11 16:01:40.247547,143.12,145.15,142.17,142.89,34879486
2025-03-12 16:01:40.247547,143.93,145.16,142.18,143.05,54444854
2025-03-13 16:01:40.247547,144.08,146.49,142.32,143.37,62990747
2025-03-14 16:01:40.247547,143.8,145.93,142.22,145.31,86331711
2025-03-17 16:01:40.247547,142.12,143.14,141.86,142.41,74028615
2025-03-18 16:01:40.247547,145.46,146.06,141.61,145.09,37758887
2025-03-19 16:01:40.247547,143.61,146.41,143.12,143.45,92498845
2025-03-20 16:01:40.247547,149.4,150.78,145.96,150.15,53497821
2025-03-21 16:01:40.247547,144.02,147.16,143.69,145.26,24077288
2025-03-24 16:01:40.247547,143.32,144.01,141.28,142.88,27605253
2025-03-25 16:01:40.247547,136.09,136.98,134.21,136.66,38689270
2025-03-26 16:01:40.247547,145.83,146.44,145.44,145.93,74047372
2025-03-27 16:01:40.247547,142.17,143.97,140.35,142.07,9809096
2025-03-28 16:01:40.247547,144.39,145.77,143.57,144.5,16263729
2025-03-31 16:01:40.247547,146.19,148.2,145.84,146.87,23656531
2025-04-01 16:01:40.247547,143.94,144.1,142.82,144.0,12962288
2025-04-02 16:01:40.247547,146.11,147.66,144.24,146.51,48262426
2025-04-03 16:01:40.247547,144.32,144.99,143.12,143.13,67866705
2025-04-04 16:01:40.247547,140.77,140.89,139.25,140.62,68035064
2025-04-07 16:01:40.247547,137.64,138.75,135.53,135.89,58817513
2025-04-08 16:01:40.247547,137.04,139.42,136.71,137.95,9615664
2025-04-09 16:01:40.247547,131.95,132.72,130.55,132.15,57139527
2025-04-10 16:01:40.247547,133.12,134.01,132.71,133.33,13583995
2025-04-11 16:01:40.247547,132.48,134.62,131.73,133.0,7478450
2025-04-14 16:01:40.247547,138.0,138.53,136.34,138.24,27456727
2025-04-15 16:01:40.247547,138.04,138.89,137.19,138.37,38568615
2025-04-16 16:01:40.247547,140.32,142.61,137.6,141.01,21641754
2025-04-17 16:01:40.247547,143.93,145.87,141.45,142.65,71960562
2025-04-18 16:01:40.247547,142.3,143.54,142.2,142.36,5592775
2025-04-21 16:01:40.247547,146.61,148.43,145.88,145.93,23087079
2025-04-22 16:01:40.247547,147.92,148.68,145.44,147.19,62982446
2025-04-23 16:01:40.247547,151.25,151.56,149.87,150.17,85343200
2025-04-24 16:01:40.247547,146.45,147.97,145.14,147.17,80313997
2025-04-25 16:01:40.247547,149.87,151.43,147.02,148.93,91450324
2025-04-28 16:01:40.247547,151.56,152.01,151.47,151.62,53109600
2025-04-29 16:01:40.247547,149.56,152.43,147.39,148.06,75739560
2025-04-30 16:01:40.247547,148.24,148.31,146.82,147.85,91660918
2025-05-01 16:01:40.247547,141.5,142.56,140.85,142.32,92891520
2025-05-02 16:01:40.247547,138.33,141.42,136.24,137.46,86643405
2025-05-05 16:01:40.247547,138.11,138.54,135.88,137.31,64512795
2025-05-06 16:01:40.247547,141.98,143.91,141.07,142.91,77078616
2025-05-07 16:01:40.247547,149.53,151.06,147.1,148.98,54080703
2025-05-08 16:01:40.247547,149.2,149.89,145.52,148.02,96536406
2025-05-09 16:01:40.247547,145.32,145.67,142.55,144.98,21892330
2025-05-12 16:01:40.247547,147.29,149.35,145.34,148.01,3958182
2025-05-13 16:01:40.247547,142.36,144.5,140.97,141.64,51992923
2025-05-14 16:01:40.247547,140.89,140.89,139.19,140.42,1863366
2025-05-15 16:01:40.247547,138.0,139.92,136.24,138.16,95857592
2025-05-16 16:01:40.247547,137.61,138.29,137.56,137.93,91866895
2025-05-19 16:01:40.247547,142.68,144.61,141.89,142.21,95234757
2025-05-20 16:01:40.247547,133.74,136.38,133.21,134.35,4224513
2025-05-21 16:01:40.247547,135.44,135.75,132.33,135.3,21914518
2025-05-22 16:01:40.247547,137.18,137.35,136.11,136.36,26391617
2025-05-23 16:01:40.247547,137.25,138.01,135.02,136.21,23782104
2025-05-26 16:01:40.247547,136.76,138.29,135.02,137.12,49651141
