date,open,high,low,close,volume
2024-10-24 16:01:40.558289,86.91,87.53,86.39,86.64,51762706
2024-10-25 16:01:40.558289,85.12,86.39,83.8,85.51,65359644
2024-10-28 16:01:40.558289,86.14,86.42,84.57,85.36,12052140
2024-10-29 16:01:40.558289,85.96,86.2,84.98,85.95,84935642
2024-10-30 16:01:40.558289,85.56,86.94,85.46,85.77,23353196
2024-10-31 16:01:40.558289,84.91,86.49,84.5,85.9,51215010
2024-11-01 16:01:40.558289,84.11,84.42,83.48,83.97,68203072
2024-11-04 16:01:40.558289,84.5,85.01,83.69,84.31,72244052
2024-11-05 16:01:40.558289,82.61,83.52,81.22,82.81,83760693
2024-11-06 16:01:40.558289,83.12,84.33,82.57,82.96,87483854
2024-11-07 16:01:40.558289,81.06,81.51,78.59,80.73,14246967
2024-11-08 16:01:40.558289,77.51,78.64,76.95,77.78,95260684
2024-11-11 16:01:40.558289,78.44,78.71,77.76,78.29,13289707
2024-11-12 16:01:40.558289,80.11,81.49,79.02,80.06,36662053
2024-11-13 16:01:40.558289,80.58,81.05,80.19,81.03,29694804
2024-11-14 16:01:40.558289,81.63,82.67,80.45,81.55,13338779
2024-11-15 16:01:40.558289,80.74,81.16,80.06,81.15,51516135
2024-11-18 16:01:40.558289,85.29,86.49,84.43,85.11,13286681
2024-11-19 16:01:40.558289,85.26,85.48,84.27,85.43,95842301
2024-11-20 16:01:40.558289,88.27,90.06,87.88,88.02,24376092
2024-11-21 16:01:40.558289,90.75,90.93,88.77,90.87,86184565
2024-11-22 16:01:40.558289,90.62,93.01,89.6,90.74,46418543
2024-11-25 16:01:40.558289,91.38,92.73,91.25,91.6,21898056
2024-11-26 16:01:40.558289,93.76,94.19,92.25,93.49,76104178
2024-11-27 16:01:40.558289,94.56,95.21,93.01,94.73,38504145
2024-11-28 16:01:40.558289,94.88,95.11,94.19,94.48,89235094
2024-11-29 16:01:40.558289,93.37,94.81,93.23,93.99,35413890
2024-12-02 16:01:40.558289,95.9,97.22,94.53,96.48,3492742
2024-12-03 16:01:40.558289,95.28,95.56,94.35,95.39,33290811
2024-12-04 16:01:40.558289,93.5,94.39,92.11,93.08,39132642
2024-12-05 16:01:40.558289,95.48,96.01,94.76,95.24,27522016
2024-12-06 16:01:40.558289,92.78,93.53,92.27,93.04,57068280
2024-12-09 16:01:40.558289,91.32,92.8,90.44,91.39,46168530
2024-12-10 16:01:40.558289,89.76,90.75,88.73,90.23,58366040
2024-12-11 16:01:40.558289,90.92,91.22,89.54,91.0,47906654
2024-12-12 16:01:40.558289,95.14,95.7,94.09,94.58,63094612
2024-12-13 16:01:40.558289,91.93,93.05,90.52,92.16,30511472
2024-12-16 16:01:40.558289,89.42,89.48,88.61,89.2,75580917
2024-12-17 16:01:40.558289,90.33,92.38,89.08,89.43,38482610
2024-12-18 16:01:40.558289,90.89,91.15,90.35,90.51,41093770
2024-12-19 16:01:40.558289,90.64,90.86,90.08,90.74,68535695
2024-12-20 16:01:40.558289,89.44,89.88,88.75,89.44,86093216
2024-12-23 16:01:40.558289,87.86,88.96,86.75,88.42,95688175
2024-12-24 16:01:40.558289,86.79,88.16,85.64,86.8,29056430
2024-12-25 16:01:40.558289,85.33,87.59,84.25,85.98,31384171
2024-12-26 16:01:40.558289,85.91,86.45,84.8,86.15,53036304
2024-12-27 16:01:40.558289,85.11,85.72,83.96,85.41,36858239
2024-12-30 16:01:40.558289,84.14,85.55,81.83,83.78,88073035
2024-12-31 16:01:40.558289,81.47,81.96,81.06,81.26,56021374
2025-01-01 16:01:40.558289,80.23,81.11,80.1,81.09,85198988
2025-01-02 16:01:40.558289,79.94,80.64,79.03,79.08,81499314
2025-01-03 16:01:40.558289,74.51,75.0,72.61,74.2,2614644
2025-01-06 16:01:40.558289,72.49,73.77,71.31,73.17,54743323
2025-01-07 16:01:40.558289,72.66,73.92,71.72,72.79,47521567
2025-01-08 16:01:40.558289,74.69,76.05,74.64,75.26,57745942
2025-01-09 16:01:40.558289,75.28,76.53,74.06,74.65,14458009
2025-01-10 16:01:40.558289,75.22,76.66,74.44,75.18,18206967
2025-01-13 16:01:40.558289,75.79,75.95,74.92,75.65,17132302
