date,open,high,low,close,volume
2024-10-24 16:01:40.574364,47.33,47.61,46.05,47.55,40757850
2024-10-25 16:01:40.574364,48.59,48.81,48.34,48.52,21729676
2024-10-28 16:01:40.574364,49.92,50.42,49.17,49.79,68311758
2024-10-29 16:01:40.574364,48.56,49.3,47.54,49.14,10386738
2024-10-30 16:01:40.574364,47.98,48.34,47.54,48.03,71964369
2024-10-31 16:01:40.574364,46.73,47.05,45.77,46.71,69839328
2024-11-01 16:01:40.574364,48.21,48.35,47.33,48.23,85823915
2024-11-04 16:01:40.574364,48.38,48.43,47.6,48.09,94557121
2024-11-05 16:01:40.574364,46.89,47.21,46.75,47.18,85812513
2024-11-06 16:01:40.574364,45.67,46.37,45.32,45.81,19249831
2024-11-07 16:01:40.574364,45.95,46.17,45.64,45.95,43763682
2024-11-08 16:01:40.574364,46.97,47.2,46.26,46.84,93789202
2024-11-11 16:01:40.574364,47.18,48.07,46.61,47.55,99712472
2024-11-12 16:01:40.574364,47.74,47.86,47.02,47.42,73081228
2024-11-13 16:01:40.574364,46.27,46.68,46.03,46.34,50965956
2024-11-14 16:01:40.574364,46.05,46.34,45.29,46.1,23468723
2024-11-15 16:01:40.574364,46.8,47.61,46.61,46.83,51719828
2024-11-18 16:01:40.574364,46.37,46.97,45.82,46.4,43992739
2024-11-19 16:01:40.574364,47.56,47.89,47.13,47.3,16383557
2024-11-20 16:01:40.574364,46.72,46.91,46.59,46.59,24562717
2024-11-21 16:01:40.574364,47.86,48.24,47.32,48.22,92230566
2024-11-22 16:01:40.574364,48.85,49.29,48.21,48.61,8876864
2024-11-25 16:01:40.574364,48.8,48.99,48.48,48.67,27915959
2024-11-26 16:01:40.574364,47.17,47.28,46.76,47.09,25991475
2024-11-27 16:01:40.574364,49.2,49.42,48.75,48.97,49855663
2024-11-28 16:01:40.574364,49.96,50.23,49.44,50.19,61721894
2024-11-29 16:01:40.574364,51.05,51.06,50.53,50.73,56083305
2024-12-02 16:01:40.574364,50.93,51.22,49.81,50.8,48734387
2024-12-03 16:01:40.574364,49.44,50.1,49.14,49.42,20922652
2024-12-04 16:01:40.574364,48.83,49.43,48.49,49.07,17888370
2024-12-05 16:01:40.574364,48.17,48.31,47.76,48.0,97003293
2024-12-06 16:01:40.574364,46.66,46.84,46.3,46.83,6423123
2024-12-09 16:01:40.574364,46.21,46.34,46.12,46.25,11337714
2024-12-10 16:01:40.574364,46.83,47.46,46.75,47.1,13006965
2024-12-11 16:01:40.574364,46.9,47.54,46.44,47.3,36121429
2024-12-12 16:01:40.574364,48.44,48.55,47.77,48.26,65867892
2024-12-13 16:01:40.574364,50.03,50.29,49.19,49.83,86885747
2024-12-16 16:01:40.574364,52.07,52.09,51.48,51.78,95873247
2024-12-17 16:01:40.574364,52.0,52.1,51.56,51.74,75551419
2024-12-18 16:01:40.574364,52.38,53.69,51.81,52.67,22182619
2024-12-19 16:01:40.574364,53.69,53.88,53.42,53.44,36492016
2024-12-20 16:01:40.574364,53.13,53.47,51.79,52.73,50509759
2024-12-23 16:01:40.574364,53.43,54.29,52.93,53.88,94489407
2024-12-24 16:01:40.574364,52.34,53.02,52.12,52.78,80445746
2024-12-25 16:01:40.574364,53.45,54.72,53.43,53.89,2694895
2024-12-26 16:01:40.574364,53.83,54.47,53.37,54.14,84465500
2024-12-27 16:01:40.574364,53.73,54.62,53.31,54.17,29360215
2024-12-30 16:01:40.574364,53.44,54.27,53.25,53.57,54094645
2024-12-31 16:01:40.574364,54.1,54.98,53.15,53.71,97157704
2025-01-01 16:01:40.574364,53.37,53.6,52.86,53.22,98762367
2025-01-02 16:01:40.574364,55.43,55.77,54.69,55.3,53319374
2025-01-03 16:01:40.574364,55.27,55.61,54.61,55.0,76750666
2025-01-06 16:01:40.574364,53.22,53.77,52.8,53.69,26556389
2025-01-07 16:01:40.574364,54.48,56.49,53.78,54.87,25503205
2025-01-08 16:01:40.574364,55.67,56.17,54.58,55.35,31951595
2025-01-09 16:01:40.574364,54.36,55.06,53.93,54.55,38490914
2025-01-10 16:01:40.574364,55.96,55.97,55.71,55.83,11352102
2025-01-13 16:01:40.574364,53.88,55.19,53.15,54.02,77306435
