date,open,high,low,close,volume
2024-10-24 16:01:40.293878,78.21,78.98,77.58,78.36,22218561
2024-10-25 16:01:40.293878,78.68,79.74,78.03,78.28,81960122
2024-10-28 16:01:40.293878,75.54,76.27,74.96,76.11,66960781
2024-10-29 16:01:40.293878,76.41,77.03,75.36,76.37,76211676
2024-10-30 16:01:40.293878,74.62,75.64,74.48,75.26,79110968
2024-10-31 16:01:40.293878,75.48,75.59,73.57,75.23,53730552
2024-11-01 16:01:40.293878,73.56,75.52,72.82,74.29,3355539
2024-11-04 16:01:40.293878,74.04,75.05,73.9,74.09,16220522
2024-11-05 16:01:40.293878,73.15,73.27,72.47,72.53,26441607
2024-11-06 16:01:40.293878,75.99,76.77,74.83,75.53,70062090
2024-11-07 16:01:40.293878,75.95,76.69,75.52,75.86,72617872
2024-11-08 16:01:40.293878,75.66,75.99,74.92,75.57,61332292
2024-11-11 16:01:40.293878,74.06,75.32,73.96,74.88,33191808
2024-11-12 16:01:40.293878,79.7,79.99,78.81,79.27,59000844
2024-11-13 16:01:40.293878,80.11,80.39,79.4,79.9,91281000
2024-11-14 16:01:40.293878,81.87,82.61,81.15,82.39,13679866
2024-11-15 16:01:40.293878,82.07,83.35,81.33,82.29,88764309
2024-11-18 16:01:40.293878,82.11,83.45,81.61,82.09,7259919
2024-11-19 16:01:40.293878,80.74,80.81,80.2,80.46,7509116
2024-11-20 16:01:40.293878,80.96,81.36,80.17,80.78,45378690
2024-11-21 16:01:40.293878,80.93,82.17,80.25,81.9,35456885
2024-11-22 16:01:40.293878,79.03,80.27,78.39,79.36,70785914
2024-11-25 16:01:40.293878,79.96,80.13,79.16,79.67,11489800
2024-11-26 16:01:40.293878,80.27,80.3,79.84,80.24,35663410
2024-11-27 16:01:40.293878,77.31,77.8,76.75,77.67,34511773
2024-11-28 16:01:40.293878,77.82,78.15,77.23,77.76,34709539
2024-11-29 16:01:40.293878,78.95,79.84,78.29,78.78,67258849
2024-12-02 16:01:40.293878,77.67,78.45,76.94,77.68,25557723
2024-12-03 16:01:40.293878,79.69,80.87,79.35,79.74,77749582
