date,open,high,low,close,volume
2024-10-24 16:01:40.393826,172.5,172.8,168.65,172.69,79723258
2024-10-25 16:01:40.393826,168.78,170.6,167.22,169.38,35314158
2024-10-28 16:01:40.393826,168.22,169.87,166.76,168.33,95306930
2024-10-29 16:01:40.393826,169.24,170.34,167.49,169.87,66638447
2024-10-30 16:01:40.393826,171.19,171.27,168.82,171.2,42923570
2024-10-31 16:01:40.393826,170.06,173.06,167.53,171.13,46142408
2024-11-01 16:01:40.393826,169.27,171.14,168.27,168.93,56309996
2024-11-04 16:01:40.393826,166.92,167.27,164.5,165.84,44050302
2024-11-05 16:01:40.393826,170.29,172.84,167.38,169.92,9599978
2024-11-06 16:01:40.393826,174.66,178.1,171.84,174.84,17790693
2024-11-07 16:01:40.393826,177.13,179.88,173.19,175.48,13610664
2024-11-08 16:01:40.393826,171.41,171.67,169.99,171.39,82995971
2024-11-11 16:01:40.393826,170.44,172.55,169.07,170.48,59429204
2024-11-12 16:01:40.393826,170.1,171.39,169.17,169.83,74613190
2024-11-13 16:01:40.393826,172.12,175.46,171.63,172.59,1839499
2024-11-14 16:01:40.393826,178.05,180.44,175.66,177.28,18026891
2024-11-15 16:01:40.393826,171.83,173.1,170.68,171.19,87545998
2024-11-18 16:01:40.393826,164.9,167.37,164.29,165.98,71133262
2024-11-19 16:01:40.393826,169.69,171.07,168.16,170.61,55747861
2024-11-20 16:01:40.393826,178.39,179.55,176.13,177.74,65953153
2024-11-21 16:01:40.393826,174.39,176.69,173.59,175.37,55778998
2024-11-22 16:01:40.393826,170.28,173.73,169.87,171.03,2912726
2024-11-25 16:01:40.393826,176.13,178.06,175.86,176.48,49618361
2024-11-26 16:01:40.393826,178.34,181.76,177.38,179.23,66692382
2024-11-27 16:01:40.393826,179.32,183.05,176.41,178.87,7847584
2024-11-28 16:01:40.393826,175.75,177.28,175.27,175.5,83118905
2024-11-29 16:01:40.393826,180.76,182.46,179.7,180.42,72700213
2024-12-02 16:01:40.393826,170.3,172.76,168.3,171.07,26865986
2024-12-03 16:01:40.393826,182.38,183.06,177.59,181.24,78568750
2024-12-04 16:01:40.393826,179.13,180.25,176.15,178.22,95351822
2024-12-05 16:01:40.393826,181.78,183.27,180.5,180.5,27729041
2024-12-06 16:01:40.393826,184.58,185.38,183.22,185.02,92758113
2024-12-09 16:01:40.393826,179.85,182.07,179.59,180.05,50919879
2024-12-10 16:01:40.393826,181.88,184.69,180.56,182.5,94941284
2024-12-11 16:01:40.393826,184.89,191.39,183.94,185.81,35961501
2024-12-12 16:01:40.393826,187.72,189.36,184.38,186.51,48848494
2024-12-13 16:01:40.393826,179.9,180.73,178.25,179.29,22945121
2024-12-16 16:01:40.393826,178.98,180.41,175.79,177.79,28770433
2024-12-17 16:01:40.393826,169.74,171.07,167.58,170.41,26308332
2024-12-18 16:01:40.393826,169.46,175.4,167.52,168.25,42133107
2024-12-19 16:01:40.393826,169.23,170.34,168.62,168.85,72818621
2024-12-20 16:01:40.393826,169.74,170.44,165.05,169.12,64486150
2024-12-23 16:01:40.393826,172.34,172.61,169.44,171.3,48027617
2024-12-24 16:01:40.393826,166.93,168.11,165.62,167.42,41807177
2024-12-25 16:01:40.393826,159.2,159.65,156.29,157.82,86467727
2024-12-26 16:01:40.393826,156.13,158.26,154.34,157.21,54140733
2024-12-27 16:01:40.393826,158.4,160.23,158.01,158.22,61231610
2024-12-30 16:01:40.393826,160.91,163.35,156.8,160.17,55570170
2024-12-31 16:01:40.393826,165.36,168.8,164.82,166.85,90398172
2025-01-01 16:01:40.393826,164.48,165.2,164.08,164.73,92958433
2025-01-02 16:01:40.393826,164.84,166.7,164.51,166.4,88650335
2025-01-03 16:01:40.393826,170.04,170.37,168.21,168.32,17852812
2025-01-06 16:01:40.393826,173.28,174.64,172.37,172.4,72140422
2025-01-07 16:01:40.393826,172.11,173.31,169.03,172.2,42875353
2025-01-08 16:01:40.393826,177.46,180.57,176.31,178.14,97517413
2025-01-09 16:01:40.393826,179.23,182.16,177.94,180.16,17133601
2025-01-10 16:01:40.393826,183.16,183.37,181.84,182.57,39542409
2025-01-13 16:01:40.393826,183.8,184.55,182.87,183.63,35162824
2025-01-14 16:01:40.393826,182.36,182.85,180.4,182.02,68408142
2025-01-15 16:01:40.393826,182.82,183.12,181.39,182.81,66620404
2025-01-16 16:01:40.393826,182.36,183.76,182.16,183.07,95565254
2025-01-17 16:01:40.393826,190.4,190.71,188.61,189.63,1650210
2025-01-20 16:01:40.393826,194.34,194.48,192.79,193.63,53639152
2025-01-21 16:01:40.393826,193.28,194.75,190.71,193.03,89570906
2025-01-22 16:01:40.393826,190.47,193.38,190.4,191.42,25054868
2025-01-23 16:01:40.393826,184.94,187.77,183.57,185.5,10699217
2025-01-24 16:01:40.393826,189.31,194.03,188.83,189.43,1020520
2025-01-27 16:01:40.393826,194.7,195.32,193.69,194.21,92149801
2025-01-28 16:01:40.393826,193.12,193.95,192.92,193.3,9009971
2025-01-29 16:01:40.393826,181.6,181.9,178.88,180.23,46448520
2025-01-30 16:01:40.393826,180.11,183.35,179.06,181.77,67649540
2025-01-31 16:01:40.393826,179.89,180.0,177.49,179.45,23126319
2025-02-03 16:01:40.393826,181.46,184.36,179.4,180.13,95869726
2025-02-04 16:01:40.393826,179.37,181.09,176.82,179.2,70026188
