date,open,high,low,close,volume
2024-10-24 16:01:40.131524,69.2,69.78,68.89,69.59,40113443
2024-10-25 16:01:40.131524,70.85,71.54,70.69,71.21,28281201
2024-10-28 16:01:40.131524,71.73,72.66,71.18,71.63,67140747
2024-10-29 16:01:40.131524,70.0,70.07,69.02,70.01,2765040
2024-10-30 16:01:40.131524,70.11,70.94,70.02,70.22,70489096
2024-10-31 16:01:40.131524,70.76,70.91,70.49,70.5,29265426
2024-11-01 16:01:40.131524,67.73,68.31,66.87,67.12,43825005
2024-11-04 16:01:40.131524,68.86,70.08,68.32,69.15,63430224
2024-11-05 16:01:40.131524,67.44,68.81,66.77,67.67,31102887
2024-11-06 16:01:40.131524,70.09,71.23,69.97,70.88,78251706
2024-11-07 16:01:40.131524,72.14,72.77,71.95,72.15,33926332
2024-11-08 16:01:40.131524,70.35,70.52,69.35,70.4,59097775
2024-11-11 16:01:40.131524,70.24,70.26,69.79,69.93,79430800
2024-11-12 16:01:40.131524,71.35,71.79,71.07,71.38,98197301
2024-11-13 16:01:40.131524,70.81,71.55,69.85,71.02,65125786
2024-11-14 16:01:40.131524,72.98,73.11,71.82,72.91,33848262
2024-11-15 16:01:40.131524,72.52,73.24,72.29,72.32,44311091
2024-11-18 16:01:40.131524,71.63,73.07,71.1,72.22,14199751
2024-11-19 16:01:40.131524,74.13,75.39,73.55,73.76,17578887
2024-11-20 16:01:40.131524,75.25,75.62,74.34,74.77,96929558
2024-11-21 16:01:40.131524,73.47,73.72,72.81,73.27,53521326
2024-11-22 16:01:40.131524,73.65,74.24,72.89,74.0,93384053
2024-11-25 16:01:40.131524,74.17,75.03,73.98,74.29,68630155
2024-11-26 16:01:40.131524,73.26,73.99,72.69,72.83,5640475
2024-11-27 16:01:40.131524,70.3,70.91,69.93,70.64,68208694
2024-11-28 16:01:40.131524,67.93,67.96,67.11,67.71,14344485
2024-11-29 16:01:40.131524,67.27,67.79,66.4,67.29,45009393
2024-12-02 16:01:40.131524,67.28,67.61,67.02,67.23,23848439
2024-12-03 16:01:40.131524,67.71,68.38,67.44,67.99,17074206
2024-12-04 16:01:40.131524,69.37,69.54,69.19,69.25,14544712
2024-12-05 16:01:40.131524,68.73,69.14,68.39,68.64,35873453
