date,open,high,low,close,volume
2024-10-24 16:01:40.483721,51.42,52.14,51.13,51.29,69812222
2024-10-25 16:01:40.483721,50.77,51.15,50.64,51.03,25091748
2024-10-28 16:01:40.483721,51.75,51.81,50.55,51.35,94929329
2024-10-29 16:01:40.483721,52.06,52.27,51.64,51.74,37488868
2024-10-30 16:01:40.483721,51.53,51.98,50.54,51.61,2222839
2024-10-31 16:01:40.483721,51.66,51.95,51.47,51.5,21557286
2024-11-01 16:01:40.483721,52.03,52.48,51.91,52.37,54836743
2024-11-04 16:01:40.483721,53.42,54.44,53.37,53.84,74144225
2024-11-05 16:01:40.483721,55.1,55.18,54.47,54.65,57852857
2024-11-06 16:01:40.483721,53.63,54.31,52.01,53.91,72861999
2024-11-07 16:01:40.483721,54.78,55.12,54.03,54.33,17315678
2024-11-08 16:01:40.483721,56.12,56.24,55.66,55.95,94967881
2024-11-11 16:01:40.483721,54.51,54.75,53.75,54.59,34510669
2024-11-12 16:01:40.483721,52.05,53.04,50.88,51.95,59093991
2024-11-13 16:01:40.483721,51.28,51.46,51.18,51.39,70780979
2024-11-14 16:01:40.483721,50.06,50.17,50.05,50.07,18774539
2024-11-15 16:01:40.483721,50.45,50.76,49.98,50.25,25664147
2024-11-18 16:01:40.483721,48.74,49.79,48.65,49.28,59895809
2024-11-19 16:01:40.483721,47.6,48.38,47.08,47.82,46679430
2024-11-20 16:01:40.483721,48.84,49.15,48.4,48.75,5665473
2024-11-21 16:01:40.483721,49.15,49.33,48.52,49.01,49274171
2024-11-22 16:01:40.483721,48.45,48.6,47.26,48.21,28416772
2024-11-25 16:01:40.483721,47.9,49.07,47.04,48.2,11044437
2024-11-26 16:01:40.483721,49.03,49.2,48.88,49.03,88082497
2024-11-27 16:01:40.483721,49.5,50.11,49.45,49.73,68832678
2024-11-28 16:01:40.483721,50.34,50.54,50.1,50.34,4130283
2024-11-29 16:01:40.483721,48.88,49.62,48.6,48.99,22141325
2024-12-02 16:01:40.483721,48.45,48.64,48.02,48.57,74867251
2024-12-03 16:01:40.483721,46.77,46.94,46.51,46.57,97646852
2024-12-04 16:01:40.483721,46.73,47.25,46.41,46.93,99163095
2024-12-05 16:01:40.483721,45.69,46.53,45.41,45.76,67488737
2024-12-06 16:01:40.483721,44.09,44.47,43.91,44.34,14383408
2024-12-09 16:01:40.483721,45.48,46.36,45.32,45.36,88024370
2024-12-10 16:01:40.483721,45.46,45.9,44.74,45.63,5084299
2024-12-11 16:01:40.483721,47.29,48.06,46.63,47.32,6450205
