date,open,high,low,close,volume
2024-10-24 16:01:40.321736,50.67,51.51,50.29,50.3,32157700
2024-10-25 16:01:40.321736,49.71,49.92,48.84,49.77,77363985
2024-10-28 16:01:40.321736,51.6,51.89,51.34,51.64,32736799
2024-10-29 16:01:40.321736,49.95,50.57,49.64,50.02,21945730
2024-10-30 16:01:40.321736,49.92,50.31,48.86,49.84,27122353
2024-10-31 16:01:40.321736,51.27,51.49,50.89,51.4,5676054
2024-11-01 16:01:40.321736,52.01,52.31,50.98,51.86,35663295
2024-11-04 16:01:40.321736,51.92,52.71,51.05,52.52,63609863
2024-11-05 16:01:40.321736,52.97,53.34,52.06,52.82,87497865
2024-11-06 16:01:40.321736,50.74,51.46,50.39,50.85,84914310
2024-11-07 16:01:40.321736,51.34,51.47,51.15,51.37,80845275
2024-11-08 16:01:40.321736,51.67,52.11,51.07,52.08,72549975
2024-11-11 16:01:40.321736,51.45,51.77,51.24,51.45,59182391
2024-11-12 16:01:40.321736,52.46,52.66,52.22,52.32,39397143
2024-11-13 16:01:40.321736,52.09,52.64,51.58,51.8,87929367
2024-11-14 16:01:40.321736,53.41,54.49,53.09,53.41,20940247
2024-11-15 16:01:40.321736,53.46,53.7,52.62,53.37,16146114
2024-11-18 16:01:40.321736,54.22,54.23,53.54,54.05,20378019
2024-11-19 16:01:40.321736,54.22,54.95,53.76,54.42,41837221
2024-11-20 16:01:40.321736,55.67,56.24,55.03,55.31,67826126
2024-11-21 16:01:40.321736,55.08,56.39,54.56,55.46,75542531
2024-11-22 16:01:40.321736,56.58,57.35,55.81,56.35,63944587
2024-11-25 16:01:40.321736,56.93,57.52,56.55,57.25,31698564
2024-11-26 16:01:40.321736,55.36,55.98,54.86,55.74,58898001
2024-11-27 16:01:40.321736,56.33,57.19,56.16,56.57,97161410
2024-11-28 16:01:40.321736,56.18,56.53,55.73,56.02,61283365
2024-11-29 16:01:40.321736,55.55,56.3,55.33,55.84,98644030
2024-12-02 16:01:40.321736,55.78,55.95,55.28,55.54,69608912
2024-12-03 16:01:40.321736,55.07,55.62,54.42,55.06,97406486
2024-12-04 16:01:40.321736,56.46,57.46,56.16,56.79,76272776
2024-12-05 16:01:40.321736,55.04,55.43,54.43,55.11,93554856
2024-12-06 16:01:40.321736,52.11,53.15,51.48,51.91,16402165
2024-12-09 16:01:40.321736,51.62,51.71,51.04,51.28,27974805
2024-12-10 16:01:40.321736,51.27,52.05,50.32,51.08,47306999
2024-12-11 16:01:40.321736,50.43,50.57,49.92,50.19,27883686
2024-12-12 16:01:40.321736,49.17,50.42,48.99,49.16,18179164
2024-12-13 16:01:40.321736,49.83,50.05,49.33,49.93,66830010
2024-12-16 16:01:40.321736,50.02,50.32,50.0,50.07,77222385
2024-12-17 16:01:40.321736,53.32,53.66,52.46,52.95,23644604
2024-12-18 16:01:40.321736,51.83,52.7,51.21,52.05,18978353
2024-12-19 16:01:40.321736,52.51,52.65,52.02,52.5,46420094
