date,open,high,low,close,volume
2024-10-24 16:01:40.398401,57.04,57.21,56.64,56.73,79692025
2024-10-25 16:01:40.398401,56.45,57.28,55.23,56.75,69363643
2024-10-28 16:01:40.398401,57.78,58.36,57.37,58.29,73742241
2024-10-29 16:01:40.398401,58.27,59.04,58.17,58.36,91412037
2024-10-30 16:01:40.398401,57.78,59.17,57.39,58.26,29303519
2024-10-31 16:01:40.398401,57.62,58.62,57.59,57.91,54830895
2024-11-01 16:01:40.398401,58.81,59.06,58.71,58.93,3428968
2024-11-04 16:01:40.398401,58.19,58.74,56.75,58.67,49250475
2024-11-05 16:01:40.398401,58.16,59.18,57.95,58.8,65728445
2024-11-06 16:01:40.398401,57.03,57.66,56.54,56.99,76088705
2024-11-07 16:01:40.398401,57.8,57.91,56.76,57.35,46815928
2024-11-08 16:01:40.398401,56.14,56.86,55.32,55.86,9435268
2024-11-11 16:01:40.398401,55.63,56.82,54.99,56.47,85805101
2024-11-12 16:01:40.398401,55.34,55.97,54.95,55.5,23468832
2024-11-13 16:01:40.398401,54.66,55.23,53.83,54.67,98659797
2024-11-14 16:01:40.398401,54.37,54.68,53.66,54.06,31532438
2024-11-15 16:01:40.398401,54.19,54.72,53.65,54.16,76418157
2024-11-18 16:01:40.398401,54.76,55.05,54.52,54.75,4759587
2024-11-19 16:01:40.398401,56.76,56.86,56.41,56.69,57374252
2024-11-20 16:01:40.398401,57.04,57.88,56.34,57.71,8886579
2024-11-21 16:01:40.398401,57.62,58.57,56.57,57.87,9186210
2024-11-22 16:01:40.398401,58.99,59.22,57.73,58.86,68146808
2024-11-25 16:01:40.398401,57.68,57.85,57.03,57.62,16652101
2024-11-26 16:01:40.398401,57.29,58.49,57.17,57.81,85804593
2024-11-27 16:01:40.398401,60.27,60.49,59.73,60.42,80447600
2024-11-28 16:01:40.398401,58.88,59.23,58.34,58.76,85091059
2024-11-29 16:01:40.398401,59.69,60.01,58.68,59.85,85239212
2024-12-02 16:01:40.398401,60.17,60.21,59.69,60.19,74242962
2024-12-03 16:01:40.398401,58.27,59.09,58.01,58.84,4460826
2024-12-04 16:01:40.398401,58.66,58.73,58.49,58.52,58485610
2024-12-05 16:01:40.398401,60.07,60.64,59.85,59.96,48759215
2024-12-06 16:01:40.398401,62.32,62.68,61.7,62.5,16063693
2024-12-09 16:01:40.398401,63.76,64.64,63.28,63.78,70989889
2024-12-10 16:01:40.398401,64.01,64.55,63.88,64.3,94855960
2024-12-11 16:01:40.398401,63.15,64.17,63.06,63.55,54916059
2024-12-12 16:01:40.398401,63.95,64.77,63.86,63.9,22927039
2024-12-13 16:01:40.398401,63.64,64.58,63.41,63.97,11994756
2024-12-16 16:01:40.398401,63.46,64.73,62.35,63.39,74181857
2024-12-17 16:01:40.398401,61.31,61.75,60.25,60.54,30342453
