date,open,high,low,close,volume
2024-10-24 16:01:40.444518,139.55,143.2,138.16,139.79,59240592
2024-10-25 16:01:40.444518,141.12,141.83,138.84,140.83,97345866
2024-10-28 16:01:40.444518,141.82,143.08,140.29,142.57,28463152
2024-10-29 16:01:40.444518,145.35,147.22,144.51,145.16,31374632
2024-10-30 16:01:40.444518,146.75,149.51,145.11,145.96,51448853
2024-10-31 16:01:40.444518,141.79,142.33,141.12,142.28,56004917
2024-11-01 16:01:40.444518,141.94,144.42,140.79,143.54,8855378
2024-11-04 16:01:40.444518,142.03,142.87,140.5,142.48,25983518
2024-11-05 16:01:40.444518,143.0,143.27,142.01,142.42,85071228
2024-11-06 16:01:40.444518,141.65,142.06,139.06,141.71,94010324
2024-11-07 16:01:40.444518,146.4,148.17,145.32,146.21,53826182
2024-11-08 16:01:40.444518,143.53,146.51,142.85,144.22,61956646
2024-11-11 16:01:40.444518,147.58,148.69,145.97,146.71,94366522
2024-11-12 16:01:40.444518,141.31,141.61,141.25,141.27,37881559
2024-11-13 16:01:40.444518,139.02,140.67,137.41,138.5,93620152
2024-11-14 16:01:40.444518,135.03,136.52,131.54,133.22,84858712
2024-11-15 16:01:40.444518,128.23,130.52,127.69,128.59,4119546
2024-11-18 16:01:40.444518,130.83,131.81,128.7,130.26,99510741
2024-11-19 16:01:40.444518,134.52,134.82,132.32,134.71,49044667
2024-11-20 16:01:40.444518,135.46,135.67,134.79,135.27,32811665
2024-11-21 16:01:40.444518,135.09,137.1,133.59,135.22,21652495
2024-11-22 16:01:40.444518,136.72,137.78,136.31,136.34,92082749
2024-11-25 16:01:40.444518,133.7,134.46,133.42,133.81,74208516
2024-11-26 16:01:40.444518,136.28,138.62,134.33,136.59,91382822
2024-11-27 16:01:40.444518,133.53,137.01,133.08,133.88,19757393
2024-11-28 16:01:40.444518,132.16,134.21,130.62,131.56,31296431
2024-11-29 16:01:40.444518,129.7,130.91,127.72,130.04,64511049
2024-12-02 16:01:40.444518,131.6,134.31,129.82,132.17,89961058
2024-12-03 16:01:40.444518,132.01,133.97,129.97,132.82,57960217
2024-12-04 16:01:40.444518,128.56,129.08,127.73,128.29,32646414
2024-12-05 16:01:40.444518,124.03,125.48,123.32,123.35,3557678
