date,open,high,low,close,volume
2024-10-24 16:01:40.209384,274.65,278.04,273.21,276.18,30097918
2024-10-25 16:01:40.209384,279.95,283.84,276.13,280.22,62598657
2024-10-28 16:01:40.209384,297.93,298.14,294.1,294.75,64914281
2024-10-29 16:01:40.209384,290.65,296.42,288.87,290.03,99492275
2024-10-30 16:01:40.209384,294.04,297.08,291.13,291.89,93996093
2024-10-31 16:01:40.209384,293.6,295.75,290.42,295.53,34667230
2024-11-01 16:01:40.209384,294.12,297.88,292.01,293.69,56154437
2024-11-04 16:01:40.209384,302.0,304.01,300.91,301.23,52170981
2024-11-05 16:01:40.209384,308.15,309.61,305.51,307.09,28290233
2024-11-06 16:01:40.209384,295.57,298.02,294.31,295.95,15867406
2024-11-07 16:01:40.209384,301.57,305.02,296.03,300.09,82941849
2024-11-08 16:01:40.209384,312.89,312.93,312.09,312.12,22328564
2024-11-11 16:01:40.209384,307.13,307.85,304.95,306.99,26409277
2024-11-12 16:01:40.209384,297.24,298.35,295.95,297.88,10726077
2024-11-13 16:01:40.209384,293.77,295.98,292.95,295.97,12714378
2024-11-14 16:01:40.209384,292.99,299.36,292.84,295.83,48387757
2024-11-15 16:01:40.209384,295.11,297.98,295.1,296.1,34453197
2024-11-18 16:01:40.209384,302.86,308.83,301.95,303.09,52079177
2024-11-19 16:01:40.209384,297.55,303.53,294.44,298.56,11339322
2024-11-20 16:01:40.209384,302.66,304.87,300.4,302.14,33568336
2024-11-21 16:01:40.209384,308.66,312.34,306.7,307.39,77964554
2024-11-22 16:01:40.209384,306.23,308.84,305.83,308.16,46372905
2024-11-25 16:01:40.209384,304.85,306.07,301.54,304.02,5101646
2024-11-26 16:01:40.209384,296.39,301.63,296.17,296.43,84909579
2024-11-27 16:01:40.209384,284.16,287.24,282.2,286.63,56929858
2024-11-28 16:01:40.209384,278.81,281.18,277.01,277.55,46024149
2024-11-29 16:01:40.209384,266.69,270.86,266.41,267.94,22626097
2024-12-02 16:01:40.209384,280.73,284.6,276.5,277.16,72017271
2024-12-03 16:01:40.209384,277.73,281.37,275.73,276.12,57636602
2024-12-04 16:01:40.209384,288.7,291.63,287.84,288.91,95247705
