date,open,high,low,close,volume
2024-10-24 16:01:40.354618,134.91,135.46,133.21,133.59,21690497
2024-10-25 16:01:40.354618,133.61,136.33,130.84,133.3,56152833
2024-10-28 16:01:40.354618,131.65,134.24,130.21,133.34,37359763
2024-10-29 16:01:40.354618,135.55,135.91,134.24,134.82,55798147
2024-10-30 16:01:40.354618,133.76,134.62,132.54,133.35,21380149
2024-10-31 16:01:40.354618,131.94,133.09,130.13,132.46,8252295
2024-11-01 16:01:40.354618,132.34,135.24,129.69,132.11,59104513
2024-11-04 16:01:40.354618,132.63,133.51,131.97,133.06,96025422
2024-11-05 16:01:40.354618,134.27,134.81,132.86,133.91,68393385
2024-11-06 16:01:40.354618,132.47,133.98,130.82,133.39,28787607
2024-11-07 16:01:40.354618,139.2,139.46,136.86,138.82,65847229
2024-11-08 16:01:40.354618,138.13,138.88,136.94,138.86,25359103
2024-11-11 16:01:40.354618,136.46,138.52,134.97,137.93,27100972
2024-11-12 16:01:40.354618,136.47,136.89,136.16,136.33,78429980
2024-11-13 16:01:40.354618,137.19,138.37,135.54,136.58,53289407
2024-11-14 16:01:40.354618,137.07,137.63,135.47,135.76,24245824
2024-11-15 16:01:40.354618,134.67,136.02,134.62,134.99,39953647
2024-11-18 16:01:40.354618,137.28,138.47,136.4,137.68,85332611
2024-11-19 16:01:40.354618,137.08,139.85,133.15,135.8,93226177
2024-11-20 16:01:40.354618,137.09,137.43,135.68,137.05,19568151
2024-11-21 16:01:40.354618,136.69,138.22,134.6,138.16,41897093
2024-11-22 16:01:40.354618,134.7,138.25,133.97,136.12,38995742
2024-11-25 16:01:40.354618,133.63,136.09,130.81,132.83,27728986
2024-11-26 16:01:40.354618,133.97,134.32,132.74,133.73,82296688
2024-11-27 16:01:40.354618,133.19,133.97,132.55,133.12,2917150
2024-11-28 16:01:40.354618,132.98,135.09,132.79,133.89,5881168
2024-11-29 16:01:40.354618,136.53,138.08,132.48,135.2,34812771
2024-12-02 16:01:40.354618,138.39,138.91,136.79,137.55,47725949
2024-12-03 16:01:40.354618,138.79,141.62,138.3,138.34,29591220
2024-12-04 16:01:40.354618,139.37,141.96,137.37,140.16,3582798
2024-12-05 16:01:40.354618,140.96,142.23,138.98,140.91,58935712
