date,open,high,low,close,volume
2024-10-24 16:01:40.357111,77.01,77.22,76.63,76.68,52954981
2024-10-25 16:01:40.357111,73.83,74.17,72.38,74.07,44369228
2024-10-28 16:01:40.357111,74.68,75.45,74.46,74.96,84961927
2024-10-29 16:01:40.357111,70.9,71.57,70.47,70.84,58960395
2024-10-30 16:01:40.357111,70.44,70.98,68.98,70.23,88617244
2024-10-31 16:01:40.357111,68.58,69.88,68.53,68.62,83870354
2024-11-01 16:01:40.357111,70.24,70.6,69.97,70.26,81364391
2024-11-04 16:01:40.357111,68.81,69.0,68.71,68.84,48322052
2024-11-05 16:01:40.357111,68.04,69.12,67.62,67.91,17949091
2024-11-06 16:01:40.357111,70.25,70.43,69.73,69.9,57437717
2024-11-07 16:01:40.357111,69.64,70.8,68.88,69.58,51774624
2024-11-08 16:01:40.357111,69.12,70.19,69.08,69.18,25779037
2024-11-11 16:01:40.357111,71.93,72.79,71.79,72.28,32230139
2024-11-12 16:01:40.357111,75.22,75.53,74.17,74.46,98477691
2024-11-13 16:01:40.357111,75.54,75.97,73.98,74.94,78869720
2024-11-14 16:01:40.357111,74.34,75.11,72.49,74.68,42253332
2024-11-15 16:01:40.357111,75.93,76.48,75.11,76.15,86895777
2024-11-18 16:01:40.357111,77.88,77.98,77.56,77.72,21343442
2024-11-19 16:01:40.357111,76.37,76.93,76.2,76.2,76619845
2024-11-20 16:01:40.357111,76.12,77.03,75.7,75.94,38806317
2024-11-21 16:01:40.357111,76.43,77.24,74.76,76.34,30131988
2024-11-22 16:01:40.357111,76.91,78.99,75.15,76.4,37987226
2024-11-25 16:01:40.357111,77.05,78.04,76.48,76.5,4430677
2024-11-26 16:01:40.357111,76.5,77.91,75.85,76.24,14862992
2024-11-27 16:01:40.357111,76.7,77.5,76.41,77.3,5482628
2024-11-28 16:01:40.357111,77.09,77.14,75.76,77.08,90710356
2024-11-29 16:01:40.357111,79.36,80.07,78.75,79.54,60304000
2024-12-02 16:01:40.357111,78.82,80.78,78.27,79.36,83899060
2024-12-03 16:01:40.357111,80.22,80.39,79.6,80.37,57655498
2024-12-04 16:01:40.357111,81.42,81.82,79.47,81.22,14339006
2024-12-05 16:01:40.357111,82.64,84.44,82.46,83.22,55561110
2024-12-06 16:01:40.357111,84.07,84.7,83.46,83.68,89921901
2024-12-09 16:01:40.357111,84.36,84.44,83.11,83.92,3636979
2024-12-10 16:01:40.357111,85.22,86.0,85.1,85.75,23179046
2024-12-11 16:01:40.357111,85.6,85.83,85.59,85.82,12226714
2024-12-12 16:01:40.357111,87.22,87.83,86.65,86.78,97956112
2024-12-13 16:01:40.357111,89.05,89.08,88.01,88.73,63578914
2024-12-16 16:01:40.357111,92.3,93.83,91.51,92.39,20340782
2024-12-17 16:01:40.357111,91.61,92.56,89.51,90.86,16989753
2024-12-18 16:01:40.357111,94.04,94.94,92.43,93.52,80834831
2024-12-19 16:01:40.357111,91.32,92.2,89.98,91.35,25166092
2024-12-20 16:01:40.357111,90.02,91.99,87.31,89.54,23134923
2024-12-23 16:01:40.357111,90.45,91.12,90.08,90.93,42865292
2024-12-24 16:01:40.357111,88.34,89.09,86.15,88.9,67245330
2024-12-25 16:01:40.357111,84.97,85.3,83.8,85.12,40889254
2024-12-26 16:01:40.357111,86.4,87.28,85.65,86.04,28049787
2024-12-27 16:01:40.357111,87.45,88.6,86.36,86.75,56291625
2024-12-30 16:01:40.357111,85.4,87.29,84.62,85.25,36005999
2024-12-31 16:01:40.357111,83.81,84.22,83.36,83.72,27469930
2025-01-01 16:01:40.357111,84.91,86.64,83.88,84.48,53776734
2025-01-02 16:01:40.357111,86.35,86.68,85.4,86.34,93799786
2025-01-03 16:01:40.357111,86.68,86.7,85.98,86.41,2814684
2025-01-06 16:01:40.357111,88.76,88.77,88.08,88.32,95436030
2025-01-07 16:01:40.357111,89.73,90.63,89.11,89.2,53431556
2025-01-08 16:01:40.357111,88.04,88.85,86.08,88.6,33585562
2025-01-09 16:01:40.357111,85.6,86.66,84.83,85.39,78754920
2025-01-10 16:01:40.357111,83.96,85.03,83.43,84.38,54897993
2025-01-13 16:01:40.357111,85.18,85.78,84.24,85.3,58703785
2025-01-14 16:01:40.357111,85.3,85.52,83.74,84.61,37676509
