date,open,high,low,close,volume
2024-10-24 16:01:40.391490,388.64,390.5,384.68,389.43,42813637
2024-10-25 16:01:40.391490,379.29,387.08,376.11,380.2,87944456
2024-10-28 16:01:40.391490,373.13,377.48,369.77,375.34,74858421
2024-10-29 16:01:40.391490,369.58,372.19,366.69,370.22,62879587
2024-10-30 16:01:40.391490,374.16,375.44,374.12,374.6,37876073
2024-10-31 16:01:40.391490,381.86,384.81,379.41,380.06,77059667
2024-11-01 16:01:40.391490,381.92,387.26,376.13,384.08,13615744
2024-11-04 16:01:40.391490,377.68,380.17,369.49,372.52,87198509
2024-11-05 16:01:40.391490,356.26,363.79,354.39,355.05,43121947
2024-11-06 16:01:40.391490,355.29,362.15,353.09,356.05,96809294
2024-11-07 16:01:40.391490,368.15,369.42,367.61,368.31,99939640
2024-11-08 16:01:40.391490,357.84,371.03,356.5,362.13,56569790
2024-11-11 16:01:40.391490,368.3,374.64,364.58,371.21,95460016
2024-11-12 16:01:40.391490,366.3,369.52,365.57,368.59,79930034
2024-11-13 16:01:40.391490,364.89,369.19,363.4,364.66,56790700
2024-11-14 16:01:40.391490,365.22,370.63,362.63,368.6,46960489
2024-11-15 16:01:40.391490,371.24,377.58,367.16,374.6,97858624
2024-11-18 16:01:40.391490,379.15,381.99,374.03,378.5,22823559
2024-11-19 16:01:40.391490,380.91,380.94,377.21,378.63,77828548
2024-11-20 16:01:40.391490,375.42,377.97,370.65,373.68,99669156
2024-11-21 16:01:40.391490,371.55,377.3,370.58,370.77,72359325
2024-11-22 16:01:40.391490,374.39,378.6,374.0,375.95,94430788
2024-11-25 16:01:40.391490,373.07,380.43,371.04,375.22,45123848
2024-11-26 16:01:40.391490,379.56,379.64,376.15,377.1,33865126
2024-11-27 16:01:40.391490,386.75,391.4,382.14,389.01,59335926
2024-11-28 16:01:40.391490,393.45,397.27,387.35,393.12,55669435
2024-11-29 16:01:40.391490,403.94,411.63,399.96,408.07,79643767
2024-12-02 16:01:40.391490,403.7,406.85,402.6,404.81,81982217
2024-12-03 16:01:40.391490,423.08,429.01,418.97,425.94,84031895
2024-12-04 16:01:40.391490,422.94,426.68,418.26,422.77,72346270
2024-12-05 16:01:40.391490,429.05,430.43,426.76,427.91,61876917
2024-12-06 16:01:40.391490,428.7,433.39,425.08,432.48,19381252
2024-12-09 16:01:40.391490,420.53,421.77,413.41,420.59,9054385
2024-12-10 16:01:40.391490,422.15,426.6,419.98,421.58,42923921
2024-12-11 16:01:40.391490,439.76,445.37,438.2,442.1,54380368
2024-12-12 16:01:40.391490,438.64,443.78,433.65,439.74,98753973
2024-12-13 16:01:40.391490,432.84,435.95,422.18,430.72,42412834
2024-12-16 16:01:40.391490,445.2,448.35,435.7,441.5,24041593
2024-12-17 16:01:40.391490,440.35,444.17,438.64,441.4,13375055
2024-12-18 16:01:40.391490,450.88,451.35,444.29,450.69,11672758
2024-12-19 16:01:40.391490,450.47,458.12,443.05,449.51,72761295
2024-12-20 16:01:40.391490,448.79,452.5,439.17,445.01,64455945
2024-12-23 16:01:40.391490,429.78,430.95,426.79,429.64,35772491
2024-12-24 16:01:40.391490,415.05,416.8,414.34,416.4,89711810
2024-12-25 16:01:40.391490,417.67,426.89,414.9,419.25,56994374
2024-12-26 16:01:40.391490,410.49,413.29,406.73,409.73,71892856
2024-12-27 16:01:40.391490,398.1,403.09,396.2,400.16,99180194
2024-12-30 16:01:40.391490,405.83,409.08,403.46,404.75,11908041
2024-12-31 16:01:40.391490,410.57,419.26,409.08,412.01,6674421
2025-01-01 16:01:40.391490,401.86,403.68,399.48,399.81,71725550
2025-01-02 16:01:40.391490,397.05,401.58,394.3,395.87,11584855
2025-01-03 16:01:40.391490,389.31,390.91,385.82,389.54,66248055
2025-01-06 16:01:40.391490,403.04,409.75,395.9,402.58,29472177
2025-01-07 16:01:40.391490,403.59,410.69,400.73,406.58,70570277
2025-01-08 16:01:40.391490,408.58,415.23,402.78,410.12,14721451
2025-01-09 16:01:40.391490,415.86,424.92,412.32,418.37,58219052
2025-01-10 16:01:40.391490,405.32,406.88,395.17,406.17,46392351
2025-01-13 16:01:40.391490,400.58,410.25,397.93,402.01,97026295
2025-01-14 16:01:40.391490,387.21,393.8,376.12,385.04,71111961
2025-01-15 16:01:40.391490,388.58,389.16,384.48,386.01,78803023
2025-01-16 16:01:40.391490,378.34,389.22,378.16,383.81,98372881
2025-01-17 16:01:40.391490,374.49,377.6,370.32,373.93,82175503
2025-01-20 16:01:40.391490,370.5,372.59,363.34,365.76,92535664
2025-01-21 16:01:40.391490,365.06,368.41,361.35,368.29,33754274
2025-01-22 16:01:40.391490,378.02,380.08,373.45,375.91,5999850
2025-01-23 16:01:40.391490,376.28,381.01,371.72,374.48,15553959
2025-01-24 16:01:40.391490,385.03,390.02,383.98,385.62,8462503
2025-01-27 16:01:40.391490,384.06,387.37,378.95,382.43,19622301
2025-01-28 16:01:40.391490,377.01,382.01,372.93,377.99,90446666
2025-01-29 16:01:40.391490,382.24,387.76,374.81,384.5,9085422
2025-01-30 16:01:40.391490,390.84,393.89,383.03,384.96,54287862
2025-01-31 16:01:40.391490,384.07,387.76,379.28,384.4,42140975
2025-02-03 16:01:40.391490,388.46,392.38,384.46,388.95,62821162
2025-02-04 16:01:40.391490,400.08,401.66,399.02,399.59,5375782
2025-02-05 16:01:40.391490,402.43,402.74,394.58,401.61,88751686
2025-02-06 16:01:40.391490,407.65,412.88,401.21,404.14,84582699
2025-02-07 16:01:40.391490,415.69,416.49,413.42,413.55,77612348
2025-02-10 16:01:40.391490,410.84,418.42,407.36,411.06,77794956
2025-02-11 16:01:40.391490,413.79,419.13,410.1,411.17,38890151
2025-02-12 16:01:40.391490,409.94,414.01,400.23,409.54,67532577
2025-02-13 16:01:40.391490,411.41,421.53,405.77,412.87,71826748
2025-02-14 16:01:40.391490,394.75,397.74,390.49,392.57,84519342
2025-02-17 16:01:40.391490,396.95,408.41,393.23,399.52,85827647
2025-02-18 16:01:40.391490,405.45,406.3,398.53,402.42,21119712
2025-02-19 16:01:40.391490,403.29,403.88,400.95,401.45,52426022
2025-02-20 16:01:40.391490,398.43,405.43,395.24,398.86,75712302
2025-02-21 16:01:40.391490,414.66,421.15,407.37,413.36,24380653
2025-02-24 16:01:40.391490,427.6,430.53,426.06,428.13,45709253
2025-02-25 16:01:40.391490,447.3,450.34,442.91,445.96,80341458
2025-02-26 16:01:40.391490,457.69,464.22,455.14,460.78,21222389
2025-02-27 16:01:40.391490,461.29,463.46,459.82,461.45,89839474
2025-02-28 16:01:40.391490,465.84,472.23,460.03,467.8,83278860
2025-03-03 16:01:40.391490,479.91,480.49,470.78,474.28,90647799
2025-03-04 16:01:40.391490,478.59,486.99,477.43,478.13,16398202
2025-03-05 16:01:40.391490,468.45,469.95,458.94,468.4,6800914
