date,open,high,low,close,volume
2024-10-24 16:01:40.386990,138.45,138.8,137.19,137.87,24695778
2024-10-25 16:01:40.386990,138.04,138.3,135.83,137.25,97885444
2024-10-28 16:01:40.386990,139.22,140.88,137.86,138.68,46763019
2024-10-29 16:01:40.386990,141.71,144.34,141.27,142.25,27453925
2024-10-30 16:01:40.386990,139.92,140.7,137.8,140.56,11951931
2024-10-31 16:01:40.386990,137.77,140.17,136.64,139.39,54214512
2024-11-01 16:01:40.386990,137.74,138.14,136.81,138.08,36535234
2024-11-04 16:01:40.386990,140.56,141.17,138.89,139.97,69516171
2024-11-05 16:01:40.386990,142.33,143.2,140.78,142.17,58198499
2024-11-06 16:01:40.386990,143.5,146.99,140.73,143.35,74470111
2024-11-07 16:01:40.386990,144.1,147.46,142.26,145.2,72720801
2024-11-08 16:01:40.386990,146.31,148.56,145.54,147.29,46881491
2024-11-11 16:01:40.386990,145.74,150.1,144.37,146.71,65278247
2024-11-12 16:01:40.386990,148.29,150.3,147.45,148.41,1063445
2024-11-13 16:01:40.386990,148.61,149.78,146.18,148.57,79597929
2024-11-14 16:01:40.386990,146.98,148.76,145.37,146.49,18778589
2024-11-15 16:01:40.386990,142.68,144.02,142.37,143.26,9189742
2024-11-18 16:01:40.386990,143.88,144.38,142.4,142.73,15529871
2024-11-19 16:01:40.386990,139.16,140.03,138.68,138.74,55231183
2024-11-20 16:01:40.386990,139.71,143.37,138.2,139.11,82233721
2024-11-21 16:01:40.386990,141.86,143.1,141.86,142.17,25813467
2024-11-22 16:01:40.386990,140.32,140.68,139.92,140.64,58764655
2024-11-25 16:01:40.386990,136.62,137.52,134.14,136.16,83592689
2024-11-26 16:01:40.386990,131.7,132.63,130.76,132.52,10321625
2024-11-27 16:01:40.386990,134.01,134.65,132.87,133.5,95011674
2024-11-28 16:01:40.386990,132.48,133.02,131.11,132.53,11747092
2024-11-29 16:01:40.386990,129.57,130.47,129.28,129.46,48005280
2024-12-02 16:01:40.386990,136.08,136.33,134.11,135.34,34682462
2024-12-03 16:01:40.386990,134.5,135.78,132.61,133.66,92807402
2024-12-04 16:01:40.386990,129.94,130.87,129.71,129.9,97337041
2024-12-05 16:01:40.386990,129.42,129.84,126.76,127.7,69441451
2024-12-06 16:01:40.386990,129.04,129.14,128.66,129.02,61461650
2024-12-09 16:01:40.386990,127.97,129.62,126.85,128.91,12058517
2024-12-10 16:01:40.386990,135.86,137.9,133.91,136.07,79263306
2024-12-11 16:01:40.386990,135.48,135.68,134.92,135.38,87244100
2024-12-12 16:01:40.386990,134.04,135.3,133.6,134.1,34106995
2024-12-13 16:01:40.386990,137.07,137.32,135.81,137.07,33871224
2024-12-16 16:01:40.386990,133.23,134.84,132.81,133.92,71175607
2024-12-17 16:01:40.386990,136.85,137.2,136.08,136.67,61166840
2024-12-18 16:01:40.386990,138.28,138.89,136.45,137.03,98056837
2024-12-19 16:01:40.386990,129.97,131.54,128.44,131.46,42639831
2024-12-20 16:01:40.386990,130.28,130.67,129.24,130.43,11885815
2024-12-23 16:01:40.386990,128.04,129.29,125.71,126.55,59626448
2024-12-24 16:01:40.386990,128.99,130.47,128.61,128.78,65820298
2024-12-25 16:01:40.386990,134.85,135.59,132.13,135.34,98880224
2024-12-26 16:01:40.386990,137.77,139.79,137.31,138.59,2335938
2024-12-27 16:01:40.386990,134.81,135.66,134.65,135.42,25588251
2024-12-30 16:01:40.386990,137.14,139.82,135.84,137.4,87394785
2024-12-31 16:01:40.386990,140.3,142.09,139.83,140.0,25344058
2025-01-01 16:01:40.386990,144.25,145.06,143.31,144.91,42685741
2025-01-02 16:01:40.386990,145.25,145.41,142.0,144.69,43629132
2025-01-03 16:01:40.386990,148.94,150.71,147.39,148.95,81667265
2025-01-06 16:01:40.386990,151.8,153.91,147.94,149.88,24955652
2025-01-07 16:01:40.386990,151.33,151.87,149.83,150.72,22951519
2025-01-08 16:01:40.386990,154.15,154.22,152.43,153.08,89097987
2025-01-09 16:01:40.386990,155.4,155.5,153.34,154.78,17287743
2025-01-10 16:01:40.386990,154.7,155.55,153.94,154.71,62756757
2025-01-13 16:01:40.386990,151.71,152.85,151.27,152.6,66216017
2025-01-14 16:01:40.386990,154.43,159.5,152.17,155.88,95820506
2025-01-15 16:01:40.386990,154.74,155.47,153.29,153.36,54295304
2025-01-16 16:01:40.386990,153.3,156.07,152.06,154.27,61557995
2025-01-17 16:01:40.386990,158.58,161.54,158.03,159.77,33756807
2025-01-20 16:01:40.386990,158.89,159.58,156.04,158.91,85219186
2025-01-21 16:01:40.386990,152.13,153.58,150.08,151.52,7435455
2025-01-22 16:01:40.386990,155.04,155.93,154.34,154.82,5260992
2025-01-23 16:01:40.386990,152.53,153.74,149.9,150.95,66334501
2025-01-24 16:01:40.386990,150.18,153.62,149.16,149.49,50786361
2025-01-27 16:01:40.386990,150.1,150.86,148.92,150.21,19215221
2025-01-28 16:01:40.386990,145.58,148.46,145.03,145.74,62536176
2025-01-29 16:01:40.386990,150.21,151.43,148.88,149.38,27126883
2025-01-30 16:01:40.386990,146.6,147.13,144.6,146.59,76788560
2025-01-31 16:01:40.386990,144.38,146.22,142.51,145.13,86894730
2025-02-03 16:01:40.386990,147.5,148.89,146.32,147.84,61275089
2025-02-04 16:01:40.386990,152.44,155.57,149.77,152.71,97214435
2025-02-05 16:01:40.386990,153.25,155.31,151.07,153.03,25461454
2025-02-06 16:01:40.386990,150.92,153.35,150.27,150.78,48989946
2025-02-07 16:01:40.386990,152.29,153.87,151.11,151.54,32628149
2025-02-10 16:01:40.386990,151.17,152.42,148.74,151.75,42250164
2025-02-11 16:01:40.386990,147.51,149.23,145.12,148.42,2425918
2025-02-12 16:01:40.386990,148.17,150.84,147.26,148.99,16835662
2025-02-13 16:01:40.386990,143.35,143.8,142.24,143.37,26135599
2025-02-14 16:01:40.386990,139.64,142.17,139.42,140.81,15174873
2025-02-17 16:01:40.386990,141.12,142.87,140.02,142.45,60705980
