date,open,high,low,close,volume
2024-10-24 16:01:40.335999,132.86,134.67,131.31,131.9,17972798
2024-10-25 16:01:40.335999,134.36,136.61,133.39,135.12,11723257
2024-10-28 16:01:40.335999,135.14,137.26,132.82,133.72,18143109
2024-10-29 16:01:40.335999,138.11,138.75,136.63,136.88,53223080
2024-10-30 16:01:40.335999,132.89,135.3,132.25,133.59,96213341
2024-10-31 16:01:40.335999,132.59,133.51,131.67,133.0,61599295
2024-11-01 16:01:40.335999,137.52,138.34,132.54,136.68,71702192
2024-11-04 16:01:40.335999,135.98,137.87,134.95,135.81,11481559
2024-11-05 16:01:40.335999,137.19,138.95,135.15,136.77,19025833
2024-11-06 16:01:40.335999,139.96,142.04,139.27,139.47,14284549
2024-11-07 16:01:40.335999,135.49,136.26,134.87,135.14,40491726
2024-11-08 16:01:40.335999,134.06,136.78,132.47,134.69,81924523
2024-11-11 16:01:40.335999,138.36,138.98,137.39,138.85,65905063
2024-11-12 16:01:40.335999,137.49,138.28,135.7,138.27,37451073
2024-11-13 16:01:40.335999,140.72,143.67,140.03,141.34,24230631
2024-11-14 16:01:40.335999,140.18,143.31,138.64,139.45,84826190
2024-11-15 16:01:40.335999,140.16,141.05,138.56,139.13,31811669
2024-11-18 16:01:40.335999,146.88,148.77,145.45,146.1,34649554
2024-11-19 16:01:40.335999,148.97,149.36,148.03,149.09,38226161
2024-11-20 16:01:40.335999,150.87,154.05,149.74,151.87,26156310
2024-11-21 16:01:40.335999,152.15,155.65,152.08,153.96,37954723
2024-11-22 16:01:40.335999,153.91,155.81,151.62,153.5,24276417
2024-11-25 16:01:40.335999,155.84,156.06,154.6,154.91,42568984
2024-11-26 16:01:40.335999,154.79,156.96,150.6,153.47,37016919
2024-11-27 16:01:40.335999,148.15,149.35,145.95,147.63,23697017
2024-11-28 16:01:40.335999,149.28,149.73,145.5,149.07,70756178
2024-11-29 16:01:40.335999,158.5,160.06,158.0,158.25,16432008
2024-12-02 16:01:40.335999,152.19,155.16,151.66,152.45,19064775
2024-12-03 16:01:40.335999,148.5,149.29,143.79,147.81,46198795
2024-12-04 16:01:40.335999,144.85,147.16,144.66,144.66,25629778
