date,open,high,low,close,volume
2024-10-24 16:01:40.370850,93.53,94.16,92.06,92.69,7530718
2024-10-25 16:01:40.370850,94.01,95.48,93.37,94.15,2302240
2024-10-28 16:01:40.370850,94.04,95.7,92.77,94.48,9788786
2024-10-29 16:01:40.370850,94.29,94.81,92.61,93.63,54800224
2024-10-30 16:01:40.370850,94.36,95.25,94.28,94.71,95947062
2024-10-31 16:01:40.370850,93.28,93.48,91.33,92.42,46211235
2024-11-01 16:01:40.370850,91.87,92.24,90.72,91.82,93056577
2024-11-04 16:01:40.370850,93.15,93.65,92.73,93.36,30944124
2024-11-05 16:01:40.370850,96.95,97.76,96.9,96.93,19974346
2024-11-06 16:01:40.370850,97.26,98.24,96.77,97.8,34057030
2024-11-07 16:01:40.370850,99.56,101.01,99.56,99.56,57979935
2024-11-08 16:01:40.370850,101.54,103.18,100.54,101.37,48776768
2024-11-11 16:01:40.370850,97.47,99.08,96.5,96.96,21712333
2024-11-12 16:01:40.370850,95.62,97.59,93.06,94.98,32460636
2024-11-13 16:01:40.370850,94.86,95.51,93.41,94.13,9501290
2024-11-14 16:01:40.370850,95.21,96.39,94.89,96.02,17783119
2024-11-15 16:01:40.370850,97.04,97.77,95.65,97.22,68704695
2024-11-18 16:01:40.370850,99.2,99.93,98.4,99.23,81472826
2024-11-19 16:01:40.370850,102.0,103.23,101.77,102.69,16092864
2024-11-20 16:01:40.370850,102.92,104.42,102.75,103.98,15562588
2024-11-21 16:01:40.370850,102.75,102.98,101.02,101.76,3510113
2024-11-22 16:01:40.370850,104.72,105.69,103.03,104.15,11531680
2024-11-25 16:01:40.370850,102.99,104.76,100.96,102.1,44039762
2024-11-26 16:01:40.370850,101.79,102.59,100.11,102.23,90359381
2024-11-27 16:01:40.370850,105.45,106.82,105.02,105.66,23883530
2024-11-28 16:01:40.370850,103.84,106.1,101.96,104.23,96729928
2024-11-29 16:01:40.370850,99.0,99.68,98.56,99.44,80538807
2024-12-02 16:01:40.370850,99.79,100.69,98.12,99.57,3564254
2024-12-03 16:01:40.370850,100.02,100.11,98.37,99.91,98193787
2024-12-04 16:01:40.370850,101.48,103.49,101.43,101.67,42440818
2024-12-05 16:01:40.370850,100.86,102.59,100.43,101.35,89904238
2024-12-06 16:01:40.370850,96.92,98.08,96.23,97.51,24124864
2024-12-09 16:01:40.370850,95.74,96.51,95.43,96.13,19186846
2024-12-10 16:01:40.370850,95.18,96.93,94.42,95.37,7499487
2024-12-11 16:01:40.370850,98.29,99.62,96.85,98.19,68726694
2024-12-12 16:01:40.370850,95.36,96.55,93.4,95.08,86829357
2024-12-13 16:01:40.370850,96.59,97.79,93.9,95.82,80975377
2024-12-16 16:01:40.370850,96.98,99.54,96.35,98.01,96085946
2024-12-17 16:01:40.370850,96.67,96.78,94.1,95.1,4521526
2024-12-18 16:01:40.370850,88.45,89.13,86.45,87.95,60397988
2024-12-19 16:01:40.370850,87.12,87.3,85.33,87.04,67344753
2024-12-20 16:01:40.370850,86.19,87.36,85.1,85.32,58262490
2024-12-23 16:01:40.370850,85.29,86.0,84.3,85.36,27149988
2024-12-24 16:01:40.370850,85.61,85.65,84.44,85.57,64929804
2024-12-25 16:01:40.370850,87.98,88.42,87.63,88.33,46161649
2024-12-26 16:01:40.370850,85.21,86.33,84.66,85.05,63987820
2024-12-27 16:01:40.370850,86.39,86.77,86.1,86.38,17132773
2024-12-30 16:01:40.370850,85.98,86.69,85.87,85.97,39010329
2024-12-31 16:01:40.370850,86.76,86.99,85.62,86.39,26290264
2025-01-01 16:01:40.370850,81.96,82.3,81.35,81.98,51957639
2025-01-02 16:01:40.370850,79.85,80.26,79.28,79.75,67909540
2025-01-03 16:01:40.370850,75.54,77.0,75.16,76.25,50038155
2025-01-06 16:01:40.370850,73.15,73.64,72.25,72.97,5919394
2025-01-07 16:01:40.370850,72.73,73.13,71.86,72.09,90084750
