date,open,high,low,close,volume
2024-10-24 16:01:40.150231,111.01,113.57,110.0,111.13,20945980
2024-10-25 16:01:40.150231,111.31,114.77,110.96,111.9,27865683
2024-10-28 16:01:40.150231,107.69,108.51,107.34,107.82,95699306
2024-10-29 16:01:40.150231,104.59,107.23,104.22,104.8,7296303
2024-10-30 16:01:40.150231,107.13,107.76,106.45,106.59,43422506
2024-10-31 16:01:40.150231,105.94,106.33,104.99,106.13,13857949
2024-11-01 16:01:40.150231,109.06,110.37,108.15,109.21,56448105
2024-11-04 16:01:40.150231,107.12,107.43,105.74,106.37,67484075
2024-11-05 16:01:40.150231,106.45,106.51,103.49,106.18,7827357
2024-11-06 16:01:40.150231,108.03,109.25,107.0,107.14,91755657
2024-11-07 16:01:40.150231,105.09,106.43,104.32,104.44,98579991
2024-11-08 16:01:40.150231,106.39,108.34,106.21,106.86,43819436
2024-11-11 16:01:40.150231,108.63,109.52,107.28,108.1,64288946
2024-11-12 16:01:40.150231,105.15,105.26,102.97,104.35,64438013
2024-11-13 16:01:40.150231,105.09,105.19,103.81,104.29,84349423
2024-11-14 16:01:40.150231,105.73,105.97,104.83,105.21,59379388
2024-11-15 16:01:40.150231,104.37,104.83,103.27,103.87,47749701
2024-11-18 16:01:40.150231,100.41,101.56,99.74,100.56,87168009
2024-11-19 16:01:40.150231,100.78,102.95,99.35,101.2,28338618
2024-11-20 16:01:40.150231,106.1,106.9,105.04,106.28,35073129
2024-11-21 16:01:40.150231,104.53,106.3,104.22,105.41,8306809
2024-11-22 16:01:40.150231,109.88,110.04,108.91,109.14,65434165
2024-11-25 16:01:40.150231,107.22,107.45,106.31,107.37,82975817
2024-11-26 16:01:40.150231,108.61,109.16,107.49,107.91,99906957
2024-11-27 16:01:40.150231,109.11,110.21,108.85,109.79,82701998
2024-11-28 16:01:40.150231,110.39,112.65,108.65,109.79,78215116
2024-11-29 16:01:40.150231,108.83,109.6,107.28,109.1,37884134
2024-12-02 16:01:40.150231,110.17,111.31,108.79,110.88,50899530
2024-12-03 16:01:40.150231,116.57,119.32,114.42,115.63,34121901
2024-12-04 16:01:40.150231,117.07,117.76,115.52,116.43,40170544
2024-12-05 16:01:40.150231,115.26,115.43,113.41,115.14,79097423
2024-12-06 16:01:40.150231,114.7,115.79,114.61,114.69,48266848
2024-12-09 16:01:40.150231,121.53,121.63,120.54,121.27,12971304
2024-12-10 16:01:40.150231,121.77,122.72,121.63,121.65,82627624
2024-12-11 16:01:40.150231,119.62,121.36,118.98,120.1,97357563
2024-12-12 16:01:40.150231,116.89,117.3,115.57,117.13,51219050
2024-12-13 16:01:40.150231,113.64,114.7,112.38,112.54,46781530
2024-12-16 16:01:40.150231,114.98,115.95,113.08,113.47,42108023
2024-12-17 16:01:40.150231,116.04,116.25,113.82,115.14,72188600
2024-12-18 16:01:40.150231,114.44,115.53,114.03,114.17,44260528
2024-12-19 16:01:40.150231,113.97,115.47,111.62,114.16,37118843
2024-12-20 16:01:40.150231,110.83,111.69,110.34,111.28,22871613
2024-12-23 16:01:40.150231,111.22,112.49,109.0,111.63,73840306
2024-12-24 16:01:40.150231,112.53,113.32,111.44,112.85,99435692
2024-12-25 16:01:40.150231,112.75,114.17,110.97,111.55,9540127
2024-12-26 16:01:40.150231,116.86,116.91,115.07,115.81,29803525
