date,open,high,low,close,volume
2024-10-24 16:01:40.481468,178.73,179.93,176.97,178.57,77016245
2024-10-25 16:01:40.481468,178.4,179.36,176.39,178.41,35345269
2024-10-28 16:01:40.481468,172.81,174.74,171.03,174.39,48558134
2024-10-29 16:01:40.481468,173.66,176.1,170.51,172.84,45195244
2024-10-30 16:01:40.481468,171.73,173.37,170.38,173.3,26188009
2024-10-31 16:01:40.481468,176.67,178.99,175.56,177.87,21617293
2024-11-01 16:01:40.481468,175.37,176.4,174.94,175.27,71401311
2024-11-04 16:01:40.481468,174.71,175.74,172.9,173.59,28781579
2024-11-05 16:01:40.481468,178.32,179.18,177.41,178.7,2238499
2024-11-06 16:01:40.481468,185.45,187.44,182.71,186.95,51717976
2024-11-07 16:01:40.481468,195.46,197.37,193.82,195.72,3205842
2024-11-08 16:01:40.481468,200.49,201.58,198.51,200.54,83963023
2024-11-11 16:01:40.481468,192.7,195.46,191.64,192.66,47136350
2024-11-12 16:01:40.481468,187.59,190.39,186.3,188.29,30577509
2024-11-13 16:01:40.481468,180.8,184.52,178.41,179.77,30694911
2024-11-14 16:01:40.481468,181.53,182.16,180.18,181.52,80016083
2024-11-15 16:01:40.481468,177.43,178.44,176.61,177.07,97312482
2024-11-18 16:01:40.481468,176.4,177.98,174.89,176.9,41758946
2024-11-19 16:01:40.481468,177.34,179.57,175.62,177.13,66726006
2024-11-20 16:01:40.481468,178.09,179.24,177.74,178.21,41012159
2024-11-21 16:01:40.481468,177.87,179.43,174.26,177.74,34553903
2024-11-22 16:01:40.481468,177.07,178.25,175.9,176.11,81720185
2024-11-25 16:01:40.481468,179.43,180.41,176.6,179.62,17663386
2024-11-26 16:01:40.481468,176.84,179.1,175.3,176.45,11857075
2024-11-27 16:01:40.481468,177.65,178.38,177.21,177.78,85173298
2024-11-28 16:01:40.481468,172.78,174.21,171.4,172.7,7523475
2024-11-29 16:01:40.481468,174.98,175.25,174.45,174.88,37838336
2024-12-02 16:01:40.481468,182.9,183.69,181.66,181.72,52048806
2024-12-03 16:01:40.481468,182.58,183.44,180.73,181.04,58872535
2024-12-04 16:01:40.481468,177.45,179.43,176.15,178.88,84354257
2024-12-05 16:01:40.481468,177.96,180.85,176.83,179.35,4143379
2024-12-06 16:01:40.481468,180.36,180.45,178.29,180.35,79745838
2024-12-09 16:01:40.481468,181.2,184.37,178.35,181.46,23264120
2024-12-10 16:01:40.481468,188.04,189.22,184.67,187.34,34434730
2024-12-11 16:01:40.481468,183.97,187.06,181.47,185.39,91233654
2024-12-12 16:01:40.481468,181.42,184.41,180.84,181.33,65830113
2024-12-13 16:01:40.481468,178.74,179.14,174.08,176.99,76448628
2024-12-16 16:01:40.481468,170.24,171.92,169.46,171.01,22833656
2024-12-17 16:01:40.481468,175.37,175.42,173.41,174.0,81077503
