date,open,high,low,close,volume
2024-10-24 16:01:40.242757,286.24,290.19,286.02,286.6,60755773
2024-10-25 16:01:40.242757,284.59,286.59,280.42,283.37,13116031
2024-10-28 16:01:40.242757,283.0,286.15,282.71,284.05,23466361
2024-10-29 16:01:40.242757,281.49,285.64,281.36,282.15,82266941
2024-10-30 16:01:40.242757,280.66,286.13,278.94,279.81,60577752
2024-10-31 16:01:40.242757,286.7,290.33,283.83,286.86,14614036
2024-11-01 16:01:40.242757,279.78,284.04,277.88,281.12,29498996
2024-11-04 16:01:40.242757,280.58,283.95,276.93,279.97,27362239
2024-11-05 16:01:40.242757,290.15,291.45,286.12,289.64,20352083
2024-11-06 16:01:40.242757,288.61,292.22,288.5,288.83,76452392
2024-11-07 16:01:40.242757,293.58,295.16,290.04,294.53,54353090
2024-11-08 16:01:40.242757,290.99,291.18,284.9,291.14,65103302
2024-11-11 16:01:40.242757,285.94,288.21,281.75,284.77,22157802
2024-11-12 16:01:40.242757,295.82,299.02,294.36,296.34,80097219
2024-11-13 16:01:40.242757,287.55,292.58,284.95,289.91,72495841
2024-11-14 16:01:40.242757,289.78,292.24,289.24,290.05,52199813
2024-11-15 16:01:40.242757,300.13,300.57,300.12,300.2,5311252
2024-11-18 16:01:40.242757,293.06,293.2,287.93,292.78,46459883
2024-11-19 16:01:40.242757,297.32,297.61,294.72,297.07,71062847
2024-11-20 16:01:40.242757,301.59,301.81,300.54,300.62,65537001
2024-11-21 16:01:40.242757,300.57,305.5,294.87,300.75,88268537
2024-11-22 16:01:40.242757,312.67,319.5,305.59,312.92,41734259
2024-11-25 16:01:40.242757,315.27,319.7,314.46,314.86,95871472
2024-11-26 16:01:40.242757,313.07,322.19,309.57,315.77,67592907
2024-11-27 16:01:40.242757,309.41,313.52,305.82,310.06,97918066
2024-11-28 16:01:40.242757,309.11,310.09,307.07,309.74,14727828
2024-11-29 16:01:40.242757,313.69,315.73,308.78,314.02,53579297
2024-12-02 16:01:40.242757,318.21,320.56,318.05,320.05,71702214
2024-12-03 16:01:40.242757,325.43,325.67,324.34,325.25,19585018
2024-12-04 16:01:40.242757,313.23,313.94,312.44,313.66,94408689
2024-12-05 16:01:40.242757,311.19,314.14,310.14,313.47,22217389
2024-12-06 16:01:40.242757,307.27,310.38,305.79,308.13,26096824
2024-12-09 16:01:40.242757,298.53,302.31,297.57,298.44,42187077
2024-12-10 16:01:40.242757,296.26,304.09,294.01,294.64,41119002
2024-12-11 16:01:40.242757,294.14,294.24,291.62,291.92,9737323
2024-12-12 16:01:40.242757,285.72,292.8,284.61,285.9,45992512
2024-12-13 16:01:40.242757,287.75,292.57,283.94,286.12,57022608
2024-12-16 16:01:40.242757,292.32,297.26,290.26,290.87,4282347
2024-12-17 16:01:40.242757,294.9,295.62,290.16,294.09,88446841
2024-12-18 16:01:40.242757,290.11,291.43,284.99,291.35,34767007
2024-12-19 16:01:40.242757,297.74,299.83,292.89,296.81,42251729
2024-12-20 16:01:40.242757,291.79,293.56,289.6,292.76,60383084
2024-12-23 16:01:40.242757,304.48,306.51,299.14,303.2,64970745
2024-12-24 16:01:40.242757,304.36,309.33,301.45,304.66,75792616
2024-12-25 16:01:40.242757,310.38,310.61,308.16,310.6,78943970
2024-12-26 16:01:40.242757,308.43,309.02,300.88,307.5,23222499
2024-12-27 16:01:40.242757,308.43,309.5,303.68,305.97,65917033
2024-12-30 16:01:40.242757,307.43,310.31,305.32,306.72,71991561
2024-12-31 16:01:40.242757,308.86,309.88,305.74,306.0,41914945
2025-01-01 16:01:40.242757,302.18,305.97,302.06,303.47,7314769
2025-01-02 16:01:40.242757,294.11,298.62,292.98,294.84,32468706
2025-01-03 16:01:40.242757,290.7,293.89,287.28,291.03,37689898
2025-01-06 16:01:40.242757,283.36,287.77,278.72,284.09,37381973
2025-01-07 16:01:40.242757,274.81,274.97,271.98,273.65,62018934
2025-01-08 16:01:40.242757,274.14,275.01,272.72,274.9,93208964
2025-01-09 16:01:40.242757,269.6,272.46,265.5,270.36,82270815
2025-01-10 16:01:40.242757,275.89,279.43,275.38,277.84,5022256
2025-01-13 16:01:40.242757,273.54,274.88,272.0,273.55,25573025
2025-01-14 16:01:40.242757,269.92,270.28,263.14,268.41,54345162
2025-01-15 16:01:40.242757,275.42,281.71,271.64,274.64,3980310
2025-01-16 16:01:40.242757,281.07,282.57,277.29,278.23,67863205
2025-01-17 16:01:40.242757,285.95,287.56,282.42,284.39,49885961
2025-01-20 16:01:40.242757,284.47,285.89,281.81,282.86,14290666
2025-01-21 16:01:40.242757,275.59,275.83,270.78,272.96,91282502
2025-01-22 16:01:40.242757,277.65,281.03,275.9,276.77,12383599
2025-01-23 16:01:40.242757,280.74,287.16,280.3,282.39,11017012
2025-01-24 16:01:40.242757,281.51,285.83,278.27,280.64,20811018
2025-01-27 16:01:40.242757,291.55,294.02,289.87,290.79,58547746
2025-01-28 16:01:40.242757,294.08,298.45,290.53,294.34,83004103
2025-01-29 16:01:40.242757,293.41,297.53,292.76,294.5,12375062
2025-01-30 16:01:40.242757,299.48,304.52,294.29,298.49,77670051
2025-01-31 16:01:40.242757,292.53,300.58,291.18,292.83,94068746
2025-02-03 16:01:40.242757,293.15,295.23,291.23,293.68,86681060
2025-02-04 16:01:40.242757,288.22,292.96,280.23,285.23,16442073
2025-02-05 16:01:40.242757,288.31,289.09,284.23,286.38,91136580
2025-02-06 16:01:40.242757,285.52,289.95,282.49,287.59,4186610
2025-02-07 16:01:40.242757,292.74,299.84,288.08,288.99,49158382
2025-02-10 16:01:40.242757,288.5,290.95,286.33,288.08,51922246
2025-02-11 16:01:40.242757,283.21,285.69,277.52,282.11,17981510
2025-02-12 16:01:40.242757,296.67,298.53,292.02,295.13,15089215
2025-02-13 16:01:40.242757,290.91,293.36,284.5,289.06,63382333
2025-02-14 16:01:40.242757,283.26,286.81,281.54,281.94,41520035
2025-02-17 16:01:40.242757,280.48,282.85,277.0,281.42,25287985
2025-02-18 16:01:40.242757,281.59,284.86,279.78,280.68,16862965
2025-02-19 16:01:40.242757,283.53,284.98,279.98,281.98,54374213
2025-02-20 16:01:40.242757,288.43,290.29,286.5,286.63,81939988
2025-02-21 16:01:40.242757,279.2,282.15,275.69,280.62,87253670
2025-02-24 16:01:40.242757,290.11,290.87,287.25,288.94,6177057
2025-02-25 16:01:40.242757,288.26,294.23,283.87,286.92,61441869
2025-02-26 16:01:40.242757,276.22,278.15,274.28,277.27,65210938
2025-02-27 16:01:40.242757,281.06,281.4,276.25,280.1,13515576
2025-02-28 16:01:40.242757,278.89,282.16,275.25,279.17,76403608
2025-03-03 16:01:40.242757,279.34,284.47,278.82,280.17,67608100
2025-03-04 16:01:40.242757,284.39,286.03,283.57,285.62,58559012
2025-03-05 16:01:40.242757,293.43,294.21,292.16,293.79,92602511
2025-03-06 16:01:40.242757,289.28,293.26,288.02,288.12,69995278
2025-03-07 16:01:40.242757,270.59,279.11,268.68,273.84,71624751
2025-03-10 16:01:40.242757,270.14,274.1,264.78,271.75,75042775
2025-03-11 16:01:40.242757,267.65,269.34,267.18,268.3,79557736
2025-03-12 16:01:40.242757,268.56,273.8,261.12,266.97,75921671
2025-03-13 16:01:40.242757,257.9,258.95,255.43,257.98,40519868
2025-03-14 16:01:40.242757,257.38,262.6,251.13,255.75,58260137
2025-03-17 16:01:40.242757,250.99,254.53,250.23,251.51,93720473
2025-03-18 16:01:40.242757,244.04,246.6,243.14,245.92,80345041
2025-03-19 16:01:40.242757,235.21,237.46,232.83,236.89,19922001
2025-03-20 16:01:40.242757,233.97,235.07,232.54,234.64,25828050
2025-03-21 16:01:40.242757,238.78,243.52,235.81,240.74,43713764
2025-03-24 16:01:40.242757,238.98,239.77,238.75,238.86,38724255
2025-03-25 16:01:40.242757,231.36,232.28,228.35,229.18,36909720
2025-03-26 16:01:40.242757,235.99,242.01,235.15,237.57,2716058
2025-03-27 16:01:40.242757,229.39,230.98,226.4,228.48,78918100
2025-03-28 16:01:40.242757,229.63,232.75,226.61,227.97,57651709
2025-03-31 16:01:40.242757,224.41,227.44,222.76,224.86,69143818
2025-04-01 16:01:40.242757,221.47,225.66,221.02,221.77,62986964
2025-04-02 16:01:40.242757,217.68,220.9,216.89,219.07,89893610
2025-04-03 16:01:40.242757,220.3,222.91,218.39,221.8,33906078
2025-04-04 16:01:40.242757,221.55,225.58,219.47,221.33,6901346
2025-04-07 16:01:40.242757,228.22,228.54,222.39,225.63,32457167
2025-04-08 16:01:40.242757,236.83,240.15,234.99,237.5,93392755
2025-04-09 16:01:40.242757,242.0,244.86,236.51,241.24,76031326
2025-04-10 16:01:40.242757,243.59,244.79,238.71,244.72,3246476
2025-04-11 16:01:40.242757,242.32,249.45,238.47,243.09,17011497
2025-04-14 16:01:40.242757,246.4,251.11,246.24,247.69,75734802
2025-04-15 16:01:40.242757,248.08,249.45,245.67,248.99,3891913
2025-04-16 16:01:40.242757,246.09,247.9,242.71,245.95,48120943
2025-04-17 16:01:40.242757,243.97,247.16,242.62,246.05,50401317
2025-04-18 16:01:40.242757,243.41,245.51,241.13,243.57,73829764
2025-04-21 16:01:40.242757,244.8,250.59,242.48,247.42,68262718
2025-04-22 16:01:40.242757,239.2,240.59,238.49,239.78,99735470
2025-04-23 16:01:40.242757,237.95,243.92,237.73,239.44,91024752
2025-04-24 16:01:40.242757,245.46,246.19,242.62,243.74,62730051
2025-04-25 16:01:40.242757,250.42,251.31,246.88,250.19,48871655
2025-04-28 16:01:40.242757,248.53,251.28,248.23,248.78,69923835
2025-04-29 16:01:40.242757,251.2,255.4,250.85,252.95,57817448
2025-04-30 16:01:40.242757,259.25,261.5,258.23,259.31,24729625
2025-05-01 16:01:40.242757,258.08,259.97,254.67,258.45,76915434
2025-05-02 16:01:40.242757,266.91,267.64,265.93,266.59,40774015
2025-05-05 16:01:40.242757,264.22,264.61,263.7,264.52,97782364
2025-05-06 16:01:40.242757,256.02,257.29,254.53,257.02,54858805
