date,open,high,low,close,volume
2024-10-24 16:01:40.581244,202.81,205.13,200.9,204.78,51360367
2024-10-25 16:01:40.581244,204.8,205.04,200.31,203.07,46455893
2024-10-28 16:01:40.581244,202.35,206.43,201.48,202.53,55721707
2024-10-29 16:01:40.581244,203.11,204.85,199.55,203.69,5430136
2024-10-30 16:01:40.581244,207.37,207.8,203.25,206.09,46293407
2024-10-31 16:01:40.581244,206.87,208.93,203.8,205.66,56624217
2024-11-01 16:01:40.581244,210.8,212.91,205.8,209.25,57939330
2024-11-04 16:01:40.581244,208.14,210.77,204.33,210.42,69206183
2024-11-05 16:01:40.581244,208.15,208.32,206.4,207.87,25763278
2024-11-06 16:01:40.581244,207.02,207.47,203.74,205.85,1545447
2024-11-07 16:01:40.581244,209.19,211.74,205.37,208.53,69177331
2024-11-08 16:01:40.581244,213.96,215.25,209.53,213.57,50288135
2024-11-11 16:01:40.581244,213.03,214.04,212.92,214.03,7330269
2024-11-12 16:01:40.581244,211.73,216.52,211.04,212.45,40730749
2024-11-13 16:01:40.581244,211.53,214.01,211.35,212.42,35574790
2024-11-14 16:01:40.581244,212.63,217.73,211.11,211.5,86821818
2024-11-15 16:01:40.581244,215.37,219.15,214.53,215.12,65304252
2024-11-18 16:01:40.581244,212.24,215.02,210.52,212.3,55263064
2024-11-19 16:01:40.581244,221.58,221.6,219.96,220.15,74972265
2024-11-20 16:01:40.581244,217.69,220.77,217.11,217.46,18056505
2024-11-21 16:01:40.581244,209.01,211.35,205.09,210.21,99331507
2024-11-22 16:01:40.581244,204.7,208.44,203.58,205.16,77654230
2024-11-25 16:01:40.581244,205.41,208.33,204.29,204.72,34389675
2024-11-26 16:01:40.581244,199.35,202.32,195.81,200.98,15786102
2024-11-27 16:01:40.581244,200.0,201.66,196.54,198.05,30406355
2024-11-28 16:01:40.581244,197.93,198.61,197.76,197.99,70459914
2024-11-29 16:01:40.581244,196.73,198.55,195.0,196.01,2028307
2024-12-02 16:01:40.581244,197.21,199.46,195.13,196.06,16429159
2024-12-03 16:01:40.581244,196.84,198.55,194.87,197.04,40313810
2024-12-04 16:01:40.581244,194.35,196.89,192.47,196.38,5332789
