date,open,high,low,close,volume
2024-10-24 16:01:40.539714,190.74,192.54,190.38,190.91,52717917
2024-10-25 16:01:40.539714,188.58,192.45,187.3,187.75,23659650
2024-10-28 16:01:40.539714,184.62,185.22,182.47,182.99,70992990
2024-10-29 16:01:40.539714,180.49,182.58,177.08,181.91,64328934
2024-10-30 16:01:40.539714,185.17,186.0,184.52,185.37,85501000
2024-10-31 16:01:40.539714,182.61,183.56,181.44,183.29,87143283
2024-11-01 16:01:40.539714,182.59,182.84,177.22,182.08,88724206
2024-11-04 16:01:40.539714,185.96,187.22,184.74,185.95,4824588
2024-11-05 16:01:40.539714,186.29,188.23,184.21,186.84,81766008
2024-11-06 16:01:40.539714,187.88,192.35,186.31,187.46,34727041
2024-11-07 16:01:40.539714,180.65,181.0,177.67,180.8,78608069
2024-11-08 16:01:40.539714,185.05,186.5,182.82,183.73,79253580
2024-11-11 16:01:40.539714,182.36,184.61,180.4,181.94,26575067
2024-11-12 16:01:40.539714,182.7,184.54,179.08,180.35,21274843
2024-11-13 16:01:40.539714,178.54,182.56,177.22,178.87,85509135
2024-11-14 16:01:40.539714,182.73,186.19,178.54,181.08,62660763
2024-11-15 16:01:40.539714,177.38,177.9,175.42,177.0,77222093
2024-11-18 16:01:40.539714,181.19,185.18,178.74,182.29,96143461
2024-11-19 16:01:40.539714,182.92,183.31,182.56,182.76,38864556
2024-11-20 16:01:40.539714,180.1,182.13,180.08,182.1,80852209
2024-11-21 16:01:40.539714,188.65,190.07,186.29,186.66,53564160
2024-11-22 16:01:40.539714,186.42,187.25,183.93,186.09,11650213
2024-11-25 16:01:40.539714,194.63,196.61,190.25,192.91,61788543
2024-11-26 16:01:40.539714,190.94,194.01,189.99,192.29,37179367
2024-11-27 16:01:40.539714,193.16,194.7,193.05,194.04,12693762
2024-11-28 16:01:40.539714,190.29,192.88,187.66,191.4,51520420
2024-11-29 16:01:40.539714,192.18,195.32,191.82,193.2,13355369
2024-12-02 16:01:40.539714,195.7,197.44,194.72,196.87,97246557
2024-12-03 16:01:40.539714,198.5,199.98,194.36,197.85,30935183
2024-12-04 16:01:40.539714,203.18,207.12,201.77,204.54,12701903
2024-12-05 16:01:40.539714,204.97,205.81,201.44,205.7,59399522
2024-12-06 16:01:40.539714,208.42,210.0,204.33,206.46,27733951
2024-12-09 16:01:40.539714,213.74,215.7,213.39,214.12,68882368
2024-12-10 16:01:40.539714,216.13,218.5,212.5,214.93,39692252
2024-12-11 16:01:40.539714,216.34,218.33,215.29,216.14,70989993
2024-12-12 16:01:40.539714,226.06,228.73,225.08,227.17,92611518
2024-12-13 16:01:40.539714,230.3,235.28,227.93,231.5,8824871
2024-12-16 16:01:40.539714,229.29,231.97,227.62,230.02,54315995
2024-12-17 16:01:40.539714,226.49,229.68,226.19,227.0,91106516
2024-12-18 16:01:40.539714,236.42,239.47,230.22,233.95,6304587
2024-12-19 16:01:40.539714,239.11,241.68,237.61,237.86,31028924
2024-12-20 16:01:40.539714,224.43,224.63,222.9,224.3,59486344
2024-12-23 16:01:40.539714,222.3,223.67,218.37,223.37,80160890
2024-12-24 16:01:40.539714,223.19,226.79,221.6,223.33,76836451
2024-12-25 16:01:40.539714,217.24,220.48,216.7,217.22,51069810
2024-12-26 16:01:40.539714,217.08,219.4,214.28,216.21,12312034
2024-12-27 16:01:40.539714,214.41,215.15,214.26,215.04,89206302
2024-12-30 16:01:40.539714,215.43,217.81,214.15,214.59,82429627
2024-12-31 16:01:40.539714,217.57,218.68,214.22,215.95,13513556
2025-01-01 16:01:40.539714,215.02,217.42,211.96,214.81,47859295
2025-01-02 16:01:40.539714,225.53,226.0,219.17,225.1,35902379
2025-01-03 16:01:40.539714,222.49,225.42,222.2,223.46,98637904
2025-01-06 16:01:40.539714,222.99,225.41,221.08,221.81,80337883
2025-01-07 16:01:40.539714,224.33,228.27,219.31,222.18,79318758
2025-01-08 16:01:40.539714,218.68,219.69,217.55,218.67,55918810
2025-01-09 16:01:40.539714,222.55,223.91,219.47,221.22,14743914
2025-01-10 16:01:40.539714,222.42,225.24,221.36,222.09,30615521
2025-01-13 16:01:40.539714,221.96,222.61,219.67,220.09,12089667
2025-01-14 16:01:40.539714,220.13,226.15,218.14,220.64,35682045
2025-01-15 16:01:40.539714,229.17,232.97,226.73,229.58,20963779
2025-01-16 16:01:40.539714,235.15,236.94,230.71,233.7,73838665
2025-01-17 16:01:40.539714,224.56,228.7,222.19,226.55,56052376
2025-01-20 16:01:40.539714,227.94,228.99,223.4,228.16,90191669
2025-01-21 16:01:40.539714,229.55,232.77,223.65,227.02,55216876
2025-01-22 16:01:40.539714,226.46,227.8,223.7,227.13,21312294
2025-01-23 16:01:40.539714,232.57,233.42,229.15,232.36,90633407
2025-01-24 16:01:40.539714,229.97,236.35,229.31,231.02,20375354
2025-01-27 16:01:40.539714,231.41,232.37,223.79,231.8,49343637
2025-01-28 16:01:40.539714,231.7,233.33,230.91,232.07,14829226
2025-01-29 16:01:40.539714,235.06,236.51,232.62,233.3,19494908
2025-01-30 16:01:40.539714,227.31,230.88,226.85,228.13,55343897
2025-01-31 16:01:40.539714,217.19,218.61,212.68,215.77,86878057
2025-02-03 16:01:40.539714,210.3,213.28,210.05,211.28,89599853
2025-02-04 16:01:40.539714,215.88,216.19,214.64,216.12,38122147
2025-02-05 16:01:40.539714,209.05,209.1,205.53,209.07,65422072
2025-02-06 16:01:40.539714,209.77,212.26,208.78,210.2,10110985
2025-02-07 16:01:40.539714,222.62,225.41,221.57,221.69,21864161
2025-02-10 16:01:40.539714,224.36,225.07,217.46,222.46,15514083
2025-02-11 16:01:40.539714,217.85,220.86,216.53,219.61,94477650
2025-02-12 16:01:40.539714,218.27,219.32,216.31,218.98,9088630
2025-02-13 16:01:40.539714,227.18,229.46,226.2,226.81,9529481
2025-02-14 16:01:40.539714,229.64,231.43,226.11,229.96,6171307
2025-02-17 16:01:40.539714,231.63,234.81,230.04,233.54,16763888
2025-02-18 16:01:40.539714,232.37,233.63,230.77,233.36,48153037
2025-02-19 16:01:40.539714,229.38,233.71,225.89,231.11,31817225
2025-02-20 16:01:40.539714,240.45,244.3,237.11,241.31,82761125
2025-02-21 16:01:40.539714,243.88,244.59,239.89,241.87,91027381
2025-02-24 16:01:40.539714,235.76,241.34,235.12,238.36,75103350
2025-02-25 16:01:40.539714,239.83,242.31,236.4,238.46,43437344
2025-02-26 16:01:40.539714,233.19,237.68,230.82,232.14,70733603
2025-02-27 16:01:40.539714,242.14,243.85,241.29,242.2,62254263
2025-02-28 16:01:40.539714,246.47,247.15,245.37,245.83,37119970
2025-03-03 16:01:40.539714,237.38,237.48,233.98,236.61,78002545
2025-03-04 16:01:40.539714,226.02,228.68,224.6,227.23,19783360
2025-03-05 16:01:40.539714,224.4,226.47,223.29,224.53,22271762
2025-03-06 16:01:40.539714,223.78,224.92,223.11,224.72,41961984
2025-03-07 16:01:40.539714,220.71,222.09,218.28,220.24,79846588
2025-03-10 16:01:40.539714,222.64,226.37,220.1,223.59,6089783
2025-03-11 16:01:40.539714,221.75,227.75,217.56,219.87,60367610
2025-03-12 16:01:40.539714,221.86,225.82,217.65,220.54,51684364
2025-03-13 16:01:40.539714,220.83,220.97,219.98,220.89,95302797
2025-03-14 16:01:40.539714,227.78,229.65,227.2,229.04,7037181
2025-03-17 16:01:40.539714,229.87,230.63,229.78,230.25,74172503
2025-03-18 16:01:40.539714,231.72,236.25,228.92,231.11,5795987
2025-03-19 16:01:40.539714,232.73,232.87,226.0,230.38,56935938
2025-03-20 16:01:40.539714,217.86,221.15,215.86,218.35,96995546
2025-03-21 16:01:40.539714,225.83,229.35,224.75,225.14,27027484
2025-03-24 16:01:40.539714,222.26,223.85,219.08,221.57,47983444
2025-03-25 16:01:40.539714,226.02,226.55,223.66,226.2,96943967
2025-03-26 16:01:40.539714,225.84,226.51,224.36,224.95,46629834
2025-03-27 16:01:40.539714,222.96,223.87,220.41,221.54,87823318
2025-03-28 16:01:40.539714,219.8,223.89,218.18,218.97,45564817
2025-03-31 16:01:40.539714,224.92,228.71,223.51,225.43,22595026
2025-04-01 16:01:40.539714,230.29,231.65,228.54,229.4,49823934
2025-04-02 16:01:40.539714,230.24,233.21,226.71,230.04,95305394
2025-04-03 16:01:40.539714,233.67,239.24,232.8,234.77,70175208
2025-04-04 16:01:40.539714,242.33,244.23,240.5,242.66,57243659
2025-04-07 16:01:40.539714,240.38,243.37,239.07,241.88,98468582
2025-04-08 16:01:40.539714,234.63,237.3,232.49,236.75,64508800
2025-04-09 16:01:40.539714,238.38,239.86,237.59,239.08,21604657
2025-04-10 16:01:40.539714,237.83,238.32,232.78,237.14,19785804
2025-04-11 16:01:40.539714,244.56,244.88,241.65,243.28,96617794
2025-04-14 16:01:40.539714,240.03,241.81,236.67,239.29,99082197
2025-04-15 16:01:40.539714,232.0,233.4,229.86,232.56,49251492
2025-04-16 16:01:40.539714,234.64,236.07,232.29,234.33,32039476
2025-04-17 16:01:40.539714,242.87,243.5,236.26,240.06,93554242
2025-04-18 16:01:40.539714,239.93,241.16,236.89,238.13,65565059
2025-04-21 16:01:40.539714,234.36,235.62,227.73,234.3,36765911
2025-04-22 16:01:40.539714,230.73,230.87,230.17,230.62,20438062
2025-04-23 16:01:40.539714,225.99,227.27,224.56,226.98,31906448
2025-04-24 16:01:40.539714,222.51,226.2,221.5,223.59,4601779
2025-04-25 16:01:40.539714,221.9,223.77,218.94,222.04,19361438
2025-04-28 16:01:40.539714,218.44,219.29,217.04,218.33,18363379
2025-04-29 16:01:40.539714,219.68,221.95,217.36,218.65,88224433
2025-04-30 16:01:40.539714,222.35,222.63,219.2,222.08,81984572
2025-05-01 16:01:40.539714,227.29,228.19,222.5,226.8,33631544
2025-05-02 16:01:40.539714,233.42,236.74,231.75,232.43,39822561
2025-05-05 16:01:40.539714,230.93,230.95,226.91,230.49,24163247
2025-05-06 16:01:40.539714,218.83,220.11,218.31,219.4,18634288
2025-05-07 16:01:40.539714,218.98,221.13,215.48,218.19,30706154
2025-05-08 16:01:40.539714,218.31,219.35,215.39,217.86,68970034
2025-05-09 16:01:40.539714,221.52,222.4,216.96,220.23,83606301
2025-05-12 16:01:40.539714,209.75,211.8,208.04,210.61,73374242
2025-05-13 16:01:40.539714,211.03,212.73,208.72,209.3,10856505
2025-05-14 16:01:40.539714,202.94,204.3,201.6,203.32,65766362
2025-05-15 16:01:40.539714,202.61,203.6,199.38,203.37,27677412
2025-05-16 16:01:40.539714,210.83,210.86,209.66,210.31,73551778
2025-05-19 16:01:40.539714,214.11,216.27,212.06,212.84,79909381
2025-05-20 16:01:40.539714,206.68,208.27,206.26,207.53,82116888
2025-05-21 16:01:40.539714,206.26,206.78,205.34,205.72,56625659
2025-05-22 16:01:40.539714,205.01,208.92,203.44,205.6,60315583
2025-05-23 16:01:40.539714,200.13,201.22,198.76,199.93,56130996
2025-05-26 16:01:40.539714,202.54,209.49,197.5,200.97,39935347
