date,open,high,low,close,volume
2024-10-24 16:01:40.407646,88.43,89.31,86.89,88.22,17954174
2024-10-25 16:01:40.407646,88.42,88.94,88.36,88.43,78340369
2024-10-28 16:01:40.407646,88.33,88.67,88.07,88.22,6736116
2024-10-29 16:01:40.407646,89.66,90.26,88.6,89.36,45109104
2024-10-30 16:01:40.407646,91.87,93.75,90.68,92.1,8755558
2024-10-31 16:01:40.407646,93.64,94.13,92.42,93.9,87315559
2024-11-01 16:01:40.407646,94.61,96.94,94.43,94.93,92298380
2024-11-04 16:01:40.407646,95.57,95.73,94.88,95.09,40503947
2024-11-05 16:01:40.407646,89.39,90.09,88.23,89.46,5987139
2024-11-06 16:01:40.407646,88.73,88.74,87.28,88.34,25579684
2024-11-07 16:01:40.407646,88.4,89.01,87.95,88.58,10039056
2024-11-08 16:01:40.407646,88.27,89.62,87.24,88.71,54418072
2024-11-11 16:01:40.407646,88.77,89.27,87.49,88.07,42052334
2024-11-12 16:01:40.407646,83.33,84.49,82.85,83.76,64438323
2024-11-13 16:01:40.407646,86.83,87.85,86.44,87.33,99637578
2024-11-14 16:01:40.407646,88.36,88.98,87.36,88.56,84850360
2024-11-15 16:01:40.407646,84.67,85.98,83.54,85.22,38284453
2024-11-18 16:01:40.407646,81.84,82.84,80.17,82.18,89886878
2024-11-19 16:01:40.407646,82.24,83.94,81.22,81.76,44691974
2024-11-20 16:01:40.407646,82.38,82.67,81.21,82.59,33895640
2024-11-21 16:01:40.407646,84.2,85.0,84.03,84.66,96852614
2024-11-22 16:01:40.407646,85.14,85.71,83.58,84.88,1300792
2024-11-25 16:01:40.407646,87.9,88.37,87.76,87.96,15259561
2024-11-26 16:01:40.407646,87.51,88.93,86.87,87.06,61637576
2024-11-27 16:01:40.407646,88.12,89.49,87.17,87.96,30353591
2024-11-28 16:01:40.407646,84.31,85.15,83.86,84.56,31855462
2024-11-29 16:01:40.407646,85.67,86.22,84.93,86.21,61294281
2024-12-02 16:01:40.407646,88.62,89.01,87.06,88.26,59581878
2024-12-03 16:01:40.407646,87.84,89.12,87.11,88.09,92402625
2024-12-04 16:01:40.407646,88.83,89.44,87.51,88.41,78041691
2024-12-05 16:01:40.407646,86.42,87.39,85.87,86.59,55549554
2024-12-06 16:01:40.407646,86.65,87.67,86.25,87.56,76632350
2024-12-09 16:01:40.407646,90.2,90.84,89.32,90.58,21277771
2024-12-10 16:01:40.407646,89.01,90.99,88.04,88.11,18550266
2024-12-11 16:01:40.407646,85.68,87.93,84.15,86.02,17930302
2024-12-12 16:01:40.407646,86.74,87.11,86.55,86.92,76909488
