date,open,high,low,close,volume
2024-10-24 16:01:40.119180,83.06,83.37,80.7,82.55,85745814
2024-10-25 16:01:40.119180,82.25,84.2,80.82,83.39,39761620
2024-10-28 16:01:40.119180,83.99,84.12,83.16,83.82,95532416
2024-10-29 16:01:40.119180,82.47,84.06,81.78,83.04,2872154
2024-10-30 16:01:40.119180,81.14,83.23,80.39,81.62,42459049
2024-10-31 16:01:40.119180,81.8,82.26,81.6,82.21,62428090
2024-11-01 16:01:40.119180,80.29,81.76,80.06,80.42,1913605
2024-11-04 16:01:40.119180,78.8,78.85,78.09,78.54,87895606
2024-11-05 16:01:40.119180,76.67,76.74,76.41,76.51,94785087
2024-11-06 16:01:40.119180,76.18,76.7,75.44,76.18,26182763
2024-11-07 16:01:40.119180,75.5,75.51,75.03,75.23,65971107
2024-11-08 16:01:40.119180,74.9,74.95,73.87,74.61,79038555
2024-11-11 16:01:40.119180,75.66,76.14,75.44,75.49,97775596
2024-11-12 16:01:40.119180,76.46,77.37,75.1,77.13,70141520
2024-11-13 16:01:40.119180,79.36,80.06,79.09,79.65,7490750
2024-11-14 16:01:40.119180,79.79,81.39,78.48,79.78,8221626
2024-11-15 16:01:40.119180,80.7,80.96,80.09,80.41,56984203
2024-11-18 16:01:40.119180,80.23,81.32,79.82,80.76,6198054
2024-11-19 16:01:40.119180,77.85,79.13,77.24,77.86,44210443
2024-11-20 16:01:40.119180,76.64,77.55,76.12,77.24,58601271
2024-11-21 16:01:40.119180,77.03,77.95,76.4,76.64,47287149
2024-11-22 16:01:40.119180,75.89,77.17,74.95,75.8,28413661
2024-11-25 16:01:40.119180,75.24,76.04,74.5,75.75,99150468
2024-11-26 16:01:40.119180,74.89,75.82,74.07,75.4,34931656
2024-11-27 16:01:40.119180,73.94,74.07,72.99,73.8,15500948
2024-11-28 16:01:40.119180,74.07,74.13,73.11,73.57,64394058
2024-11-29 16:01:40.119180,72.16,73.35,71.18,72.56,80929954
2024-12-02 16:01:40.119180,68.77,69.3,68.48,68.5,22230938
2024-12-03 16:01:40.119180,66.26,67.46,65.72,66.44,9623041
2024-12-04 16:01:40.119180,66.86,67.39,65.72,66.58,28192023
2024-12-05 16:01:40.119180,68.45,69.32,67.42,68.22,58090720
2024-12-06 16:01:40.119180,64.73,65.07,63.62,64.68,87543965
2024-12-09 16:01:40.119180,62.89,64.25,62.29,63.47,73881828
2024-12-10 16:01:40.119180,64.31,64.42,63.4,64.09,61602482
2024-12-11 16:01:40.119180,65.52,65.81,65.0,65.36,99212059
2024-12-12 16:01:40.119180,64.9,66.17,64.75,64.77,23421435
2024-12-13 16:01:40.119180,63.88,64.67,62.5,63.82,58286686
2024-12-16 16:01:40.119180,65.28,65.59,65.22,65.57,12296266
2024-12-17 16:01:40.119180,67.11,67.4,66.6,66.75,78575510
2024-12-18 16:01:40.119180,68.35,69.09,68.01,68.04,34408376
2024-12-19 16:01:40.119180,66.99,67.92,66.77,67.36,61191873
2024-12-20 16:01:40.119180,69.5,69.79,68.61,69.05,60543527
2024-12-23 16:01:40.119180,66.21,66.42,65.75,66.16,19719336
2024-12-24 16:01:40.119180,67.89,67.95,67.38,67.85,62731354
2024-12-25 16:01:40.119180,67.71,67.87,67.25,67.77,79437377
2024-12-26 16:01:40.119180,67.95,68.19,67.61,67.98,42648998
2024-12-27 16:01:40.119180,67.05,67.45,66.5,66.59,25088676
2024-12-30 16:01:40.119180,64.32,64.5,63.78,63.99,44626004
2024-12-31 16:01:40.119180,64.49,64.9,64.15,64.16,58042308
2025-01-01 16:01:40.119180,65.02,65.14,64.52,64.96,68930803
2025-01-02 16:01:40.119180,66.28,67.68,65.57,65.99,47236588
2025-01-03 16:01:40.119180,66.6,67.28,66.05,66.88,95759772
2025-01-06 16:01:40.119180,67.63,68.38,66.87,67.44,25247612
2025-01-07 16:01:40.119180,66.04,66.69,65.93,66.09,42717797
2025-01-08 16:01:40.119180,66.54,67.64,65.93,67.24,48596179
2025-01-09 16:01:40.119180,65.21,66.27,64.54,65.73,3500120
2025-01-10 16:01:40.119180,67.15,67.9,66.84,67.37,14831553
2025-01-13 16:01:40.119180,67.41,67.61,66.67,67.27,67758264
2025-01-14 16:01:40.119180,66.98,67.43,66.97,67.21,66063839
2025-01-15 16:01:40.119180,68.32,68.55,68.21,68.52,98461273
2025-01-16 16:01:40.119180,70.33,71.28,69.19,70.06,72041477
2025-01-17 16:01:40.119180,71.08,71.97,70.69,71.28,47999208
2025-01-20 16:01:40.119180,70.49,71.4,69.77,70.02,29923202
2025-01-21 16:01:40.119180,71.64,71.9,70.88,71.22,23658560
2025-01-22 16:01:40.119180,69.98,70.35,69.09,69.97,70305138
2025-01-23 16:01:40.119180,71.48,72.04,71.04,71.21,70538564
2025-01-24 16:01:40.119180,69.24,69.3,67.99,69.03,84177355
2025-01-27 16:01:40.119180,68.82,69.66,68.14,68.9,61251695
2025-01-28 16:01:40.119180,67.97,69.06,67.29,67.68,5096920
2025-01-29 16:01:40.119180,69.36,69.63,67.17,69.01,92444024
2025-01-30 16:01:40.119180,70.41,71.17,69.14,70.74,78571362
2025-01-31 16:01:40.119180,71.12,72.29,70.48,71.07,79879051
2025-02-03 16:01:40.119180,71.4,71.83,70.04,71.35,54833309
2025-02-04 16:01:40.119180,72.79,72.98,70.74,72.48,45660996
2025-02-05 16:01:40.119180,74.15,75.03,72.16,74.31,97339937
2025-02-06 16:01:40.119180,74.17,74.99,74.03,74.39,8872277
2025-02-07 16:01:40.119180,73.65,75.79,72.91,73.59,70713766
2025-02-10 16:01:40.119180,75.11,75.77,73.41,74.67,14739212
2025-02-11 16:01:40.119180,71.26,72.04,71.01,71.69,1398008
2025-02-12 16:01:40.119180,72.78,73.68,72.66,73.16,97393902
2025-02-13 16:01:40.119180,71.85,72.27,70.97,72.04,23858114
2025-02-14 16:01:40.119180,71.55,71.91,71.44,71.67,44797300
2025-02-17 16:01:40.119180,72.51,73.41,72.33,73.15,9029598
2025-02-18 16:01:40.119180,73.04,73.46,71.58,72.5,82752132
2025-02-19 16:01:40.119180,73.51,73.82,73.05,73.56,75976727
2025-02-20 16:01:40.119180,75.34,75.72,75.15,75.45,70905511
2025-02-21 16:01:40.119180,76.26,76.45,74.71,75.65,15927605
2025-02-24 16:01:40.119180,76.46,76.67,75.31,76.19,98500320
2025-02-25 16:01:40.119180,75.8,76.19,75.78,76.01,33086215
2025-02-26 16:01:40.119180,76.28,76.34,74.81,76.22,90688279
2025-02-27 16:01:40.119180,74.37,74.51,73.71,74.38,68282865
2025-02-28 16:01:40.119180,74.45,75.59,72.48,73.92,56902419
2025-03-03 16:01:40.119180,71.81,71.92,71.56,71.87,65414203
2025-03-04 16:01:40.119180,69.96,72.03,69.63,70.47,11803215
2025-03-05 16:01:40.119180,66.81,67.68,66.58,67.44,46849459
