date,open,high,low,close,volume
2024-10-24 16:01:40.147957,332.45,335.63,329.45,334.42,82414589
2024-10-25 16:01:40.147957,326.7,329.32,324.62,324.77,81963663
2024-10-28 16:01:40.147957,315.88,317.75,312.32,317.59,56053328
2024-10-29 16:01:40.147957,313.8,316.75,313.47,315.89,84597449
2024-10-30 16:01:40.147957,323.86,327.43,320.06,323.23,47815883
2024-10-31 16:01:40.147957,330.15,333.74,325.97,330.26,85458322
2024-11-01 16:01:40.147957,338.45,342.37,335.53,337.69,62354535
2024-11-04 16:01:40.147957,333.23,333.5,327.04,330.33,37359847
2024-11-05 16:01:40.147957,329.74,336.46,327.94,328.79,24918665
2024-11-06 16:01:40.147957,335.33,340.67,335.22,337.95,37325425
2024-11-07 16:01:40.147957,326.65,331.32,323.57,325.13,13942345
2024-11-08 16:01:40.147957,321.58,326.9,320.58,321.93,19317610
2024-11-11 16:01:40.147957,323.86,323.88,320.94,323.59,31069074
2024-11-12 16:01:40.147957,309.14,315.27,306.9,311.72,97735197
2024-11-13 16:01:40.147957,315.55,318.87,313.52,314.76,90817561
2024-11-14 16:01:40.147957,323.63,325.98,321.66,325.75,48772263
2024-11-15 16:01:40.147957,335.64,338.16,334.08,334.75,81953121
2024-11-18 16:01:40.147957,332.31,334.33,328.23,333.51,65295873
2024-11-19 16:01:40.147957,340.86,341.37,336.02,339.64,47312589
2024-11-20 16:01:40.147957,324.98,335.14,322.08,327.1,83820904
2024-11-21 16:01:40.147957,326.62,331.63,326.29,329.19,2971369
2024-11-22 16:01:40.147957,326.18,330.26,323.39,327.06,41882188
2024-11-25 16:01:40.147957,326.5,332.57,321.49,326.06,32784604
2024-11-26 16:01:40.147957,325.01,329.2,322.98,326.89,75451117
2024-11-27 16:01:40.147957,330.1,336.24,325.84,329.77,9320673
2024-11-28 16:01:40.147957,320.85,324.56,317.55,319.45,52685310
2024-11-29 16:01:40.147957,310.62,315.31,306.89,312.69,86742723
2024-12-02 16:01:40.147957,311.32,313.16,308.71,311.0,30543963
2024-12-03 16:01:40.147957,299.92,301.68,296.52,299.11,69994944
2024-12-04 16:01:40.147957,299.8,302.36,299.57,300.09,66805219
2024-12-05 16:01:40.147957,305.6,306.96,302.85,305.72,30513578
2024-12-06 16:01:40.147957,313.1,317.57,306.29,315.32,84396876
2024-12-09 16:01:40.147957,316.76,318.65,315.99,316.07,88213306
2024-12-10 16:01:40.147957,329.67,333.23,328.46,329.57,7108529
2024-12-11 16:01:40.147957,329.64,334.66,328.31,329.39,95222953
2024-12-12 16:01:40.147957,323.77,326.68,320.1,320.46,18167108
2024-12-13 16:01:40.147957,319.81,320.52,316.46,320.14,13772943
2024-12-16 16:01:40.147957,319.28,319.69,317.63,318.77,21976503
2024-12-17 16:01:40.147957,324.57,325.18,321.76,322.49,22724665
2024-12-18 16:01:40.147957,324.42,328.17,324.36,324.5,49462495
2024-12-19 16:01:40.147957,324.84,326.5,323.82,326.0,56081137
2024-12-20 16:01:40.147957,333.77,340.14,332.06,333.11,39444698
2024-12-23 16:01:40.147957,328.91,334.0,323.29,330.04,64786530
