date,open,high,low,close,volume
2024-10-24 16:01:40.191690,108.47,108.74,107.56,107.6,24898690
2024-10-25 16:01:40.191690,106.53,108.08,106.11,107.48,8801495
2024-10-28 16:01:40.191690,106.35,106.43,105.5,106.15,2420001
2024-10-29 16:01:40.191690,102.04,102.85,101.04,102.37,51704446
2024-10-30 16:01:40.191690,107.53,109.8,107.31,108.0,6019441
2024-10-31 16:01:40.191690,109.5,110.66,108.24,108.77,48344128
2024-11-01 16:01:40.191690,108.69,109.2,106.83,108.83,46302496
2024-11-04 16:01:40.191690,107.78,108.51,107.18,107.97,64682685
2024-11-05 16:01:40.191690,109.93,110.26,109.49,109.74,18089290
2024-11-06 16:01:40.191690,105.84,107.16,105.29,106.99,92614658
2024-11-07 16:01:40.191690,107.0,107.53,106.2,106.28,40097749
2024-11-08 16:01:40.191690,105.09,105.18,102.92,104.1,69399723
2024-11-11 16:01:40.191690,106.28,107.12,105.23,105.79,24324038
2024-11-12 16:01:40.191690,104.12,105.44,101.69,103.91,25409456
2024-11-13 16:01:40.191690,106.37,106.59,105.34,106.48,21648624
2024-11-14 16:01:40.191690,105.7,108.41,104.93,106.28,7135651
2024-11-15 16:01:40.191690,108.78,110.99,108.03,108.13,57218240
2024-11-18 16:01:40.191690,109.61,110.33,108.53,109.11,97788288
2024-11-19 16:01:40.191690,111.97,112.19,111.7,111.72,75045886
2024-11-20 16:01:40.191690,109.65,110.44,107.52,109.46,92584831
2024-11-21 16:01:40.191690,111.87,113.44,110.78,111.7,87340505
2024-11-22 16:01:40.191690,106.95,109.17,106.77,107.23,40842064
2024-11-25 16:01:40.191690,108.7,109.09,105.73,107.36,80895178
2024-11-26 16:01:40.191690,105.94,107.36,105.53,106.1,49659394
2024-11-27 16:01:40.191690,102.67,103.09,102.43,102.88,77911228
2024-11-28 16:01:40.191690,101.47,104.25,100.5,100.9,7652425
2024-11-29 16:01:40.191690,99.49,100.6,98.52,99.51,5789825
2024-12-02 16:01:40.191690,99.09,99.28,98.65,99.1,45503055
2024-12-03 16:01:40.191690,98.68,99.46,97.85,97.98,9808815
2024-12-04 16:01:40.191690,98.51,101.1,97.88,98.18,58956602
2024-12-05 16:01:40.191690,96.77,97.43,95.87,96.42,39220569
2024-12-06 16:01:40.191690,94.76,96.4,94.49,95.44,61076391
2024-12-09 16:01:40.191690,95.04,95.75,94.81,94.85,99640102
2024-12-10 16:01:40.191690,94.78,97.5,92.58,95.26,40221065
2024-12-11 16:01:40.191690,96.86,98.3,96.54,97.08,31465276
2024-12-12 16:01:40.191690,99.03,99.51,98.28,98.95,99082743
2024-12-13 16:01:40.191690,99.47,101.26,99.32,99.49,71709859
2024-12-16 16:01:40.191690,100.79,100.84,98.95,100.46,26729629
2024-12-17 16:01:40.191690,101.57,102.68,99.58,101.18,51343304
2024-12-18 16:01:40.191690,100.93,101.97,98.54,100.5,24816708
