date,open,high,low,close,volume
2024-10-24 16:01:40.174146,160.05,160.7,158.19,159.66,44803874
2024-10-25 16:01:40.174146,161.0,163.25,159.26,159.92,78751942
2024-10-28 16:01:40.174146,163.95,164.49,161.9,163.27,31170564
2024-10-29 16:01:40.174146,167.8,169.83,166.49,166.55,48922463
2024-10-30 16:01:40.174146,157.14,158.37,156.46,157.0,92139140
2024-10-31 16:01:40.174146,155.21,156.44,154.41,156.23,29454168
2024-11-01 16:01:40.174146,156.68,157.4,153.86,156.25,91243027
2024-11-04 16:01:40.174146,158.06,160.22,155.34,159.4,99851157
2024-11-05 16:01:40.174146,159.57,161.47,158.42,159.84,25540005
2024-11-06 16:01:40.174146,154.33,154.87,153.4,154.69,42649484
2024-11-07 16:01:40.174146,149.49,151.05,147.52,149.78,4426022
2024-11-08 16:01:40.174146,149.16,151.93,145.64,148.22,65574849
2024-11-11 16:01:40.174146,157.29,157.65,156.78,157.31,51324821
2024-11-12 16:01:40.174146,159.95,160.61,158.14,158.32,23423868
2024-11-13 16:01:40.174146,160.11,162.02,158.97,160.16,80458184
2024-11-14 16:01:40.174146,153.42,155.45,153.37,155.07,71618881
2024-11-15 16:01:40.174146,158.46,159.72,158.04,158.93,85987052
2024-11-18 16:01:40.174146,158.53,161.6,154.36,157.86,58552071
2024-11-19 16:01:40.174146,162.12,164.42,160.21,163.22,43511951
2024-11-20 16:01:40.174146,158.56,158.99,155.93,158.85,21608864
2024-11-21 16:01:40.174146,159.2,162.23,156.05,158.55,2529759
2024-11-22 16:01:40.174146,156.57,157.3,153.46,156.81,75900231
2024-11-25 16:01:40.174146,158.62,159.57,157.3,159.06,47153695
2024-11-26 16:01:40.174146,163.59,163.96,161.76,162.57,3655828
2024-11-27 16:01:40.174146,160.19,160.44,159.2,160.37,28277944
2024-11-28 16:01:40.174146,162.43,166.22,157.65,163.28,60056659
2024-11-29 16:01:40.174146,169.21,170.82,168.25,168.51,13284352
2024-12-02 16:01:40.174146,173.21,174.74,171.34,172.23,7332052
2024-12-03 16:01:40.174146,170.26,173.58,169.87,170.11,39386694
2024-12-04 16:01:40.174146,168.07,169.9,167.03,168.56,71730616
2024-12-05 16:01:40.174146,167.07,170.53,166.32,167.81,18491833
2024-12-06 16:01:40.174146,170.92,172.63,170.02,171.39,24642504
2024-12-09 16:01:40.174146,171.97,173.32,170.53,173.06,15067285
2024-12-10 16:01:40.174146,167.95,171.92,167.9,168.37,61329345
2024-12-11 16:01:40.174146,168.81,169.7,167.92,168.35,61808692
2024-12-12 16:01:40.174146,175.21,178.65,174.21,174.57,19838674
2024-12-13 16:01:40.174146,178.47,178.84,176.37,178.45,25512827
2024-12-16 16:01:40.174146,176.48,177.24,174.44,176.14,73579525
2024-12-17 16:01:40.174146,170.12,171.04,168.32,170.32,96247546
2024-12-18 16:01:40.174146,167.88,169.16,163.88,168.49,70854532
2024-12-19 16:01:40.174146,168.23,169.9,167.65,168.52,84127084
2024-12-20 16:01:40.174146,167.97,170.17,165.34,167.04,72598397
2024-12-23 16:01:40.174146,161.64,165.41,160.97,163.5,88710089
2024-12-24 16:01:40.174146,164.71,166.18,164.21,165.66,96367546
2024-12-25 16:01:40.174146,156.82,157.27,155.28,157.19,48981248
2024-12-26 16:01:40.174146,160.27,162.14,159.69,161.17,59702617
2024-12-27 16:01:40.174146,164.27,165.23,163.78,163.91,98531353
2024-12-30 16:01:40.174146,164.23,166.9,163.09,165.5,29430011
2024-12-31 16:01:40.174146,168.74,170.76,166.19,167.73,73313658
2025-01-01 16:01:40.174146,168.35,169.04,165.7,166.72,1872596
2025-01-02 16:01:40.174146,166.87,169.85,165.07,166.66,62848587
2025-01-03 16:01:40.174146,171.65,172.73,170.68,172.19,85843237
2025-01-06 16:01:40.174146,172.45,175.9,171.36,171.65,31583245
2025-01-07 16:01:40.174146,172.91,174.58,172.04,173.15,20267184
2025-01-08 16:01:40.174146,174.47,175.5,174.28,175.22,34979551
2025-01-09 16:01:40.174146,175.71,177.19,174.18,175.66,81023462
2025-01-10 16:01:40.174146,173.5,176.42,171.94,174.88,77492514
2025-01-13 16:01:40.174146,167.69,171.52,163.95,168.31,28636406
2025-01-14 16:01:40.174146,170.75,173.55,170.14,171.41,31587446
2025-01-15 16:01:40.174146,175.48,176.5,175.13,175.57,50658121
2025-01-16 16:01:40.174146,174.49,176.01,172.66,175.89,20616290
2025-01-17 16:01:40.174146,179.98,183.2,178.81,180.82,57936527
2025-01-20 16:01:40.174146,181.92,182.68,178.89,182.38,3478597
2025-01-21 16:01:40.174146,175.12,179.26,173.39,174.71,48724158
2025-01-22 16:01:40.174146,170.74,171.68,169.02,170.73,70366851
2025-01-23 16:01:40.174146,170.32,172.23,168.86,168.94,47975677
2025-01-24 16:01:40.174146,165.97,167.23,164.29,166.72,51641359
2025-01-27 16:01:40.174146,167.77,167.87,166.28,167.04,61615301
2025-01-28 16:01:40.174146,164.45,166.67,162.36,163.73,91613035
2025-01-29 16:01:40.174146,170.19,171.22,167.03,170.03,61724543
2025-01-30 16:01:40.174146,162.3,165.77,160.76,162.19,37880380
2025-01-31 16:01:40.174146,162.15,162.5,160.54,161.94,17812587
2025-02-03 16:01:40.174146,158.57,160.82,158.13,159.32,69783565
2025-02-04 16:01:40.174146,155.59,155.8,154.3,154.84,28417997
2025-02-05 16:01:40.174146,156.97,158.91,156.75,156.91,44697379
2025-02-06 16:01:40.174146,152.56,155.12,151.21,153.48,19877334
2025-02-07 16:01:40.174146,154.57,157.57,152.42,153.66,16986931
2025-02-10 16:01:40.174146,150.42,151.3,147.13,150.5,21360248
2025-02-11 16:01:40.174146,144.38,146.04,142.84,144.35,2827982
2025-02-12 16:01:40.174146,141.87,144.42,140.69,143.67,29407999
2025-02-13 16:01:40.174146,144.62,145.28,143.46,144.68,39513158
2025-02-14 16:01:40.174146,143.72,145.32,139.3,142.82,91721215
2025-02-17 16:01:40.174146,146.6,148.79,144.2,147.06,66535250
2025-02-18 16:01:40.174146,147.1,150.33,145.9,148.05,62325234
2025-02-19 16:01:40.174146,150.82,152.54,149.78,150.47,71099136
2025-02-20 16:01:40.174146,147.05,150.81,146.91,148.34,78046086
2025-02-21 16:01:40.174146,146.77,146.85,145.62,146.33,90618914
2025-02-24 16:01:40.174146,145.12,147.06,143.81,145.27,44798629
2025-02-25 16:01:40.174146,144.24,144.58,143.47,144.18,60237014
2025-02-26 16:01:40.174146,144.44,145.91,142.46,142.75,30536472
2025-02-27 16:01:40.174146,139.51,139.63,138.19,139.33,67763038
2025-02-28 16:01:40.174146,140.87,144.37,140.25,141.81,97981669
2025-03-03 16:01:40.174146,137.41,137.78,136.41,137.33,61138357
2025-03-04 16:01:40.174146,139.79,140.97,139.03,139.27,32264625
2025-03-05 16:01:40.174146,140.45,144.02,138.03,141.88,20679478
2025-03-06 16:01:40.174146,141.01,141.31,140.82,141.02,90296267
2025-03-07 16:01:40.174146,147.87,149.96,147.65,149.16,41059912
2025-03-10 16:01:40.174146,149.24,150.11,148.03,149.22,51656140
2025-03-11 16:01:40.174146,149.44,150.77,147.45,148.3,97667071
2025-03-12 16:01:40.174146,147.21,149.64,147.18,147.53,69228089
2025-03-13 16:01:40.174146,151.2,151.83,148.66,151.14,32357715
2025-03-14 16:01:40.174146,150.5,150.81,148.17,150.29,23538836
2025-03-17 16:01:40.174146,152.71,153.29,150.55,152.44,92871893
2025-03-18 16:01:40.174146,148.11,153.71,146.74,148.0,87570304
2025-03-19 16:01:40.174146,147.02,150.8,146.41,148.52,15995431
2025-03-20 16:01:40.174146,151.96,153.39,151.02,151.82,74145915
2025-03-21 16:01:40.174146,151.24,151.89,150.44,151.72,75275152
2025-03-24 16:01:40.174146,148.39,151.79,146.74,149.24,76845292
2025-03-25 16:01:40.174146,148.49,149.02,148.15,148.34,24658243
2025-03-26 16:01:40.174146,143.89,144.07,142.77,143.79,34913157
2025-03-27 16:01:40.174146,145.45,148.15,143.4,146.75,10809580
2025-03-28 16:01:40.174146,150.48,151.82,149.19,150.78,48983954
2025-03-31 16:01:40.174146,151.41,152.37,149.04,150.4,45358749
2025-04-01 16:01:40.174146,154.56,155.57,153.57,155.53,41369567
2025-04-02 16:01:40.174146,158.27,158.85,156.83,158.13,17446526
2025-04-03 16:01:40.174146,157.28,159.62,156.14,158.23,88503863
2025-04-04 16:01:40.174146,164.37,165.93,161.28,163.04,11730204
2025-04-07 16:01:40.174146,166.23,167.81,163.99,165.66,70491207
2025-04-08 16:01:40.174146,169.39,172.04,167.56,170.09,17682708
2025-04-09 16:01:40.174146,175.62,176.64,174.1,175.44,37826320
2025-04-10 16:01:40.174146,173.36,175.23,171.44,174.56,46874384
2025-04-11 16:01:40.174146,175.66,177.47,175.5,177.27,8933303
2025-04-14 16:01:40.174146,169.84,174.24,167.85,169.92,19837710
2025-04-15 16:01:40.174146,165.03,165.83,163.86,165.66,57483480
2025-04-16 16:01:40.174146,167.72,170.78,167.53,167.55,88158944
2025-04-17 16:01:40.174146,167.52,169.22,166.91,168.94,15526579
2025-04-18 16:01:40.174146,165.01,165.93,163.33,165.47,97211305
2025-04-21 16:01:40.174146,165.39,167.01,162.59,164.14,89265978
2025-04-22 16:01:40.174146,166.65,168.88,164.76,165.47,6909391
2025-04-23 16:01:40.174146,166.88,167.26,163.51,165.49,44460790
2025-04-24 16:01:40.174146,166.56,166.64,162.43,164.7,28404963
2025-04-25 16:01:40.174146,159.37,160.6,157.93,159.7,71237511
2025-04-28 16:01:40.174146,158.73,162.7,157.45,160.97,31607951
2025-04-29 16:01:40.174146,161.22,161.35,158.89,160.34,46219414
2025-04-30 16:01:40.174146,167.31,170.49,167.15,168.24,93118535
2025-05-01 16:01:40.174146,175.37,175.79,173.41,173.58,88307650
2025-05-02 16:01:40.174146,174.21,176.39,171.43,174.13,44172770
2025-05-05 16:01:40.174146,168.24,170.17,165.55,166.88,20805553
2025-05-06 16:01:40.174146,175.95,179.85,173.28,176.08,23688506
2025-05-07 16:01:40.174146,178.72,180.87,175.63,179.33,72133795
2025-05-08 16:01:40.174146,177.85,178.82,175.37,177.2,85326478
2025-05-09 16:01:40.174146,181.18,183.58,178.75,180.74,61016413
2025-05-12 16:01:40.174146,182.93,184.02,182.27,183.98,63330638
2025-05-13 16:01:40.174146,181.35,183.72,180.29,181.38,83162908
2025-05-14 16:01:40.174146,177.23,177.98,175.45,177.74,98343171
2025-05-15 16:01:40.174146,180.9,183.28,178.57,180.71,79587449
2025-05-16 16:01:40.174146,185.06,185.93,184.36,185.09,72120866
2025-05-19 16:01:40.174146,186.58,186.76,184.71,186.45,37427163
2025-05-20 16:01:40.174146,187.57,189.77,185.5,187.55,61653022
2025-05-21 16:01:40.174146,192.94,194.26,190.0,193.28,93682921
2025-05-22 16:01:40.174146,193.03,196.93,189.96,192.69,48081105
2025-05-23 16:01:40.174146,180.15,183.48,176.41,180.84,25599397
2025-05-26 16:01:40.174146,184.53,185.33,182.5,183.03,19648434
2025-05-27 16:01:40.174146,187.77,187.97,185.56,187.78,99631048
2025-05-28 16:01:40.174146,190.6,192.02,186.78,189.8,54036215
2025-05-29 16:01:40.174146,184.07,185.3,183.89,184.57,61089486
2025-05-30 16:01:40.174146,181.63,182.24,180.4,182.02,77355022
2025-06-02 16:01:40.174146,182.34,182.94,181.15,181.5,66533261
2025-06-03 16:01:40.174146,177.0,178.57,176.25,176.33,97051261
2025-06-04 16:01:40.174146,174.03,175.91,173.68,174.14,31548130
2025-06-05 16:01:40.174146,178.02,179.67,176.92,179.62,67654759
2025-06-06 16:01:40.174146,175.31,177.05,172.42,175.77,35551986
2025-06-09 16:01:40.174146,174.58,177.88,173.28,174.66,96207291
2025-06-10 16:01:40.174146,176.88,180.73,176.03,177.48,14411387
2025-06-11 16:01:40.174146,170.25,171.67,169.27,171.34,28961911
2025-06-12 16:01:40.174146,177.33,178.12,176.27,176.58,67464489
2025-06-13 16:01:40.174146,174.07,174.86,172.88,174.23,94075539
2025-06-16 16:01:40.174146,171.81,173.91,169.96,170.27,27306552
2025-06-17 16:01:40.174146,175.45,176.88,174.14,175.6,16966645
2025-06-18 16:01:40.174146,179.21,179.23,178.86,179.05,15856573
2025-06-19 16:01:40.174146,174.57,179.79,173.96,175.09,58842780
2025-06-20 16:01:40.174146,174.98,176.63,172.57,173.66,15312662
2025-06-23 16:01:40.174146,174.53,175.41,172.54,174.79,90226935
2025-06-24 16:01:40.174146,173.4,178.25,170.29,173.58,33581848
2025-06-25 16:01:40.174146,177.76,180.96,177.75,178.61,16849960
2025-06-26 16:01:40.174146,182.43,184.67,180.07,182.08,30712534
2025-06-27 16:01:40.174146,170.18,171.07,169.64,170.46,9303989
2025-06-30 16:01:40.174146,166.61,167.65,164.38,167.42,17746241
2025-07-01 16:01:40.174146,165.44,166.53,162.29,165.48,89644396
2025-07-02 16:01:40.174146,164.4,164.95,162.89,163.81,37224448
2025-07-03 16:01:40.174146,166.83,169.35,163.83,165.46,73855973
2025-07-04 16:01:40.174146,169.9,171.28,169.16,169.7,55424197
2025-07-07 16:01:40.174146,166.89,167.46,166.49,167.35,44001775
2025-07-08 16:01:40.174146,163.66,166.72,160.7,163.29,43401998
2025-07-09 16:01:40.174146,162.05,163.61,160.77,162.16,70886785
2025-07-10 16:01:40.174146,154.68,155.35,154.03,154.64,55505149
2025-07-11 16:01:40.174146,157.07,157.7,156.48,157.07,61812957
2025-07-14 16:01:40.174146,157.03,157.06,156.53,156.67,66521116
2025-07-15 16:01:40.174146,155.75,157.64,154.26,155.28,53390475
2025-07-16 16:01:40.174146,156.03,158.92,155.27,156.07,23403635
2025-07-17 16:01:40.174146,155.67,156.04,152.83,152.98,49255201
2025-07-18 16:01:40.174146,152.54,153.22,150.84,151.84,46672257
2025-07-21 16:01:40.174146,148.06,150.99,145.87,149.62,93601730
2025-07-22 16:01:40.174146,143.29,144.12,142.17,143.53,29137577
2025-07-23 16:01:40.174146,143.53,145.43,141.19,143.55,56004235
2025-07-24 16:01:40.174146,152.24,153.37,151.53,151.78,50006390
2025-07-25 16:01:40.174146,153.3,154.43,150.07,151.9,13885958
2025-07-28 16:01:40.174146,148.83,150.21,148.79,149.37,91618387
2025-07-29 16:01:40.174146,150.45,153.15,148.97,149.59,51442178
2025-07-30 16:01:40.174146,146.21,146.66,145.75,146.06,87370842
2025-07-31 16:01:40.174146,144.42,146.35,141.92,144.18,21142030
2025-08-01 16:01:40.174146,143.72,145.21,140.74,142.87,88863943
2025-08-04 16:01:40.174146,139.99,141.67,137.85,141.17,46107217
2025-08-05 16:01:40.174146,140.66,141.06,138.84,140.29,95458140
2025-08-06 16:01:40.174146,143.65,144.9,142.35,142.47,62996530
2025-08-07 16:01:40.174146,140.49,142.63,139.49,141.23,39448035
2025-08-08 16:01:40.174146,140.35,140.46,139.81,140.35,57636405
2025-08-11 16:01:40.174146,135.03,136.66,134.38,134.57,61124040
2025-08-12 16:01:40.174146,129.45,130.83,128.87,130.73,74585289
2025-08-13 16:01:40.174146,131.22,133.37,128.41,131.0,79445395
2025-08-14 16:01:40.174146,134.19,135.5,133.14,134.37,91750913
2025-08-15 16:01:40.174146,134.78,135.99,132.89,133.84,87794233
2025-08-18 16:01:40.174146,133.16,135.39,132.09,133.66,11623232
2025-08-19 16:01:40.174146,129.54,130.72,129.5,129.57,84469530
2025-08-20 16:01:40.174146,126.76,128.42,126.59,127.28,63416815
2025-08-21 16:01:40.174146,127.9,128.11,127.78,127.98,58428324
2025-08-22 16:01:40.174146,130.98,132.51,130.4,131.45,50398015
2025-08-25 16:01:40.174146,131.81,133.3,130.59,132.06,43824977
2025-08-26 16:01:40.174146,130.96,133.54,129.21,131.71,60742541
2025-08-27 16:01:40.174146,132.03,133.33,131.02,132.49,38644076
2025-08-28 16:01:40.174146,129.12,131.95,128.99,129.6,68018095
2025-08-29 16:01:40.174146,126.71,127.48,126.2,127.0,90987068
2025-09-01 16:01:40.174146,126.31,127.12,124.94,126.38,78299890
2025-09-02 16:01:40.174146,121.44,123.47,121.05,123.23,11936067
2025-09-03 16:01:40.174146,125.27,127.1,124.48,125.18,53549010
2025-09-04 16:01:40.174146,128.62,130.61,127.44,127.83,19403415
2025-09-05 16:01:40.174146,127.57,127.82,126.15,127.09,31551434
2025-09-08 16:01:40.174146,128.7,130.49,126.69,129.26,97305179
2025-09-09 16:01:40.174146,134.28,134.65,130.32,133.6,82881784
2025-09-10 16:01:40.174146,134.28,134.86,133.7,134.82,43612810
2025-09-11 16:01:40.174146,137.75,138.3,137.49,137.55,84337269
2025-09-12 16:01:40.174146,135.69,137.63,135.17,137.35,40100736
2025-09-15 16:01:40.174146,140.56,141.22,139.21,140.14,67948654
2025-09-16 16:01:40.174146,139.79,140.99,138.95,139.78,37264695
2025-09-17 16:01:40.174146,137.78,138.05,136.89,137.68,99594025
2025-09-18 16:01:40.174146,139.85,140.59,138.5,139.84,84286645
2025-09-19 16:01:40.174146,141.86,143.51,139.92,140.55,64796995
2025-09-22 16:01:40.174146,143.64,145.58,141.77,143.02,25458469
2025-09-23 16:01:40.174146,141.24,142.49,139.87,140.73,42873136
2025-09-24 16:01:40.174146,142.15,143.14,140.8,141.76,68502411
2025-09-25 16:01:40.174146,146.22,147.69,144.1,144.77,7391477
2025-09-26 16:01:40.174146,143.2,144.75,143.09,143.38,1912855
2025-09-29 16:01:40.174146,144.96,149.77,142.25,145.97,61981564
2025-09-30 16:01:40.174146,152.45,153.59,150.72,151.16,97557156
2025-10-01 16:01:40.174146,148.89,150.96,147.66,149.24,2742802
2025-10-02 16:01:40.174146,150.52,151.36,147.84,150.15,38808988
2025-10-03 16:01:40.174146,156.52,158.64,152.88,156.11,68116656
2025-10-06 16:01:40.174146,150.73,153.29,150.16,151.28,60142364
2025-10-07 16:01:40.174146,151.6,154.75,150.42,152.67,78751634
2025-10-08 16:01:40.174146,155.89,157.51,153.19,155.06,8053459
2025-10-09 16:01:40.174146,156.15,157.35,154.74,155.17,31324610
2025-10-10 16:01:40.174146,163.57,165.31,162.9,163.05,66756455
