date,open,high,low,close,volume
2024-10-24 16:01:40.277817,46.81,47.89,46.27,46.81,42990613
2024-10-25 16:01:40.277817,48.63,49.65,48.29,48.92,82377334
2024-10-28 16:01:40.277817,49.28,50.26,49.03,49.2,49299614
2024-10-29 16:01:40.277817,49.3,49.92,48.33,49.07,90021177
2024-10-30 16:01:40.277817,48.86,49.33,48.77,48.82,77789450
2024-10-31 16:01:40.277817,50.83,51.62,50.76,51.05,70688643
2024-11-01 16:01:40.277817,52.33,52.43,51.69,52.11,42170815
2024-11-04 16:01:40.277817,51.04,52.06,50.4,50.89,14970421
2024-11-05 16:01:40.277817,48.93,49.06,48.63,48.71,2483418
2024-11-06 16:01:40.277817,47.5,47.82,47.06,47.46,64599600
2024-11-07 16:01:40.277817,47.79,48.51,46.71,47.64,49093457
2024-11-08 16:01:40.277817,47.75,47.75,46.44,47.74,66963878
2024-11-11 16:01:40.277817,48.07,48.23,47.3,47.98,72752553
2024-11-12 16:01:40.277817,49.77,50.29,49.3,49.87,57673293
2024-11-13 16:01:40.277817,50.06,50.14,49.74,50.06,99608260
2024-11-14 16:01:40.277817,50.19,50.55,50.1,50.22,20815716
2024-11-15 16:01:40.277817,50.19,50.62,49.66,50.02,28812137
2024-11-18 16:01:40.277817,50.34,50.56,50.05,50.42,15638922
2024-11-19 16:01:40.277817,51.42,51.53,50.44,51.17,26700307
2024-11-20 16:01:40.277817,50.93,51.52,50.47,51.24,34809357
2024-11-21 16:01:40.277817,49.39,51.07,49.02,49.94,7775398
2024-11-22 16:01:40.277817,48.58,49.54,48.52,48.87,41931881
2024-11-25 16:01:40.277817,49.46,50.0,49.21,49.49,62184358
2024-11-26 16:01:40.277817,48.78,49.74,48.3,48.56,15522404
2024-11-27 16:01:40.277817,48.1,48.96,48.04,48.3,11368109
2024-11-28 16:01:40.277817,46.12,46.87,45.57,46.42,34985435
2024-11-29 16:01:40.277817,47.21,47.58,47.0,47.4,55302120
2024-12-02 16:01:40.277817,46.99,47.31,46.32,46.82,30212477
2024-12-03 16:01:40.277817,44.64,45.02,43.83,44.71,66274948
2024-12-04 16:01:40.277817,45.34,45.39,45.19,45.38,45135840
2024-12-05 16:01:40.277817,44.21,44.85,43.44,44.0,65809886
2024-12-06 16:01:40.277817,42.82,42.94,42.7,42.89,79199923
2024-12-09 16:01:40.277817,43.88,43.89,43.43,43.67,54613529
2024-12-10 16:01:40.277817,43.08,43.47,42.47,43.1,71362913
2024-12-11 16:01:40.277817,44.67,45.43,44.56,44.85,76177026
2024-12-12 16:01:40.277817,43.67,44.04,43.22,43.52,58093574
2024-12-13 16:01:40.277817,45.27,45.56,44.69,45.14,68250331
2024-12-16 16:01:40.277817,44.24,44.84,43.85,44.16,41920671
2024-12-17 16:01:40.277817,44.3,44.32,43.69,43.83,54982139
2024-12-18 16:01:40.277817,43.06,43.19,42.85,42.88,3124422
2024-12-19 16:01:40.277817,43.66,44.53,43.38,43.91,83371117
2024-12-20 16:01:40.277817,45.48,46.09,45.27,45.43,39749622
2024-12-23 16:01:40.277817,45.19,45.71,44.66,45.03,19111240
2024-12-24 16:01:40.277817,44.83,45.22,44.55,44.76,78530424
2024-12-25 16:01:40.277817,43.13,43.71,42.72,43.29,68706084
2024-12-26 16:01:40.277817,44.25,44.84,43.79,44.43,43539763
2024-12-27 16:01:40.277817,43.23,44.04,43.08,43.49,71047781
2024-12-30 16:01:40.277817,42.36,42.4,41.59,42.29,39794765
2024-12-31 16:01:40.277817,42.17,42.54,41.99,42.29,48734737
2025-01-01 16:01:40.277817,41.68,41.97,41.52,41.84,4634728
2025-01-02 16:01:40.277817,41.07,41.71,40.87,41.17,82633475
2025-01-03 16:01:40.277817,40.83,41.9,40.51,41.03,69124154
2025-01-06 16:01:40.277817,40.49,41.11,40.09,40.43,89131458
2025-01-07 16:01:40.277817,40.56,40.76,40.37,40.57,21599029
2025-01-08 16:01:40.277817,41.82,42.32,41.49,41.7,21640282
2025-01-09 16:01:40.277817,39.46,39.89,39.35,39.58,66735669
2025-01-10 16:01:40.277817,39.91,40.13,39.34,39.88,39348300
2025-01-13 16:01:40.277817,41.11,41.19,40.92,41.07,74012035
2025-01-14 16:01:40.277817,41.48,42.07,41.08,41.39,97953378
2025-01-15 16:01:40.277817,42.58,43.11,42.09,42.56,40675947
2025-01-16 16:01:40.277817,42.99,43.28,42.83,43.24,88084137
2025-01-17 16:01:40.277817,43.64,43.98,43.52,43.53,1037420
2025-01-20 16:01:40.277817,42.37,42.68,41.43,42.22,17817142
2025-01-21 16:01:40.277817,40.9,41.69,40.65,40.89,67583748
2025-01-22 16:01:40.277817,39.82,40.25,39.29,39.88,14526992
2025-01-23 16:01:40.277817,41.07,41.26,39.94,40.8,68874935
2025-01-24 16:01:40.277817,40.73,41.62,39.98,40.63,2695696
2025-01-27 16:01:40.277817,40.94,41.75,40.43,40.85,89588112
2025-01-28 16:01:40.277817,41.18,41.34,41.14,41.14,84644568
2025-01-29 16:01:40.277817,40.83,41.37,40.73,40.92,36133255
