date,open,high,low,close,volume
2024-10-24 16:01:40.519143,55.94,56.35,55.17,56.3,60133370
2024-10-25 16:01:40.519143,57.91,58.28,57.84,57.87,95489811
2024-10-28 16:01:40.519143,57.15,57.21,56.29,56.82,98676599
2024-10-29 16:01:40.519143,56.4,57.46,55.76,56.08,99350829
2024-10-30 16:01:40.519143,56.7,57.38,55.93,56.9,3244755
2024-10-31 16:01:40.519143,59.1,59.81,58.93,59.36,25245943
2024-11-01 16:01:40.519143,57.82,58.08,56.58,58.07,59520124
2024-11-04 16:01:40.519143,55.52,56.45,55.48,55.64,90838539
2024-11-05 16:01:40.519143,55.71,56.08,55.54,55.82,36542402
2024-11-06 16:01:40.519143,55.39,56.04,54.97,55.21,75423509
2024-11-07 16:01:40.519143,54.07,54.95,53.36,54.24,53571308
2024-11-08 16:01:40.519143,54.43,54.9,53.5,54.63,29719842
2024-11-11 16:01:40.519143,55.55,55.79,55.37,55.74,56270369
2024-11-12 16:01:40.519143,59.39,60.22,57.89,59.58,81012884
2024-11-13 16:01:40.519143,62.48,63.78,61.93,62.05,57961857
2024-11-14 16:01:40.519143,60.86,61.96,60.66,61.54,50617632
2024-11-15 16:01:40.519143,62.41,62.81,61.71,62.58,4352860
2024-11-18 16:01:40.519143,61.63,62.02,61.2,61.49,98416352
2024-11-19 16:01:40.519143,62.22,62.32,61.36,62.02,55373513
2024-11-20 16:01:40.519143,64.26,64.59,63.56,64.18,53441323
2024-11-21 16:01:40.519143,66.68,66.73,66.15,66.55,39676499
2024-11-22 16:01:40.519143,68.19,68.48,67.62,68.37,75945811
2024-11-25 16:01:40.519143,68.67,69.2,68.15,68.88,36058593
2024-11-26 16:01:40.519143,68.55,68.56,67.92,68.26,98737039
2024-11-27 16:01:40.519143,70.8,71.58,68.86,70.27,70691232
2024-11-28 16:01:40.519143,69.15,69.61,68.32,69.6,72619487
2024-11-29 16:01:40.519143,68.51,68.87,67.46,68.45,27285095
2024-12-02 16:01:40.519143,66.46,67.1,66.22,66.91,2030784
2024-12-03 16:01:40.519143,65.9,66.02,65.32,65.86,47416802
2024-12-04 16:01:40.519143,67.11,67.43,66.43,67.25,7712881
2024-12-05 16:01:40.519143,64.27,65.34,63.38,64.66,67836191
2024-12-06 16:01:40.519143,66.21,67.6,65.2,66.27,45779290
2024-12-09 16:01:40.519143,66.71,67.84,65.16,66.53,61156751
2024-12-10 16:01:40.519143,65.77,65.99,65.61,65.64,36509652
2024-12-11 16:01:40.519143,64.07,64.5,63.57,64.27,94213539
2024-12-12 16:01:40.519143,65.53,66.84,65.34,65.85,99452488
2024-12-13 16:01:40.519143,66.94,67.38,65.59,66.46,66667423
2024-12-16 16:01:40.519143,65.7,67.11,65.56,66.29,43657743
2024-12-17 16:01:40.519143,69.54,70.84,68.59,69.02,77308815
2024-12-18 16:01:40.519143,70.15,70.4,69.78,70.1,28656287
2024-12-19 16:01:40.519143,68.93,69.28,68.92,68.98,12607918
2024-12-20 16:01:40.519143,68.85,68.86,67.42,68.58,22759901
2024-12-23 16:01:40.519143,67.94,68.94,67.6,67.84,43648194
2024-12-24 16:01:40.519143,69.36,70.41,67.88,68.9,42712253
2024-12-25 16:01:40.519143,69.14,69.23,68.34,69.14,84405043
2024-12-26 16:01:40.519143,71.8,72.46,71.52,71.67,58201045
2024-12-27 16:01:40.519143,78.08,78.99,77.58,78.42,48568564
2024-12-30 16:01:40.519143,77.81,78.31,77.52,77.55,33489690
2024-12-31 16:01:40.519143,76.19,77.03,75.83,76.61,31278761
2025-01-01 16:01:40.519143,77.77,78.05,76.74,77.12,47148202
2025-01-02 16:01:40.519143,77.55,77.67,76.13,77.44,79440159
2025-01-03 16:01:40.519143,77.72,79.24,77.29,78.07,1343372
2025-01-06 16:01:40.519143,76.67,77.57,75.97,76.35,29335502
2025-01-07 16:01:40.519143,74.86,76.81,74.39,75.17,70041642
2025-01-08 16:01:40.519143,76.87,77.4,76.04,76.45,34477194
2025-01-09 16:01:40.519143,77.13,78.2,76.77,77.59,75419999
2025-01-10 16:01:40.519143,78.99,79.15,78.18,78.83,15836186
2025-01-13 16:01:40.519143,78.54,79.54,78.51,78.97,15425706
2025-01-14 16:01:40.519143,77.51,78.51,77.48,77.86,50927826
2025-01-15 16:01:40.519143,78.49,79.38,78.13,79.09,72364593
2025-01-16 16:01:40.519143,76.86,77.63,76.28,76.89,78025641
2025-01-17 16:01:40.519143,79.4,80.22,78.99,79.34,40503409
2025-01-20 16:01:40.519143,78.43,79.08,77.53,78.91,3185009
2025-01-21 16:01:40.519143,76.24,78.07,75.69,76.55,82641215
2025-01-22 16:01:40.519143,79.67,80.77,77.84,78.96,89544304
2025-01-23 16:01:40.519143,82.87,82.93,82.01,82.11,4540489
2025-01-24 16:01:40.519143,79.96,81.2,79.41,79.99,81112727
2025-01-27 16:01:40.519143,78.07,79.23,78.0,78.28,39869261
2025-01-28 16:01:40.519143,80.97,82.11,80.48,80.99,16806038
2025-01-29 16:01:40.519143,79.5,80.0,77.2,79.89,28445351
2025-01-30 16:01:40.519143,80.1,81.65,79.77,80.13,58568367
2025-01-31 16:01:40.519143,81.66,82.23,81.17,81.85,97909946
2025-02-03 16:01:40.519143,84.09,86.1,83.42,83.81,42055675
2025-02-04 16:01:40.519143,83.12,84.38,82.82,82.98,3722792
2025-02-05 16:01:40.519143,81.79,82.87,81.27,82.65,76440660
2025-02-06 16:01:40.519143,85.02,85.53,83.88,84.58,76057196
2025-02-07 16:01:40.519143,82.72,83.86,81.5,82.62,26723528
2025-02-10 16:01:40.519143,85.3,85.5,84.89,85.22,95804203
2025-02-11 16:01:40.519143,82.55,83.56,80.77,82.4,26800073
2025-02-12 16:01:40.519143,83.98,84.64,83.77,84.34,88725923
2025-02-13 16:01:40.519143,81.41,82.07,80.3,81.81,66770641
2025-02-14 16:01:40.519143,80.25,82.3,79.72,80.72,47641286
2025-02-17 16:01:40.519143,80.14,80.82,79.51,80.52,39976300
2025-02-18 16:01:40.519143,80.03,80.08,76.59,79.38,73955433
2025-02-19 16:01:40.519143,80.72,81.62,79.35,80.55,94903367
2025-02-20 16:01:40.519143,79.17,79.45,78.81,79.05,49374785
2025-02-21 16:01:40.519143,79.74,80.54,78.87,79.39,43897458
2025-02-24 16:01:40.519143,76.97,77.91,76.11,76.47,41992025
2025-02-25 16:01:40.519143,72.83,74.59,72.71,72.74,29148114
2025-02-26 16:01:40.519143,71.93,73.46,70.65,72.56,19670335
2025-02-27 16:01:40.519143,71.94,72.53,71.63,72.1,8794252
2025-02-28 16:01:40.519143,71.35,72.94,70.43,71.63,64647455
2025-03-03 16:01:40.519143,71.71,72.29,70.13,71.01,95544438
2025-03-04 16:01:40.519143,71.83,72.24,70.88,71.79,26783768
2025-03-05 16:01:40.519143,71.81,73.28,71.71,72.64,22883487
2025-03-06 16:01:40.519143,75.07,75.12,74.15,75.0,21991369
2025-03-07 16:01:40.519143,71.37,71.87,70.75,70.94,8017060
2025-03-10 16:01:40.519143,75.06,76.16,73.5,74.78,85916089
2025-03-11 16:01:40.519143,71.23,71.98,70.57,71.83,64043810
2025-03-12 16:01:40.519143,67.95,69.11,67.69,67.92,48666146
2025-03-13 16:01:40.519143,67.73,68.26,66.34,67.39,41612627
2025-03-14 16:01:40.519143,64.89,66.43,63.55,65.31,59040230
2025-03-17 16:01:40.519143,68.6,68.78,67.91,68.37,58997714
2025-03-18 16:01:40.519143,70.1,70.99,69.05,69.94,90479920
2025-03-19 16:01:40.519143,68.64,69.89,68.45,69.43,26181290
2025-03-20 16:01:40.519143,70.4,70.5,68.77,69.39,32773516
2025-03-21 16:01:40.519143,70.64,70.72,69.4,70.02,61068986
