date,open,high,low,close,volume
2024-10-24 16:01:40.261630,218.85,222.52,218.79,219.37,4272484
2024-10-25 16:01:40.261630,217.97,218.7,216.51,217.51,80120398
2024-10-28 16:01:40.261630,216.0,219.53,212.93,214.92,88557912
2024-10-29 16:01:40.261630,218.82,221.88,213.94,221.01,36293375
2024-10-30 16:01:40.261630,211.21,213.04,210.36,211.56,79679435
2024-10-31 16:01:40.261630,217.67,219.53,214.82,216.47,79856770
2024-11-01 16:01:40.261630,213.39,214.95,210.87,214.5,63521546
2024-11-04 16:01:40.261630,205.72,206.27,205.24,205.58,96275272
2024-11-05 16:01:40.261630,203.13,203.62,199.66,203.22,87791583
2024-11-06 16:01:40.261630,205.27,207.02,202.02,205.4,73808659
2024-11-07 16:01:40.261630,202.45,205.51,202.12,203.5,71101605
2024-11-08 16:01:40.261630,206.03,206.92,202.65,205.35,62839979
2024-11-11 16:01:40.261630,212.51,213.73,210.35,213.05,70530895
2024-11-12 16:01:40.261630,223.47,225.14,218.93,223.8,57145202
2024-11-13 16:01:40.261630,221.9,224.16,216.55,220.43,68601755
2024-11-14 16:01:40.261630,225.55,227.46,225.52,226.0,51081109
2024-11-15 16:01:40.261630,226.08,229.91,223.94,225.17,58048313
2024-11-18 16:01:40.261630,216.9,222.41,215.83,218.07,35841046
2024-11-19 16:01:40.261630,212.71,214.11,210.74,211.24,37346502
2024-11-20 16:01:40.261630,210.59,214.66,209.3,211.37,18338642
2024-11-21 16:01:40.261630,215.6,220.38,213.51,216.41,64656692
2024-11-22 16:01:40.261630,213.08,214.54,211.06,213.27,2069429
2024-11-25 16:01:40.261630,212.64,214.78,212.12,212.76,74091135
2024-11-26 16:01:40.261630,216.29,219.25,212.7,213.82,55077425
2024-11-27 16:01:40.261630,201.43,205.08,200.65,202.01,56418701
2024-11-28 16:01:40.261630,204.43,204.67,203.22,204.48,94828316
2024-11-29 16:01:40.261630,207.94,209.98,204.4,208.18,67840250
2024-12-02 16:01:40.261630,212.45,215.23,208.56,212.53,80408804
2024-12-03 16:01:40.261630,216.3,223.91,212.38,214.54,96191273
2024-12-04 16:01:40.261630,214.91,216.91,210.89,214.86,45716581
2024-12-05 16:01:40.261630,214.85,219.73,214.67,215.78,4266301
2024-12-06 16:01:40.261630,219.56,222.45,219.37,220.98,5376675
2024-12-09 16:01:40.261630,223.77,227.52,220.05,221.58,52919461
2024-12-10 16:01:40.261630,225.82,227.47,223.17,225.58,50702243
2024-12-11 16:01:40.261630,226.43,229.34,224.28,225.66,63710847
2024-12-12 16:01:40.261630,232.57,233.16,228.49,232.03,43531411
2024-12-13 16:01:40.261630,230.47,232.8,225.49,230.89,46779502
2024-12-16 16:01:40.261630,237.66,239.06,234.87,237.96,60926448
2024-12-17 16:01:40.261630,230.66,232.02,228.87,231.11,40098212
2024-12-18 16:01:40.261630,231.84,233.57,228.72,232.77,79736228
2024-12-19 16:01:40.261630,239.07,240.02,238.07,239.28,74653600
2024-12-20 16:01:40.261630,241.78,249.02,241.22,241.94,53207197
2024-12-23 16:01:40.261630,241.74,246.08,239.82,244.56,15404017
2024-12-24 16:01:40.261630,248.51,249.49,245.01,247.87,6574270
2024-12-25 16:01:40.261630,247.76,250.17,246.05,248.64,97499201
2024-12-26 16:01:40.261630,249.06,251.81,243.82,247.21,90044459
2024-12-27 16:01:40.261630,251.83,252.1,249.61,250.22,92371056
