date,open,high,low,close,volume
2024-10-24 16:01:40.476829,74.94,74.98,74.31,74.72,19641773
2024-10-25 16:01:40.476829,71.9,72.0,71.36,71.54,37218595
2024-10-28 16:01:40.476829,73.03,73.28,72.6,72.8,97687366
2024-10-29 16:01:40.476829,75.77,76.67,75.07,75.93,46144784
2024-10-30 16:01:40.476829,75.34,75.6,75.04,75.41,12268906
2024-10-31 16:01:40.476829,75.14,75.57,74.83,74.93,48568640
2024-11-01 16:01:40.476829,75.37,75.77,74.49,74.77,68326027
2024-11-04 16:01:40.476829,75.1,75.82,74.58,74.88,15529014
2024-11-05 16:01:40.476829,73.69,74.85,73.07,73.54,67653696
2024-11-06 16:01:40.476829,73.24,73.43,72.4,72.76,95980757
2024-11-07 16:01:40.476829,74.03,74.58,73.42,73.88,58102059
2024-11-08 16:01:40.476829,73.34,74.12,73.03,74.1,80270853
2024-11-11 16:01:40.476829,73.92,75.25,73.72,74.48,72447118
2024-11-12 16:01:40.476829,75.0,76.15,74.81,75.38,68447804
2024-11-13 16:01:40.476829,76.73,77.53,75.84,76.89,14044556
2024-11-14 16:01:40.476829,75.83,75.84,73.43,75.38,70310131
2024-11-15 16:01:40.476829,76.18,76.64,74.12,75.38,65475805
2024-11-18 16:01:40.476829,78.12,78.18,77.18,77.99,41049911
2024-11-19 16:01:40.476829,77.91,78.24,77.59,77.83,21383633
2024-11-20 16:01:40.476829,79.28,80.65,79.07,79.54,94261240
2024-11-21 16:01:40.476829,84.66,85.52,83.39,84.54,76577727
2024-11-22 16:01:40.476829,84.37,86.02,83.54,83.77,54419681
2024-11-25 16:01:40.476829,82.66,83.7,82.32,82.96,42234296
2024-11-26 16:01:40.476829,84.19,84.86,84.03,84.31,64120614
2024-11-27 16:01:40.476829,81.15,82.44,80.48,82.2,33108014
2024-11-28 16:01:40.476829,84.57,85.51,83.33,84.19,73706311
2024-11-29 16:01:40.476829,87.63,88.54,87.11,87.9,75996791
2024-12-02 16:01:40.476829,90.53,92.93,90.39,91.03,66315120
2024-12-03 16:01:40.476829,90.19,91.15,88.22,90.9,78031272
2024-12-04 16:01:40.476829,92.86,93.43,92.38,93.06,26261749
2024-12-05 16:01:40.476829,95.25,96.38,94.46,94.79,92893024
2024-12-06 16:01:40.476829,94.07,94.52,92.75,93.58,45646882
2024-12-09 16:01:40.476829,92.58,93.76,91.8,92.66,28073668
2024-12-10 16:01:40.476829,95.43,97.96,94.66,96.19,28732885
2024-12-11 16:01:40.476829,95.19,95.72,94.71,95.27,57783688
2024-12-12 16:01:40.476829,94.39,95.29,93.41,93.91,38015797
2024-12-13 16:01:40.476829,95.79,96.95,95.73,96.8,75223788
2024-12-16 16:01:40.476829,95.49,97.63,94.6,95.34,7101048
2024-12-17 16:01:40.476829,97.88,99.16,97.34,97.56,78496162
2024-12-18 16:01:40.476829,100.09,100.78,97.84,99.4,29495987
2024-12-19 16:01:40.476829,102.2,102.8,100.63,101.73,66212737
2024-12-20 16:01:40.476829,103.95,105.34,102.91,103.27,64272603
2024-12-23 16:01:40.476829,103.88,104.71,103.17,104.14,9013725
2024-12-24 16:01:40.476829,108.64,108.76,107.7,108.09,70331973
2024-12-25 16:01:40.476829,105.6,107.6,104.34,106.53,15805546
2024-12-26 16:01:40.476829,107.16,107.7,106.03,107.32,63652424
2024-12-27 16:01:40.476829,108.23,109.93,106.58,107.13,81065248
2024-12-30 16:01:40.476829,108.07,108.23,107.87,107.94,16045138
2024-12-31 16:01:40.476829,108.72,109.68,105.47,109.21,84828441
2025-01-01 16:01:40.476829,108.07,108.16,106.59,106.83,69589515
2025-01-02 16:01:40.476829,106.93,107.95,105.64,106.71,7987031
2025-01-03 16:01:40.476829,111.93,113.35,109.2,111.28,68791233
2025-01-06 16:01:40.476829,114.61,116.04,114.13,114.76,8395077
2025-01-07 16:01:40.476829,112.7,114.26,112.31,113.46,78761985
2025-01-08 16:01:40.476829,115.1,115.96,113.36,115.19,26546468
2025-01-09 16:01:40.476829,116.13,118.0,115.02,115.84,67698567
2025-01-10 16:01:40.476829,117.44,119.06,116.29,118.68,47473268
2025-01-13 16:01:40.476829,117.69,120.18,117.11,119.78,51520451
2025-01-14 16:01:40.476829,120.44,120.53,119.32,119.57,94941965
2025-01-15 16:01:40.476829,118.8,118.94,117.15,117.72,49040662
2025-01-16 16:01:40.476829,119.64,120.89,119.2,119.9,81118392
2025-01-17 16:01:40.476829,121.36,122.39,120.61,121.3,44842559
2025-01-20 16:01:40.476829,121.84,122.5,120.96,122.41,91328177
2025-01-21 16:01:40.476829,121.97,123.65,121.55,121.73,66373528
2025-01-22 16:01:40.476829,123.27,123.63,121.51,122.54,57509612
2025-01-23 16:01:40.476829,125.07,125.55,124.5,124.62,45697137
2025-01-24 16:01:40.476829,127.41,128.1,126.5,126.9,64261866
2025-01-27 16:01:40.476829,123.03,124.6,121.22,123.98,93940949
2025-01-28 16:01:40.476829,121.62,122.26,121.56,122.01,81287041
2025-01-29 16:01:40.476829,126.03,127.82,125.75,126.54,32000453
2025-01-30 16:01:40.476829,125.23,129.24,124.48,125.67,69018215
2025-01-31 16:01:40.476829,122.78,123.02,121.07,122.02,19092400
2025-02-03 16:01:40.476829,117.7,118.18,116.65,117.65,60065550
2025-02-04 16:01:40.476829,118.6,119.13,118.46,119.12,28941820
2025-02-05 16:01:40.476829,116.27,118.44,114.81,116.76,11931190
2025-02-06 16:01:40.476829,114.31,115.31,113.53,114.66,93343141
2025-02-07 16:01:40.476829,112.99,113.3,112.8,112.93,9520373
2025-02-10 16:01:40.476829,107.88,109.09,107.74,108.39,15897382
2025-02-11 16:01:40.476829,109.96,110.38,108.11,110.24,48687408
2025-02-12 16:01:40.476829,115.02,115.53,114.4,115.36,6056122
2025-02-13 16:01:40.476829,111.03,111.19,110.2,110.97,14248827
2025-02-14 16:01:40.476829,112.06,113.28,110.23,111.55,26914085
2025-02-17 16:01:40.476829,111.56,112.23,110.68,111.16,29859844
2025-02-18 16:01:40.476829,114.32,114.53,113.7,114.1,39340160
2025-02-19 16:01:40.476829,115.75,116.34,115.49,115.97,57495104
2025-02-20 16:01:40.476829,117.59,120.07,116.56,118.12,22671322
2025-02-21 16:01:40.476829,114.46,115.47,114.11,114.68,8332619
2025-02-24 16:01:40.476829,115.15,115.42,114.62,114.92,21168662
2025-02-25 16:01:40.476829,113.78,115.4,111.46,113.38,30011374
2025-02-26 16:01:40.476829,111.49,114.07,111.23,111.72,25169659
2025-02-27 16:01:40.476829,112.14,112.36,110.21,111.87,33189127
2025-02-28 16:01:40.476829,112.69,114.02,112.06,112.59,67544725
2025-03-03 16:01:40.476829,115.67,117.85,114.86,115.65,93786754
2025-03-04 16:01:40.476829,114.81,115.14,112.92,114.43,11730618
2025-03-05 16:01:40.476829,113.08,116.01,111.27,112.4,87642372
2025-03-06 16:01:40.476829,112.14,112.33,111.61,111.65,46776588
2025-03-07 16:01:40.476829,112.33,114.5,111.85,113.2,3171601
2025-03-10 16:01:40.476829,114.01,115.11,113.03,114.24,45614232
2025-03-11 16:01:40.476829,114.81,116.02,112.39,113.45,62758230
2025-03-12 16:01:40.476829,113.74,114.85,112.61,113.69,36842867
2025-03-13 16:01:40.476829,112.4,112.55,110.75,111.92,78192258
2025-03-14 16:01:40.476829,110.43,111.18,110.38,110.85,33157694
2025-03-17 16:01:40.476829,110.6,110.66,110.19,110.41,11157256
2025-03-18 16:01:40.476829,104.5,105.27,103.84,105.08,94873747
2025-03-19 16:01:40.476829,103.74,104.28,101.64,104.06,83641607
2025-03-20 16:01:40.476829,101.03,102.92,100.41,101.71,1087885
2025-03-21 16:01:40.476829,99.61,101.23,97.84,100.27,83372401
2025-03-24 16:01:40.476829,101.39,103.12,100.45,102.23,33233184
2025-03-25 16:01:40.476829,102.28,102.95,101.27,102.84,87675860
2025-03-26 16:01:40.476829,100.99,102.96,100.3,101.69,85839521
2025-03-27 16:01:40.476829,101.0,103.48,100.78,101.54,18720991
2025-03-28 16:01:40.476829,98.25,99.17,97.55,98.18,53093149
2025-03-31 16:01:40.476829,98.33,99.91,98.05,98.16,35775413
2025-04-01 16:01:40.476829,97.41,98.59,96.92,97.74,91161452
2025-04-02 16:01:40.476829,96.7,97.96,96.36,97.08,98005966
2025-04-03 16:01:40.476829,97.11,97.37,96.63,96.96,98197242
2025-04-04 16:01:40.476829,98.95,101.25,97.3,99.06,40894804
2025-04-07 16:01:40.476829,99.11,100.22,98.72,98.93,73272362
2025-04-08 16:01:40.476829,101.3,101.57,100.84,100.95,23723356
2025-04-09 16:01:40.476829,103.02,104.41,102.73,102.98,53581171
2025-04-10 16:01:40.476829,100.22,100.82,98.88,100.28,10062213
2025-04-11 16:01:40.476829,102.91,103.78,101.63,102.35,20175333
2025-04-14 16:01:40.476829,102.34,103.66,101.47,103.07,69743131
2025-04-15 16:01:40.476829,103.18,104.65,101.89,102.25,86545389
2025-04-16 16:01:40.476829,102.02,103.24,100.87,101.94,55591275
2025-04-17 16:01:40.476829,103.93,104.27,102.75,104.21,85753119
2025-04-18 16:01:40.476829,105.79,106.26,105.59,105.77,49998581
2025-04-21 16:01:40.476829,102.63,103.36,102.17,102.57,71240335
2025-04-22 16:01:40.476829,101.43,101.79,100.13,101.21,37497472
