date,open,high,low,close,volume
2024-10-24 16:01:40.238204,19.99,20.05,19.76,19.86,95432249
2024-10-25 16:01:40.238204,20.15,20.32,19.96,19.99,34692033
2024-10-28 16:01:40.238204,19.75,19.99,19.52,19.97,19121274
2024-10-29 16:01:40.238204,20.4,20.6,19.94,20.36,3093352
2024-10-30 16:01:40.238204,20.59,20.73,20.32,20.45,90537484
2024-10-31 16:01:40.238204,20.98,21.28,20.81,21.01,71937790
2024-11-01 16:01:40.238204,21.18,21.48,20.8,21.02,68215443
2024-11-04 16:01:40.238204,21.47,21.69,21.16,21.39,66198209
2024-11-05 16:01:40.238204,21.62,21.94,21.27,21.57,23101766
2024-11-06 16:01:40.238204,21.41,21.76,21.31,21.43,98909373
2024-11-07 16:01:40.238204,21.25,21.25,21.2,21.24,12665781
2024-11-08 16:01:40.238204,21.8,21.85,21.58,21.85,74291980
2024-11-11 16:01:40.238204,22.19,22.45,21.9,22.16,18097351
2024-11-12 16:01:40.238204,22.68,22.8,22.6,22.65,26142530
2024-11-13 16:01:40.238204,23.24,23.44,23.22,23.29,84633037
2024-11-14 16:01:40.238204,22.81,23.25,22.63,23.04,36678550
2024-11-15 16:01:40.238204,22.88,23.17,22.82,22.9,84074375
2024-11-18 16:01:40.238204,22.62,22.78,22.15,22.74,99190368
2024-11-19 16:01:40.238204,23.13,23.59,23.07,23.27,68339930
2024-11-20 16:01:40.238204,23.24,23.5,23.04,23.32,26970442
2024-11-21 16:01:40.238204,23.51,23.65,23.4,23.42,22272416
2024-11-22 16:01:40.238204,22.76,23.22,22.58,22.88,49593893
2024-11-25 16:01:40.238204,23.21,23.47,22.76,23.31,62173521
2024-11-26 16:01:40.238204,23.84,23.94,23.6,23.76,3146907
2024-11-27 16:01:40.238204,23.97,24.57,23.85,24.06,57014312
2024-11-28 16:01:40.238204,24.02,24.38,23.76,24.15,15078809
2024-11-29 16:01:40.238204,24.82,25.02,24.56,24.72,45946781
2024-12-02 16:01:40.238204,24.68,24.8,24.47,24.7,68054956
2024-12-03 16:01:40.238204,25.5,25.6,25.19,25.49,25253513
2024-12-04 16:01:40.238204,25.87,26.07,25.58,25.9,53012290
2024-12-05 16:01:40.238204,25.25,25.33,25.14,25.2,13479263
2024-12-06 16:01:40.238204,25.21,25.7,25.06,25.13,3518563
2024-12-09 16:01:40.238204,25.3,25.37,24.91,25.32,79818185
2024-12-10 16:01:40.238204,24.75,25.5,24.31,24.94,73928468
2024-12-11 16:01:40.238204,25.58,25.74,25.31,25.54,23663026
2024-12-12 16:01:40.238204,24.42,24.53,24.02,24.46,11919478
2024-12-13 16:01:40.238204,25.01,25.23,24.63,24.9,56249393
2024-12-16 16:01:40.238204,25.18,25.34,25.02,25.29,68411398
2024-12-17 16:01:40.238204,24.17,24.32,24.17,24.21,89047220
2024-12-18 16:01:40.238204,24.09,24.36,23.94,24.27,15663704
2024-12-19 16:01:40.238204,24.14,24.2,23.93,24.05,92243965
2024-12-20 16:01:40.238204,24.97,25.5,24.61,24.82,85794887
2024-12-23 16:01:40.238204,24.31,24.92,24.04,24.37,70838900
2024-12-24 16:01:40.238204,24.78,24.89,24.11,24.81,29193250
2024-12-25 16:01:40.238204,25.26,25.68,25.02,25.36,2605867
2024-12-26 16:01:40.238204,25.06,25.45,24.86,25.15,23640137
2024-12-27 16:01:40.238204,25.98,26.26,25.64,25.89,31025293
2024-12-30 16:01:40.238204,25.59,25.8,25.2,25.66,78754716
2024-12-31 16:01:40.238204,26.49,26.67,26.4,26.43,87013056
2025-01-01 16:01:40.238204,27.99,28.16,27.62,28.0,10166521
2025-01-02 16:01:40.238204,28.69,28.9,28.47,28.58,89141261
2025-01-03 16:01:40.238204,28.92,29.0,28.69,28.98,60694069
2025-01-06 16:01:40.238204,28.84,29.19,28.33,28.68,42984787
2025-01-07 16:01:40.238204,30.17,30.34,29.43,29.89,35458085
2025-01-08 16:01:40.238204,30.23,30.62,30.03,30.49,24072227
2025-01-09 16:01:40.238204,30.17,30.4,30.09,30.19,12292904
2025-01-10 16:01:40.238204,31.19,31.45,31.12,31.21,69930301
2025-01-13 16:01:40.238204,31.18,31.59,30.94,31.29,65207673
2025-01-14 16:01:40.238204,31.83,31.99,31.72,31.77,18354021
2025-01-15 16:01:40.238204,31.67,32.37,31.42,31.49,97250025
2025-01-16 16:01:40.238204,30.55,31.1,30.43,30.85,49887035
2025-01-17 16:01:40.238204,29.95,30.44,29.87,30.26,68022167
2025-01-20 16:01:40.238204,30.27,30.67,29.67,30.02,40485446
2025-01-21 16:01:40.238204,30.33,30.43,30.06,30.37,21522986
2025-01-22 16:01:40.238204,30.19,30.5,30.17,30.17,57405709
2025-01-23 16:01:40.238204,29.5,29.88,29.32,29.66,10118739
2025-01-24 16:01:40.238204,29.06,29.34,28.76,29.05,27902451
2025-01-27 16:01:40.238204,30.08,30.26,29.6,29.88,52211801
2025-01-28 16:01:40.238204,29.88,30.32,29.39,29.81,62284851
2025-01-29 16:01:40.238204,28.58,28.86,28.39,28.55,51456915
2025-01-30 16:01:40.238204,28.3,28.68,28.12,28.56,16246391
2025-01-31 16:01:40.238204,28.41,28.81,27.97,28.3,45529349
2025-02-03 16:01:40.238204,28.44,28.92,28.33,28.44,66594429
2025-02-04 16:01:40.238204,28.0,28.17,27.41,28.09,34965439
2025-02-05 16:01:40.238204,29.0,29.06,28.6,28.9,14635005
2025-02-06 16:01:40.238204,28.69,29.14,28.62,28.81,76338531
2025-02-07 16:01:40.238204,28.77,29.2,28.47,28.69,36403539
2025-02-10 16:01:40.238204,28.67,29.2,28.48,28.49,41913389
2025-02-11 16:01:40.238204,28.82,28.86,28.3,28.8,23257041
2025-02-12 16:01:40.238204,29.0,29.33,28.93,29.06,88605703
2025-02-13 16:01:40.238204,28.73,29.23,28.61,28.82,8022106
2025-02-14 16:01:40.238204,28.89,29.08,28.0,28.84,75759044
2025-02-17 16:01:40.238204,28.62,28.99,28.5,28.68,20301726
2025-02-18 16:01:40.238204,29.58,29.64,28.94,29.23,89584276
2025-02-19 16:01:40.238204,28.22,28.45,28.19,28.42,98134131
2025-02-20 16:01:40.238204,28.2,28.32,27.9,28.22,88367042
2025-02-21 16:01:40.238204,28.14,28.26,27.76,28.1,48658297
2025-02-24 16:01:40.238204,29.01,29.23,28.82,28.98,22431641
2025-02-25 16:01:40.238204,29.67,29.84,29.31,29.75,92793918
2025-02-26 16:01:40.238204,30.2,30.62,29.54,30.02,36934970
2025-02-27 16:01:40.238204,29.47,29.95,29.24,29.37,11361309
2025-02-28 16:01:40.238204,29.53,29.73,28.99,29.42,83344662
2025-03-03 16:01:40.238204,30.57,30.89,30.48,30.67,40171992
2025-03-04 16:01:40.238204,30.51,30.93,30.28,30.58,60802743
2025-03-05 16:01:40.238204,30.75,30.89,30.45,30.67,27988968
2025-03-06 16:01:40.238204,30.63,31.06,30.49,30.8,30000637
2025-03-07 16:01:40.238204,30.34,30.76,30.09,30.24,51479912
2025-03-10 16:01:40.238204,29.7,29.72,29.33,29.71,11590437
2025-03-11 16:01:40.238204,29.35,29.53,28.93,29.19,27968017
2025-03-12 16:01:40.238204,28.95,29.55,28.87,29.01,7104352
2025-03-13 16:01:40.238204,29.56,29.77,28.81,29.3,2192675
2025-03-14 16:01:40.238204,29.48,29.55,29.33,29.42,89009873
2025-03-17 16:01:40.238204,29.83,30.31,29.66,29.75,98323445
2025-03-18 16:01:40.238204,31.1,31.51,30.67,31.21,90416752
2025-03-19 16:01:40.238204,33.1,33.15,32.76,33.06,73813884
2025-03-20 16:01:40.238204,33.04,33.34,33.0,33.13,13255759
2025-03-21 16:01:40.238204,33.56,34.28,32.86,33.82,47594261
2025-03-24 16:01:40.238204,34.29,34.73,34.25,34.33,44889236
2025-03-25 16:01:40.238204,35.36,35.39,34.93,35.16,91046193
2025-03-26 16:01:40.238204,35.97,36.36,35.83,35.98,39892331
2025-03-27 16:01:40.238204,35.52,36.1,35.12,35.58,15629982
2025-03-28 16:01:40.238204,37.12,37.88,37.02,37.17,73481434
2025-03-31 16:01:40.238204,38.89,38.95,37.61,38.46,88959027
2025-04-01 16:01:40.238204,39.42,39.61,38.75,39.3,32484900
2025-04-02 16:01:40.238204,39.59,39.91,39.24,39.9,10549570
2025-04-03 16:01:40.238204,40.16,40.36,39.94,40.27,32903393
2025-04-04 16:01:40.238204,40.38,40.63,40.22,40.46,66906137
2025-04-07 16:01:40.238204,41.03,41.58,40.35,41.18,72776983
2025-04-08 16:01:40.238204,41.43,41.73,41.15,41.42,78598857
2025-04-09 16:01:40.238204,41.65,41.83,41.4,41.77,70418040
2025-04-10 16:01:40.238204,41.7,41.89,41.41,41.8,33973724
2025-04-11 16:01:40.238204,41.72,41.92,41.61,41.69,89615077
2025-04-14 16:01:40.238204,43.16,44.35,42.75,43.5,27171596
2025-04-15 16:01:40.238204,43.24,44.07,42.78,43.71,81469874
2025-04-16 16:01:40.238204,43.72,43.76,43.21,43.45,59145541
2025-04-17 16:01:40.238204,43.92,44.0,43.02,43.74,34024141
2025-04-18 16:01:40.238204,42.8,42.96,42.02,42.72,27505958
2025-04-21 16:01:40.238204,43.81,43.94,43.74,43.74,26054960
2025-04-22 16:01:40.238204,43.85,44.0,43.45,43.89,20341187
2025-04-23 16:01:40.238204,44.36,45.12,43.24,43.7,18407782
