date,open,high,low,close,volume
2024-10-24 16:01:40.270885,21.11,21.38,21.09,21.11,41598077
2024-10-25 16:01:40.270885,20.84,21.16,20.54,20.82,29187053
2024-10-28 16:01:40.270885,21.36,21.83,20.9,21.38,12723878
2024-10-29 16:01:40.270885,21.79,22.0,21.59,21.78,25303545
2024-10-30 16:01:40.270885,20.68,20.79,20.19,20.79,50953625
2024-10-31 16:01:40.270885,20.77,21.15,20.41,20.92,84405814
2024-11-01 16:01:40.270885,20.53,20.99,20.18,20.73,77057166
2024-11-04 16:01:40.270885,20.74,21.17,20.67,20.77,26439550
2024-11-05 16:01:40.270885,20.1,20.29,20.03,20.27,75433356
2024-11-06 16:01:40.270885,20.38,20.43,19.99,20.22,65634805
2024-11-07 16:01:40.270885,19.67,19.72,19.55,19.67,91860090
2024-11-08 16:01:40.270885,19.94,20.04,19.93,20.0,56477675
2024-11-11 16:01:40.270885,20.61,21.01,20.44,20.56,90347295
2024-11-12 16:01:40.270885,20.18,20.29,20.1,20.24,98237168
2024-11-13 16:01:40.270885,21.13,21.2,20.68,20.94,95940658
2024-11-14 16:01:40.270885,21.29,21.43,20.87,21.28,58881443
2024-11-15 16:01:40.270885,21.65,22.04,21.43,21.59,44311610
2024-11-18 16:01:40.270885,21.83,22.0,21.63,21.76,78087598
2024-11-19 16:01:40.270885,21.98,22.14,21.53,22.11,40667956
2024-11-20 16:01:40.270885,22.29,22.81,22.16,22.54,26365431
2024-11-21 16:01:40.270885,21.71,21.98,21.19,21.58,42481107
2024-11-22 16:01:40.270885,21.91,21.99,21.73,21.82,63833614
2024-11-25 16:01:40.270885,22.84,23.04,22.46,22.7,60627943
2024-11-26 16:01:40.270885,22.68,22.96,22.57,22.74,44198009
2024-11-27 16:01:40.270885,23.33,23.34,23.07,23.17,68382166
2024-11-28 16:01:40.270885,23.2,23.8,22.65,22.97,26128378
2024-11-29 16:01:40.270885,22.0,22.07,21.94,22.06,82431181
2024-12-02 16:01:40.270885,21.7,21.75,21.58,21.69,52594728
2024-12-03 16:01:40.270885,23.1,23.6,22.78,22.98,11346538
2024-12-04 16:01:40.270885,24.46,24.58,24.13,24.33,1696422
2024-12-05 16:01:40.270885,24.43,24.63,24.06,24.17,11306954
2024-12-06 16:01:40.270885,24.46,24.56,24.32,24.36,95432354
2024-12-09 16:01:40.270885,25.09,25.28,24.83,25.12,28341214
2024-12-10 16:01:40.270885,25.25,25.58,25.17,25.17,84097616
2024-12-11 16:01:40.270885,25.33,26.13,25.25,25.54,86926225
2024-12-12 16:01:40.270885,26.85,26.89,26.65,26.66,26344234
2024-12-13 16:01:40.270885,26.89,27.29,26.7,26.91,63798516
2024-12-16 16:01:40.270885,27.16,27.58,27.04,27.24,24007277
2024-12-17 16:01:40.270885,27.08,27.23,26.77,27.2,22781100
2024-12-18 16:01:40.270885,26.74,26.98,26.72,26.78,9400077
2024-12-19 16:01:40.270885,27.16,27.45,26.94,27.36,80171992
2024-12-20 16:01:40.270885,28.17,28.42,28.1,28.21,64135414
2024-12-23 16:01:40.270885,27.73,27.79,27.58,27.77,7487164
2024-12-24 16:01:40.270885,26.53,26.77,26.44,26.62,81639637
2024-12-25 16:01:40.270885,25.02,25.2,24.95,25.05,78745369
2024-12-26 16:01:40.270885,25.22,25.39,25.1,25.21,55125737
2024-12-27 16:01:40.270885,25.09,25.34,25.05,25.19,26059339
2024-12-30 16:01:40.270885,26.22,26.38,26.14,26.16,53893622
2024-12-31 16:01:40.270885,25.96,26.29,25.93,26.04,69986847
2025-01-01 16:01:40.270885,26.77,26.89,26.75,26.86,43165797
2025-01-02 16:01:40.270885,26.56,27.13,26.38,26.42,81337412
2025-01-03 16:01:40.270885,26.82,27.13,26.62,26.75,56465744
2025-01-06 16:01:40.270885,26.67,27.11,26.14,26.45,44576788
2025-01-07 16:01:40.270885,26.37,26.67,26.04,26.35,1653164
2025-01-08 16:01:40.270885,24.8,24.98,24.66,24.77,24963024
2025-01-09 16:01:40.270885,24.21,24.45,23.69,24.1,41379892
2025-01-10 16:01:40.270885,23.76,23.97,23.29,23.86,89640287
2025-01-13 16:01:40.270885,23.57,24.28,23.49,23.62,61515645
2025-01-14 16:01:40.270885,24.2,24.33,23.99,24.06,69492833
2025-01-15 16:01:40.270885,23.58,23.68,23.17,23.54,11720954
