date,open,high,low,close,volume
2024-10-24 16:01:40.342968,130.59,131.98,129.21,130.87,13691121
2024-10-25 16:01:40.342968,136.43,138.09,135.15,136.38,23320085
2024-10-28 16:01:40.342968,142.11,144.5,139.68,140.89,40238037
2024-10-29 16:01:40.342968,136.64,139.92,136.28,137.26,42290145
2024-10-30 16:01:40.342968,139.5,140.19,138.01,139.12,96269979
2024-10-31 16:01:40.342968,141.53,141.72,139.86,140.69,16077420
2024-11-01 16:01:40.342968,138.67,139.08,137.22,138.92,3916499
2024-11-04 16:01:40.342968,141.73,142.12,141.67,141.87,99940038
2024-11-05 16:01:40.342968,146.34,149.36,145.3,145.34,53899063
2024-11-06 16:01:40.342968,147.26,147.47,147.14,147.32,43823358
2024-11-07 16:01:40.342968,145.13,146.86,144.36,145.38,48172584
2024-11-08 16:01:40.342968,150.14,152.62,149.14,150.98,57965392
2024-11-11 16:01:40.342968,148.31,149.8,146.87,148.75,5487862
2024-11-12 16:01:40.342968,147.65,148.89,147.29,147.94,67336986
2024-11-13 16:01:40.342968,147.33,148.54,147.13,147.91,21559990
2024-11-14 16:01:40.342968,150.49,150.53,148.42,149.31,77299627
2024-11-15 16:01:40.342968,147.76,150.08,147.43,148.21,95305295
2024-11-18 16:01:40.342968,148.68,149.33,146.37,147.37,30994963
2024-11-19 16:01:40.342968,143.91,144.93,142.47,142.55,77203084
2024-11-20 16:01:40.342968,137.03,138.44,135.45,136.27,89696334
2024-11-21 16:01:40.342968,138.49,141.39,138.01,138.72,66689016
2024-11-22 16:01:40.342968,141.18,141.6,139.28,141.56,62982739
2024-11-25 16:01:40.342968,150.44,151.09,147.8,149.97,90110490
2024-11-26 16:01:40.342968,150.67,152.08,149.56,150.64,57479959
2024-11-27 16:01:40.342968,147.37,147.88,146.77,147.23,98887966
2024-11-28 16:01:40.342968,143.92,144.92,142.04,143.01,70535008
2024-11-29 16:01:40.342968,139.8,142.96,137.36,140.68,78819726
2024-12-02 16:01:40.342968,141.92,142.21,140.0,141.97,16613234
2024-12-03 16:01:40.342968,139.27,140.29,138.74,139.3,98521026
2024-12-04 16:01:40.342968,142.04,142.3,139.58,141.94,53916935
2024-12-05 16:01:40.342968,144.45,145.65,140.53,143.8,68568838
2024-12-06 16:01:40.342968,146.81,149.03,144.17,145.07,61687436
2024-12-09 16:01:40.342968,140.14,141.35,139.9,140.28,95561231
2024-12-10 16:01:40.342968,144.66,144.74,144.12,144.17,86170050
2024-12-11 16:01:40.342968,151.37,154.62,151.24,152.09,68852987
2024-12-12 16:01:40.342968,148.66,150.66,148.17,148.58,57607425
2024-12-13 16:01:40.342968,148.07,149.57,146.82,147.02,84382908
2024-12-16 16:01:40.342968,143.66,144.35,142.8,143.45,68463477
2024-12-17 16:01:40.342968,145.56,146.79,141.79,144.26,82729311
2024-12-18 16:01:40.342968,145.56,146.38,143.76,146.0,20343943
2024-12-19 16:01:40.342968,145.97,146.55,144.47,145.81,92136126
2024-12-20 16:01:40.342968,148.67,150.43,146.02,149.69,48667418
2024-12-23 16:01:40.342968,155.36,155.6,153.84,154.51,24861728
2024-12-24 16:01:40.342968,149.12,150.47,146.67,149.95,94929174
2024-12-25 16:01:40.342968,150.7,152.53,147.79,150.61,50184582
2024-12-26 16:01:40.342968,153.53,156.15,150.88,152.02,37888166
2024-12-27 16:01:40.342968,153.51,153.56,152.84,153.06,77363714
2024-12-30 16:01:40.342968,151.36,153.15,149.93,151.97,86311585
2024-12-31 16:01:40.342968,151.38,154.27,149.73,153.04,70492604
2025-01-01 16:01:40.342968,147.26,149.03,147.11,148.06,99026512
2025-01-02 16:01:40.342968,153.38,155.05,152.58,153.02,60733518
2025-01-03 16:01:40.342968,152.76,154.7,150.61,152.12,87647921
2025-01-06 16:01:40.342968,150.2,151.08,148.65,150.24,47241875
2025-01-07 16:01:40.342968,144.02,146.69,143.52,144.9,71871273
2025-01-08 16:01:40.342968,150.36,152.42,148.35,150.6,29244003
2025-01-09 16:01:40.342968,157.2,158.66,156.41,157.4,15030008
2025-01-10 16:01:40.342968,158.85,161.89,157.79,157.93,53801557
2025-01-13 16:01:40.342968,154.07,156.09,151.46,153.39,78603879
2025-01-14 16:01:40.342968,152.66,153.55,150.31,152.43,43523973
2025-01-15 16:01:40.342968,152.78,153.45,151.57,151.97,58986497
2025-01-16 16:01:40.342968,149.76,151.15,147.54,149.48,65123593
2025-01-17 16:01:40.342968,151.51,156.15,150.36,150.69,96719250
2025-01-20 16:01:40.342968,153.65,155.31,153.24,153.25,85662732
2025-01-21 16:01:40.342968,153.58,154.41,150.46,153.29,40934441
2025-01-22 16:01:40.342968,148.0,149.33,147.32,148.03,89562974
2025-01-23 16:01:40.342968,147.99,148.19,145.76,146.57,68783130
2025-01-24 16:01:40.342968,145.78,145.93,144.29,145.45,34844437
2025-01-27 16:01:40.342968,144.03,145.17,141.5,144.29,66871117
2025-01-28 16:01:40.342968,148.0,149.03,146.58,148.96,46138018
2025-01-29 16:01:40.342968,149.34,149.37,146.51,148.38,25771494
2025-01-30 16:01:40.342968,150.02,150.64,149.47,150.12,40576949
2025-01-31 16:01:40.342968,155.81,156.55,154.23,155.62,66875399
2025-02-03 16:01:40.342968,156.75,158.23,154.63,155.57,39348809
2025-02-04 16:01:40.342968,156.02,156.68,151.73,155.61,53542569
2025-02-05 16:01:40.342968,156.47,158.5,154.47,156.06,97053093
2025-02-06 16:01:40.342968,161.95,163.2,161.51,161.57,68640405
2025-02-07 16:01:40.342968,172.01,172.85,171.43,171.86,47263439
2025-02-10 16:01:40.342968,171.95,174.29,171.12,172.28,1261585
2025-02-11 16:01:40.342968,177.79,179.94,175.21,177.37,4117900
2025-02-12 16:01:40.342968,181.71,184.28,180.2,182.49,71577990
2025-02-13 16:01:40.342968,187.56,189.15,186.72,187.89,62118857
2025-02-14 16:01:40.342968,189.5,192.95,189.14,191.25,30802437
2025-02-17 16:01:40.342968,190.7,191.65,190.1,191.54,13327439
2025-02-18 16:01:40.342968,199.11,199.39,197.89,198.49,36669923
2025-02-19 16:01:40.342968,191.71,192.79,190.06,191.15,86445730
2025-02-20 16:01:40.342968,189.36,190.74,186.23,188.7,58189858
2025-02-21 16:01:40.342968,190.89,195.23,190.2,193.84,74030151
2025-02-24 16:01:40.342968,189.27,191.07,185.81,189.19,7431019
2025-02-25 16:01:40.342968,198.94,202.96,196.03,197.89,14282175
2025-02-26 16:01:40.342968,193.57,196.36,189.55,192.87,78675085
2025-02-27 16:01:40.342968,197.24,197.39,194.89,197.32,73472758
2025-02-28 16:01:40.342968,192.54,193.28,189.49,191.91,51962566
2025-03-03 16:01:40.342968,194.72,197.19,193.58,195.71,1763148
2025-03-04 16:01:40.342968,192.67,196.06,190.26,191.73,99558984
2025-03-05 16:01:40.342968,194.87,197.44,194.85,195.11,23190542
2025-03-06 16:01:40.342968,194.54,195.64,193.64,195.36,1343914
2025-03-07 16:01:40.342968,197.45,198.67,196.63,197.49,87401859
2025-03-10 16:01:40.342968,199.62,201.4,198.67,200.25,53946564
2025-03-11 16:01:40.342968,203.18,205.33,202.1,204.39,3965863
2025-03-12 16:01:40.342968,204.56,206.18,203.9,204.79,31698057
2025-03-13 16:01:40.342968,205.5,208.96,202.66,205.22,81899709
2025-03-14 16:01:40.342968,205.42,207.88,203.69,204.6,53034742
2025-03-17 16:01:40.342968,203.7,206.94,202.48,203.23,92977747
2025-03-18 16:01:40.342968,211.39,214.07,208.63,208.88,45387519
2025-03-19 16:01:40.342968,210.2,211.32,208.78,209.92,32844497
2025-03-20 16:01:40.342968,210.43,212.92,207.07,208.78,33425649
2025-03-21 16:01:40.342968,213.58,214.01,212.05,213.33,70619825
2025-03-24 16:01:40.342968,217.61,218.35,216.34,216.86,23793514
2025-03-25 16:01:40.342968,223.21,223.22,221.73,223.17,73546290
2025-03-26 16:01:40.342968,219.96,221.02,218.57,219.53,79731571
2025-03-27 16:01:40.342968,214.35,214.93,213.04,213.74,32981867
2025-03-28 16:01:40.342968,215.53,217.48,214.33,214.45,82081564
2025-03-31 16:01:40.342968,204.57,209.0,204.33,206.26,20882687
2025-04-01 16:01:40.342968,205.17,206.3,205.12,205.45,95404015
2025-04-02 16:01:40.342968,201.85,203.95,200.83,202.85,19629512
2025-04-03 16:01:40.342968,197.87,202.18,196.69,199.94,80733982
2025-04-04 16:01:40.342968,192.25,192.66,191.69,191.71,9407514
2025-04-07 16:01:40.342968,192.99,195.55,192.67,193.25,75791358
