date,open,high,low,close,volume
2024-10-24 16:01:40.567435,58.68,58.84,57.74,58.56,44905232
2024-10-25 16:01:40.567435,57.86,58.45,57.1,58.37,67695391
2024-10-28 16:01:40.567435,59.22,59.76,59.1,59.24,72852147
2024-10-29 16:01:40.567435,57.99,59.49,57.02,58.58,20920013
2024-10-30 16:01:40.567435,57.72,57.87,57.26,57.76,77971954
2024-10-31 16:01:40.567435,57.38,57.59,57.19,57.47,99717662
2024-11-01 16:01:40.567435,60.85,61.73,59.86,60.98,11458569
2024-11-04 16:01:40.567435,60.01,60.76,59.88,60.27,45368512
2024-11-05 16:01:40.567435,60.87,61.23,60.39,60.62,39922681
2024-11-06 16:01:40.567435,60.23,60.65,59.42,59.77,76225999
2024-11-07 16:01:40.567435,60.03,60.56,59.8,60.0,72302241
2024-11-08 16:01:40.567435,58.24,58.97,58.02,58.4,9773019
2024-11-11 16:01:40.567435,58.02,58.91,57.32,58.47,83888076
2024-11-12 16:01:40.567435,55.75,55.92,55.64,55.8,41544145
2024-11-13 16:01:40.567435,55.18,55.66,54.93,55.05,66431410
2024-11-14 16:01:40.567435,52.65,54.16,52.33,52.76,67176362
2024-11-15 16:01:40.567435,53.95,54.42,53.41,53.64,64061314
2024-11-18 16:01:40.567435,53.07,54.2,51.97,52.87,73595211
2024-11-19 16:01:40.567435,53.41,54.83,52.79,53.06,18834584
2024-11-20 16:01:40.567435,54.46,54.57,54.17,54.21,60547105
2024-11-21 16:01:40.567435,53.81,53.82,53.43,53.53,69296386
2024-11-22 16:01:40.567435,53.6,55.56,53.03,53.87,12978944
2024-11-25 16:01:40.567435,50.85,51.28,50.54,51.13,82801263
2024-11-26 16:01:40.567435,52.31,52.56,50.92,52.01,15679695
2024-11-27 16:01:40.567435,50.64,51.76,49.75,50.29,3408737
2024-11-28 16:01:40.567435,50.29,51.42,50.01,50.18,91735074
2024-11-29 16:01:40.567435,53.18,53.39,52.76,52.83,29880942
2024-12-02 16:01:40.567435,53.76,54.26,52.91,53.61,85276631
2024-12-03 16:01:40.567435,54.05,54.39,53.85,54.02,96894992
2024-12-04 16:01:40.567435,52.74,53.25,52.66,52.88,28069935
2024-12-05 16:01:40.567435,52.81,54.11,52.57,53.42,49777741
2024-12-06 16:01:40.567435,53.64,54.57,53.22,53.37,55724150
2024-12-09 16:01:40.567435,52.62,52.76,52.47,52.52,58198769
2024-12-10 16:01:40.567435,52.91,53.15,52.86,53.04,31243498
2024-12-11 16:01:40.567435,53.21,53.42,52.87,53.41,27201235
2024-12-12 16:01:40.567435,53.87,54.79,53.31,54.25,60217073
2024-12-13 16:01:40.567435,53.2,53.31,52.35,52.87,28951693
2024-12-16 16:01:40.567435,52.05,52.8,51.96,52.23,45175659
2024-12-17 16:01:40.567435,51.54,51.9,50.95,51.57,40557765
2024-12-18 16:01:40.567435,52.65,53.71,51.8,52.51,26210677
2024-12-19 16:01:40.567435,53.15,53.87,53.11,53.17,97689765
2024-12-20 16:01:40.567435,53.53,54.37,52.96,53.5,4428122
2024-12-23 16:01:40.567435,51.71,52.03,51.22,51.91,35987753
2024-12-24 16:01:40.567435,51.51,52.23,50.89,51.67,31001621
2024-12-25 16:01:40.567435,52.87,54.19,52.52,52.76,52208444
2024-12-26 16:01:40.567435,53.27,53.49,53.01,53.34,73580451
2024-12-27 16:01:40.567435,52.92,53.09,52.39,52.88,43792575
2024-12-30 16:01:40.567435,53.2,53.53,52.56,53.07,72108390
2024-12-31 16:01:40.567435,50.99,51.94,50.81,51.6,76165729
2025-01-01 16:01:40.567435,51.57,52.59,51.23,51.98,16106017
2025-01-02 16:01:40.567435,52.22,53.57,51.7,52.0,62633316
2025-01-03 16:01:40.567435,52.36,52.77,51.0,52.13,72242810
2025-01-06 16:01:40.567435,52.57,53.47,51.81,52.75,60697366
2025-01-07 16:01:40.567435,53.42,53.54,52.83,53.01,11050624
2025-01-08 16:01:40.567435,55.02,55.5,54.45,54.64,35136398
2025-01-09 16:01:40.567435,53.61,54.65,53.61,53.85,85349819
2025-01-10 16:01:40.567435,55.55,55.85,54.18,55.7,57208800
2025-01-13 16:01:40.567435,53.51,54.85,52.96,53.93,23254543
2025-01-14 16:01:40.567435,55.69,56.33,55.38,55.93,95544019
2025-01-15 16:01:40.567435,56.41,56.51,56.23,56.48,47372263
2025-01-16 16:01:40.567435,57.5,57.69,57.15,57.27,23861370
2025-01-17 16:01:40.567435,55.56,56.22,54.35,55.56,77752567
2025-01-20 16:01:40.567435,56.6,56.76,56.51,56.63,62071870
2025-01-21 16:01:40.567435,54.96,55.9,54.46,55.03,47165176
2025-01-22 16:01:40.567435,52.63,53.89,52.33,52.81,15172931
2025-01-23 16:01:40.567435,52.14,53.0,51.84,51.93,34934194
2025-01-24 16:01:40.567435,52.42,53.67,51.8,52.31,9742216
2025-01-27 16:01:40.567435,53.34,53.7,52.85,52.91,14427896
2025-01-28 16:01:40.567435,54.27,54.48,53.21,53.92,91994125
2025-01-29 16:01:40.567435,53.23,54.11,53.11,53.18,28056632
2025-01-30 16:01:40.567435,54.69,54.87,54.04,54.67,22551389
2025-01-31 16:01:40.567435,55.84,55.87,55.68,55.77,58949172
2025-02-03 16:01:40.567435,56.98,57.62,56.81,57.14,1170456
2025-02-04 16:01:40.567435,57.46,57.77,57.43,57.57,1599539
2025-02-05 16:01:40.567435,58.45,58.81,57.67,58.77,72399711
2025-02-06 16:01:40.567435,58.44,58.74,57.55,58.01,76609569
2025-02-07 16:01:40.567435,57.41,57.56,56.8,57.51,2565790
2025-02-10 16:01:40.567435,58.45,58.63,58.07,58.16,26668380
2025-02-11 16:01:40.567435,56.07,56.58,55.41,56.26,29013121
2025-02-12 16:01:40.567435,56.69,57.28,56.29,56.48,68990027
2025-02-13 16:01:40.567435,56.62,57.13,55.43,56.59,26563158
2025-02-14 16:01:40.567435,55.99,56.25,55.78,55.89,31252923
2025-02-17 16:01:40.567435,57.71,58.47,56.82,57.68,34307584
2025-02-18 16:01:40.567435,57.46,57.93,56.26,57.57,99481806
