date,open,high,low,close,volume
2024-10-24 16:01:40.455907,323.39,323.66,319.75,321.7,77274718
2024-10-25 16:01:40.455907,329.4,330.7,328.14,329.28,18933856
2024-10-28 16:01:40.455907,340.04,341.63,335.94,341.04,39606139
2024-10-29 16:01:40.455907,338.87,342.09,333.94,337.12,83976103
2024-10-30 16:01:40.455907,334.59,338.42,332.37,336.87,3916598
2024-10-31 16:01:40.455907,335.2,338.99,329.08,335.42,74559183
2024-11-01 16:01:40.455907,342.6,344.88,336.27,340.75,12499423
2024-11-04 16:01:40.455907,347.73,348.27,346.87,347.98,89696576
2024-11-05 16:01:40.455907,344.82,350.71,339.68,342.38,78953552
2024-11-06 16:01:40.455907,338.62,342.46,337.91,339.32,20014991
2024-11-07 16:01:40.455907,335.49,337.47,333.58,334.54,48690160
2024-11-08 16:01:40.455907,339.71,342.63,336.12,341.12,3468594
2024-11-11 16:01:40.455907,340.2,351.5,337.38,338.84,71888123
2024-11-12 16:01:40.455907,352.89,361.82,348.86,351.41,71288200
2024-11-13 16:01:40.455907,355.42,359.22,352.34,357.08,62955992
2024-11-14 16:01:40.455907,357.63,361.87,357.26,359.59,84446630
2024-11-15 16:01:40.455907,360.94,364.27,358.16,360.27,54076168
2024-11-18 16:01:40.455907,355.83,364.51,347.67,354.73,6364140
2024-11-19 16:01:40.455907,353.21,355.26,350.42,350.57,72968743
2024-11-20 16:01:40.455907,353.47,357.44,346.59,353.41,28131557
2024-11-21 16:01:40.455907,356.28,357.18,346.65,354.19,9504445
2024-11-22 16:01:40.455907,356.85,358.01,353.33,356.29,76600160
2024-11-25 16:01:40.455907,360.36,363.76,357.85,360.3,30271618
2024-11-26 16:01:40.455907,344.44,346.69,344.32,346.4,43489026
2024-11-27 16:01:40.455907,347.15,350.56,344.49,346.93,89838257
2024-11-28 16:01:40.455907,337.36,341.47,334.64,336.01,33513294
2024-11-29 16:01:40.455907,328.2,331.87,324.35,327.35,8428711
2024-12-02 16:01:40.455907,331.63,335.98,328.04,333.03,29158718
2024-12-03 16:01:40.455907,341.47,346.03,336.32,340.65,19008500
2024-12-04 16:01:40.455907,341.67,343.74,335.95,343.73,34708824
2024-12-05 16:01:40.455907,333.3,342.53,333.23,333.66,40325959
2024-12-06 16:01:40.455907,341.14,342.06,334.08,338.18,76339709
2024-12-09 16:01:40.455907,336.78,338.22,333.74,335.85,53255220
2024-12-10 16:01:40.455907,337.05,343.04,332.24,338.01,54385166
2024-12-11 16:01:40.455907,335.98,341.9,334.48,337.29,6142115
2024-12-12 16:01:40.455907,330.15,335.0,322.13,332.81,79840433
2024-12-13 16:01:40.455907,340.14,346.27,332.54,340.4,57858016
2024-12-16 16:01:40.455907,337.39,344.28,333.57,340.5,40167711
2024-12-17 16:01:40.455907,346.56,351.03,344.62,347.58,34706185
2024-12-18 16:01:40.455907,356.9,360.72,356.32,358.0,14445971
2024-12-19 16:01:40.455907,347.44,356.86,342.45,348.1,27428015
2024-12-20 16:01:40.455907,351.88,353.47,349.3,351.34,33630912
2024-12-23 16:01:40.455907,371.06,373.09,370.58,371.36,33095569
2024-12-24 16:01:40.455907,368.19,368.76,365.39,365.66,99211697
2024-12-25 16:01:40.455907,363.41,368.06,357.14,364.29,32095768
2024-12-26 16:01:40.455907,366.56,369.31,361.89,366.33,65230672
2024-12-27 16:01:40.455907,363.45,368.09,359.62,365.72,84577841
2024-12-30 16:01:40.455907,351.47,355.86,348.13,351.69,86909541
2024-12-31 16:01:40.455907,355.11,356.8,351.27,353.31,1858401
2025-01-01 16:01:40.455907,332.88,337.86,331.53,332.26,49043370
2025-01-02 16:01:40.455907,318.14,320.55,317.42,319.39,22132476
2025-01-03 16:01:40.455907,328.75,330.02,325.4,327.76,2384884
2025-01-06 16:01:40.455907,330.21,333.88,326.79,331.25,62387629
2025-01-07 16:01:40.455907,325.21,329.28,322.85,324.83,20884585
2025-01-08 16:01:40.455907,329.93,331.67,329.42,330.97,68818012
2025-01-09 16:01:40.455907,337.91,344.55,335.43,338.52,65424339
2025-01-10 16:01:40.455907,336.38,336.75,327.54,335.37,65978959
2025-01-13 16:01:40.455907,344.23,345.37,342.56,345.31,86035881
2025-01-14 16:01:40.455907,357.08,362.73,351.6,356.16,74427589
2025-01-15 16:01:40.455907,336.11,338.8,330.96,338.36,63135182
2025-01-16 16:01:40.455907,312.29,315.48,309.76,314.32,82681602
2025-01-17 16:01:40.455907,304.69,304.88,303.2,303.7,95236042
2025-01-20 16:01:40.455907,315.0,318.98,314.38,316.17,61694700
2025-01-21 16:01:40.455907,314.98,317.28,310.71,313.43,19889136
2025-01-22 16:01:40.455907,313.0,316.55,305.07,310.05,34919113
2025-01-23 16:01:40.455907,311.97,312.33,306.25,310.12,6017415
2025-01-24 16:01:40.455907,310.45,314.04,300.68,309.19,63074777
2025-01-27 16:01:40.455907,315.1,316.14,313.41,313.72,17549798
2025-01-28 16:01:40.455907,321.14,324.44,320.14,322.1,35924750
2025-01-29 16:01:40.455907,327.59,330.61,327.3,328.45,56193656
2025-01-30 16:01:40.455907,326.85,333.57,326.81,328.03,84441985
2025-01-31 16:01:40.455907,342.36,350.95,337.45,339.78,65821502
2025-02-03 16:01:40.455907,334.94,339.62,333.83,334.68,7603573
2025-02-04 16:01:40.455907,340.27,346.77,338.79,341.84,54564719
2025-02-05 16:01:40.455907,352.16,355.73,347.49,352.07,53363830
2025-02-06 16:01:40.455907,344.67,347.8,341.46,341.99,70522585
2025-02-07 16:01:40.455907,350.31,363.07,349.97,355.24,86392323
2025-02-10 16:01:40.455907,359.21,369.03,358.76,362.29,67733261
2025-02-11 16:01:40.455907,370.05,375.78,364.8,372.43,13937585
2025-02-12 16:01:40.455907,370.82,376.46,368.18,372.15,82009832
2025-02-13 16:01:40.455907,364.77,367.64,361.85,366.26,23610898
2025-02-14 16:01:40.455907,362.83,365.19,361.39,362.59,27110790
2025-02-17 16:01:40.455907,359.07,362.05,357.8,358.29,91632495
2025-02-18 16:01:40.455907,353.56,354.62,352.0,352.34,2551409
2025-02-19 16:01:40.455907,362.75,364.92,361.4,362.0,98173458
2025-02-20 16:01:40.455907,350.41,350.68,342.13,349.57,20332149
2025-02-21 16:01:40.455907,358.36,363.33,350.96,358.4,70769287
2025-02-24 16:01:40.455907,355.65,360.32,353.75,356.43,39594536
2025-02-25 16:01:40.455907,367.17,370.62,356.49,363.18,91713069
2025-02-26 16:01:40.455907,354.54,355.61,348.74,354.93,18100527
2025-02-27 16:01:40.455907,344.81,351.17,340.74,345.02,30846160
2025-02-28 16:01:40.455907,348.63,352.09,345.66,349.32,40289859
2025-03-03 16:01:40.455907,362.96,366.24,351.88,359.04,86104014
2025-03-04 16:01:40.455907,363.19,366.78,363.18,363.69,11439687
2025-03-05 16:01:40.455907,366.09,367.44,365.54,366.76,32455525
2025-03-06 16:01:40.455907,357.06,365.01,355.27,358.4,42835349
2025-03-07 16:01:40.455907,347.43,353.32,341.25,350.15,77152411
2025-03-10 16:01:40.455907,340.94,349.43,337.67,338.66,18503268
2025-03-11 16:01:40.455907,331.56,332.45,325.17,330.63,7631872
2025-03-12 16:01:40.455907,312.9,316.16,311.44,315.08,17172785
2025-03-13 16:01:40.455907,319.23,322.49,312.71,317.04,7703104
2025-03-14 16:01:40.455907,312.68,313.06,311.34,312.9,38566623
2025-03-17 16:01:40.455907,311.09,316.5,308.47,310.59,88100293
2025-03-18 16:01:40.455907,324.45,329.06,322.53,325.02,24271841
2025-03-19 16:01:40.455907,323.81,326.24,319.02,323.29,40315849
2025-03-20 16:01:40.455907,320.19,322.27,319.2,320.66,21658976
2025-03-21 16:01:40.455907,327.76,330.33,326.29,330.16,80809182
2025-03-24 16:01:40.455907,327.8,334.31,323.16,328.58,89209635
2025-03-25 16:01:40.455907,333.98,334.04,331.71,332.84,97527273
2025-03-26 16:01:40.455907,328.9,331.32,325.66,329.33,49182577
2025-03-27 16:01:40.455907,326.32,328.08,323.1,327.76,10804734
2025-03-28 16:01:40.455907,323.14,327.07,319.5,325.85,41528368
