date,open,high,low,close,volume
2024-10-24 16:01:40.176817,105.85,107.01,104.69,105.09,15566220
2024-10-25 16:01:40.176817,107.85,108.08,107.32,107.72,7048361
2024-10-28 16:01:40.176817,107.35,107.9,106.62,106.97,11359280
2024-10-29 16:01:40.176817,108.84,109.2,108.03,108.9,45554065
2024-10-30 16:01:40.176817,111.69,113.84,111.04,112.75,15252542
2024-10-31 16:01:40.176817,115.48,115.66,112.99,115.55,22768643
2024-11-01 16:01:40.176817,115.83,118.1,115.09,115.23,50603102
2024-11-04 16:01:40.176817,110.63,112.22,110.6,111.29,77759255
2024-11-05 16:01:40.176817,112.53,112.66,111.91,112.11,88726549
2024-11-06 16:01:40.176817,112.84,115.82,112.21,113.8,95959919
2024-11-07 16:01:40.176817,111.93,112.21,111.88,111.92,19739497
2024-11-08 16:01:40.176817,112.3,113.73,111.98,112.0,9266013
2024-11-11 16:01:40.176817,111.65,112.66,111.63,111.82,41700915
2024-11-12 16:01:40.176817,116.75,116.79,115.17,115.32,44020413
2024-11-13 16:01:40.176817,119.86,121.27,119.13,120.16,8962674
2024-11-14 16:01:40.176817,122.99,124.34,122.47,123.34,62248930
2024-11-15 16:01:40.176817,123.26,123.83,122.79,123.14,24037629
2024-11-18 16:01:40.176817,125.85,126.62,125.07,126.32,82280050
2024-11-19 16:01:40.176817,127.25,129.77,127.11,128.17,11284396
2024-11-20 16:01:40.176817,127.29,129.07,126.8,127.99,32730919
2024-11-21 16:01:40.176817,134.57,135.73,131.97,134.07,49897713
2024-11-22 16:01:40.176817,131.73,132.92,131.6,131.93,2711762
2024-11-25 16:01:40.176817,134.87,137.14,132.9,133.73,48461855
2024-11-26 16:01:40.176817,135.96,136.33,135.01,136.26,99485553
2024-11-27 16:01:40.176817,135.92,136.26,132.69,135.43,2511861
2024-11-28 16:01:40.176817,137.5,138.92,136.37,137.15,57839418
2024-11-29 16:01:40.176817,139.75,140.39,136.76,140.07,32702147
2024-12-02 16:01:40.176817,140.24,141.61,139.91,140.86,95978571
2024-12-03 16:01:40.176817,141.13,143.11,139.06,142.37,78423246
2024-12-04 16:01:40.176817,143.13,144.89,141.44,142.73,82392014
2024-12-05 16:01:40.176817,146.17,146.64,142.24,145.3,46304713
2024-12-06 16:01:40.176817,143.45,145.72,141.3,144.6,63212156
2024-12-09 16:01:40.176817,143.38,144.75,142.69,143.64,59828690
2024-12-10 16:01:40.176817,143.26,144.36,143.24,143.74,44484340
2024-12-11 16:01:40.176817,147.98,149.26,146.41,147.57,76943879
2024-12-12 16:01:40.176817,141.8,143.53,141.06,142.03,47305266
2024-12-13 16:01:40.176817,140.16,140.36,138.2,139.24,44538744
2024-12-16 16:01:40.176817,146.16,146.64,144.85,146.44,8630814
2024-12-17 16:01:40.176817,146.46,149.54,143.9,147.37,65086280
2024-12-18 16:01:40.176817,145.74,146.27,143.68,146.09,35329628
2024-12-19 16:01:40.176817,148.44,149.62,146.7,148.7,28331846
2024-12-20 16:01:40.176817,146.57,147.71,145.04,146.19,95438087
2024-12-23 16:01:40.176817,139.33,139.65,138.4,139.6,76759208
2024-12-24 16:01:40.176817,141.03,141.23,138.95,140.72,9328782
2024-12-25 16:01:40.176817,137.96,138.7,137.4,138.51,32145577
2024-12-26 16:01:40.176817,138.65,138.88,138.16,138.85,14957458
2024-12-27 16:01:40.176817,139.35,140.07,138.04,139.89,64956389
2024-12-30 16:01:40.176817,139.77,141.04,138.3,140.37,28240536
2024-12-31 16:01:40.176817,136.07,137.66,134.78,135.21,32580127
2025-01-01 16:01:40.176817,134.83,138.38,133.74,135.32,62717934
2025-01-02 16:01:40.176817,136.44,138.2,135.62,136.68,48640329
2025-01-03 16:01:40.176817,133.25,135.53,129.66,132.56,11030842
2025-01-06 16:01:40.176817,128.7,129.1,125.74,128.22,74785495
2025-01-07 16:01:40.176817,126.29,129.27,124.08,125.26,88211825
2025-01-08 16:01:40.176817,127.68,127.74,126.74,127.37,74343683
2025-01-09 16:01:40.176817,121.55,122.13,120.45,121.91,87112381
2025-01-10 16:01:40.176817,125.47,125.86,124.18,124.19,91872874
2025-01-13 16:01:40.176817,125.66,126.5,125.28,125.3,51356644
