date,open,high,low,close,volume
2024-10-24 16:01:40.359406,185.22,185.75,184.85,185.24,45696080
2024-10-25 16:01:40.359406,181.13,186.4,179.95,181.94,29461799
2024-10-28 16:01:40.359406,183.61,185.84,182.79,184.63,99089024
2024-10-29 16:01:40.359406,183.53,186.34,181.17,184.84,87873263
2024-10-30 16:01:40.359406,181.74,182.16,179.45,181.4,64695927
2024-10-31 16:01:40.359406,182.04,183.35,179.41,182.84,44160894
2024-11-01 16:01:40.359406,189.69,189.77,186.1,188.44,70440013
2024-11-04 16:01:40.359406,193.65,196.25,192.97,195.29,85387690
2024-11-05 16:01:40.359406,196.88,200.41,195.82,196.02,93715080
2024-11-06 16:01:40.359406,199.62,199.9,198.54,199.51,88503594
2024-11-07 16:01:40.359406,202.07,206.59,200.47,202.11,27334015
2024-11-08 16:01:40.359406,203.24,205.6,202.34,203.96,70688290
2024-11-11 16:01:40.359406,204.25,204.47,200.81,203.11,62323930
2024-11-12 16:01:40.359406,209.56,211.42,205.1,209.57,7891095
2024-11-13 16:01:40.359406,208.94,210.35,206.5,208.13,31282782
2024-11-14 16:01:40.359406,206.24,209.01,204.3,205.73,25666664
2024-11-15 16:01:40.359406,205.03,205.68,202.61,205.3,72325560
2024-11-18 16:01:40.359406,200.39,200.84,195.0,199.95,5119600
2024-11-19 16:01:40.359406,196.34,197.77,194.97,195.32,11118199
2024-11-20 16:01:40.359406,195.9,196.18,195.76,196.11,1781415
2024-11-21 16:01:40.359406,204.6,205.17,202.95,203.62,52500877
2024-11-22 16:01:40.359406,202.76,203.55,200.83,203.39,63223466
2024-11-25 16:01:40.359406,199.27,201.73,197.77,201.03,60455091
2024-11-26 16:01:40.359406,200.49,202.97,196.96,201.23,13948941
2024-11-27 16:01:40.359406,201.94,203.35,200.75,201.06,76101981
2024-11-28 16:01:40.359406,205.74,206.91,202.96,205.12,19554025
2024-11-29 16:01:40.359406,202.53,203.19,202.39,203.09,57912375
2024-12-02 16:01:40.359406,204.13,205.48,203.26,204.16,32220969
2024-12-03 16:01:40.359406,202.3,205.14,199.35,201.78,24776656
2024-12-04 16:01:40.359406,204.85,206.27,202.04,203.72,27384785
2024-12-05 16:01:40.359406,202.06,203.17,199.18,201.96,61350464
2024-12-06 16:01:40.359406,205.28,205.8,200.25,201.57,43002229
2024-12-09 16:01:40.359406,205.57,206.82,204.11,205.42,97887483
2024-12-10 16:01:40.359406,205.24,207.46,204.64,207.0,32451360
2024-12-11 16:01:40.359406,206.58,207.52,206.23,206.93,70756607
2024-12-12 16:01:40.359406,217.67,219.05,216.35,217.48,97830088
2024-12-13 16:01:40.359406,215.46,219.99,214.97,215.09,39973770
2024-12-16 16:01:40.359406,217.66,219.36,216.19,218.88,95625005
2024-12-17 16:01:40.359406,222.2,224.17,219.56,221.81,69255437
2024-12-18 16:01:40.359406,213.85,214.94,210.59,214.58,4903747
2024-12-19 16:01:40.359406,213.37,215.53,212.96,214.57,34150731
2024-12-20 16:01:40.359406,218.84,219.21,216.08,217.01,18039833
2024-12-23 16:01:40.359406,211.24,212.5,211.16,211.99,3194845
2024-12-24 16:01:40.359406,202.96,203.89,201.78,201.94,24190559
2024-12-25 16:01:40.359406,201.91,202.88,201.1,201.7,36933348
2024-12-26 16:01:40.359406,199.33,201.74,197.81,200.25,29856656
2024-12-27 16:01:40.359406,191.2,192.47,189.66,190.47,8856909
2024-12-30 16:01:40.359406,194.0,195.1,192.42,194.7,13406979
2024-12-31 16:01:40.359406,196.24,198.68,193.76,196.85,15020683
2025-01-01 16:01:40.359406,193.53,193.77,193.48,193.62,50699971
2025-01-02 16:01:40.359406,192.42,195.68,189.57,192.97,3358435
2025-01-03 16:01:40.359406,190.62,191.93,189.28,191.88,57455783
2025-01-06 16:01:40.359406,194.85,198.59,193.93,195.7,47270211
2025-01-07 16:01:40.359406,196.03,198.69,194.96,197.79,29661367
2025-01-08 16:01:40.359406,187.38,189.22,186.27,188.77,1589929
2025-01-09 16:01:40.359406,199.82,200.55,197.44,198.89,85354100
2025-01-10 16:01:40.359406,196.88,198.19,196.3,196.94,70888896
2025-01-13 16:01:40.359406,193.07,194.65,191.97,193.69,8872212
2025-01-14 16:01:40.359406,191.32,192.49,187.27,190.96,83190368
2025-01-15 16:01:40.359406,194.03,199.12,193.83,196.84,40983617
2025-01-16 16:01:40.359406,196.44,201.47,191.77,197.84,75377258
2025-01-17 16:01:40.359406,195.01,196.81,191.7,195.77,51006147
2025-01-20 16:01:40.359406,201.0,202.72,199.72,201.87,36084324
2025-01-21 16:01:40.359406,205.46,206.6,202.74,205.47,85849051
2025-01-22 16:01:40.359406,211.8,213.8,208.56,210.8,50707786
2025-01-23 16:01:40.359406,209.41,209.67,207.37,208.59,20118796
2025-01-24 16:01:40.359406,200.05,202.43,197.54,199.0,51621889
2025-01-27 16:01:40.359406,200.64,202.03,198.33,199.95,67234892
