date,open,high,low,close,volume
2024-10-24 16:01:40.523855,52.2,53.19,51.79,52.75,69853675
2024-10-25 16:01:40.523855,54.01,54.17,53.33,53.85,37781460
2024-10-28 16:01:40.523855,53.03,53.87,52.41,53.07,83042881
2024-10-29 16:01:40.523855,53.13,53.78,52.81,52.86,35156928
2024-10-30 16:01:40.523855,54.91,54.95,53.86,54.59,44792634
2024-10-31 16:01:40.523855,53.57,54.47,53.4,53.74,26903864
2024-11-01 16:01:40.523855,52.69,52.98,52.63,52.84,23530740
2024-11-04 16:01:40.523855,54.27,54.48,53.8,54.28,8032244
2024-11-05 16:01:40.523855,54.22,54.99,54.2,54.45,18716174
2024-11-06 16:01:40.523855,55.42,56.21,55.37,55.4,41632238
2024-11-07 16:01:40.523855,55.19,55.2,54.82,55.03,88304616
2024-11-08 16:01:40.523855,53.21,53.95,53.13,53.43,97417262
2024-11-11 16:01:40.523855,54.38,54.54,54.32,54.33,18666498
2024-11-12 16:01:40.523855,55.62,56.19,55.16,55.77,42065850
2024-11-13 16:01:40.523855,57.66,58.29,57.44,57.71,20062177
2024-11-14 16:01:40.523855,58.67,59.39,58.5,59.02,60204170
2024-11-15 16:01:40.523855,59.21,60.02,59.13,59.43,53314933
2024-11-18 16:01:40.523855,60.24,61.11,59.52,60.28,93097670
2024-11-19 16:01:40.523855,60.65,61.35,60.09,60.25,37763731
2024-11-20 16:01:40.523855,61.53,62.3,60.11,61.89,53430265
2024-11-21 16:01:40.523855,65.04,65.88,64.41,64.64,66870748
2024-11-22 16:01:40.523855,64.52,65.48,64.4,64.51,50622275
2024-11-25 16:01:40.523855,64.3,65.02,63.3,64.58,98272564
2024-11-26 16:01:40.523855,63.7,64.43,63.45,64.21,59067469
2024-11-27 16:01:40.523855,65.95,66.54,65.34,65.64,30867280
2024-11-28 16:01:40.523855,64.85,65.6,63.94,64.96,99640528
2024-11-29 16:01:40.523855,64.66,64.8,64.2,64.43,15301876
2024-12-02 16:01:40.523855,63.79,64.5,63.47,63.71,7318570
2024-12-03 16:01:40.523855,64.69,64.81,64.61,64.76,38647176
2024-12-04 16:01:40.523855,63.91,65.03,63.58,64.15,25314806
2024-12-05 16:01:40.523855,65.22,65.91,64.36,65.6,30525880
2024-12-06 16:01:40.523855,65.89,66.42,65.12,65.66,80704701
2024-12-09 16:01:40.523855,66.31,66.88,65.99,66.72,8883790
2024-12-10 16:01:40.523855,65.81,66.63,64.9,65.9,31822786
2024-12-11 16:01:40.523855,66.84,67.68,65.44,66.84,47951960
2024-12-12 16:01:40.523855,67.27,68.13,66.61,67.41,15538641
2024-12-13 16:01:40.523855,66.66,67.21,65.32,66.92,3524766
2024-12-16 16:01:40.523855,66.75,67.31,66.5,67.0,56293706
2024-12-17 16:01:40.523855,67.42,68.34,67.17,67.23,75275948
2024-12-18 16:01:40.523855,65.62,66.61,64.77,65.36,59746972
2024-12-19 16:01:40.523855,65.85,66.45,65.33,66.04,66765038
2024-12-20 16:01:40.523855,65.58,66.59,65.07,66.01,58873273
2024-12-23 16:01:40.523855,64.89,65.15,64.23,64.66,12168393
2024-12-24 16:01:40.523855,63.74,64.09,63.29,63.42,24504470
2024-12-25 16:01:40.523855,62.65,63.01,62.33,62.86,91675242
2024-12-26 16:01:40.523855,63.1,63.99,63.04,63.38,85878524
2024-12-27 16:01:40.523855,64.58,64.93,63.86,64.68,28358566
2024-12-30 16:01:40.523855,66.08,66.83,65.82,66.33,57127388
2024-12-31 16:01:40.523855,64.87,65.0,64.1,64.3,16341820
2025-01-01 16:01:40.523855,64.97,65.62,64.89,64.95,76902786
2025-01-02 16:01:40.523855,63.02,63.21,61.82,62.62,40451717
2025-01-03 16:01:40.523855,62.78,63.27,61.71,61.76,36131069
2025-01-06 16:01:40.523855,64.04,65.2,63.42,64.06,7801831
2025-01-07 16:01:40.523855,61.87,62.3,61.47,61.82,86084753
2025-01-08 16:01:40.523855,59.97,60.41,58.16,59.46,74889845
2025-01-09 16:01:40.523855,58.87,59.03,57.98,58.51,37578673
2025-01-10 16:01:40.523855,58.2,58.41,57.26,58.17,6468741
2025-01-13 16:01:40.523855,58.1,58.74,58.03,58.26,77489607
2025-01-14 16:01:40.523855,57.48,57.95,57.35,57.64,55241938
2025-01-15 16:01:40.523855,56.2,57.2,55.91,56.46,84635685
2025-01-16 16:01:40.523855,56.32,56.82,55.76,56.73,38061580
2025-01-17 16:01:40.523855,57.68,58.43,57.31,58.02,92488664
2025-01-20 16:01:40.523855,58.18,58.57,56.47,58.13,53180551
2025-01-21 16:01:40.523855,56.82,57.84,56.53,57.59,79033867
2025-01-22 16:01:40.523855,57.47,58.36,56.67,57.44,26093582
2025-01-23 16:01:40.523855,58.29,59.17,57.58,58.12,16576322
2025-01-24 16:01:40.523855,56.18,56.23,55.78,55.89,72884581
2025-01-27 16:01:40.523855,56.72,56.9,56.23,56.84,95549574
2025-01-28 16:01:40.523855,57.33,59.16,57.19,57.6,47108913
2025-01-29 16:01:40.523855,57.03,57.41,56.85,57.18,18212916
2025-01-30 16:01:40.523855,57.5,57.72,56.84,57.03,89684638
2025-01-31 16:01:40.523855,59.31,60.03,58.88,59.17,1945782
2025-02-03 16:01:40.523855,58.92,59.36,58.85,59.04,7865662
2025-02-04 16:01:40.523855,61.85,62.08,61.1,61.95,41562233
2025-02-05 16:01:40.523855,62.65,63.06,61.9,62.76,84075555
2025-02-06 16:01:40.523855,63.29,64.23,62.39,63.22,37613632
2025-02-07 16:01:40.523855,64.47,65.06,63.14,64.01,22134941
2025-02-10 16:01:40.523855,62.02,62.6,61.84,61.88,13778274
2025-02-11 16:01:40.523855,60.01,60.41,58.56,59.85,10464833
