date,open,high,low,close,volume
2024-10-24 16:01:40.328859,388.75,395.88,386.26,386.95,26326707
2024-10-25 16:01:40.328859,398.87,399.5,395.12,395.59,14249578
2024-10-28 16:01:40.328859,387.61,392.74,386.67,387.2,49836313
2024-10-29 16:01:40.328859,401.51,402.08,391.5,396.72,62934390
2024-10-30 16:01:40.328859,404.29,406.13,393.64,402.77,32924526
2024-10-31 16:01:40.328859,402.85,408.04,401.68,402.6,10913501
2024-11-01 16:01:40.328859,401.37,403.28,399.41,399.73,19321788
2024-11-04 16:01:40.328859,398.69,404.64,397.71,402.21,93472758
2024-11-05 16:01:40.328859,399.59,407.07,396.78,399.74,66005978
2024-11-06 16:01:40.328859,384.5,388.16,380.65,386.89,58298058
2024-11-07 16:01:40.328859,393.33,397.25,384.54,391.33,60870644
2024-11-08 16:01:40.328859,402.49,403.02,393.15,401.57,12347642
2024-11-11 16:01:40.328859,404.9,407.42,403.46,406.84,81397548
2024-11-12 16:01:40.328859,404.34,413.31,398.42,408.39,76817893
2024-11-13 16:01:40.328859,411.98,419.88,403.25,411.06,51399196
2024-11-14 16:01:40.328859,396.8,404.37,387.68,399.59,11679829
2024-11-15 16:01:40.328859,405.77,407.42,395.45,405.64,96942810
2024-11-18 16:01:40.328859,409.72,411.47,398.49,405.95,89226144
2024-11-19 16:01:40.328859,408.62,410.59,400.4,407.31,16156200
2024-11-20 16:01:40.328859,391.1,395.39,386.78,393.51,50065615
2024-11-21 16:01:40.328859,383.03,383.89,380.82,383.22,43802357
2024-11-22 16:01:40.328859,383.07,388.75,378.42,382.27,74867215
2024-11-25 16:01:40.328859,400.4,405.11,396.75,400.46,54032583
2024-11-26 16:01:40.328859,395.08,395.27,393.47,394.23,66042545
2024-11-27 16:01:40.328859,390.34,393.53,380.31,390.07,27944373
2024-11-28 16:01:40.328859,381.39,382.35,379.41,381.57,63519076
2024-11-29 16:01:40.328859,388.09,392.13,387.99,390.7,96216491
2024-12-02 16:01:40.328859,382.83,386.92,380.96,382.96,66361417
2024-12-03 16:01:40.328859,394.42,398.68,391.6,393.87,60379871
2024-12-04 16:01:40.328859,397.72,402.09,396.31,399.7,19390406
2024-12-05 16:01:40.328859,407.31,410.08,395.14,406.12,10231401
2024-12-06 16:01:40.328859,413.06,415.17,404.31,413.97,59967860
2024-12-09 16:01:40.328859,403.31,404.33,394.75,401.99,35790159
2024-12-10 16:01:40.328859,389.11,391.24,383.88,388.77,18108130
2024-12-11 16:01:40.328859,373.33,380.34,371.34,375.56,45445672
2024-12-12 16:01:40.328859,388.39,391.37,386.52,386.83,70378569
2024-12-13 16:01:40.328859,363.72,368.05,355.04,365.12,37761243
2024-12-16 16:01:40.328859,363.82,366.83,361.84,363.69,34627509
2024-12-17 16:01:40.328859,384.84,386.16,376.28,382.46,65549611
2024-12-18 16:01:40.328859,374.43,377.87,372.11,374.54,45209296
2024-12-19 16:01:40.328859,377.57,378.33,375.67,378.06,49274215
2024-12-20 16:01:40.328859,369.79,378.33,369.09,370.82,53538360
2024-12-23 16:01:40.328859,359.04,363.31,357.57,362.24,99188013
2024-12-24 16:01:40.328859,360.53,365.93,359.57,362.49,15928997
2024-12-25 16:01:40.328859,356.92,360.07,350.68,356.93,77907151
2024-12-26 16:01:40.328859,343.43,345.61,338.8,344.38,5697684
2024-12-27 16:01:40.328859,336.14,339.39,331.84,334.77,85329829
2024-12-30 16:01:40.328859,334.35,341.53,333.36,335.27,46577268
2024-12-31 16:01:40.328859,333.21,339.76,327.27,334.57,68746257
2025-01-01 16:01:40.328859,333.71,334.88,327.4,332.56,59523054
2025-01-02 16:01:40.328859,333.82,338.3,333.23,333.64,68418993
2025-01-03 16:01:40.328859,334.15,336.31,332.9,334.8,14033731
2025-01-06 16:01:40.328859,322.52,326.14,321.35,325.93,65718574
2025-01-07 16:01:40.328859,314.47,319.87,310.74,315.27,40605670
2025-01-08 16:01:40.328859,326.29,330.53,325.14,325.16,56351812
2025-01-09 16:01:40.328859,326.31,328.78,321.91,327.68,60656987
2025-01-10 16:01:40.328859,328.29,332.3,327.07,327.53,61558438
2025-01-13 16:01:40.328859,319.81,322.18,315.22,318.3,91036004
2025-01-14 16:01:40.328859,310.02,314.01,308.35,312.34,96710803
2025-01-15 16:01:40.328859,301.51,304.27,296.36,301.78,88748792
2025-01-16 16:01:40.328859,311.11,312.71,309.36,311.84,32468989
2025-01-17 16:01:40.328859,317.4,320.9,316.0,318.49,62761673
2025-01-20 16:01:40.328859,316.49,319.71,316.38,317.01,2249974
2025-01-21 16:01:40.328859,315.68,318.37,311.88,313.46,41068160
2025-01-22 16:01:40.328859,323.99,326.87,321.3,325.9,31932004
2025-01-23 16:01:40.328859,313.06,316.72,312.86,314.03,68147695
2025-01-24 16:01:40.328859,305.62,307.21,302.45,304.07,54778354
2025-01-27 16:01:40.328859,303.32,305.16,302.14,304.4,35651614
2025-01-28 16:01:40.328859,306.71,311.22,305.94,306.41,36620607
2025-01-29 16:01:40.328859,302.35,304.0,299.09,302.26,49211180
2025-01-30 16:01:40.328859,311.78,312.03,308.13,308.4,22155366
2025-01-31 16:01:40.328859,318.15,318.4,312.36,315.42,53056977
2025-02-03 16:01:40.328859,324.23,326.36,319.42,323.02,5621654
2025-02-04 16:01:40.328859,322.64,327.04,320.89,322.46,44411929
2025-02-05 16:01:40.328859,349.29,351.62,346.68,349.64,45407886
2025-02-06 16:01:40.328859,344.15,347.84,341.53,346.97,6818722
2025-02-07 16:01:40.328859,353.36,354.11,340.77,351.49,49421581
2025-02-10 16:01:40.328859,356.24,356.47,352.88,355.72,20528223
2025-02-11 16:01:40.328859,357.66,357.92,348.68,354.73,93738742
2025-02-12 16:01:40.328859,357.25,360.81,348.98,353.63,83325483
2025-02-13 16:01:40.328859,353.17,356.09,349.32,352.23,57185836
2025-02-14 16:01:40.328859,336.94,339.04,334.4,337.78,14454312
2025-02-17 16:01:40.328859,325.57,326.48,321.05,324.39,86312580
2025-02-18 16:01:40.328859,309.2,309.54,304.3,307.38,16762397
2025-02-19 16:01:40.328859,313.21,317.12,310.37,312.85,58130703
2025-02-20 16:01:40.328859,320.64,327.11,320.45,322.67,67135281
2025-02-21 16:01:40.328859,323.68,327.01,323.03,323.85,24061890
2025-02-24 16:01:40.328859,319.55,320.07,317.33,319.0,17468691
2025-02-25 16:01:40.328859,317.05,322.76,312.54,318.53,34050080
2025-02-26 16:01:40.328859,315.02,317.91,313.46,313.98,57422256
2025-02-27 16:01:40.328859,308.4,314.26,302.71,311.04,32314939
2025-02-28 16:01:40.328859,319.74,322.14,318.15,319.12,58850579
2025-03-03 16:01:40.328859,311.68,312.71,311.21,312.55,77460934
2025-03-04 16:01:40.328859,312.09,314.05,309.07,313.34,52999366
2025-03-05 16:01:40.328859,320.59,324.28,318.41,319.47,61204326
2025-03-06 16:01:40.328859,322.64,322.89,320.8,322.17,81040081
2025-03-07 16:01:40.328859,315.83,322.76,315.58,319.69,70978958
2025-03-10 16:01:40.328859,311.46,320.08,308.33,313.2,48580787
2025-03-11 16:01:40.328859,312.14,318.56,306.98,310.04,82997718
2025-03-12 16:01:40.328859,303.89,311.58,302.07,307.51,70261490
2025-03-13 16:01:40.328859,319.27,320.45,312.89,317.9,97813614
2025-03-14 16:01:40.328859,304.74,313.7,302.35,308.03,31690638
2025-03-17 16:01:40.328859,310.5,314.4,309.74,312.99,99610129
2025-03-18 16:01:40.328859,311.93,312.78,308.32,312.3,34339974
2025-03-19 16:01:40.328859,309.84,313.99,305.79,309.17,48115757
2025-03-20 16:01:40.328859,312.41,314.64,308.2,309.24,99116066
2025-03-21 16:01:40.328859,315.2,320.67,312.81,316.14,37530577
2025-03-24 16:01:40.328859,322.18,323.93,320.92,322.11,17807100
2025-03-25 16:01:40.328859,329.5,332.52,326.9,328.94,26914853
2025-03-26 16:01:40.328859,332.37,341.04,331.9,333.45,56364658
2025-03-27 16:01:40.328859,333.74,335.81,332.16,333.25,90976253
2025-03-28 16:01:40.328859,330.98,332.28,329.05,331.64,79064061
2025-03-31 16:01:40.328859,350.76,353.27,348.09,349.18,87146776
2025-04-01 16:01:40.328859,360.42,363.09,354.73,358.77,67583978
2025-04-02 16:01:40.328859,360.48,362.27,358.72,360.24,97059391
2025-04-03 16:01:40.328859,356.78,362.69,356.14,357.64,3782230
2025-04-04 16:01:40.328859,360.92,365.51,356.66,362.49,4277841
2025-04-07 16:01:40.328859,360.31,361.9,357.91,358.13,61082498
2025-04-08 16:01:40.328859,370.61,373.22,364.66,369.04,9238748
2025-04-09 16:01:40.328859,374.73,379.91,370.17,374.14,1288970
2025-04-10 16:01:40.328859,391.51,395.94,388.59,391.13,84313373
2025-04-11 16:01:40.328859,392.35,394.72,389.97,390.45,75225217
2025-04-14 16:01:40.328859,370.26,375.0,369.89,371.67,44963181
2025-04-15 16:01:40.328859,384.17,388.15,372.37,379.17,45273623
2025-04-16 16:01:40.328859,386.84,391.55,382.42,383.81,49241796
2025-04-17 16:01:40.328859,382.67,387.5,381.4,381.95,13581273
2025-04-18 16:01:40.328859,389.77,390.48,387.44,388.53,56835980
2025-04-21 16:01:40.328859,390.59,392.46,388.79,390.24,14355281
2025-04-22 16:01:40.328859,380.71,388.67,376.12,382.62,75454671
2025-04-23 16:01:40.328859,386.17,388.51,385.21,386.13,79526427
2025-04-24 16:01:40.328859,383.73,388.41,382.27,383.04,15089869
2025-04-25 16:01:40.328859,378.8,385.0,377.03,378.89,38284673
2025-04-28 16:01:40.328859,385.9,393.05,381.9,387.66,30486122
2025-04-29 16:01:40.328859,388.69,392.2,387.61,388.39,37348357
2025-04-30 16:01:40.328859,381.25,391.43,379.92,384.86,62223758
2025-05-01 16:01:40.328859,389.66,391.88,384.69,389.69,61884433
2025-05-02 16:01:40.328859,404.81,406.64,400.35,401.41,50156128
2025-05-05 16:01:40.328859,398.68,399.3,395.14,397.94,49517179
